NO,NAMA SEKOLAH,TINGKATAN,STATUS (NEGERI/SWASTA/YAYASAN),ALAMAT,RT,RW,KELURAHAN
51,SDN CIBEUREUM 1,SD/MI,NEGERI,JL.ASRAMA KIPAL NO.56,05,04,CAMPAKA
52,SDN CIBEUREUM 2,SD/MI,NEGERI,JL.ASRAMA KIPAL NO.56,05,04,CAMPAKA
53,SDN CIBEUREUM 3,SD/MI,NEGERI,JL.ASRAMA KIPAL NO.56,05,04,CAMPAKA
54,SDN CIBEUREUM 4,SD/MI,NEGERI,JL.ASRAMA KIPAL NO.56,05,04,CAMPAKA
55,SDN CIBEUREUM 6,SD/MI,NEGERI,JL.ASRAMA KIPAL NO.56,05,04,CAMPAKA
56,SDN CIBEUREUM 8,SD/MI,NEGERI,JL.ASRAMA KIPAL NO.56,05,04,CAMPAKA
57,SDN CIBEUREUM 9,SD/MI,NEGERI,JL.ASRAMA KIPAL NO.56,05,04,CAMPAKA
58,SDN CIBEUREUM 11,SD/MI,NEGERI,JL.ASRAMA KIPAL NO.56,05,04,CAMPAKA
59,SD WINDU PUTRA,SD/MI,YAYASAN,JL.BABAKAN CIBEUREUM 142,03,01,CAMPAKA
60,SD ADVENT,SMP/MTs,YAYASAN,JL.RAYA CIMINDI NO.74,01,05,CAMPAKA
61,SMP ADVENT,SMP/MTs,YAYASAN,JL.RAYA CIMINDI NO.74,01,05,CAMPAKA
62,SMP MUTIARA 4,SMP/MTs,YAYASAN,JL.RAYA CIBEUREUM NO.10,01,01,CAMPAKA
63,SMP PELITA NUSANTARA,SMP/MTs,YAYASAN,JL.PALEDANG NO.297A,05,02,CAMPAKA
64,SMA PELITA NUSANTARA,SMA/SMK/MA,,,,,
65,SMAN 13,SMA/SMK/MA,NEGERI,JL.RAYA CIBEUREUM NO.52,05,04,CAMPAKA
66,SMA MUTIARA 2,SMA/SMK/MA,YAYASAN,JL.RAYA CIBEUREUM NO.10,01,01,CAMPAKA
67,SMA ADVENT,SMA/SMK/MA,YAYASAN,JL.RAYA CIMINDI NO.74,01,04,CAMPAKA
68,SMA 3 BPK PENABUR,SMA/SMK/MA,YAYASAN,JL.RAYA CIMINDI NO.92,01,05,CAMPAKA
69,SMK FARMASI BPK PENABUR,SMA/SMK/MA,YAYASAN,JL.RAYA CIMINDI NO.92,01,05,CAMPAKA
70,PAUD ELITAMA,PAUD/KOBER,SWASTA,GG. TALIBIN,02,01,GARUDA
