Nama Sekolah,NPSN,Jenjang,Alamat,Kecamatan,Tingkat 1LakiLaki,Tingkat 1Perempuan,Tingkat 2LakiLaki,Tingkat 2Perempuan,Tingkat 3LakiLaki,Tingkat 3Perempuan,Tingkat 4LakiLaki,Tingkat 4Perempuan,Tingkat 5LakiLaki,Tingkat 5Perempuan,Tingkat 6LakiLaki,Tingkat 6Perempuan,Tingkat 7LakiLaki,Tingkat 7Perempuan,Tingkat 8LakiLaki,Tingkat 8Perempuan,Tingkat 9LakiLaki,Tingkat 9Perempuan
SLB KASIH IBU,20280595,SLB,Jl. Kopo Cirangrang Timur No.07,Kec. Babakan Ciparay,6,7,3,3,0,0,2,2,2,3,1,3,0,0,0,0,0,4
SLB MUHAMMADIYAH CIPEDES,20259612,SLB,Jl Sukagalih Gg. H. Gozali No. 119b,Kec. Sukajadi,7,3,3,3,2,1,5,2,4,4,1,1,2,1,3,0,2,0
SLB NEGERI A PAJAJARAN,20280593,SLB,Jl. Pajajaran No. 50,Kec. Cicendo,4,2,3,4,1,1,3,2,7,1,4,4,1,1,8,2,9,2
SLB NEGERI CICENDO,26017001,SLB,Jl. Cicendo No. 2,Kec. Sumur Bandung,8,7,1,1,3,2,5,7,1,4,13,6,1,2,3,4,5,2
SLB NOOR RAKHMAH,20280592,SLB,Jl. Cipedes Selatan No. 85,Kec. Sukajadi,0,0,2,4,4,1,6,0,3,0,1,0,3,0,4,1,2,1
SLB PANCARAN IMAN,20255797,SLB,Jl Golf III no 57,Kec. Cinambo,3,2,4,1,3,2,4,1,1,6,3,2,2,0,1,1,2,2
SLB RISANTYA,20280591,SLB,Jl Kota Baru No 30,Kec. Regol,11,0,5,0,3,2,8,3,1,5,5,0,4,2,4,2,5,1
SLB SOLALIN,20280590,SLB,Jl. Sarimanah Blok XII No 170,Kec. Sukasari,1,1,7,1,2,0,4,0,1,1,0,0,2,0,1,1,0,0
SLB WIDI ASIH,20217941,SLB,Jl. Dakota Perum Taman Pesona Mediteran G1,Kec. Andir,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,1,2,0
SLB YPDP,20271533,SLB,Jl. Puri Asih VII No. 12 Santosa Asih Jaya,Kec. Rancasari,1,0,5,2,0,1,10,5,4,2,3,3,1,0,0,2,1,1
SLB YRBB,20280600,SLB,Jl. Kosar No. 147 Cijambe Indah,Kec. Ujungberung,2,0,0,2,0,3,2,0,3,0,1,1,0,1,0,3,0,0
SLB-BC Murni YPKSM,20219878,SLB,Jl. Binong Jati I No. 4,Kec. Batununggal,2,3,3,1,2,2,3,0,3,0,4,4,1,2,1,1,0,0
SLBS GEMILANG,20219880,SLB,Jl. Aki Padma No. 7 Rt. 05/08,Kec. Babakan Ciparay,9,4,4,0,3,2,0,0,0,0,4,0,1,2,2,2,0,0
SMPLB C Karya Bakti,20219872,SLB,Jl Cikutra No 58,Kec. Cibeunying Kidul,0,2,1,2,3,2,4,1,5,7,1,2,5,6,2,2,2,1
SPLB C YPLB,20219746,SLB,Jl. Hegar Asih No. 1-3,Kec. Coblong,1,2,3,1,3,2,4,6,2,1,6,2,3,0,1,4,5,4
