indikator,kecamatan,kelurahan_desa,tidak_punyaijazah,sd_sederajat,smp_sederajat,sma_sederajat,d1__d3,d4_s1,s2__s3,total_krt
"Ijazah Tertinggi",BATUNUNGGAL,GUMURUH,92,405,149,157,5,6,0,823
"Ijazah Tertinggi",BATUNUNGGAL,BINONG,47,491,237,228,6,3,0,1020
"Ijazah Tertinggi",BATUNUNGGAL,"KEBON GEDANG",30,205,153,194,1,1,0,586
"Ijazah Tertinggi",BATUNUNGGAL,MALEER,52,575,356,411,4,1,0,1423
"Ijazah Tertinggi",BATUNUNGGAL,CIBANGKONG,190,328,256,222,4,1,0,1020
"Ijazah Tertinggi",BATUNUNGGAL,SAMOJA,149,297,269,273,5,1,0,1019
"Ijazah Tertinggi",BATUNUNGGAL,KACAPIRING,52,150,95,157,1,1,0,456
"Ijazah Tertinggi",BATUNUNGGAL,"KEBON WARU",102,315,229,191,2,2,0,841
"Ijazah Tertinggi","SUMUR BANDUNG",BRAGA,28,77,48,34,2,0,0,189
"Ijazah Tertinggi","SUMUR BANDUNG","KEBON PISANG",36,130,57,67,0,1,0,296
"Ijazah Tertinggi","SUMUR BANDUNG",MERDEKA,1,27,8,17,0,0,0,53
"Ijazah Tertinggi","SUMUR BANDUNG","BABAKAN CIAMIS",45,63,32,39,0,0,0,181
"Ijazah Tertinggi",ANDIR,CAMPAKA,98,412,198,153,1,1,0,866
"Ijazah Tertinggi",ANDIR,MALEBER,72,325,174,155,4,0,0,732
"Ijazah Tertinggi",ANDIR,GARUDA,49,188,117,146,1,1,0,506
"Ijazah Tertinggi",ANDIR,"DUNGUS CARIANG",162,284,163,168,3,2,0,784
"Ijazah Tertinggi",ANDIR,CIROYOM,57,519,258,259,6,4,0,1109
"Ijazah Tertinggi",ANDIR,"KEBON JERUK",51,247,95,118,4,0,0,518
"Ijazah Tertinggi",CICENDO,ARJUNA,20,96,47,40,0,1,0,204
"Ijazah Tertinggi",CICENDO,PASIRKALIKI,2,143,61,88,2,0,0,300
