NO,LETAK/ALAMAT,LUAS (M2),PENGGUNAAN,KET
48,Depan Margahayu Land Metro ( samping ATM) Kel.Manjahlega,120,RT 01 RW 01 Metro,
49,Depan Parkir Metro barat/ Taman Show Window Kel.Manjahlega,450,RT 01 RW 01 Metro,
50,Jl. Venus Timur II Kel.Manjahlega,300,RT 02 RW 01 Metro,
51,Jl. Venus Timur I Kel.Manjahlega,800,RT 02 RW 01 Metro,
52,Jl.Venus Barat VII Kel.Manjahlega,500,RT 03 RW 01 Metro,
53,Ruko Metro barat Kel.Manjahlega,3500,RT 04 RW 01 Metro,
54, samping Griya Metro Kel.Manjahlega,500,RT 04 RW 01 Metro,
55,Jl. Venus Barat  Kel.Manjahlega,1500,RT 04 RW 01 Metro,
56,Jl.Venus Timur Kel.Manjahlega,,RT 02 RW 01 Metro,
57,Sepanjang Venus Raya Kel.Manjahlega,2 x 350 m,RW 01,
58,Bundaran Metro Kel.Manjahlega,,RW 01,
59,Samping Pos Pol Kel.Manjahlega,600,RT 04 RW 01 Metro,
60,Jl.Venus Timur Kel.Manjahlega,,RW 01,
61,Halaman Mesjid Ar-Rahmat Kel.Manjahlega,500,RW 02,
62,Jl .Merkuri Utara Kel.Manjahlega,5000,RW 03,
63,Jl.Taman Merkuri Raya Kel.Manjahlega,365,RW 04,
64,Depan SD IT- Al-Fitroh Kel.Manjahlega,,RW 04,
65,Jl. Merkuri Timur VII Kel.Manjahlega,600,RT 06 RW 04,
66,Sepanjang Taman Merkuri Timur Kel.Manjahlega,,RW 04,
67,Sepanjang Bantaran Jalan Cidurian Kel.Manjahlega,,Dari RS.Al s/d depan BBWSC,
68,Jl. Mars Raya (samping Mesjid) Kel.Manjahlega,150,RW 07,
69,Jl.Mars Timur Kel.Manjahlega,200,RW 07,
70,Jl.Merkuri Selatan (belakang GSG Merkuri) Kel.Manjahlega,800,RW 08,
71,Jl. Mars Selatan (samping Mesjid Al-Hidayah) Kel. Manjahlega,200,Taman warga,RW 09
72,Jl. Saturnus Utara Blok. O s/d Al-Muslimun Kel.Manjahlega,900,Jalur Hijau,RW 10 dan  RW 11
73,Jl. Merkuri Selatan XXI  Kel.Manjahlega,160,RTH,RW 08
74,Sebelah GOR sakti  Kel.Manjahlega,1400,RTH,RW 08
75,Samping Mesjid Al-Muslimun  Kel.Manjahlega,500,Lapangan Terbuka,RW 11
76,Jl. Saturnus Utara  Kel.Manjahlega,900,Jalur Hijau,RW 10
77,Jl. Mars Selatan X  Kel.Manjahlega,300,Jalur Hijau,RW 10
78,Jl. Manjahlega  Kel.Manjahlega,45,Taman warga,RW 12
79,Samping Bantaran Sungai Cidurian  Kel.Manjahlega,70,Makam Warga,RW 12
80,Samping Bantaran Sungai Cidurian  Kel.Manjahlega,140,Makam Warga,RW 12
81,Samping Bantaran Sungai Cidurian  Kel.Manjahlega,500,Makam Warga,RT 03 RW 13
82,Sepanjang Bantaran Sungai Cidurian dari Komplek manjahlega Indah s/d Bodogol  Kel.Manjahlega,,Jalur Hijau,RW 12 dan  Rw 13
83,Jl. Saturnus Raya  Kel.Manjahlega,1200,Taman warga,RW 14
84,Jl.Taman Saturnus Ujung VII  Kel.Manjahlega,750,Taman warga,RW 14 RT 07
85,Jl.Saturnus Ujung IV  Kel.Manjahlega,420,RTH,RT 05 RW 13
86,Jl.Saturnus Tengah II  Kel.Manjahlega,500,Sarana Olah Raga ,RW 15
87,Jl. Taman Saturnus  Kel.Manjahlega,4200,Mesjid, GSG, lapangan OR,RW 16
88,Jl.saturnus I  Kel.Manjahlega,108,Taman Warga,RT 02 RW 16
89,Jl.Saturnus Selatan  Kel.Manjahlega,448,Jalur Hijau,RT 05 RW 16
90,Komplek Taman Persada  Kel.Manjahlega,,Taman warga,RT 07 RW 16
91,Komplek Graha Prima  Kel.Manjahlega,,Taman warga,RT 06 RW 16
92,Komplek Graha Mars  Kel.Manjahlega,,Taman warga,RW 06
93,Komplek D'Platinum  Kel.Manjahlega,,Taman warga,RT 06 RW 16
94,Samping GSG RW 06  Kel.Manjahlega,120,lapangan Vollely,RT 02 RW 06
95,Jl.Taman Merkuri   Kel.Manjahlega,,Jalur Hijau,RW 03
96,Depan Masjid RW 01 Kel.Mekarjaya,100,RTH,
97,Depan Gerbang Komp.BIR Kel.Mekarjaya,80,RTH,
98,RT 04 RW 01 Kel.Mekarjaya,280,RTH,
99,RT 06 RW 01 Kel.Mekarjaya,400,RTH,
100,Jl Delima I Komp.BIR Kel.Mekarjaya,150,RTH,
101,RT 03 RW 01 Komp BIR Kel.Mekarjaya,335,RTH,
102,Jl. Hijau daun Komp BIR Kel.Mekarjaya,1400,RTH,
103,Dekat Ged. Serba Guna Komp. BIR Kel.Mekarjaya,60,RTH,
104,RT 04 RW 07 Kel.Mekarjaya,1400,RTH,
105,RT 09 RW 07 Komp Jingga Kel.Mekarjaya,865,Taman bermain,
106,Lapang UNI Kel.Mekarjaya,1500,RTH,
107,RT 04 RW 09 Kel.Mekarjaya,850,RTH,
108,RT 04 Rw 09 Kel.Mekarjaya,200,RTH,
109,Depan Masjid RW 10 Kel.Mekarjaya,200,RTH,
110,Banyu Biru Regency Kel.Mekarjaya,100,RTH,
111,RT 07 RW 06  Kel.Mekarjaya,100,RTH,
