jenis_peraturan,nomor_peraturan,tahun,judul_peraturan,dokumen_peraturan
Keputusan Walikota,660/KEP.250-BPLH,2013,PEMBENTUKAN KOMISI PENILAI ANALISIS MENGENAI DAMPAK LINGKUNGAN HIDUP KOTA BANDUNG.,http://jdih.net/bandung/web/pdfperda/Kepwal_660_Kep. 250-BPLH_2013_Komisi Amdal.pdf
Keputusan Walikota,660/KEP. 117-BPLH,2013,TIM TEKNIS PENYUSUNAN BUKU POHON BAGI LINGKUNGAN KOTA BANDUNG ,http://jdih.net/bandung/web/pdfperda/Kepwal_660_Kep. 117-BPLH_2013_Tim Buku Pohon.pdf
Keputusan Walikota,660/KEP.519-BPLH,2013, TIM TEKNIS PENYUSUNAN BUKU INVENTARISASI GAS RUMAH KACA KOTA BANDUNG ,http://jdih.net/bandung/web/pdfperda/Kepwal_660_Kep.519-BPLH_2013T_ Susunan Tim Teknis Penyusun Gas Rumah Kaca _SALINAN_.pdf
Keputusan Walikota,660/KEP.235-BPLH,2013,DOKUMEN PELELANGAN UMUM UNTUK PENGADAAN BADAN USAHA DALAM RANGKA PEMBANGUNAN INFRASTRUKTUR PENGOLAHAN SAMPAH BERBASIS TEKNOLOGI RAMAH LINGKUNGAN MELALUI MEKANISME KERJASAMA PEMERINTAH DAERAH DENGAN BADAN USAHA ,http://jdih.net/bandung/web/pdfperda/Kepwa_l660_Kep.235-BPLH_2013_Pengesahan Dokumen pelelangan.pdf
Keputusan Walikota,658.1/KEP.029-PD.KBR,2013,PENGESAHAN RENCANA KERJA DAN ANGGARAN PERUSAHAAN DAERAH KEBERSIHAN KOTA BANDUNG TAHUN 2013.,http://jdih.net/bandung/web/pdfperda/Kepwal_658.1_Kep.029-PD.KBR_2013-RKA-PD.pdf
Keputusan Walikota,658.1/KEP. 763-BPLH,2013, PENETAPAN PEMENANG LELANG PENGADAAAN BADAN USAHA SECARA PELELANGAN UMUM DALAM RANGKA PEMBANGUNAN INFRASTRUKTUR PENGOLAHAN SAMPAH BERBASIS TEKNOLOGI RAMAH LINGKUNGAN MELALUI MEKANISME KERJASAMA PEMERINTAH DAERAH DENGAN BADAN USAHA ,http://jdih.net/bandung/web/pdfperda/Kepwal 658.1_Kep. 763-BPLH_2013_Penetapan Pemenang Lelang.pdf
Keputusan Walikota,658.1/KEP.1086-PD.KBR,2013, PENGESAHAN RENCANA KERJA DAN ANGGARAN PERUBAHAN PERUSAHAAN DAERAH KEBERSIHAN KOTA BANDUNG TAHUN 2013 ,http://jdih.net/bandung/web/pdfperda/Kepwal_658.1_Kep.1086-PD.KBR_2013_RKA PERUBAHAN PD KEBERSIHAN.pdf
Keputusan Walikota,650/KEP. 402-BAPPEDA,2013, TIM PELAKSANA PERSIAPAN DAN PELAKSANAAN BANDUNG KOTA CERDAS (SMART CITY) DI LINGKUNGAN PEMERINTAH KOTA BANDUNG ,http://jdih.net/bandung/web/pdfperda/Kepwal _650_Kep. 402-BAPPEDA_2013_Smart City.pdf
Keputusan Walikota,650/KEP.420-BAPPEDA,2013, PEMBENTUKAN TIM SWAKELOLA PROGRAM PENGEMBANGAN KOTA HIJAU (P2KH) KOTA BANDUNG TAHUN 2013,http://jdih.net/bandung/web/pdfperda/SLN SK 650_Kep.420-BAPPEDA_2013 TIM SWAKELOLA P2KH.pdf
Keputusan Walikota,648/KEP. 762-DISTARCIP,2013,"PEMBENTUKAN TIM VERIFIKASI PENYERAHAN PRASARANA, SARANA DAN UTILITAS PERUMAHAN DAN PEMUKIMAN DI KOTA BANDUNG ",http://jdih.net/bandung/web/pdfperda/Kepwal_648_Kep. 762-DisTarCip_2013_Tim Verifikasi PSU.pdf
Keputusan Walikota,646/KE.1244-DISBUDPAR,2013,PENETAPAN KAWASAN DAN/ATAU BANGUNAN CAGAR BUDAYA GOLONGAN B DI KOTA BANDUNG.,http://jdih.net/bandung/web/pdfperda/KEPWAL_646Ke.1244-DisBudPar 2013 BCB B.zip
Keputusan Walikota,640/KEP.1013-BKBPM/2013 ,2013, TIM KOORDINASI PELAKSANAAN PROGRAM NASIONAL PEMBERDAYAAN MASYARAKAT MANDIRI PERKOTAAN DI KOTA BANDUNG ,http://jdih.net/bandung/web/pdfperda/Kepwal_640_Kep.1013-BKBPM_2013 TKPP dan surat 2013.pdf
Keputusan Walikota,640/KEP.1013-BKBPM,2013,TIM KOORDINASI PELAKSANAAN PROGRAM NASIONAL PEMBERDAYAAN MASYARAKAT MANDIRI PERKOTAAN DI KOTA BANDUNG,http://jdih.net/bandung/web/pdfperda/KEPWAL_640_Kep.1013-BKBPM_2013 TKPP dan surat 2013.pdf
Keputusan Walikota,624/KEP.1003-DISKAMTAM,2013, PENETAPAN PENERIMA DAN BESARAN INSENTIF PEMUNGUTAN RETRIBUSI DAERAH DI LINGKUNGAN DINAS PEMAKAMAN DAN PERTAMANAN KOTA BANDUNG TAHUN ANGGARAN 2013 ,http://jdih.net/bandung/web/pdfperda/Kepwal_ 624_Kep.pdf
Keputusan Walikota,593/KEP.452-DISTARCIP,2013,LOKASI PEMBANGUNAN RUANG TERBUKA HIJAU DAN TAMAN YANG TERLETAK DI KELURAHAN KEBON JERUK KECAMATAN ANDIR KOTA BANDUNG SELUAS Â± 4.511 MÂ²,http://jdih.net/bandung/web/pdfperda/Kepwal_593_Kep.452-Distarcip_2013- Penlok Pemb RTH di Andir _EDIT_.pdf
Keputusan Walikota,593/KEP.780-BAPPEDA,2013," PENETAPAN SUBJEK DAN OBJEK RENCANA SERTIFIKASI TANAH RUMAH TINGGAL MASYARAKAT DI KAWASAN PUNCLUT KELURAHAN CIUMBULEUIT KECAMATAN CIDADAP KOTA BANDUNG BERDASARKAN HASIL INVENTARISASI PENGUASAAN PEMILIKAN, PENGGUNAAN DAN PEMANFAATAN TANAH ",http://jdih.net/bandung/web/pdfperda/Kepwal_593_Kep.780-BAPPEDA_2013 Subjek Objek Sertifikasi Punclut.pdf
Keputusan Walikota,593/KEP.1060-DPKAD,2013, PANITIA SENSUS KEGIATAN PENYUSUNAN DAN PEMUTAHIRAN DATA BASE ASET ,http://jdih.net/bandung/web/pdfperda/KEPWAL_593_Kep.1060-DPKAD_2013_PANITIA SENSUS DATA BASE ASET TDK PAKE TABEL-ACC- 231213.pdf
Keputusan Walikota,556.322/KEP.917-DISBUDPAR,2013,TIM PEMBINA USAHA HIBURAN KOTA BANDUNG,http://jdih.net/bandung/web/pdfperda/SLN SK_556.322_Kep.917-DisBudPar_2014 TPUH 2014.pdf
Keputusan Walikota,556/KEP.021-DISBUDPAR,2013,PENDELEGASIAN SEBAGIAN WEWENANG WALIKOTA BANDUNG KEPADA KEPALA DINAS KEBUDAYAAN DAN PARIWISATA KOTA BANDUNG DALAM PENANDATANGANAN TANDA DAFTAR USAHA PARIWISATA ,http://jdih.net/bandung/web/pdfperda/Salinan Kepwal_556_Kep.021-DisBudPar_2013 _Pendelegasian DiSpar 2013_docx.pdf
Keputusan Walikota,556/KEP.399-DISBUDPAR,2013," TIM PENILAI SAPTA PESONA USAHA KEPARIWISATAAN UNTUK PENGUSAHA HOTEL, RESTORAN, RUMAH MAKAN, ANEKA WISATA DAN BIRO PERJALANAN WISATA TAHUN 2013 ",http://jdih.net/bandung/web/pdfperda/Kepwal_556_Kep.399-DisBudPar_2013- Sapta Pesona Usaha Kepariwisataan.pdf
Keputusan Walikota,551.2/KEP.591Â–DISHUB,2013, TARIF ANGKUTAN PENUMPANG UMUM DI KOTA BANDUNG ,http://jdih.net/bandung/web/pdfperda/Kepwal_551.2_Kep.591Â–DisHub_2013-TARIF ANGKOT-DISHUB.pdf
