lokasi,nama_komoditas,2016-11-01,2016-11-02,2016-11-03,2016-11-04,2016-11-05,2016-11-06,2016-11-07,2016-11-08,2016-11-09,2016-11-10,2016-11-11,2016-11-12,2016-11-13,2016-11-14,2016-11-15,2016-11-16,2016-11-17,2016-11-18,2016-11-19,2016-11-20,2016-11-21,2016-11-22,2016-11-23,2016-11-24,2016-11-25,2016-11-26,2016-11-27,2016-11-28,2016-11-29,2016-11-30
"Pasar Kosambi","Susu Kental Manis Merk Bendera",0,10000,0,10000,0,0,10000,0,10000,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,0,0
"Pasar Kosambi","Susu Kental Manis Merk Indomilk",0,9500,0,9500,0,0,9500,0,9500,9500,9500,0,0,9500,9500,9500,9500,9500,0,0,9500,9500,9500,9500,9500,0,0,9500,0,0
"Pasar Kosambi","Garam Beryodium Bata",0,1500,0,1500,0,0,1500,0,1500,1500,1500,0,0,1500,1500,1500,0,0,0,0,1500,1500,1500,1500,1500,0,0,1500,0,0
"Pasar Kosambi","Garam Beryodium Halus",0,6000,0,6000,0,0,6000,0,6000,6000,6000,0,0,6000,6000,6000,6000,6000,0,0,6000,6000,6000,6000,6000,0,0,6000,0,0
"Pasar Kosambi","Tepung Terigu Cakra Kembar",0,7500,0,7500,0,0,7500,0,7500,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,0,0
"Pasar Kosambi","Tepung Terigu Kunci",0,7000,0,7000,0,0,7000,0,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,0,7000,7000,7000,7000,0,0,7000,0,0
"Pasar Kosambi","Mie Instan",0,2300,0,2300,0,0,2300,0,0,2300,2300,0,0,2300,2300,2300,2300,2300,0,0,2300,0,2300,0,2300,0,0,2300,0,0
"Pasar Kosambi","Cabe Rawit Hijau",0,0,0,0,0,0,40000,0,40000,70000,70000,0,0,0,65000,65000,65000,65000,0,0,40000,40000,40000,40000,40000,0,0,40000,0,0
"Pasar Kosambi","Kacang Hijau",0,22000,0,22000,0,0,22000,0,22000,20000,20000,0,0,20000,20000,20000,20000,65000,0,0,20000,20000,20000,20000,20000,0,0,20000,0,0
"Pasar Kosambi","Susu Bubuk Dancow",0,34500,0,34500,0,0,34500,0,34500,34500,34500,0,0,34500,34500,34500,34500,34500,0,0,34500,34500,34500,34500,34500,0,0,34500,0,0
"Pasar Kosambi","Susu Bubuk Indomilk",0,30000,0,30000,0,0,30000,0,30000,30000,30000,0,0,30000,30000,30000,30000,30000,0,0,30000,30000,30000,30000,30000,0,0,30000,0,0
"Pasar Kosambi","Ikan Kembung",0,35000,0,35000,0,0,35000,0,35000,35000,35000,0,0,35000,0,35000,35000,35000,0,0,35000,35000,35000,35000,35000,0,0,0,0,0
