No,Nama Perusahaan,Alamat,Kelurahan,Tipe Perusahaan
115,PT NADA SUARA ABADI,Jl. Peta No 421,Sukaasih,Jasa Lainnya
116,PT VINA ASTEE INTER,Jl. Peta No.208,,Perdagangan Umum
117,PT PANCA TIGA ABADI,Jl. Paseban Kencana Timur B-3 No.28,,Perdagangan Umum
118,PT DANAWIAN BERSAMA SEJAHTERA,Jl. Sukarna,,Perdagangan Umum
119,PT MAXIMA INTI FINANCE,Ruko Kopo Plaza Blok D10-28 RT 04/10,Sukaasih,Jasa Lainnya
120,PT INDOMARET PRISMATAMA,Jl. Kopo No.262,,Perdagangan Umum
121,PT MITRA KHARISMA SEJATI,Jl. Peta No. 252D,Sukaasih,Perdagangan Umum
122,PT ISTANA TRI UTAMA,Jl. Peta Komp. Kopo Plaza Blok C-5,Sukaasih,Perdagangan Umum
123,PT WAHANA PARIWARA INDONESIA,Jl. Ters Pasirkoja No.192 RT 01/06,,Jasa Lainnya
124,PT KARYA LESTARI SENTOSA,Jl. Peta No.168 RT 03/04,,Perdagangan Umum
125,PT HADEWA ,Jl. Kopo No.302 RT 07/08,Kopo,Perdagangan Umum
126,PT JAINDO METAL INDUSTRI,Jl. Sutta No.227,,Perdagangan Umum
127,PT ICHINDO BAJATAMA,Jl. Ters Pasirkoja No.146 RT 12/06,,Jasa Lainnya
128,PT DUTA MAS MANDIRI,Jl. Peta Ruko Kopo Paza D.2,Sukaasih,Perdagangan Umum
129,PT CAHAYA SUKSES SARI PUTRA,Jl. Pagarsih No.130,,Perdagangan Umum
130,PT ONG UTAMA,Jl. Kopo No.200 RT 05/03,Babakan Asih,Perdagangan Umum
131,PT SINERGY ANUGRAH LESTARI,Jl. Pagarsih No.150 Blok A.2,,Perdagangan Umum
132,PT SAUDARA TUNGGAL KEMAJUAN,Jl. Paseban Kencana Brt B.6/76,,Jasa Lainnya
133,PT DAWANIAN BERSAMA SEJAHTERA,Jl. Sukamana No.10,Babakan Asih,Perdagangan Umum
134,PT GELORA FAJAR PERKASA,Jl. Ters Pasirkoja No.66,Babakan Tarogong,Perdagangan Umum
135,PT GUNA DHARMA KENCANA MANDIRI,Jl. Serambi Kencana B.4/59,Sukaasih,Perdagangan Umum
136,PT MITRA LESTARI PRA TISMAJAYA,Jl. Bbk Asih No.184/86,Jamika,Perdagangan Umum
137,PT SARANA AGRITAMA PERSADA,Jl. Peta Kopo Plaza C.15 RT 04/10,Sukaasih,Perdagangan Umum
138,PT ADE UNROUNRE IND-TBK,Jl. Peta No: 241 Gg. Festival Citylink,Sukaasih,Perdagangan Umum
139,PT MITRA AVODA SENTOSA,Jl. Bbk Kencana D.6 8/10,Sukaasih,Perdagangan Umum
140,PT TRI LAKSANA GUMILANG,Jl. Bbk Kencana D.1 8/10,Sukaasih,Perdagangan Umum
141,PT NARADA-DUTA,Jl. Sukamulya No.16 RT 05/12,Kopo,Perdagangan Umum
142,PT SANGGAR KARYA,Jl. Kopo No.336 A RT 5/5,Kopo,Jasa Lainnya
143,PT YOYO INDONESIA,Jl. Tritisan Kencana D7 No.57 RT 04/10,Sukaasih,Jasa Lainnya
144,PT KOBRI DAMAR,Jl. Peta 241,,Jasa Lainnya
145,PT SUMBER ALFARIA TRIJAYA TBK,Jl. Jamika No.99 RT 02/06,Babakan Tarogong,Perdagangan Umum
146,PT PEGADAIAN,Jl. Jamika No.102,Jamika,BUMN/BUMD
147,PT FORTUNA MITRA TAMA,Jl. Jamika No.99,Jamika,Konstruksi/Kontraktor
148,PT COLOMBUS MITRA,Jl. Ters Pasirkoja No.100,Jamika,Perdagangan Umum
149,PT INTERNAL TEKSTIL GROUP,Jl. Sukamulya No. 9-11 RT 08/08,Sukaasih,Perdagangan Umum
150,PT MITRA HIMA UTAMA SELARAS,Jl. K.W. Hasyim No.666/196B,,Perdagangan Umum
151,PT NUSANTARA SEJAHTERA RAYA,Jl. Peta No.241,Sukaasih,Jasa Lainnya
152,PT SINAR RAJAWALI MASWO,Jl. Bbk Tarogong No.139,,Jasa Lainnya
153,PT FOOD REVERAGES IND,Jl. Peta 241 Citylink,Sukaasih,Perdagangan Umum
154,PT BUDI AGUNG,Jl. Jamika No.125,,Perdagangan Umum
155,PT FAJAR MUNIRMUBA SEBAYU,Jl. Soekarno Hatta 225,,Perdagangan Umum
156,PT BONGONGROBER SAMA,Jl. Peta 291 A RT 04/07,Sukaasih,Jasa Lainnya
157,PT INDO BARU MAKMUR LESTARI,Jl. Peta 241 A RT 04/07,,Jasa Lainnya
158,PT EKO ATOR SUBUR SEJAHTERA,Jl. Peta 241 RT 04/07,Sukaasih,Jasa Lainnya
159,PT SURYA SUKMA SEJATI,Jl. Peta 241 RT 04 ,Sukaasih,Perdagangan Umum
160,PT MULYA MEGAH PRATAMA,Jl. Kopo Gg. Bbk Rahayu No.3 RT 03/06,Kopo,Perdagangan Umum
161,PT INDO MITRA SAFARI,Jl. Cina IV No.35A-/23B RT 14/04,Jamika,Jasa Lainnya
162,PT SURYA SAHABMI UTAMA,Jl. Kopo No.102,Babakan Asih,Perdagangan Umum
163,PT VINAA UTAMA INDONESIA,Jl. Peta 208 ,,Perdagangan Umum
164,PT SAUYUNAN ASRI SARANA,Jl. Jamika 88,Jamika,Jasa Lainnya
165,PT BANDUNG MAKMUR SEJAHTERA,Jl. Paseban Kencana No.26 RT 09/10,Sukaasih,Perdagangan Umum
166,PT BINA DANA NATA ARTA,Jl. Peta No.146 RT 01/03,Sukaasih,Perdagangan Umum
167,PT SUMBER ALFARIA TRIJAYA TBK,Jl. Pagarsih No.238 RT 04/01,Jamika,Perdagangan Umum
168,PT BANK JABAR BANTEN SYARIAH,Jl. Jamika No.99D RT 02/06,Babakan Tarogong,Bank
169,PT ROYAL PANGA PERSADA ANUGRAH,Gdg. Festival Citylink Lt. G Floor No.10 Jl. Peta No.241,Sukaasih,Restoran
170,PT JCO DONUT & COFFEE RESTAURANT,Gdg. Festival Citylink Lt. G Floor No.10 Jl. Peta No.241,Sukaasih,Restoran
171,PT TARKINDO SELAKSA ANUGRAH,Gdg. Festival Citylink Lt. G Floor No.10 Jl. Peta No.241,Sukaasih,Restoran
172,PT SLI MONSTER INDONESIA,Jl. Bbk Tarogong No.126 RT 08/04,,Jasa Lainnya
173,PT SURGIKA ALKESINDO,Jl. Peta No.188 A RT 10/05,Sukaasih,Perdagangan Umum
174,PT JATEC IND PRIMATAMA,Komp Kopo Plaza G-6. Jl. Peta RT 05/09,Sukaasih,Perdagangan Umum
175,PT EBSA MASA,Jl. Tanjung Laksana 105/197C,Babakan Tarogong,Jasa Lainnya
176,PT TRIFARNYA LABORATORIS,Jl. Soekarno Hatta 219 RT 02/11,Kopo,Jasa Lainnya
177,PT RADIANCE HOSPITALITY INDONESIA,Jl. Peta No.241 A RT 04/07,Sukaasih,Jasa Lainnya
178,PT PESONA NATASHA GEMILANG,Gdg. Festival Citylink Lt.2 No.5A. Jl. Peta No.241 RT 04/07,Sukaasih,Jasa Lainnya
179,PT ALANG ANUGRAH MANDIRI,Jl. Peta/Lingkar Selatan No.214 RT 08/05,Sukaasih,Jasa Lainnya
180,PT BANK TABUNG DAN NEGARA ,Jl. Peta No.256 RT 03/06,Sukaasih,Bank
181,PT MONICA LESTARI,Gdg. Festival Citylink GF Unit 16. Jl. Peta No.241,Sukaasih,Perdagangan Umum
182,PT MULIA ILA ABADI,Jl. Bbk Ciparay No. 243,Kopo,Jasa Lainnya
183,PT SLS LAHAR INDO,Jl. Peta Kopo Plaza C No.12A RT 09/10,,Perdagangan Umum
184,PT STEVINDO JAYA,Jl. Peta No.182 RT 10/05,Sukaasih,Perdagangan Umum
185,PT MAGNA FINANCE,Jl. Kopo No.246B RT 01/02,Sukaasih,Jasa Lainnya
186,PT GENESIS FAJAR HARAPAN,Jl. Pasir Kencana No.27 RT 06/10,Sukaasih,Jasa Lainnya
187,PT DAIKIN AC.INDO,Jl. Ters Pasirkoja No.109A RT 01/02,Babakan Tarogong,Perdagangan Umum
188,PT SAGITAY SOLOSINDO,Jl. Citarip I No.3,Kopo,Perdagangan Umum
189,PT DUTA INTI DAYA,Jl. Peta No.214 Gd. Festival Citylink LT I,Sukaasih,Perdagangan Umum
190,PT SINAR SUBUR MANDIRI,Jl. Peta No.235 RT 09/07,Sukaasih,Perdagangan Umum
191,PT BANK UOB INDONESIA,Jl. Jamika No.19 RT 06/02,Jamika,Bank
192,PT INTI SOKP TRITAMA,Jl. Bbk Ciparay Gg. Situ Gunting No.3,,Konstruksi/Kontraktor
193,PT BESI SUN TECHNOLOGY IND,Jl. Peta Ruko Kopo Plaza Blok B-22,Sukaasih,Jasa Lainnya
194,PT KOMPONEN INDUSTRI DAN TEKNOLOGI,Jl. Bbk Tarogong No.214,Babakan Tarogong,Jasa Lainnya
195,PT KARYA PRIMA ANUGERAH,Jl. Peta No.179 RT 03/04,Sukaasih,Jasa Lainnya
196,PT INSERINDO MEGAH SISTEM,Jl. Bbk Tarogong RT 04/05,Sukaasih,Perdagangan Umum
197,PT KARYA LESTARI SENTOSA,Jl. Peta No.168F RT 03/04,Sukaasih,Perdagangan Umum
198,PT PRIMA MODE INDONESIA,Jl. Peta 241 RT 04/07 ,,Perdagangan Umum
199,PT VALENCIA AGRINDO ABADI,Jl. Caringin NO.72A RT 04/02,Kopo,Perdagangan Umum
200,PT FAJAR MATARAM ,Jl. Peta No.241 Gdg. Festival Citylink Lt.3A-I,Sukaasih,Restoran
201,PT SOLID ANUGERAH JAYA,Jl. Sukamulya No.26 RT 06/12,Kopo,Jasa Lainnya
202,PT MICHAEL RENE INDONESIA,Jl. Sendi Kencana B13 RT 08/10,,Perdagangan Umum
203,PT MENARA WASIOR,Jl. Sukamulya No.179 RT 05/09,,Perdagangan Umum
204,PT. BUANA SEJAHTERA MULTIDANA,Jl. Tugu Kencana Blok A.I,,Jasa Lainnya
205,PT THE SERVICE LINE,Jl. Peta No.156 C RT 01/04 ,,Perdagangan Umum
206,PT. MEKAR MAKMUR ABADI,Jl. Babakan Tarogong No.250A,,Perdagangan Umum
207,PT ALAM BANDUNG GAS,Jl. Babakan Ciparay RT 08/07,,Perdagangan Umum
208,PT WIRAKY NUSA TELEKOMUNIKASI,Jl. Jend. Sudirman No.465 RT 02/02,,Jasa Lainnya
209,PT BERNAMA INFORMATIKA,Jl. Citarip Kulon VI No.5 RT 07/09,Kopo,Jasa Lainnya
210,PT INDO APPREL MACHINERY,Jl. Lingkar Kencana Komplek Kopo Plaza A29 RT 09/10,,Jasa Lainnya
211,PT DIORAMA INTER ASIA,Jl. Caringin No.22 RT 08/03,,Perdagangan Umum
212,PT CITRA NUSA INSAN CEMERLANG,Jl. Kopo No.248 RT 01/02,,Perdagangan Umum
213,PT HONGLI CAHAYA ABADI,Jl. Titian Kencana P6 RT 08/10,,Perdagangan Umum
214,PT MULTIKARYA PERSADA NUSANTARA,Jl. Buana Indah No.8 RT 06/02,,Jasa Lainnya
215,PT SUNLI SINAR SENTOSA,Jl. Titian Kencana D.6 RT 08/10,,Perdagangan Umum
216,PT GRIYA ADHIKARISMA NUSANTARA,Jl. Peta Ruko Kopo Plaza E.7,Sukaasih,Jasa Lainnya
217,PT SURYA ANUGRAH NUSANTARA,Jl. Babakan Tarogong No.385,,Perdagangan Umum
218,PT INTI TRIO BAKTI JAYA,Komp. Kopo Plaza Blok C-5,Sukaasih,Perdagangan Umum
219,PT BCA FINANCE ,Jl. Peta Kopo Plaza C-22 RT 09/10,,Jasa Lainnya
220,PT BINTANG NUSANTARA,Jl. Soekarno Hatta No.217,,Jasa Lainnya
221,PT ADVENTURE DUTA WISATA,Jl. Citarip Tengah III No.58 RT 02/09,Kopo,Jasa Lainnya
222,PT MUMTAZ PESONA WISATA,Jl. Soekarno Hatta No.217,Kopo,Jasa Lainnya
223,PT RICHEESE KULINER INDONESIA,Jl. Soekarno Hatta No.252,,Restoran
224,PT PINUS MERAH ABADI,Jl. Soekarno Hatta No.252,,Jasa Lainnya
225,PT CIRUYA ADI KHARISMA,Jl. Peta Ruko Kopo Plaza E.7 RT 09/10,Sukaasih,Perdagangan Umum
226,PT SURGANYA MOTOR INDONESIA,Jl. Peta Bbk Tarogong No. 118 RT 05/02,,Perdagangan Umum
227,PT TALANG MAS REZEKI,Jl. Citarip Kulon V No.18,Kopo,Perdagangan Umum
228,PT SAMYUAN MANUNGGAL PERKASA,Jl. Sendi Kencana C-5 RT 08/10,,Perdagangan Umum
229,PT BERKAT ABADI JAYA,Jl. Bbk Tarogong No.385,,Perdagangan Umum
230,PT API GAS NASIONAL,Jl. Peta No.252 RT 03/06,,Perdagangan Umum
231,PT ASTRA OTOPARTS TBK,Jl. Peta No.226 RT 06/05,,Perdagangan Umum
232,PT CITA GORDYN REJEKI,Jl. Kopo No.304,,Perdagangan Umum
233,PT LESTARI MITRAKARYA UTAMA,Jl. Peta No.223 RT 09/07,,Perdagangan Umum
234,PT MITSUBISHI JAYA ELEVATOR & ESKALATOR,Jl. Titian Kencana Blok E No.14 RT 08/10,,Konstruksi/Kontraktor
235,PT FAJAR MULYA PRATAMA,Jl. Madesa RT 07/12 ,Kopo,Perdagangan Umum
236,PT SINAR JERNIH SARANA,Jl. Sendi Kencana B.9 RT 08/10,,Jasa Lainnya
237,PT WIDYA BHAKTI NUSANTARA,Hotel Grand Pasundan Lt.1. Jl. Peta No.147/149 RT 03/02,Sukaasih,Jasa Lainnya
238,PT ANUGERAH MEGAH LESTARI TEXTILE,Jl. Ters Pasirkoja No.192 RT 02/06,,Perdagangan Umum
239,PT SAKURA,Jl. Bbk Tarogong No.218 RT 01/04,Babakan Asih,Perdagangan Umum
240,PT SHOUT NETWORK INDONESIA,Jl. Papan Kencana I No.41 RT 07/10 ,,Jasa Lainnya
241,PT SERENA NUSA SADAYA,Jl. Siti Mariah 288/81,,Perdagangan Umum
242,PT SINGA AGUNG INDONESIA,Jl. Kopo No.210 RT 06/03,Babakan Asih,Perdagangan Umum
243,PT MAKMUR REZEKI SENTOSA,Jl. Luna No.16/86 RT 08/04,,Jasa Lainnya
244,PT ASASTA CATRI PRATAMA,Jl. Ters Undak Kencana No.17 RT 02/10,,Perdagangan Umum
245,PT SINAR CAHAYA CEMERLANG,Jl. Titian Kencana Blok I-J RT 02/04,Babakan Asih,Perdagangan Umum
246,PT DAYA ANUGRAH MANDIRI,Jl. Pagarsih No.228A RT 04/01,,Jasa Lainnya
247,PT MINTAR CAHAYA UTAMA,Jl. Soekarno Hatta 258 RT 02/02,,Jasa Lainnya
248,PT MARUTO UTAMA INDONESIA,Jl. Bbk Tarogong No.52 RT 08/04,Babakan Asih,Jasa Lainnya
249,PT CAHAYA BENTENG MAS,Jl. Peta No.254 RT 03/06,,Jasa Lainnya
250,PT ANUGRAH GRAHA INTI PERKASA,Jl. Peta No.176 RT 09/04,,Jasa Lainnya
251,PT PRAYAMITRA PERDANA,Jl. Ters Pasirkoja 207B RT 01/06,,Perdagangan Umum
252,PT MAKTAL INDUSTRI PRATAMA,Jl. Jamika 140,,Jasa Lainnya
253,PT GLOBAL BHS INTERNASIONAL,Jl. Peta 241,,Jasa Lainnya
