No.,JENIS USAHA,ALAMAT,TAHUN BERDIRI ,JML KARYAWAN,AKTIF / TDK ,KET
86,Warung jajanan ,Jl.Haur Kuning RT.02/05,-,1 orang,Aktif,Kel.Kbn Pisang
87,Warung jajanan ,Jl.Haur Kuning RW.05,-,2 orang,Aktif,Kel.Kbn Pisang
88,Warung nasi,Jl.Haur Kuning RW.05,-,1 orang,Aktif,Kel.Kbn Pisang
89,Warung nasi,Jl.Naripan dalam no 05,-,1 orang,Aktif,Kel.Kbn Pisang
90,Toko serba ada,Jl.Cibunut RW,-,1 orang,Aktif,Kel.Kbn Pisang
91,Warung jajanan ,Jl.Cibunut RW 07,-,1 orang,Aktif,Kel.Kbn Pisang
92,Warung jajanan ,Jl.Cibunut RT.01 RW.07,-,1 orang,Aktif,Kel.Kbn Pisang
93,Warung jajanan ,Jl.Cibunut RT.02 RW.07,-,1 orang,Aktif,Kel.Kbn Pisang
94,Warung jajanan ,Jl.Cibunut RT.08 RW.07,-,1 orang,Aktif,Kel.Kbn Pisang
95,Warung jajanan ,Jl.Cibunut RT.09 RW.07,-,1 orang,Aktif,Kel.Kbn Pisang
96,Warung jajanan ,Jl.Cibunut RT.09 RW.07,-,1 orang,Aktif,Kel.Kbn Pisang
97,Warung jajanan ,Jl.Cibunut RT.09 RW.07,-,1 orang,Aktif,Kel.Kbn Pisang
98,Warung jajanan ,Jl.Cibunut RT.09 RW.07,-,1 orang,Aktif,Kel.Kbn Pisang
99,Warung jajanan ,Jl.Cibunut RT.09 RW.07,-,1 orang,Aktif,Kel.Kbn Pisang
100,Warung jajanan ,Jl.Cibunut RT.09 RW.07,-,1 orang,Aktif,Kel.Kbn Pisang
101,Warung jajanan ,Jl.Cibunut RT.06 RW.07,-,1 orang,Aktif,Kel.Kbn Pisang
102,Warung jajanan ,Jl.Cibunut RT.06 RW.07,-,1 orang,Aktif,Kel.Kbn Pisang
103,Warung jajanan ,Jl.Cibunut RT.03 RW.07,-,1 orang,Aktif,Kel.Kbn Pisang
104,Warung jajanan ,Jl.Cibunut RT.07 RW.07,-,1 orang,Aktif,Kel.Kbn Pisang
105,Warung jajanan ,Jl.Cibunut RT.07 RW.07,-,1 orang,Aktif,Kel.Kbn Pisang
106,Warung jajanan ,Jl.Cibunut RT.07 RW.07,-,1 orang,Aktif,Kel.Kbn Pisang
107,Warung jajanan ,Jl.Cibunut RT.06 RW.07,-,1 orang,Aktif,Kel.Kbn Pisang
108,Warung jajanan ,Jl.Cibunut RT.05 RW.07,-,1 orang,Aktif,Kel.Kbn Pisang
109,Warung nasi,Jl.Cibunut RT.08 RW.07,-,1 orang,Aktif,Kel.Kbn Pisang
110,Warung jajanan ,Jl.Cibunut RT.03 RW.07,-,1 orang,Aktif,Kel.Kbn Pisang
111,Warung sembako,Jl.Cibunut RT.03 RW.07,-,1 orang,Aktif,Kel.Kbn Pisang
112,Warung nasi,Jl.Cibunut RT.09 RW.07,-,2 orang,Aktif,Kel.Kbn Pisang
113,Warung sembako,Jl.Cibunut RT.09 RW.07,-,1 orang,Aktif,Kel.Kbn Pisang
114,Warung jajanan ,Jl.Cibunut RT.05 RW.07,-,1 orang,Aktif,Kel.Kbn Pisang
115,Warung lotek,Jl.Cibunut RT.09 RW.07,-,1 orang,Aktif,Kel.Kbn Pisang
116,Warung jajanan ,Jl.Cibunut RT.06 RW.07,-,1 orang,Aktif,Kel.Kbn Pisang
117,Warung jajanan ,Jl.Cibunut RT.06 RW.07,-,1 orang,Aktif,Kel.Kbn Pisang
118,Warung jajanan ,Jl.Cibunut RT.05 RW.07,-,1 orang,Aktif,Kel.Kbn Pisang
119,Warung masakan,Jl.Cibunut RT.05 RW.07,-,1 orang,Aktif,Kel.Kbn Pisang
120,Warung jajanan ,Jl.Kebon Pisang RT 01 RW.10,-,1 orang,Aktif,Kel.Kbn Pisang
121,Warung jajanan ,Jl.Kebon Pisang RT 01 RW.10,-,1 orang,Aktif,Kel.Kbn Pisang
122,Warung jajanan ,Jl.Kebon Pisang RT 01 RW.10,-,1 orang,Aktif,Kel.Kbn Pisang
123,Warung jajanan ,Jl.Kebon Pisang RT 01 RW.10,-,1 orang,Aktif,Kel.Kbn Pisang
124,Warung jajanan ,Jl.Kebon Pisang RT 02 RW.10,-,1 orang,Aktif,Kel.Kbn Pisang
125,Warung jajanan ,Jl.Kebon Pisang RT 02 RW.10,-,1 orang,Aktif,Kel.Kbn Pisang
126,Warung sembako ,Jl.Kebon Pisang RT 02 RW.10,-,1 orang,Aktif,Kel.Kbn Pisang
127,Warung jajanan ,Jl.Kebon Pisang RT 03 RW.10,-,1 orang,Aktif,Kel.Kbn Pisang
128,Warung lotek,Jl.Kebon Pisang RT 03 RW.10,-,1 orang,Aktif,Kel.Kbn Pisang
129,Warung Asin,Jl.Kebon Pisang RT 03 RW.10,-,1 orang,Aktif,Kel.Kbn Pisang
130,Warung nasi,Jl.Kebon Pisang RT 03 RW.10,-,1 orang,Aktif,Kel.Kbn Pisang
131,Warung nasi,Jl.Kebon Pisang RT 03 RW.10,-,1 orang,Aktif,Kel.Kbn Pisang
132,Warung jajanan ,Jl.Kebon Pisang RT 05 RW.10,-,1 orang,Aktif,Kel.Kbn Pisang
133,Warung jajanan ,Jl.Kebon Pisang RT 06 RW.10,-,1 orang,Aktif,Kel.Kbn Pisang
134,Warung nasi,Jl.Kebon Pisang RT 06 RW.10,-,1 orang,Aktif,Kel.Kbn Pisang
135,Warung jajanan ,Jl.Kebon Pisang RT 06 RW.10,-,1 orang,Aktif,Kel.Kbn Pisang
136,Warung jajanan ,Jl.Kebon Pisang RT 06 RW.10,-,1 orang,Aktif,Kel.Kbn Pisang
137,Warung jajanan ,Jl.Kebon Pisang RT 07 RW.10,-,1 orang,Aktif,Kel.Kbn Pisang
138,Warung jajanan ,Jl.Kebon Pisang RT 07 RW.10,-,1 orang,Aktif,Kel.Kbn Pisang
139,Warung jajanan ,Jl.Kebon Pisang RT 07 RW.10,-,1 orang,Aktif,Kel.Kbn Pisang
140,Warung jajanan ,Jl.Kebon Pisang RT 09 RW.10,-,1 orang,Aktif,Kel.Kbn Pisang
141,Warung jajanan ,Jl.Kebon Pisang RT 09 RW.10,-,1 orang,Aktif,Kel.Kbn Pisang
142,Warung jajanan ,Jl.Kebon Pisang RT 10 RW.10,-,1 orang,Aktif,Kel.Kbn Pisang
143,Warung nasi,Jl.Kebon Pisang RT 10 RW.10,-,1 orang,Aktif,Kel.Kbn Pisang
144,Warung es campur,Jl.Kebon Pisang RT 10 RW.10,-,1 orang,Aktif,Kel.Kbn Pisang
145,Warung es campur,Jl.Kebon Pisang RT 10 RW.10,-,1 orang,Aktif,Kel.Kbn Pisang
146,Warung jajanan ,Jl.Kebon Pisang RT 10 RW.10,-,1 orang,Aktif,Kel.Kbn Pisang
147,Warung nasi,Jl.Kebon Pisang RT 10 RW.10,-,1 orang,Aktif,Kel.Kbn Pisang
148,Warung sembako ,Jl.Kebon Pisang RT 10 RW.10,-,1 orang,Aktif,Kel.Kbn Pisang
149,Warung sembako ,Jl.Kebon Pisang RT 10 RW.10,-,1 orang,Aktif,Kel.Kbn Pisang
150,Warung kelontongan,Jl.Kebon Pisang RT 10 RW.10,-,1 orang,Aktif,Kel.Kbn Pisang
151,Warung kue basah,Jl.Kebon Pisang RT 10 RW.10,-,1 orang,Aktif,Kel.Kbn Pisang
152,Warung jajanan ,Jl.Alani RT.01/RW.12,-,1 orang,Aktif,Kel.Kbn Pisang
153,Warung jajanan ,Jl.Alani RT.01/RW.12,-,1 orang,Aktif,Kel.Kbn Pisang
154,Warung jajanan ,Jl.Alani RT.01/RW.12,-,1 orang,Aktif,Kel.Kbn Pisang
155,Warung jajanan ,Jl.Alani RT.02/RW.12,-,1 orang,Aktif,Kel.Kbn Pisang
156,Warung sembako ,Jl.Alani RT.02/RW.12,-,1 orang,Aktif,Kel.Kbn Pisang
157,Warung jajanan ,Jl.Alani RT.03/RW.12,-,1 orang,Aktif,Kel.Kbn Pisang
158,Warung jajanan ,Jl.Alani RT.03/RW.12,-,1 orang,Aktif,Kel.Kbn Pisang
159,Warung jajanan ,Jl.Alani RT.04/RW.12,-,1 orang,Aktif,Kel.Kbn Pisang
160,Warung roti,Jl.Alani RT.04/RW.12,-,40 orang,Aktif,Kel.Kbn Pisang
161,Warung roti,Jl.Alani RT.04/RW.12,-,20 orang,Aktif,Kel.Kbn Pisang
162,Warung jajanan ,Jl.Alani RT.05/RW.12,-,1 orang,Aktif,Kel.Kbn Pisang
163,Warung jajanan ,Jl.Alani RT.05/RW.12,-,1 orang,Aktif,Kel.Kbn Pisang
164,Warung jajanan ,Jl.Alani RT.07/RW.12,-,1 orang,Aktif,Kel.Kbn Pisang
165,Warung jajanan/sembako,Gg.Surareja RT.01 RW.09,-,1 orang,Aktif,Kel.Kbn Pisang
166,Warung jajanan/sembako,Gg.Surareja RT.02 RW.09,-,1 orang,Aktif,Kel.Kbn Pisang
167,Warung jajanan ,Gg.Surareja RT.01 RW.09,-,1 orang,Aktif,Kel.Kbn Pisang
168,Warung jajanan ,Gg.Surareja RT.03 RW.09,-,1 orang,Aktif,Kel.Kbn Pisang
169,Warung jajanan ,Gg.Surareja RT.03 RW.09,-,1 orang,Aktif,Kel.Kbn Pisang
170,Warung jajanan ,Gg.Surareja RT.04 RW.09,-,1 orang,Aktif,Kel.Kbn Pisang
171,Warung jajanan ,Gg.Surareja RT.04 RW.09,-,1 orang,Aktif,Kel.Kbn Pisang
172,Warung jajanan ,Gg.Surareja RT.05 RW.09,-,1 orang,Aktif,Kel.Kbn Pisang
173,Warung jajanan ,Gg.Surareja RT.06 RW.09,-,1 orang,Aktif,Kel.Kbn Pisang
174,Warung jajanan ,Gg.Surareja RT.06 RW.09,-,1 orang,Aktif,Kel.Kbn Pisang
175,Warung jajanan/nasi ,Gg.Surareja RT.06 RW.09,-,1 orang,Aktif,Kel.Kbn Pisang
176,Warung jajanan ,Gg.Surareja RT.06 RW.09,-,1 orang,Aktif,Kel.Kbn Pisang
177,Warung mie baso,Gg.Surareja RT.05 RW.09,-,1 orang,Aktif,Kel.Kbn Pisang
178,Warung jajanan ,Gg.Surareja RT.07 RW.09,-,1 orang,Aktif,Kel.Kbn Pisang
179,Warung jajanan/nasi ,Gg.Surareja RT.07 RW.09,-,1 orang,Aktif,Kel.Kbn Pisang
180,Warung nasi,Gg.Surareja RT.08 RW.09,-,1 orang,Aktif,Kel.Kbn Pisang
181,Warung sembako ,Gg.Surareja RT.09 RW.09,-,1 orang,Aktif,Kel.Kbn Pisang
182,Warung jajanan ,Gg.Surareja RT.09 RW.09,-,2 orang,Aktif,Kel.Kbn Pisang
183,Warung sembako,Gg.Surareja RT.09 RW.09,-,1 orang,Aktif,Kel.Kbn Pisang
184,Warung jajanan ,Gg.Surareja RT.09 RW.09,-,1 orang,Aktif,Kel.Kbn Pisang
185,Warung jajanan ,Gg.Koper RT.02/RW11,-,1 orang,Aktif,Kel.Kbn Pisang
186,Warung jajanan ,Gg.Koper RT.02/RW11,-,1 orang,Aktif,Kel.Kbn Pisang
187,Warung jajanan ,Gg.Koper RT.02/RW11,-,1 orang,Aktif,Kel.Kbn Pisang
188,Warung jajanan ,Gg.Koper RT.02/RW11,-,1 orang,Aktif,Kel.Kbn Pisang
189,Warung jajanan ,Gg.Koper RT.02/RW11,-,1 orang,Aktif,Kel.Kbn Pisang
190,Warung jajanan ,Gg.Koper RT.02/RW11,-,1 orang,Aktif,Kel.Kbn Pisang
191,Warung jajanan ,Jl.Cibunut RT.03/RW11,-,1 orang,Aktif,Kel.Kbn Pisang
192,Warung jajanan ,Jl.Cibunut RT.03/RW11,-,1 orang,Aktif,Kel.Kbn Pisang
193,Warung jajanan ,Jl.Cibunut RT.03/RW11,-,1 orang,Aktif,Kel.Kbn Pisang
194,Warung jajanan ,Jl.Cibunut RT.03/RW11,-,1 orang,Aktif,Kel.Kbn Pisang
195,Warung jajanan ,Jl.Cibunut RT.03/RW11,-,1 orang,Aktif,Kel.Kbn Pisang
196,Warung jajanan ,Jl.Cibunut RT.03/RW11,-,1 orang,Aktif,Kel.Kbn Pisang
197,Warung jajanan ,Jl.Cibunut RT.04/RW11,-,1 orang,Aktif,Kel.Kbn Pisang
198,Warung jajanan ,Jl.Cibunut RT.04/RW11,-,1 orang,Aktif,Kel.Kbn Pisang
199,Warung jajanan ,Jl.Cibunut RT.05/RW11,-,1 orang,Aktif,Kel.Kbn Pisang
200,Warung jajanan ,Jl.Cibunut RT.06/RW11,-,1 orang,Aktif,Kel.Kbn Pisang
201,Warung jajanan ,Jl.Cibunut RT.06/RW11,-,1 orang,Aktif,Kel.Kbn Pisang
202,Warung nasi kuning/lotek,Jl.Baranang siang RT.01/RW.06,-,1 orang,Aktif,Kel.Kbn Pisang
203,Warung pecel lele,Jl.Baranang siang RT.01/RW.06,-,1 orang,Aktif,Kel.Kbn Pisang
204,Warung nasi ,Jl.Baranang siang RT.01/RW.06,-,1 orang,Aktif,Kel.Kbn Pisang
205,Warung jajanan ,Jl.Baranang siang RT.01/RW.06,-,1 orang,Aktif,Kel.Kbn Pisang
206,Warung jajanan ,Jl.Baranang siang RT.01/RW.06,-,1 orang,Aktif,Kel.Kbn Pisang
207,Warung jajanan ,Jl.Baranang siang RT.01/RW.06,-,1 orang,Aktif,Kel.Kbn Pisang
208,Warung nasi,Jl.Baranang siang RT.02/RW.06,-,1 orang,Aktif,Kel.Kbn Pisang
209,Warung jajanan ,Jl.Baranang siang RT.02/RW.06,-,1 orang,Aktif,Kel.Kbn Pisang
210,Warung es campur/kelapa,Jl.Baranang siang RT.02/RW.06,-,1 orang,Aktif,Kel.Kbn Pisang
211,Warung jajanan ,Jl.Baranang siang RT.04/RW.06,-,1 orang,Aktif,Kel.Kbn Pisang
212,Warung jajanan ,Jl.Baranang siang RT.04/RW.06,-,1 orang,Aktif,Kel.Kbn Pisang
213,Warung jajanan ,Jl.Baranang siang RT.04/RW.06,-,1 orang,Aktif,Kel.Kbn Pisang
214,Warung jajanan ,Jl.Baranang siang RT.04/RW.06,-,1 orang,Aktif,Kel.Kbn Pisang
215,Warung goreng pisang,Jl.Baranang siang RT.04/RW.06,-,1 orang,Aktif,Kel.Kbn Pisang
216,Warung jajanan ,Jl.Baranang siang RT.05/RW.06,-,2 orang,Aktif,Kel.Kbn Pisang
217,Warung jajanan ,Jl.Baranang siang RT.05/RW.06,-,1 orang,Aktif,Kel.Kbn Pisang
218,Warung jajanan ,Jl.Baranang siang RT.06/RW.06,-,1 orang,Aktif,Kel.Kbn Pisang
219,Warung jajanan ,Jl.Baranang siang RT.07/RW.06,-,1 orang,Aktif,Kel.Kbn Pisang
220,Warung jajanan ,Jl.Baranang siang RT.07/RW.06,-,1 orang,Aktif,Kel.Kbn Pisang
221,Warung jajanan ,Jl.cibunut utara RT.08/RW.06,-,1 orang,Aktif,Kel.Kbn Pisang
222,Warung jajanan ,Jl.cibunut utara RT.09/RW.06,-,1 orang,Aktif,Kel.Kbn Pisang
223,Warung jajanan ,Jl.cibunut utara RT.07/RW.06,-,1 orang,Aktif,Kel.Kbn Pisang
224,Warung jajanan ,Jl.cibunut utara RT.10/RW.06,-,1 orang,Aktif,Kel.Kbn Pisang
225,Warung jajanan ,Jl.cibunut utara RT.10/RW.06,-,1 orang,Aktif,Kel.Kbn Pisang
226,Warung jajanan ,Jl.cibunut utara RT.11/RW.06,-,1 orang,Aktif,Kel.Kbn Pisang
227,Warung jajanan ,Jl.cibunut utara RT.11/RW.06,-,5 orang,Aktif,Kel.Kbn Pisang
228,Warung sembako,Jl.cibunut utara RT.11/RW.06,-,4 orang,Aktif,Kel.Kbn Pisang
229,Warung sembako,Jl.saad No.RW.04,-,4 orang,Aktif,Kel.Kbn Pisang
230,Rumah makan sunda,Jl.Veteran RW.03,-,6 orang,Aktif,Kel.Kbn Pisang
231,Rumah makan kingsly,Jl.Natuna RW 03,-,2 orang,Aktif,Kel.Kbn Pisang
232,Rumah makan Hanjaya,Jl.Natuna RW 03,-,1 orang,Aktif,Kel.Kbn Pisang
233,Warung nasi,Jl.Alani RT.03/RW.12,-,1 orang,Aktif,Kel.Kbn Pisang
234,jualan the botol,Jl.Alani RT.01/RW.12,-,1 orang,Aktif,Kel.Kbn Pisang
235,Warung nasi uduk,Jl.Alani RT.01/RW.12,-,1 orang,Aktif,Kel.Kbn Pisang
236,Warung gorengan/katering,Jl.Alani RT.01/RW.12,-,2 orang,Aktif,Kel.Kbn Pisang
237,lotek,Jl.Alani RT.01/RW.12,-,3 orang,Aktif,Kel.Kbn Pisang
238,pakaian anak ,Jl.Alani RT.02/RW.12,-,4 orang,Aktif,Kel.Kbn Pisang
239,Konpeksi baju anak,Jl.Kosambi RT.07/RW.12,-,2 orang,Aktif,Kel.Kbn Pisang
240,konpeksi jaket,Jl.Kosambi RT.06/RW.12,-,3 orang,Aktif,Kel.Kbn Pisang
241,Warung nasi,Jl.Kosambi RT.07/RW.12,-,2 orang,Aktif,Kel.Kbn Pisang
242,jual alat rumah tangga,Jl.Ahmad Yani RT.07/RW.12,-,4 orang,Aktif,Kel.Kbn Pisang
243,Warung sembako,Jl.Kosambi RT.07/RW.12,-,3 orang,Aktif,Kel.Kbn Pisang
244,Warung nasi,Jl.Alani RT.01/RW.12,-,1 orang,Aktif,Kel.Kbn Pisang
245,Warung nasi,Jl.Veteran RT.02RW.03,-,2 orang,Aktif,Kel.Kbn Pisang
246,Warung jajanan ,Jl.cibunut RT.02/RW.07,-,2 orang,Aktif,Kel.Kbn Pisang
247,Warung sayuran,Jl.Kosambi RT.06/RW.12,-,2 orang,Aktif,Kel.Kbn Pisang
248,Warung nasi,Jl.cibunut RT.09/RW.07,-,2 orang,Aktif,Kel.Kbn Pisang
249,Warung sembako,Jl.Buton Dalam RT 01/RW 03,-,1 orang,Aktif,Kel.Kbn Pisang
250,Warnet,Jl.Baranag siang RT>07/RW.11,-,3 orang,Aktif,Kel.Kbn Pisang
251,Warung jajanan ,Gg.Parta RT.02/RW.06,-,2 orang,Aktif,Kel.Kbn Pisang
252,bengkel,Jl.Sunda RT.09/RW.07,-,1 orang,Aktif,Kel.Kbn Pisang
253,Warung keringan ,Gg.Surareja RT.03/RW.09,-,1 orang,Aktif,Kel.Kbn Pisang
254,Warung es kelapa muda,Jl.Baranag siang RT.07/RW.06,-,2 orang,Aktif,Kel.Kbn Pisang
255,Warung gorengan ,Jl.Baranag siang RT.01/RW.06,-,1 orang,Aktif,Kel.Kbn Pisang
256,Warung sembako,Jl.Baranag siang RT.01/RW.10,-,1 orang,Aktif,Kel.Kbn Pisang
257,jual nasi goreng,Jl.Kebon Pisang RT.02/RW.10,-,1 orang,Aktif,Kel.Kbn Pisang
258,jual alat jahit,Jl.Kebon Pisang RT.01/RW.10,-,1 orang,Aktif,Kel.Kbn Pisang
259,jual pakaian jadi,Gg.Surareja RT.07/RW.09,-,2 orang,Aktif,Kel.Kbn Pisang
260,Warung jajanan ,Jl.Baranag siang RT.02/RW.10,-,2 orang,Aktif,Kel.Kbn Pisang
261,Warung sembako,Jl.Kebon Pisang RT.06/RW.10,-,2 orang,Aktif,Kel.Kbn Pisang
262,Warung gorengan ,Jl.Kebon Pisang RT.02/RW.10,-,5 orang,Aktif,Kel.Kbn Pisang
263,Warung Nasi,Jl.Alkateri No.276/13 d RW.01,1998,2 orang,Aktif,Kel.Braga
