nomor_izin,bulan_pengajuan,tahun_pengajuan,jenis_izin,nama_perusahaan,alamat_perusahaan,tgl_akhir,longitude,latitude
0002/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,CHARLIE,BABAKAN TAROGONG 157,08/06/2018,107.588739,-6.929110464
0002/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,PELANGI,BOJONG MANJAH CISARANTEN KIDUL 137,01/12/2018,107.6191228,-6.9174639
0003/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,PT. INDOMARCO PRISMATAMA ( INDOMARET ),CIUMBULEUIT 153,01/03/2019,107.612654,-6.8586297
0003/IG/IX/2015/BPPT,September,2015,Izin Gangguan,CV. ALQUEBY SUKSES MANDIRI,TERUSAN JAKARTA UTARA 7,01/09/2018,107.6515574,-6.9106345
0003/IG/IX/2015/BPPT,September,2015,Izin Gangguan,ANEKA BED SHEET CENTER,DULATIP 68-M,01/09/2018,107.6022353,-6.917781405
0003/IG/IX/2015/BPPT,September,2015,Izin Gangguan,PT. RAJA PAKET LEBARAN,TERUSAN SUKAMULYA 5,01/09/2018,107.5880361,-6.8886277
0003/IG/V/2015/BPPT,Mei,2015,Izin Gangguan,PT. LAWE ADYAPRIMA SM,RUMAH SAKIT 112,28/05/2018,107.6960684,-6.920766298
0003/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,KOPERASI MEKAR SARI,PUSPA BARAT I 16,01/12/2018,107.6659156,-6.9377502
0004/IG/IX/2015/BPPT,September,2015,Izin Gangguan,PT. ANI LISMAWATI MANDIRI,RUMAH SAKIT 160,02/09/2018,107.6928505,-6.9341432
0004/IG/IX/2015/BPPT,September,2015,Izin Gangguan,PT. KAGUM CAHAYA TERANG,BELITUNG 10,01/09/2018,107.6167344,-6.9115339
0004/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,CV. AGUNG RAHAYU MART,ADI FLORA RAYA 8-9 RD,01/12/2018,107.6934494,-6.963986647
0005/IG/IX/2015/BPPT,September,2015,Izin Gangguan,PT. QSINDO SKALA INTIPERSADA,SOEKARNO HATTA RUKO PUTRACO GADING REGENCY BLOK B-II NO. 21,01/09/2018,107.6670791,6.9391314
0005/IG/IX/2015/BPPT,September,2015,Izin Gangguan,PT. GLOBAL MERX,KP. DANGDEUR -,02/09/2018,107.586969,-6.8866542
0005/IG/IX/2015/BPPT,September,2015,Izin Gangguan,MAKLUN KERAH,BABAKAN JERUK III D-26,02/09/2018,107.5843694,-6.8911396
0005/IG/VIII/2015/BPPT,Agustus,2015,Izin Gangguan,"PT. ALFARIA TRIJAYA, TBK",TERUSAN JAKARTA 4,05/08/2018,107.6447974,-6.9136631
0005/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,WIRA ELEKTRIK,BUAH BATU 36,01/12/2018,107.6243944,-6.938629425
0005/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,CV. AZHAR BROTHER,SANTOSA ASIH III 27,01/12/2018,107.6734319,-6.946757
0006/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,CAHYANA KARYA,ARUNA 5,01/03/2019,107.5890208,-6.9099815
0006/IG/IX/2015/BPPT,September,2015,Izin Gangguan,CV. PROSPECT,CIMINDI RAYA 10,01/09/2018,107.556819,-6.890866897
0006/IG/IX/2015/BPPT,September,2015,Izin Gangguan,CV. SETIA LAKSANA,SATRIA RAYA II 15,02/09/2018,107.5737442,-6.9469585
0006/IG/IX/2015/BPPT,September,2015,Izin Gangguan,CV. INDO SAKTI,DR. SETIABUDHI 390,02/09/2018,107.5985911,-6.8478195
0006/IG/VIII/2015/BPPT,Agustus,2015,Izin Gangguan,PT. SUMBER ALFARIA TRIJAYA,LODAYA 3,05/08/2018,107.6223201,-6.930959062
0007/IG/IX/2015/BPPT,September,2015,Izin Gangguan,CV. GRAHA MELATI,CIKADUT 251,02/09/2018,107.6714561,-6.897738529
0007/IG/IX/2015/BPPT,September,2015,Izin Gangguan,KPDK 12 JULI,SOEKARNO HATTA 705,01/09/2018,107.6607888,-6.939553712
0007/IG/IX/2015/BPPT,September,2015,Izin Gangguan,PT. SRIKANDI MULTI UTAMA,MARGAHAYU RAYA BARAT 27 BLOK G-II,03/09/2018,107.6572106,-6.948548877
0007/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,PT. YASAKO,MOCH. TOHA 392,01/12/2018,107.6126687,-6.957882249
0008/IG/IX/2015/BPPT,September,2015,Izin Gangguan,PT. MAKTAL INDUSTRI PRATAMA,JAMIKA 47,01/09/2018,107.586292,-6.9212308
0008/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,JAYA KARPET,H. KURDI I 72,01/12/2018,107.6191228,-6.9174639
0009/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,"PT. BANK PAN INDONESIA, TBK.",ASIA AFRIKA 166-168-170,01/03/2019,107.6162287,-6.922355226
0009/IG/IX/2015/BPPT,September,2015,Izin Gangguan,BARCELONA,AHMAD YANI 69,02/09/2018,107.6201258,-6.920777
0009/IG/IX/2015/BPPT,September,2015,Izin Gangguan,CV. SINAR GUNA MAKMUR,KOMP. BIZPARK COMMERCIAL ESTATE BLOK B.02 NO.06,01/09/2018,107.5893662,-6.9543819
0010/IG/IX/2015/BPPT,September,2015,Izin Gangguan,JET WIN,DALEM KAUM 18,02/09/2018,107.6077002,-6.9225246
0010/IG/IX/2015/BPPT,September,2015,Izin Gangguan,"CPEARLS""",PASIRKALIKI 121-123 ISTANA PLAZA LT TF-CT7,02/09/2018,107.5976348,-6.9070494
0010/IG/VII/2015/BPPT,Juli,2015,Izin Gangguan,PT. DAYA MUDA AGUNG,HOLIS 294\/12A,08/07/2018,107.5740906,-6.929376472
0010/IG/X/2015/BPPT,Oktober,2015,Izin Gangguan,PT. KINTARA CIPTA PERSADA,KOMP.BUAH BATU REGENCY BLOK 63 12-A,01/10/2018,107.6242938,-6.938642072
0010/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,KOPEG. PT. PLN ( PERSERO ) CABANG BANDUNG,SOEKARNO HATTA 441-A,01/12/2018,107.6099818,-6.948520428
0011/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,"PT. BANK PAN INDONESIA, TBK.",SOEKARNO HATTA METRO INDAH MALL KOMP MTC D-17,01/03/2019,107.6584882,-6.941790888
0011/IG/IX/2015/BPPT,September,2015,Izin Gangguan,CV. MANDALA SENTOSA,BATU NUNGGAL INDAH I 8,03/09/2018,107.6191228,-6.9174639
0011/IG/IX/2015/BPPT,September,2015,Izin Gangguan,NAGA MAS,GG. SUNIARAJA 35,02/09/2018,107.6055424,-6.9172139
0011/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,PT. FAST FOOD INDONESIA. TBK \ KENTUCKY FRIED CHICKEN,KOPO 599,18/06/2018,107.5875009,-6.9406515
0011/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,PT. GARDENA TRANS ARTA UTAMA,SOEKARNO HATTA 459-A,01/12/2018,107.6198577,6.948823953
0012/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,PT. DINASTY ADI RAKA,PALEDANG 177,02/03/2019,107.5679093,-6.903623228
0012/IG/IX/2015/BPPT,September,2015,Izin Gangguan,LUCKY BANDUNG,KEBON JATI 88 BLOK E-2,03/09/2018,107.5973728,-6.9163185
0012/IG/IX/2015/BPPT,September,2015,Izin Gangguan,CV. SETIA LAKSANA,PAJAJARAN 126,02/09/2018,107.5880847,-6.9068616
0012/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,PT. INDOMARCO PRISMATAMA,JEND.AHMAD YANI 723,01/12/2018,107.6481682,-6.8984464
0013/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,CV. LINTAS LODAYA LOGISTIC,SOEKARNO HATTA BLOK J-32 METRO TRADE CENTRE,02/03/2019,107.6586981,-6.942036589
0013/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,"PT. BANK PAN INDONESIA, TBK.",JEND.AHMAD YANI 3A-7 KOMP IBCC BLOK A-1,01/03/2019,107.6331454,-6.914316597
0013/IG/IX/2015/BPPT,September,2015,Izin Gangguan,PT. APINDO TRAINING CENTER BANDUNG,SOEKARNO HATTA 157,02/09/2018,107.5808065,-6.9388967
0013/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,APOTEK METEOR FARMA,METEOR TENGAH IV 124,19/06/2018,107.6191228,-6.9174639
0013/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,ELIZABETH SKINCARE,BKR 17,01/12/2018,107.6207282,-6.9380544
0013/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,PT. MARYNIS BERKAH,TIKUKUR 41,02/12/2018,107.6191228,-6.9174639
0014/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,PT. WISMA SANDANG JAYA TEXTILE MILLS (WISTEX),"RAYA UJUNGBERUNG KM 15, 5",02/03/2019,107.7034112,-6.9145811
0014/IG/IX/2015/BPPT,September,2015,Izin Gangguan,PT. EKA  VISI  INDONESIA,ASIA AFRIKA 133 - 137 WISMA MONEX LT.9,03/09/2018,107.6125288,-6.921666299
0014/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,PT.GRIYA BANGUN CIPTA,PARAKAN WAAS 6,22/06/2018,107.628189,-6.950990777
0015/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,SISTER BUTIK,WIBISANA 24,02/03/2019,107.5893347,-6.9082058
0015/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,"PT. BANK PAN INDONESIA, TBK.",BABAKAN SARI I -,01/03/2019,107.6445716,-6.9217082
0015/IG/IX/2015/BPPT,September,2015,Izin Gangguan,CV. TIGASINDO CEMERLANG,ASTANA ANYAR 338-A,03/09/2018,107.6176622,-6.943788791
0015/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,PT.SIL NUSANTARA,HASAN SAPUTRA IV 22,19/06/2018,107.6336648,-6.935927241
0015/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,PT. LISHAN MANUNGGAL UTAMA,SUMUR BANDUNG 07,22/06/2018,107.6125467,-6.885614532
0015/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,PT. TIGARIVA SOLUSINDO,BKR 17,01/12/2018,107.6207282,-6.9380544
0016/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,CV. ANEKA PRODUKSI,TERUSAN JAKARTA 37,02/03/2019,107.6191228,-6.9174639
0016/IG/IX/2015/BPPT,September,2015,Izin Gangguan,PT. SUKAMULYA INDAH,SITI MUNIGAR 45,03/09/2018,107.6026154,-6.929958102
0016/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,CV. MAJU MANDIRI,SUKARAJA II 318,23/06/2018,107.5744942,-6.892702349
0016/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,PT. FAST FOOD INDONESIA. TBK \ KENTUCKY FRIED CHICKEN,PASIRKALIKI 121-123,22/06/2018,107.596916,-6.9058088
0017/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,"PT. BANK PAN INDONESIA, TBK.","SURYA SOEMANTRI, PROF. DR 6-A",01/03/2019,107.5815719,-6.89138485
0017/IG/IX/2015/BPPT,September,2015,Izin Gangguan,PT. PROSPERINDO JASA NIAGA,KOPO 455,03/09/2018,107.5900755,-6.944979684
0017/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,CV.KHALISA ABADI,PURWAKARTA 128,22/06/2018,107.6579834,-6.917304569
0017/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,PT. ANUGRAH GRAHA INTI PERKASA,PETA 176,24/06/2018,107.5903681,-6.9328968
0018/IG/IX/2015/BPPT,September,2015,Izin Gangguan,PT. KAIA JAYA MAKMUR,TERUSAN SUTAMI KAV. 1,03/09/2018,107.5856995,-6.881249311
0018/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,PT ORIENTAL INDAH BALI HOTEL,DR. SETIABUDHI 318,22/06/2018,107.5959126,-6.856000088
0018/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,CV. CIPTA PRATAMA,TELEPON 6,24/06/2018,107.6108442,-6.9180392
0019/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,"PT. BANK PAN INDONESIA, TBK.",DR. SETIABUDHI 167,01/03/2019,107.5935748,-6.868523895
0019/IG/IX/2015/BPPT,September,2015,Izin Gangguan,PD. WALUYO,CIROYOM 4 KIOS A-1,03/09/2018,107.5890217,-6.9149429
0019/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,CV. SINAR MULIA SEJAHTERA,AHMAD YANI 202 A,24/06/2018,107.624094,-6.9188498
0020/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,PT. CITRA AGUNG PRIMA MANDIRI,KOMPLEK SETRASARI MALL 99 B-4,03/03/2019,107.6191228,-6.9174639
0020/IG/IX/2015/BPPT,September,2015,Izin Gangguan,PT. CENTRIN INTI UTAMA,BRAGA 76,07/09/2018,107.6092165,-6.916721876
0020/IG/IX/2015/BPPT,September,2015,Izin Gangguan,CV. MULIATAMA JASA SARANA,SOEKARNO HATTA 590,03/09/2018,107.6059677,-6.947767148
0020/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,PT. AEROMAP PROSPERINDO GEOTEKNO,CIGADUNG RAYA BARAT 67,24/06/2018,107.6261024,-6.8823798
0020/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,PT. WINDIRA CIPTA MANDIRI,SALEDRI 19,26/06/2018,107.6250317,-6.931370895
0021/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,"PT. BANK PAN INDONESIA, TBK.",GARDUJATI 66-C,01/03/2019,107.5983705,-6.917589046
0021/IG/IX/2015/BPPT,September,2015,Izin Gangguan,CV. ZENBU BANDUNG JAYA \ ZENBU,SUKAJADI 137-139 G.B-59,03/09/2018,107.596441,-6.885288071
0021/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,CV. TRITANGTU,GAMELAN 6,25/06/2018,107.630794,-6.9350534
0021/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,PT. BINTANG AGUNG,RUMAH SAKIT 131,29/06/2018,107.6959861,-6.927104568
0022/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,PT. TERRA PALMA KOMODITI,AHMAD YANI 123 KM. 7,25/06/2018,107.6488139,-6.905568817
0022/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,PT. BINTANG AGUNG,RUMAH SAKIT 108,29/06/2018,107.6960612,-6.926934159
0023/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,PT. BINTANG AGUNG,RUMAH SAKIT 108,29/06/2018,107.6958895,-6.92714717
0023/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,SARI LAUT,CISARANTEN KULON -,07/12/2018,107.6812464,-6.93056295
0024/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,CV. TUNAS ARTHA MEDIA,TERUSAN JAMIKA 151-C,04/03/2019,107.6191228,-6.9174639
0024/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,PT. BINTANG AGUNG,RUMAH SAKIT 131,29/06/2018,107.6958895,-6.927083266
0024/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,PT. BUANA KEMILAU PERSADA,MOCHAMAD RAMDHAN 27 B,25/06/2018,107.6103923,-6.936666736
0025/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,PT. MILLENNIUM PENATA FUTURES,SUPRATMAN 21,19/06/2018,107.6297329,-6.9070018
0025/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,UD. RIVALDI SANJAYA PUTRA,SURYA SUMANTRI 50 A,25/06/2018,107.5814499,-6.8856643
0025/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,PD. VECTOR,LENGKONG BESAR 64-H,02/12/2018,107.6126941,-6.926232
0026/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,CV. DEWI SRI,RIUNG BANDUNG PERMAI 113 BLOK I-F,04/03/2019,107.6788428,-6.941754639
0026/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,MELANI,PASEBAN KENCANA BARAT B 5 \/ 70,22/06/2018,107.5889595,-6.9337217
0026/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,CV. URBAN ICONIA,TULIP VII 60,25/06/2018,107.7024055,-6.967061812
0027/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,SINAR INDAH,TAMIM 3,22/06/2018,107.603078,-6.920234359
0027/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,CV. GLOBAL NUSANTARA,SEMARANG 56,26/06/2018,107.6608829,-6.9224878
0028/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,PT. BANDUNG KULINA UTAMA,GEDEBAGE SELATAN -,24/06/2018,107.6914194,-6.939972
0028/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,PT. GEDE UNGGUL PRATAMA,WANBI 7,26/06/2018,107.5747252,-6.911191384
0029/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,KOPERASI SYARIAH ARTHA PRIMA LESTARI,MOCH. TOHA 355-A,04/03/2019,107.6088316,-6.945298
0029/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,BANDUNG MULYA,CIHAMPELAS 99,24/06/2018,107.6038779,-6.891324616
0029/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,PT. RICHEESE KULINER INDONESIA,GATOT SUBROTO 219,26/06/2018,107.6317975,-6.9254838
0029/IG/VIII/2015/BPPT,Agustus,2015,Izin Gangguan,CV. SOFA SURYA CEMERLANG,PAMEKAR BARAT XI 346,08/08/2018,107.6984771,-6.930915603
0030/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,PT. FEDERAL INTERNATIONAL FINANCE,RAJAWALI TIMUR 132,05/03/2019,107.6191228,-6.9174639
0030/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,PT. ARTHA MULTI SARANA,PURWAKARTA I 12,24/06/2018,107.6531515,-6.913320903
0031/IG/I/2016/BPPT,Januari,2016,Izin Gangguan,PD. VICTORY,TERUSAN JAKARTA 255,25/01/2019,107.6191228,-6.9174639
0031/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,PT. KARYA SILVI,SUMBER ENDAH 20-12,24/06/2018,107.5765043,-6.938186
0031/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,CV. PERMATA,MERKURI TENGAH I 4,26/06/2018,107.6685291,-6.945929799
0033/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,BUDI SUKSES,KESATRIAN 9,02/03/2019,107.6088231,-6.920872124
0033/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,PT. TRISAKTI SUKSES ABADI,LASWI 144,08/03/2019,107.6259714,-6.9998673
0033/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,ARTA PRAMESWARI,ASTANA ANYAR 52,25/06/2018,107.5984034,-6.921545234
0033/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,CV. DWI PUTRA UTAMA,MERKURI TENGAH I 4,26/06/2018,107.6685291,-6.945929799
0034/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,CV. CAHYA PUTRA MARTO,PASIR SALAM ASRI D 14,02/03/2019,107.6194333,-6.9445732
0034/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,CV. FLOWER CITY,TITIRAN 21,25/06/2018,107.6197588,-6.896426142
0034/IG/VII/2015/BPPT,Juli,2015,Izin Gangguan,PD. NUSA INDAH UTAMA,CIUMBULEUIT 31,31/07/2018,107.6046908,-6.8831291
0035/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,PT. JAMPARING MASAGI,BABAKAN CIPARAY 67,08/03/2019,107.5846574,-6.934557754
0035/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,SUKSES,MOCH. TOHA 11,26/06/2018,107.6070122,-6.928507334
0035/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,CV. RIYADH & BILQIS,URANUS UTAMA VII 93,26/06/2018,107.6602906,-6.952852259
0035/IG/X/2015/BPPT,Oktober,2015,Izin Gangguan,PT. KARUNIA ANUGERAH TRITUNGGAL,CIKAWAO PERMAI 8 KAV. B,07/10/2018,107.6152984,-6.9280073
0036/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,PT. SAPTA SARI TAMA,TERUSAN HOLIS 472,08/03/2019,107.6191228,-6.9174639
0036/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,PT. SATRIA AYU,RANCABOLANG 28 B,28/06/2018,107.6191228,-6.9174639
0036/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,PT JAYAMANDIRI GEMASEJATI,RAYA CIBEUREUM 70,26/06/2018,107.5661938,-6.9058111
0037/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,CV. MAHARA JAYA,HARIANG BANGA 8,08/03/2019,107.6092126,-6.895576
0037/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,PT JAYA MANDIRI GEMASEJATI,ASIA AFRIKA 172,26/06/2018,107.6154676,-6.9222118
0037/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,CV. MIRACLE ABADI,BATU INDAH VII 42,30/06/2018,107.6352511,-6.9525417
0037/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,"PT. FAST FOOD INDONESIA, TBK. \ KFC",KEPATIHAN 19-A,14/12/2018,107.6052827,-6.9232603
0038/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,PT. USHAKINDO JAYA KONSULTAN,CIKUTRA BARU V 16,30/06/2018,107.6396548,-6.8953837
0038/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,CV.USAHA ABADI RASA,SURYANI DALAM I 46-48,26/06/2018,107.5776928,-6.920412691
0039/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,CV. GEMILANG INDONESIA PRIMA,SAWO ENDAH 14,02/03/2019,107.6680015,-6.9613663
0039/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,"PT. BANK SINARMAS, TBK.",JENDRAL SUDIRMAN 91,09/03/2019,107.6012877,-6.92054933
0039/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,PT. INDO WISATA PERMATA,KOMPLEK 30,30/06/2018,107.6184967,-6.861295861
0039/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,CV. PASTIKA,MURNI I 29,27/06/2018,107.6111134,-6.935528541
0039/IG/VIII/2016/BPPT,Agustus,2016,Izin Gangguan,MANTAP,SUKAJADI 106,02/08/2019,107.5970819,-6.8912622
0040/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,YANO HAMDANI,H. KURDI SELATAN II 9,02/03/2019,107.6044807,-6.9445552
0040/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,PT. BANDUNG BANDHA WASA,TAMPOMAS 31,10/03/2019,107.622093,-6.9268864
0040/IG/V/2016/BPPT,Mei,2016,Izin Gangguan,"RAMS""",ABDUL RIVAI 1,10/05/2019,107.6191228,-6.9174639
0040/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,PT. DWIPADAYA,BEKAMIN 17,27/06/2018,107.641602,-6.9006222
0041/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,APOTEK BODOGOL DUA,CIBOGO 63,02/03/2019,107.5793885,-6.8858159
0041/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,"CV, KUSUMA INDAH",CIKUTRA 143,28/06/2018,107.6432181,-6.8994575
0042/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,ALADIN,JENDERAL SUDIRMAN 110,02/03/2019,107.60018,-6.920147
0042/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,CV. OMBIN JAYA,CIKUTRA TERUSAN CITRA GREEN GARDEN 18,28/06/2018,107.6023032,-6.9144848
0042/IG/XI/2015/BPPT,November,2015,Izin Gangguan,BUDI DHARMA,BELAKANG PASAR 96,24/11/2018,107.6006849,-6.9171715
0043/IG/II/2016/BPPT,Februari,2016,Izin Gangguan,PT. BANK OCBC NISP TBK.,KEPATIHAN 21,17/02/2019,107.6052827,-6.9232603
0043/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,PT. KK INDONESIA,PASIR KALIKI 25- 27 HYPERSQUARE B 31-32 BANDUNG,02/03/2019,107.45363,6.78688
0043/IG/VI/2015/BPPT,Juni,2015,Izin Gangguan,RM. SAMBAL HEJO,BRIGJEN KATAMSO 49,30/06/2018,110.2150136,-7.485158372
0043/IG/X/2015/BPPT,Oktober,2015,Izin Gangguan,NEW IRIAN MOTOR,SUNIARAJA 121-123,07/10/2018,107.6071332,-6.915494827
0043/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,"PT. ASTRA INTERNATIONAL,TBK.",ASIA AFRIKA 127,15/12/2018,107.6158448,-6.9222217
0044/IG/II/2016/BPPT,Februari,2016,Izin Gangguan,PT. BANK OCBC NISP TBK.,SURYA SUMANTRI SETRASARI MALL BLOK A-1,17/02/2019,107.5816139,-6.881563264
0044/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,CV. TIARA CITRA INDAH,CIMENCRANG 27,02/03/2019,107.7071744,-6.938883753
0044/IG/XI/2015/BPPT,November,2015,Izin Gangguan,CV. GENTAR JAYA,PALASARI III -,25/11/2018,107.6860707,-6.920531302
0044/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,"PT. ASTRA INTERNATIONAL, TBK.",RAYA CIBEUREUM 42,15/12/2018,107.566222,-6.9057388
0045/IG/II/2016/BPPT,Februari,2016,Izin Gangguan,S.M.,MOCH. TOHA 335,17/02/2019,107.6088316,-6.945298
0045/IG/IX/2015/BPPT,September,2015,Izin Gangguan,PT. TRI BANGUN ASIA,PHH MUSTOFA 74,08/09/2018,107.6404317,-6.8990927
