"nomor_izin","jenis_izin","nama_perusahaan","alamat_perusahaan","tgl_akhir","longitude","latitude"
"0077/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","PT.INTERNASIONAL PUTRI BUDI UTAMA"," KOPO 351","15/12/2018","107.5895325","-6.945973038"
"0138/TDP/IV/2016/BPPT","Tanda Daftar Perusahaan","MERPATI AGUNG"," PAGARSIH 79A","14/04/2019","107.5940388","-6.922817896"
"0076/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","PT MAXI INDONESIA MANDIRI"," SINGGASANA RAYA 35","08/12/2018","107.6191228","-6.9174639"
"0277/TDP/IV/2016/BPPT","Tanda Daftar Perusahaan","CV. BINA NIAGA"," JAKARTA 22-24 RUKO 37","26/04/2019","107.6377934","-6.914689149"
"0121/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","CV. AGUNG RAHAYU MART"," ADI FLORA RAYA 8-9 RD","15/12/2018","107.6934494","-6.963986647"
"0064/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","TOKO BILLY"," GRIYA CEMPAKA ARUM 18 B-1","14/12/2018","107.7080048","-6.9568089"
"0074/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","CV.MULYAKARYA MITRAJAYA BERSAMA ( DEPO MEUBEUL KITA )"," TERUSAN PASIRKOJA  04","14/12/2018","107.6191228","-6.9174639"
"0044/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","PT. TURA PRIMA TEXINDO"," DIRGANTARA IX 49","08/12/2018","107.5513107","-6.9301673"
"0107/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","PD.SETIA UTAMA PANGAN"," PELINDUNG HEWAN 4","23/12/2018","107.6042751","-6.9393692"
"0021/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","PT. ADIRA DINAMIKA MULTI FINANCE"," TERUSAN PASIRKOJA  43","10/12/2018","107.5959367","-6.927112499"
"0114/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","ALDI KIDS"""," MOCH. TOHA C - 9 LT 1 (ITC) OUNGKUR ","14/12/2018","107.6063554","-6.9283197"
"0073/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","PT. SINAR ABADI ELECTRIK"," CIBADAK 226","14/12/2018","107.5941635","-6.9208672"
"0072/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","PT. ABYNDO PRECAST PRAMESTY"," SOEKARNO HATTA 478","14/12/2018","107.6345875","-6.947632"
"0067/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","CV. AKUSARA PARSA SENTOSA"," PARAKAN ASRI  37","14/12/2018","107.6320093","-6.9525548"
