id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan,
7826364,Belanja ATK pada kegiatan BOK UPT Puskesmas Ibrahim Adjie,33229776,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Bantuan Operasional Kesehatan (DAK) ,Barang/jasa,Barang,1 paket,Kota Bandung,Belanja ATK pada kegiatan BOK UPT Puskesmas Ibrahim Adjie,APBD,33229776,1.02.1.02.01.13.16.43.5.2.2.01.01,Pengadaan Langsung,29/09/2016,14/10/2016,14/10/2016,15/12/2016,
8652509,Komputer PC (Ruang Kepada Dinas dan Sekretaris Dinas),36000000,Pengadaan Langsung,APBDP,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Penyediaan peralatan dan perlengkapan kantor,Modal,Barang,2 unit,Jl. Supratman No 73 Bandung,Komputer PC (Ruang Kepada Dinas dan Sekretaris Dinas),APBDP,36000000,1.02.1.02.01.01.01.13.5.2.3.29.02,Pengadaan Langsung,15/11/2016,25/11/2016,28/11/2016,23/12/2016,
7827776,Belanja Bahan Medis Habis Pakai UPT PKM Margahayu Raya,49513298,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Bantuan Operasional Kesehatan (DAK) UPT PKM Margahayu Raya,Barang/jasa,Barang,1 Tahun,Kota Bandung,Belanja Bahan Medis Habis Pakai UPT PKM Margahayu Raya,APBD,49513298,1.02.1.02.01.23.16.43.5.2.2.02.09,Pengadaan Langsung,11/07/2016,11/08/2016,12/08/2016,28/12/2016,
8166361,Belanja Penggandaan pada UPT PKM Salam,5855287,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Bantuan Operasional Puskesmas (DAK) UPT PKM Salam,Barang/jasa,Barang,1 Tahun,Kota Bandung,Belanja Penggandaan pada UPT PKM Salam,APBD,5855287,1.02.1.02.01.10.16.43.5.2.2.06.02,Pengadaan Langsung,10/10/2016,20/10/2016,21/10/2016,09/12/2016,
8370426,Belanja alat tulis kantor kegiatan pengelolaan adminstrasi kepegawaian,13650000,Pengadaan Langsung,APBDP,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Pendidikan dan pelatihan formal,Barang/jasa,Barang,1 tahun,Kota Bandung,Belanja alat tulis kantor kegiatan pengelolaan adminstrasi kepegawaian,APBDP,13650000,1.02.1.02.01.01.05.01.5.2.2.01.01,Pengadaan Langsung,18/11/2016,26/11/2016,28/11/2016,17/12/2016,
7112003,Belanja peralatan dan mesin serta alat olah raga yang tidak dikapitasi: Tas penyangga vaccine carrier,25500000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Pelayanan imunisasi dasar,Barang/jasa,Barang,1 Paket,Kota Bandung,Tas penyangga vaccine carrier,APBD,25500000,1.02.1.02.01.01.34.16.5.2.2.31.01,Pengadaan Langsung,24/03/2016,31/03/2016,01/04/2016,30/06/2016,
8415964,"Belanja penggandaan penyusunan draft peraturan walikota tentang audit maternal perinatal (AMP),public service center (PSC) 119 BES dan sistem rujukan Kota Bandung",900000,Pengadaan Langsung,APBDP,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Kemitraan pengobatan lanjutan bagi pasien rujukan,Barang/jasa,Jasa Lainnya,1 paket,Kota Bandung,"Belanja penggandaan penyusunan draft peraturan walikota tentang audit maternal perinatal (AMP),public service center (PSC) 119 BES dan sistem rujukan Kota Bandung",APBDP,900000,1.02.1.02.01.01.28.06.5.2.2.06.02,Pengadaan Langsung,18/11/2016,26/11/2016,28/11/2016,08/12/2016,
8428310,Belanja Jasa konsultansi perencanaan  DED Puskesmas Jajaway,50000000,Pengadaan Langsung,APBDP,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Pembangunan Puskesmas,Barang/jasa,Jasa Konsultansi,1 paket,Kota Bandung,Belanja Jasa konsultansi perencanaan DED Puskesmas Jajaway ,APBDP,50000000,1.02.1.02.01.01.25.01.5.2.2.21.02,Pengadaan Langsung,18/11/2016,26/11/2016,28/11/2016,08/12/2016,
8653239,Printer Dot Matrix (keuangan),8500000,Pengadaan Langsung,APBDP,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Penyediaan peralatan dan perlengkapan kantor,Modal,Barang,1 Unit,Jl. Supratman No 73 Bandung,Printer Dot Matrix (keuangan),APBDP,8500000,1.02.1.02.01.01.01.13.5.2.3.29.05,Pengadaan Langsung,15/11/2016,25/11/2016,28/11/2016,23/12/2016,
8428250,Belanja modal peralatan dan mesin -pengadaan meubelair - karpet kegiatan Penyediaan peralatan rumah tangga,50000000,Pengadaan Langsung,APBDP,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Penyediaan peralatan rumah tangga,Modal,Barang,1 paket,Kota Bandung,Belanja modal peralatan dan mesin -pengadaan meubelair - karpet kegiatan Penyediaan peralatan rumah tangga,APBDP,50000000,1.02.1.02.01.01.01.14.5.2.3.28.01,Pengadaan Langsung,18/11/2016,26/11/2016,28/11/2016,08/12/2016,
8370429,Belanja penggandaan adminstrasi kepegawaian,13590000,Pengadaan Langsung,APBDP,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Pendidikan dan pelatihan formal,Barang/jasa,Jasa Lainnya,1 tahun,Kota Bandung,Belanja penggandaan adminstrasi kepegawaian,APBDP,13590000,1.02.1.02.01.01.05.01.5.2.2.06.02,Pengadaan Langsung,18/11/2016,26/11/2016,28/11/2016,17/12/2016,
6657713,Belanja cetak sarana pelayanan kesehatan tradisional,32000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Pelayanan kesehatan tradisional,Barang/jasa,Barang,1 paket,Kota Bandung,Belanja cetak sarana pelayanan kesehatan tradisional,APBD,32000000,1.02.1.02.01.01.16.37.5.2.2.06.01,Pengadaan Langsung,11/01/2016,18/01/2016,01/02/2016,29/02/2016,
7739472,Belanja sosialisasi penyusunan perencanaan BOK 2016,87860000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Bantuan operasional kesehatan,Barang/jasa,Jasa Lainnya,191 OK,Kota Bandung,Belanja sosialisasi penyusunan perencanaan BOK 2016,APBD,87860000,1.02.1.02.01.01.16.43.5.2.2.17.02,Pengadaan Langsung,01/06/2016,01/07/2016,01/08/2016,31/08/2016,
7176639,Belanja modal peralatan dan mesin-pengadaan alat kedokteran umum: Belanja pengadaan TRC Kit,27000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Penyelidikan epidemiologi dan penanggulangan KLB,Modal,Barang,1 Paket,Kota Bandung,Belanja pengadaan TRC Kit,APBD,27000000,1.02.1.02.01.01.37.01.5.2.3.34.01,Pengadaan Langsung,31/03/2016,11/04/2016,12/04/2016,12/05/2016,
8062577,Belanja Modal Peralatan dan Mesin-Pengadaan alat penyimpanan perlengkapan kantor-Lemari Kaca Kesling,7500000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Penyediaan peralatan dan perlengkapan kantor,Modal,Barang,1 Paket,Jl. Supratman No. 73 Bandung,Belanja Modal Peralatan dan Mesin-Pengadaan alat penyimpanan perlengkapan kantor-Lemari Kaca Kesling,APBD,7500000,1.02.1.02.01.01.01.13.5.2.3.27.04,Pengadaan Langsung,01/10/2016,17/10/2016,18/10/2016,17/11/2016,
8166431,Belanja Cetak pada UPT PKM Padasuka,46200000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Bantuan Operasional Puskesmas (DAK) UPT PKM Padasuka,Barang/jasa,Barang,1 Tahun,Kota Bandung,Belanja Cetak pada UPT PKM Padasuka,APBD,46200000,1.02.1.02.01.08.16.43.5.2.2.06.01,Pengadaan Langsung,10/10/2016,20/10/2016,21/10/2016,09/12/2016,
7112415,Belanja modal peralatan dan mesin - pengadaan alat pendingin: Lemari Es,890650000,e-Purchasing,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Pelayanan imunisasi dasar,Modal,Barang,1 Paket,Kota Bandung,Lemari Es,APBD,890650000,1.02.1.02.01.01.34.16.5.2.3.28.04,E-Purchasing,24/03/2016,31/03/2016,01/04/2016,30/04/2016,
7468933,Belanja Modal Peralatan dan Mesin -Pengadaan Meubeleir,292575000,Lelang Sederhana,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Pengadaan Mebeleur,Modal,Barang,1 Paket,Kota Bandung,Belanja Modal Peralatan dan Mesin -Pengadaan Meubeleir,APBD,292575000,1.02.1.02.01.01.02.10.5.2.3.28.01,Lelang Sederhana,01/07/2016,31/07/2016,01/08/2016,30/09/2016,
7009873,Belanja makanan dan minuman kegiatan,32000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Penyelidikan epidemiologi dan penanggulangan KLB,Barang/jasa,Jasa Lainnya,1 Paket,Kota Bandung,Belanja makanan dan minuman kegiatan,APBD,32000000,1.02.1.02.01.01.37.1.5.2.2.11.05,Pengadaan Langsung,01/02/2016,15/02/2016,16/02/2016,30/09/2016,
8166124,Belanja Makanan dan Minuman Kegiatan pada UPT PKM Salam,61829053,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Bantuan Operasional Puskesmas (DAK) UPT PKM Salam,Barang/jasa,Jasa Lainnya,1 Tahun,Kota Bandung,Belanja Makanan dan Minuman Kegiatan pada UPT PKM Salam,APBD,61829053,1.02.1.02.01.10.16.43.5.2.2.11.05,Pengadaan Langsung,10/10/2016,20/10/2016,21/10/2016,09/12/2016,
7516517,Belanja Souvenir,51425000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Penyediaan Peralatan dan Peelengkapan Kantor,Barang/jasa,Jasa Lainnya,1 Paket,Kota Bandung,Belanja Souvenir,APBD,51425000,1.02.1.02.01.01.01.13.5.2.2.01.11,Pengadaan Langsung,01/05/2016,22/05/2016,23/05/2016,23/06/2016,
7827549,Belanja Bahan Medis Habis Pakai UPT PKM Riung Bandung,14579000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Bantuan Operasional Kesehatan (DAK) UPT PKM Riung Bandung ,Barang/jasa,Barang,1 Paket,Kota Bandung,Belanja Bahan Medis Habis Pakai UPT PKM Riung Bandung,APBD,14579000,1.02.1.02.01.25.16.43.5.2.2.02.09,Pengadaan Langsung,11/07/2016,11/08/2016,12/08/2016,28/12/2016,
7826069,Belanja cetak pada kegiatan BOK UPT Puskesmas Sukajadi,12180000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Bantuan Operasional Kesehatan (DAK) ,Barang/jasa,Jasa Lainnya,1 tahun,Kota Bandung,Belanja cetak pada kegiatan BOK UPT Puskesmas Sukajadi,APBD,12180000,1.02.1.02.01.04.16.43.5.2.2.06.01,Pengadaan Langsung,29/09/2016,14/10/2016,14/10/2016,15/12/2016,
7021869,Belanja Cetak: Format PTM dan KIE,16250000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Pelayanan pencegahan dan penanggulangan penyakit tidak menular,Barang/jasa,Jasa Lainnya,1 Paket,Kota Bandung,Belanja CetakFormat PTM dan KIE,APBD,16250000,1.02.1.02.01.01.16.31.5.2.2.06.01,Pengadaan Langsung,16/03/2016,31/03/2016,01/04/2016,31/05/2016,
7140237,Belanja Kursus-kursus singkat pelatihan - workshop sistem informasi kesehatan,40000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Pengembangan data dan informasi pembangunan kesehatan ,Barang/jasa,Jasa Lainnya,1 paket,Kota Bandung,Belanja Kursus-kursus singkat pelatihan - workshop sistem informasi kesehatan,APBD,40000000,1.02.1.02.01.36.03.5.2.2.17.01,Pengadaan Langsung,01/03/2016,31/03/2016,01/04/2016,30/06/2016,
7019630,Belanja modal peralatan dan mesin - pengadaan alat kedokteran umum: Sanitarian Kit,185000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Pengkajian pengembangan lingkungan sehat,Modal,Barang,1 paket,Kota Bandung,Sanitarian Kit,APBD,185000000,1.02.1.02.01.01.21.1.5.2.3.34.01,Pengadaan Langsung,16/03/2016,31/03/2016,01/04/2016,30/04/2016,
7039469,Belanja alat tulis kantor,11000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Pengadaan obat dan perbekalan kesehatan,Barang/jasa,Barang,1 paket,Kota Bandung,Belanja alat tulis kantor ,APBD,11000000,1.02.1.02.01.15.01.5.2.2.01.01,Pengadaan Langsung,01/03/2016,16/03/2016,16/03/2016,31/03/2016,
7111148,Belanja penggandaan,59000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Pelayanan imunisasi dasar,Barang/jasa,Jasa Lainnya,1 Paket,Kota Bandung,Belanja penggandaan,APBD,59000000,1.02.1.02.01.01.34.16.5.2.2.06.02,Pengadaan Langsung,01/02/2016,09/02/2016,10/02/2016,22/02/2016,
6657544,Belanja modal  peralatan dan mesin-pengadaan alat komunikasi handy talkie ( sarana komunikasi kegiatan PON),75000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,pelayanan kesehatan olah raga,Modal,Barang,30 unit,Kota Bandung,Belanja modal peralatan dan mesin-pengadaan alat komunikasi handy talkie ( sarana komunikasi kegiatan PON),APBD,75000000,1.02.1.02.01.01.16.34.5.2.3.32.03,Pengadaan Langsung,01/03/2016,31/03/2016,01/04/2016,30/04/2016,
7064837,Belanja kursus singkat/pelatihan - peningkatan kompetensi untuk meningkatkan kinerja staff gunasarkes,30000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Penyusunan standar pelayanan kesehatan,Barang/jasa,Jasa Lainnya,1 tahun,Kota bandung,Belanja kursus singkat/pelatihan - peningkatan kompetensi untuk meningkatkan kinerja staff gunasarkes,APBD,30000000,1.02.1.02.01.23.01.5.2.2.17.01,Pengadaan Langsung,01/02/2016,29/02/2016,01/03/2016,31/03/2016,
7017792,Belanja alat tulis kantor,25950000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Pengkajian pengembangan lingkungan sehat,Barang/jasa,Barang,1 paket,Kota Bandung,Belanja alat tulis kantor,APBD,25950000,1.02.1.02.01.01.21.1.5.2.2.01.01,Pengadaan Langsung,01/02/2016,15/02/2016,16/02/2016,30/04/2016,
7140356,Belanja sosialisasi - evaluasi SPGDT Call Center 119,35000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Pengembangan data dan informasi pembangunan kesehatan,Barang/jasa,Jasa Lainnya,1 paket,Kota Bandung,Belanja sosialisasi - evaluasi SPGDT Call Center 119,APBD,35000000,1.02.1.02.01.36.03.5.2.2.17.02,Pengadaan Langsung,03/10/2016,31/10/2016,01/11/2016,30/11/2016,
7396417,Belanja jasa konsultasi evaluasi/pengawasan,130000000,Seleksi Sederhana,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Pemeliharaan rutin/berkala gedung kantor ,Barang/jasa,Jasa Konsultansi,1 Paket,Kota Bandung,Belanja jasa konsultasi evaluasi/pengawasan,APBD,130000000,1.02.1.02.01.01.02.22.5.2.2.21.03,Seleksi Sederhana,10/05/2016,22/06/2016,23/06/2016,20/10/2016,
7018445,Belanja makanan dan minuman pada kegiatan Pelayanan kesehatan dasar masyarakat miskin,23400000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Pelayanan kesehatan dasar masyarakat miskin,Barang/jasa,Jasa Lainnya,3 paket,Kota Bandung,Belanja makanan dan minuman pada kegiatan Pelayanan kesehatan dasar masyarakat miskin,APBD,23400000,1.02.1.02.01.01.34.9.5.2.2.11.05,Pengadaan Langsung,21/03/2016,31/03/2016,01/04/2016,15/12/2016,
8162511,Belanja barang alkes kedokteran (paket 15),13500000,e-Purchasing,APBDP,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Pengadaan obat dan perbekalan kesehatan,Modal,Barang,1 tahun,Kota Bandung,Belanja barang alkes kedokteran,APBDP,13500000,1.02.1.02.01.01.15.01.5.2.3.19.01,E-Purchasing,01/11/2016,14/11/2016,15/11/2016,30/11/2016,
5037210,Belanja Jasa Tenaga Sopir Pengemudi Ambulance dan Pusling,2400000000,Lelang Sederhana,N/A,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Penyediaan Jasa Tenaga Pendukung Administrasi Perkantoran/Teknis Perkantoran,Barang/jasa,Jasa Lainnya,1 paket,Kota Bandung,Belanja Jasa Tenaga Sopir Pengemudi Ambulance dan Pusling Dinas dan Puskesmas,APBD,2400000000,1.02.1.02.01.01.19.5.2.2.03.22,Lelang Sederhana,11/12/2015,04/01/2016,05/01/2016,31/12/2016,
6666016,Belanja makanan dan minuman kegiatan Pelayanan kunjungan bayi (umur 29 hari - 11 bulan),18700000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Pelayanan kunjungan bayi (umur 29 hari - 11 bulan),Barang/jasa,Jasa Lainnya,220 OH,Kota Bandung,Belanja makanan dan minuman kegiatan Pelayanan kunjungan bayi (umur 29 hari - 11 bulan),APBD,18700000,1.02.1.02.01.01.34.15.5.2.2.11.05,Pengadaan Langsung,19/02/2016,30/09/2016,01/10/2016,31/10/2016,
7626080,Konsultan perencana rehabilitasi gedung dinas kesehatan,116000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Rehabilitasi Puskesmas,Modal,Jasa Konsultansi,1 paket,Kota Bandung,Konsultan perencana rehabilitasi gedung dinas kesehatan,APBD,116000000,1.02.1.02.01.01.25.24.5.2.3.49.06,Pengadaan Langsung,16/05/2016,23/05/2016,24/05/2016,24/06/2016,
7080015,Belanja makanan dan minuman kegiatan,12600000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Penyelidikan epidemiologi dan penanggulangan KLB,Barang/jasa,Jasa Lainnya,1 Paket,Kota Bandung,Belanja makanan dan minuman kegiatan,APBD,12600000,1.02.1.02.01.01.37.1.5.2.2.11.05,Pengadaan Langsung,01/02/2016,09/02/2016,09/02/2016,29/02/2016,
7063932,Belanja penggandaan,20278800,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Penyusunan standar pelayanan kesehatan,Barang/jasa,Jasa Lainnya,9 paket,Kota Bandung,Belanja penggandaan pada kegiatan penyusunan standar pelayanan kesehatan,APBD,20278800,1.02.1.02.01.23.01.5.2.2.06.02,Pengadaan Langsung,01/02/2016,29/02/2016,01/03/2016,29/04/2016,
7394265,Konsultan perencana Puskesmas ,49500000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Pembangunan Puskesmas,Modal,Jasa Konsultansi,1 Paket,Kota Bandung,Konsultan perencana Puskesmas ,APBD,49500000,1.02.1.02.01.01.25.01.5.2.3.49.06,Pengadaan Langsung,03/05/2016,25/05/2016,01/06/2016,30/06/2016,
8162734,Belanja barang alkes kedokteran (paket 23),328248000,e-Purchasing,APBDP,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Pengadaan obat dan perbekalan kesehatan,Modal,Barang,1 tahun,Kota Bandung,Belanja barang alkes kedokteran,APBDP,328248000,1.02.1.02.01.01.15.01.5.2.3.19.01,E-Purchasing,01/11/2016,14/11/2016,15/11/2016,30/11/2016,
7394968,Konsultan Perencana UPT Puskesmas Pelindung Hewan,49500000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Pembangunan Puskesmas,Modal,Jasa Konsultansi,1 Paket,Kota Bandung,Konsultan Perencana UPT Puskesmas Pelindung Hewan,APBD,49500000,1.02.1.02.01.01.25.01.5.2.3.49.06,Pengadaan Langsung,10/05/2016,30/05/2016,02/05/2016,31/05/2016,
8009078,Belanja Modal Peralatan dan Mesin Pemadam Api Ringan,190000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Pengadaan Sarana dan Prasarana Puskesmas,Modal,Barang,1 Paket,Jl. Supratman No 73 Bandung,Belanja Modal Peralatan dan Mesin Pemadam Api Ringan,APBD,190000000,1.02.1.02.01.01.25.07.5.2.3.28.07,Pengadaan Langsung,01/09/2016,16/09/2016,17/09/2016,01/10/2016,
7140310,Belanja sosialisasi - Sosialisasi Safety Road,75000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Pengembangan data dan informasi pembangunan kesehatan ,Barang/jasa,Jasa Lainnya,1 paket,Kota Bandung,Belanja sosialisasi - Sosialisasi Safety Road,APBD,75000000,1.02.1.02.01.36.03.5.2.2.17.02,Pengadaan Langsung,01/03/2016,31/03/2016,01/04/2016,30/04/2016,
8368739,Belanja modal peralatan dan mesin - pengadaan personal komputer (Note book),45000000,e-Purchasing,APBDP,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Pengembangan data dan informasi pembangunan kesehatan,Modal,Barang,3 Unit,Kota Bandung,Belanja modal peralatan dan mesin - pengadaan personal komputer (Note book),APBDP,45000000,1.02.1.02.01.01.36.03.5.2.3.29.02,E-Purchasing,16/11/2016,24/11/2016,28/11/2016,05/12/2016,Belanja modal peralatan dan mesin - pengadaan personal komputer (Note book) (8187548) 
