npsn,nama,bentuk_pendidikan_nama,jenjang_pendidikan_nama,alamat_jalan,rt,rw,nama_dusun,desa_kelurahan_nama,Column,lintang,bujur,kebutuhan_khusus_nama,status_sekolah_nama,status_kepemilikan_nama
20219865,SLB AUTISME PELITA HAFIZH,Keaksaraan,SMA / sederajat,Jl. Kota Baru I No.4 Bandung,4,4,,Ciateul,Kec. Regol,-6.9352,107.6178,"C1, D",Tidak Aktif,Yayasan
20219859,SLB C ASIH MANUNGGAL,Keaksaraan,SMA / sederajat,Jl. Singa Perbangsa,7,7,,Lebak Gede,Kec. Coblong,-6.8958,107.6233,"C,C1",Tidak Aktif,Yayasan
20265526,SMKS BPI BANDUNG,SMK,SMA / sederajat,BURANGRANG NO.8,4,1,-,Burangrang,Kec. Lengkong,-6.9238,107.62,Tidak ada,Tidak Aktif,Yayasan
20219270,SMAS KRIDA NUSANTARA,SMA,SMA / sederajat,JL. DESA CIPADUNG CIBIRU-BANDUNG,6,12,-,Cipadung,Kec. Cibiru,-6.9157,107.7269,Tidak ada,Tidak Aktif,Yayasan
20219717,SMAS INDONESIA RAYA BANDUNG,SMA,SMA / sederajat,JL. PROF. SURIA SUMANTRI NO. 33B,4,5,,Sukawarna,Kec. Sukajadi,-6.889,107.5809,Tidak ada,Tidak Aktif,Yayasan
20219213,SMK PELITA 2,SMK,SMA / sederajat,JL BABAKAN SURABAYA NO. 24,5,11,-,Babakan Surabaya,Kec. Kiaracondong,-6.9181,107.6294,Tidak ada,Tidak Aktif,Yayasan
20265543,SMKS SETIA BHAKTI,SMK,SMA / sederajat,JL KAWALUYAAN,6,6,-,Jati Sari,Kec. Buahbatu,-6.9378,107.6621,"C1, D",Tidak Aktif,Yayasan
20219174,SMKN 12 BANDUNG,SMK,SMA / sederajat,Jl. Pajajaran No. 92,2,2,,Pamoyanan,Kec. Cicendo,-6.907,107.5928,Tidak ada,Aktif,Pemerintah Daerah
20219143,SMKN 5 BANDUNG,SMK,SMA / sederajat,JL. BOJONGKONENG NO.37A BANDUNG,1,13,-,Sukapada,Kec. Cibeunying Kidul,-6.9001,107.6469,Tidak ada,Aktif,Pemerintah Pusat
69894963,SMK Bahagia,SMK,SMA / sederajat,Jl. Kliningan 3 No. 11,3,3,,Turangga,Kec. Lengkong,-6.943714,107.631336,Tidak ada,Tidak Aktif,Yayasan
20219212,SMKS SMIP YPPT BANDUNG,SMK,SMA / sederajat,JL SUKABUMI DALAM 3 BANDUNG,5,6,Kacapiring,Kacapiring,Kec. Batununggal,-6.916,107.6348,Tidak ada,Tidak Aktif,Yayasan
