lokasi,nama_komoditas,2016-03-04,2016-03-11,2016-03-18,2016-03-25,2016-03-01,2016-03-02,2016-03-03,2016-03-07,2016-03-08,2016-03-10,2016-03-14,2016-03-15,2016-03-16,2016-03-17,2016-03-20,2016-03-21,2016-03-22,2016-03-23,2016-03-24,2016-03-28,2016-03-29,2016-03-30,2016-03-31,2016-03-05,2016-03-06,2016-03-09
Pasar Kosambi,Susu Kental Manis Merk Bendera,10000,10000,0,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,11000,10000,10000,10000
Pasar Kosambi,Susu Kental Manis Merk Indomilk,9500,9500,0,0,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,10000,0,0,0
Pasar Kosambi,Garam Beryodium Bata,1500,1500,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,0,1000,1500,1500,1500
Pasar Kosambi,Garam Beryodium Halus,6000,6000,0,0,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,0,6000,6000,6000,6000
Pasar Kosambi,Tepung Terigu Cakra Kembar,7500,7500,0,0,7500,7500,7500,7500,7500,7500,0,0,0,7500,7500,7500,7500,7500,7500,7500,7500,0,0,7500,7500,7500
Pasar Kosambi,Tepung Terigu Kunci,7000,7000,0,0,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,0,0,7500,7000,7000,7000
Pasar Kosambi,Mie Instan,2100,2100,0,0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,0,2500,2100,2100,2100
Pasar Kosambi,Cabe Rawit Hijau,50000,50000,0,0,50000,50000,40000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,35000,40000,0,45000,50000,50000,40000
Pasar Kosambi,Kacang Hijau,20000,20000,0,0,20000,20000,20000,20000,20000,20000,0,0,0,0,0,20000,20000,20000,20000,20000,20000,0,22000,20000,20000,20000
Pasar Kosambi,Susu Bubuk Dancow,34500,34500,0,0,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,0,38300,34500,34500,34500
Pasar Kosambi,Susu Bubuk Indomilk,30000,30000,0,0,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,9500,9500,30000,0,0,0,34950,0,0,0
Pasar Kosambi,Ikan Kembung,30000,30000,0,0,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,0,35000,30000,30000,30000
