indikator,kecamatan,kelurahan_desa,milik_sendiri,milik_orang_lain,tanah_negara,lainnya,total_krt
"Status Lahan Tempat Tinggal",REGOL,PASIRLUYU,612,20,1,0,1038
"Status Lahan Tempat Tinggal",REGOL,ANCOL,124,7,29,0,477
"Status Lahan Tempat Tinggal",REGOL,CIGERELENG,110,1,1,0,371
"Status Lahan Tempat Tinggal",REGOL,CIATEUL,39,6,15,0,211
"Status Lahan Tempat Tinggal",REGOL,PUNGKUR,78,0,5,0,233
"Status Lahan Tempat Tinggal",REGOL,"BALONG GEDE",55,6,32,0,231
"Status Lahan Tempat Tinggal",LENGKONG,CIJAGRA,125,3,0,2,256
"Status Lahan Tempat Tinggal",LENGKONG,TURANGGA,31,3,47,0,163
"Status Lahan Tempat Tinggal",LENGKONG,"LINGKAR SELATAN",10,1,46,3,113
"Status Lahan Tempat Tinggal",LENGKONG,MALABAR,65,5,118,0,309
"Status Lahan Tempat Tinggal",LENGKONG,BURANGRANG,166,3,110,0,459
"Status Lahan Tempat Tinggal",LENGKONG,CIKAWAO,116,11,73,3,354
"Status Lahan Tempat Tinggal",LENGKONG,PALEDANG,58,4,1,0,250
"Status Lahan Tempat Tinggal","BANDUNG KIDUL",WATES,254,11,1,18,671
"Status Lahan Tempat Tinggal","BANDUNG KIDUL",MENGGER,245,11,1,0,465
"Status Lahan Tempat Tinggal","BANDUNG KIDUL",BATUNUNGGAL,392,51,53,21,1130
"Status Lahan Tempat Tinggal","BANDUNG KIDUL",KUJANGSARI,693,47,174,0,1126
"Status Lahan Tempat Tinggal",BUAHBATU,CIJAURA,873,24,8,18,1424
"Status Lahan Tempat Tinggal",BUAHBATU,MARGASARI,1136,6,1,1,1938
"Status Lahan Tempat Tinggal",BUAHBATU,SEKEJATI,479,27,1,5,893
"Status Lahan Tempat Tinggal",BUAHBATU,"JATI SARI",118,1,8,1,296
"Status Lahan Tempat Tinggal",RANCASARI,DERWATI,498,15,2,170,1129
"Status Lahan Tempat Tinggal",RANCASARI,CIPAMOKOLAN,299,13,9,105,657
"Status Lahan Tempat Tinggal",RANCASARI,MANJAHLEGA,236,6,11,2,388
"Status Lahan Tempat Tinggal",RANCASARI,MEKARJAYA,544,8,0,0,660
"Status Lahan Tempat Tinggal",GEDEBAGE,RANCABOLANG,230,8,0,0,355
"Status Lahan Tempat Tinggal",GEDEBAGE,RANCANUMPANG,91,2,0,0,124
"Status Lahan Tempat Tinggal",GEDEBAGE,"CISARANTEN KIDUL",462,40,4,3,818
"Status Lahan Tempat Tinggal",GEDEBAGE,CIMINCRANG,185,14,0,0,249
"Status Lahan Tempat Tinggal",CIBIRU,"PASIR BIRU",595,42,0,0,970
"Status Lahan Tempat Tinggal",CIBIRU,CIPADUNG,607,85,2,7,1140
"Status Lahan Tempat Tinggal",CIBIRU,PALASARI,411,25,2,18,851
"Status Lahan Tempat Tinggal",CIBIRU,CISURUPAN,695,31,1,2,891
"Status Lahan Tempat Tinggal",PANYILEUKAN,"MEKAR MULYA",13,0,0,0,109
"Status Lahan Tempat Tinggal",PANYILEUKAN,"CIPADUNG KIDUL",81,1,0,1,175
"Status Lahan Tempat Tinggal",PANYILEUKAN,"CIPADUNG WETAN",242,4,0,0,348
"Status Lahan Tempat Tinggal",PANYILEUKAN,"CIPADUNG KULON",294,3,0,1,653
"Status Lahan Tempat Tinggal","UJUNG BERUNG",PASANGGRAHAN,809,42,0,7,1286
"Status Lahan Tempat Tinggal","UJUNG BERUNG",PASIRJATI,654,31,0,3,1104
"Status Lahan Tempat Tinggal","UJUNG BERUNG","PASIR WANGI",613,87,0,1,1143
"Status Lahan Tempat Tinggal","UJUNG BERUNG",CIGENDING,309,87,1,1,914
"Status Lahan Tempat Tinggal","UJUNG BERUNG","PASIR ENDAH",200,4,2,4,366
"Status Lahan Tempat Tinggal",CINAMBO,"CISARANTEN WETAN",240,3,0,0,325
"Status Lahan Tempat Tinggal",CINAMBO,"BABAKAN PENGHULU",208,45,1,0,414
"Status Lahan Tempat Tinggal",CINAMBO,PAKEMITAN,111,2,0,0,191
"Status Lahan Tempat Tinggal",CINAMBO,SUKAMULYA,132,3,0,1,360
"Status Lahan Tempat Tinggal",ARCAMANIK,"CISARANTEN KULON",542,24,2,3,1061
"Status Lahan Tempat Tinggal",ARCAMANIK,"CISARANTEN BINA HARAPAN",534,7,0,0,926
"Status Lahan Tempat Tinggal",ARCAMANIK,SUKAMISKIN,284,16,1,0,697
"Status Lahan Tempat Tinggal",ARCAMANIK,"CISARANTEN ENDAH",530,15,76,20,831
"Status Lahan Tempat Tinggal",ANTAPANI,"ANTAPANI KIDUL",166,17,23,0,307
"Status Lahan Tempat Tinggal",ANTAPANI,"ANTAPANI TENGAH",412,21,4,16,749
"Status Lahan Tempat Tinggal",ANTAPANI,"ANTAPANI WETAN",313,3,0,5,761
"Status Lahan Tempat Tinggal",ANTAPANI,"ANTAPANI KULON",222,5,0,0,483
"Status Lahan Tempat Tinggal",MANDALAJATI,JATIHANDAP,774,88,55,0,1276
"Status Lahan Tempat Tinggal",MANDALAJATI,"KARANG PAMULANG",570,32,24,21,1105
"Status Lahan Tempat Tinggal",MANDALAJATI,"SINDANG JAYA",374,10,0,0,561
"Status Lahan Tempat Tinggal",MANDALAJATI,"PASIR IMPUN",301,7,2,0,396
"Status Lahan Tempat Tinggal",KIARACONDONG,"KEBON KANGKUNG",429,14,0,2,768
"Status Lahan Tempat Tinggal",KIARACONDONG,SUKAPURA,627,63,116,11,1792
"Status Lahan Tempat Tinggal",KIARACONDONG,"KEBUN JAYANTI",189,55,56,1,904
"Status Lahan Tempat Tinggal",KIARACONDONG,"BABAKAN SARI",491,44,523,5,1634
"Status Lahan Tempat Tinggal",KIARACONDONG,"BABAKAN SURABAYA",471,5,28,21,1039
"Status Lahan Tempat Tinggal",KIARACONDONG,CICAHEUM,296,11,1,12,905
"Status Lahan Tempat Tinggal",BATUNUNGGAL,GUMURUH,303,46,81,9,823
"Status Lahan Tempat Tinggal",BATUNUNGGAL,BINONG,446,46,15,5,1020
"Status Lahan Tempat Tinggal",BATUNUNGGAL,"KEBON GEDANG",160,15,15,3,586
"Status Lahan Tempat Tinggal",BATUNUNGGAL,MALEER,425,63,226,65,1423
"Status Lahan Tempat Tinggal",BATUNUNGGAL,CIBANGKONG,174,11,164,14,1020
"Status Lahan Tempat Tinggal",BATUNUNGGAL,SAMOJA,213,54,387,6,1019
"Status Lahan Tempat Tinggal",BATUNUNGGAL,KACAPIRING,4,4,220,0,456
"Status Lahan Tempat Tinggal",BATUNUNGGAL,"KEBON WARU",140,8,292,169,841
"Status Lahan Tempat Tinggal","SUMUR BANDUNG",BRAGA,45,61,7,0,189
"Status Lahan Tempat Tinggal","SUMUR BANDUNG","KEBON PISANG",30,14,78,2,296
"Status Lahan Tempat Tinggal","SUMUR BANDUNG",MERDEKA,1,0,31,0,53
"Status Lahan Tempat Tinggal","SUMUR BANDUNG","BABAKAN CIAMIS",62,6,28,0,181
"Status Lahan Tempat Tinggal",ANDIR,CAMPAKA,426,22,61,0,866
"Status Lahan Tempat Tinggal",ANDIR,MALEBER,308,14,60,2,732
"Status Lahan Tempat Tinggal",ANDIR,GARUDA,217,20,29,0,506
"Status Lahan Tempat Tinggal",ANDIR,"DUNGUS CARIANG",273,49,29,32,784
"Status Lahan Tempat Tinggal",ANDIR,CIROYOM,341,20,68,3,1109
"Status Lahan Tempat Tinggal",ANDIR,"KEBON JERUK",117,37,60,0,518
"Status Lahan Tempat Tinggal",CICENDO,ARJUNA,39,5,1,0,204
"Status Lahan Tempat Tinggal",CICENDO,PASIRKALIKI,101,13,4,1,300
"Status Lahan Tempat Tinggal",CICENDO,PAMOYANAN,21,4,75,1,182
"Status Lahan Tempat Tinggal",CICENDO,PAJAJARAN,424,87,313,4,1175
"Status Lahan Tempat Tinggal",CICENDO,"HUSEN SASTRANEGARA",23,37,407,7,859
"Status Lahan Tempat Tinggal",CICENDO,SUKARAJA,395,14,3,3,815
"Status Lahan Tempat Tinggal","BANDUNG WETAN","TAMAN SARI",159,59,146,2,786
"Status Lahan Tempat Tinggal","BANDUNG WETAN",CITARUM,0,0,9,0,25
"Status Lahan Tempat Tinggal","BANDUNG WETAN",CIHAPIT,1,0,28,0,34
"Status Lahan Tempat Tinggal","CIBEUNYING KIDUL",SUKAMAJU,154,6,8,0,421
"Status Lahan Tempat Tinggal","CIBEUNYING KIDUL",CICADAS,71,99,87,4,587
"Status Lahan Tempat Tinggal","CIBEUNYING KIDUL",CIKUTRA,383,83,68,14,1025
"Status Lahan Tempat Tinggal","CIBEUNYING KIDUL",PADASUKA,294,6,14,2,918
"Status Lahan Tempat Tinggal","CIBEUNYING KIDUL",PASIRLAYUNG,430,58,0,2,1066
"Status Lahan Tempat Tinggal","CIBEUNYING KIDUL",SUKAPADA,378,49,103,14,1244
"Status Lahan Tempat Tinggal","CIBEUNYING KALER",CIHAURGEULIS,62,10,122,10,482
"Status Lahan Tempat Tinggal","CIBEUNYING KALER",SUKALUYU,131,89,0,0,497
"Status Lahan Tempat Tinggal","CIBEUNYING KALER",NEGLASARI,186,9,2,2,386
"Status Lahan Tempat Tinggal","CIBEUNYING KALER",CIGADUNG,615,19,18,1,1057
"Status Lahan Tempat Tinggal",COBLONG,CIPAGANTI,175,14,73,0,694
"Status Lahan Tempat Tinggal",COBLONG,"LEBAK SILIWANGI",117,1,29,0,269
"Status Lahan Tempat Tinggal",COBLONG,"LEBAK GEDE",42,2,134,3,381
"Status Lahan Tempat Tinggal",COBLONG,"SADANG SERANG",206,24,184,14,1139
"Status Lahan Tempat Tinggal",COBLONG,SEKELOA,380,34,89,2,1006
"Status Lahan Tempat Tinggal",COBLONG,DAGO,493,64,158,44,1317
"Status Lahan Tempat Tinggal",SUKAJADI,SUKAWARNA,246,6,0,0,392
"Status Lahan Tempat Tinggal",SUKAJADI,SUKAGALIH,571,11,13,0,1012
"Status Lahan Tempat Tinggal",SUKAJADI,SUKABUNGAH,544,40,0,1,1322
"Status Lahan Tempat Tinggal",SUKAJADI,CIPEDES,551,19,0,0,1337
"Status Lahan Tempat Tinggal",SUKAJADI,PASTEUR,244,14,2,0,759
"Status Lahan Tempat Tinggal",SUKASARI,SARIJADI,281,3,0,3,534
"Status Lahan Tempat Tinggal",SUKASARI,SUKARASA,239,22,0,47,426
"Status Lahan Tempat Tinggal",SUKASARI,GEGERKALONG,391,30,6,23,600
"Status Lahan Tempat Tinggal",SUKASARI,ISOLA,233,2,0,3,379
"Status Lahan Tempat Tinggal",CIDADAP,HEGARMANAH,409,22,2,0,569
"Status Lahan Tempat Tinggal",CIDADAP,CIUMBULEUIT,557,37,44,1,765
"Status Lahan Tempat Tinggal",CIDADAP,LEDENG,177,4,0,1,268
