No,NAMA PERUSAHAAN,Persil/Lokasi,Izin,Kelurahan,Kecamatan,Wilayah
27,"CV. CATUR DASSA PRATAMA 
Jalan Kawali Raya No. 40 Bandung",Jalan Kawali Raya No. 40 ,Izin Usaha Perdagangan,Antapani Tengah,Antapani,UJUNGBERUNG
28,"HORIZON DEPARTEMEN STORE 
Jalan Jend. A. Yani No. 603-605 Bandung",Jalan Jend. A. Yani No. 603-605 ,Izin Usaha Perdagangan,Cikutra,Cibeunying Kidul,CIBEUNYING
29,"KOPERASI SYARIAH BMT BARRAH 
Jalan Kiara Sari Asri No. 10 Bandung",Jalan Kiara Sari Asri No. 10 ,Izin Usaha Perdagangan,Margasari,Buahbatu,GEDEBAGE
30,"PT. TOSCA INTERNATIONAL 
Jalan Pasirkaliki ",Jalan Pasirkaliki ,Izin Usaha Perdagangan,Sukabungah,Sukajadi,BOJONAGARA
31,"TOKO TITIRAN 
Jalan Manglayang III No. 11 Bandung",Jalan Manglayang III No. 11 ,Izin Usaha Perdagangan,Palasari,Cibiru,UJUNGBERUNG
32,"TOKO PUSAKA RAMA 
Jalan Jend. Sudirman No. 34",Jalan Jend. Sudirman No. 34,Izin Usaha Perdagangan,Kebon Jeruk,Andir,BOJONAGARA
33,"CV. PENTA MULTISOLUSI 
Jalan Garut No. 8 B Bandung",Jalan Garut No. 8 B ,Izin Usaha Perdagangan,Kacapiring,Batununggal,KAREES
34,"FENCE TANIA 
Jalan Puri Dago Raya I Bandung",Jalan Puri Dago Raya I ,Izin Usaha Perdagangan,Sukamiskin,Arcamanik,UJUNGBERUNG
35,"CV. MARGA GANDA UTAMA 
Jalan RE. Martadinata No. 120",Jalan RE. Martadinata No. 120,Izin Usaha Perdagangan,Merdeka,Sumur Bandung,CIBEUNYING
36,"PT. BUMI ANGGREK ENERGI 
Jalan Anggrek No. 30 Bandung",Jalan Anggrek No. 30 ,Izin Usaha Perdagangan,Merdeka,Sumur Bandung,CIBEUNYING
37,"PT. KARTIKA  FOOD  INDUSTRY                                                                                                         
Jalan H. Akbar  No. 4 - 6 - 8  Bandung",Jalan H. Akbar  No. 4 - 6 - 8  ,Izin Usaha Perdagangan,Pasirkaliki,Cicendo,BOJONAGARA
38,"PT. KARTIKA  FOOD  INDUSTRY 
Jalan H. Akbar  No. 3 - 5 - 7  Bandung",Jalan H. Akbar  No. 3 - 5 - 7  ,Izin Usaha Perdagangan,Pasirkaliki,Cicendo,BOJONAGARA
39,"PT. KARTIKA  FOOD  INDUSTRY 
Jalan Ir. H. Juanda  No. 85 - 87  Bandung",Jalan Ir. H. Juanda  No. 85 - 87  ,Izin Usaha Perdagangan,Lebak Siliwangi,Coblong,CIBEUNYING
40,"PT. GARUDA ITARULI JAYA 
Jalan Permata Indah Kav. A-1 ",Komp. Permata Indah Kav. A-1 ,Izin Usaha Perdagangan,Cisaranten Kulon,Arcamanik,UJUNGBERUNG
41,"CV. PURNAMA MITRANIAGA 
Jalan  Cempaka Arum M-12 No. 91",Griya Cempaka Arum M-12 No. 91,Izin Usaha Perdagangan,Rancanumpang,Gedebage,GEDEBAGE
42,"CV. KOONSFITO FARMACA 
Jalan Pratista Barat VIII No. 21",Jalan Pratista Barat VIII No. 21,Izin Usaha Perdagangan,Antapani Kidul,Antapani,UJUNGBERUNG
43,"PT. ARTA ESTETIKA 
Jalan LOMBOK NO. 39 A",Jalan LOMBOK NO. 39 A,Izin Usaha Perdagangan,Citarum,Bandung Wetan,CIBEUNYING
44,"CV. LARAS  MULTIKREASI 
Jalan Margacinta  No. 169  Bandung",Jalan Margacinta  No. 169  ,Izin Usaha Perdagangan,Cijaura,Buahbatu,GEDEBAGE
45,"SAN  S    SALON 
Jalan sukajadi  Jalan  No. 18 i  Bandung",Jalan sukajadi  Ruko  No. 18 i  ,Izin Usaha Perdagangan,Pasteur,Sukajadi,BOJONAGARA
46,"UNIT USAHA YAYASAN  ASSYAKUR  LINGGA  BANDUNG 
Jalan Soekarno  Hatta  No. 464  Bandung",Jalan Soekarno  Hatta  No. 464  ,Izin Usaha Perdagangan,Batununggal,Bandung Kidul,GEDEBAGE
47,"PRIMKOP. SESKO. TNI. 
Jalan RAA. Martanegara  No. 45  Bandung",Jalan RAA. Martanegara  No. 45  ,Izin Usaha Perdagangan,Lingkar Selatan,Lengkong,KAREES
48,"PT. KARYA  ORANG  TUA 
Jalan Rajawali  Barat  No. 54 - 56  Bandung",Jalan Rajawali  Barat  No. 54 - 56  ,Izin Usaha Perdagangan,Maleber,Andir,BOJONAGARA
49,"CV. GIANERA KREASI MAJU BERSAMA 
Jalan Jatiwangi Raya No. 63 Bandung",Jalan Jatiwangi Raya No. 63 ,Izin Usaha Perdagangan,Antapani Tengah,Antapani,UJUNGBERUNG
50,"PT. KAGUM USAHA MAJU 
Jalan Ir. Sutami No. 133",Jalan Ir. Sutami No. 133,Izin Usaha Perdagangan,Sukarasa,Sukasari,BOJONAGARA
51,"PT. ROINDO ARTHA LESTARI 
Jala Jawa No. 3",Jala Jawa No. 3,Izin Usaha Perdagangan,Babakan Ciamis,Sumur Bandung,CIBEUNYING
52,"KALUKIE SHOP 
Jalan Metro Indah Mall GF B1 No. 21",Metro Indah Mall GF B1 No. 21,Izin Usaha Perdagangan,Sekejati,Buahbatu,GEDEBAGE
53,"FRANCO JUNIOR 
Jalan JalanHolis Indah B-4 No. 21 Bandung",KOmp. Taman Holis Indah B-4 No. 21 ,Izin Usaha Perdagangan,Cigondewah Kidul,Bandung Kulon,TEGALLEGA
54,"MEKAR WANGI BERAS 
Jalan Cikutra No. 84",Jalan Cikutra No. 84,Izin Usaha Perdagangan,Padasuka,Cibeunying Kidul,CIBEUNYING
55,"CV. VENINDO JAYA LESTARI 
Jalan BIR C-5 No. 23 Bandung",Komp. BIR C-5 No. 23 ,Izin Usaha Perdagangan,Mekarjaya,Rancasari,GEDEBAGE
56,"I N D O P L A S 
Jalan Kopo  No. 313  Bandung",Jalan Kopo  No. 313  ,Izin Usaha Perdagangan,Situsaeur,Bojongloa Kidul,TEGALLEGA
57,"BARBER SHOP CONTONENTAL 
Jalan Batununggal Indah Raya No. 377-B bandung",Jalan Batununggal Indah Raya No. 377-B ,Izin Usaha Perdagangan,Batununggal,Bandung Kidul,GEDEBAGE
58,"CV. LAUTAN BERKAT 
Jalan Sri Remaja No. 21 Bandung",Jalan Sri Remaja No. 21 ,Izin Usaha Perdagangan,Cigereleng,Regol,KAREES
59,"CV. BHAKTI  EKA  KALBU 
Jalan Cilentah  No. 21  Bandung",Jalan Cilentah  No. 21  ,Izin Usaha Perdagangan,Burangrang,Lengkong,KAREES
60,"CV. KARTUN KARYA DINAMIKA 
Jalan  Batununggal RF.6 ",PASMOD Batununggal RF.6 ,Izin Usaha Perdagangan,Mengger,Bandung Kidul,GEDEBAGE
61,"PT. PANTI KOSMETIKA BARU ( CAB. BANDUNG ) 
Jalan Soekarno  Hatta  No. 71  Bandung",Jalan Soekarno  Hatta  No. 71  ,Izin Usaha Perdagangan,Warungmuncang,Bandung Kulon,TEGALLEGA
62,"CV. KENCANA  AGUNG 
Jalan Margajaya  V  No. A 17  Bandung",Jalan Margajaya  V  No. A 17  ,Izin Usaha Perdagangan,Margahayu Utara,Babakan Ciparay,TEGALLEGA
63,"BERKAH ABADI 
Jalan Kebon Jati No. 202 Bandung ",Jalan Kebon Jati No. 202 ,Izin Usaha Perdagangan,Kebon Jeruk,Andir,BOJONAGARA
64,"I N N A 
Jalan Otto  Iskandardinata  No. 594  Bandung",Jalan Otto  Iskandardinata  No. 594  ,Izin Usaha Perdagangan,Nyengseret,Astana Anyar,TEGALLEGA
65,"YOGHURT  HOUSE 
Jalan Yupiter  Barat  XI  No. 5  Bandung",Jalan Yupiter  Barat  XI  No. 5 / Blok H-2  No. 32   ,Izin Usaha Perdagangan,Sekejati,Buahbatu,GEDEBAGE
66,"INE PROFESIONAL MAKE UP & WEDDING 
Jalan Parakan Saat Jalan Komplek Sinergi Antapani No. 16 Bandung",Jalan Parakan Saat Ruko Komplek Sinergi Antapani No. 16 ,Izin Usaha Perdagangan,Antapani Tengah,Antapani,UJUNGBERUNG
67,"CV. HANDAL PERKASA 
Jalan Pasirluyu Selatan No. 113/205 A",Jalan Pasirluyu Selatan No. 113/205 A,Izin Usaha Perdagangan,Pasirluyu,Regol,KAREES
68,"CV. MITRA PRIMA ENERGY 
Jalan Holis  No. 95 - 97  Bandung",Jalan Holis  No. 95 - 97  ,Izin Usaha Perdagangan,Warungmuncang,Bandung Kulon,TEGALLEGA
69,"CV. TRISETIA INOVASI SEJAHTERA 
Jalan Dr. Setiabudhi No. 129-C Bandung",Jalan Dr. Setiabudhi No. 129-C ,Izin Usaha Perdagangan,Gegerkalong,Sukasari,BOJONAGARA
70,"TOKO KAIN DULATIF 
Jalan Dulatif No. 61 Bandung",Jalan Dulatif No. 61 ,Izin Usaha Perdagangan,Kebon Jeruk,Andir,BOJONAGARA
71,"ANTONY  HARYANTO 
Jalan Pasadena Jalan Sikas  B-3  No. 11 A  Bandung",Komp. Pasadena Jalan Sikas  B-3  No. 11 A  ,Izin Usaha Perdagangan,Margahayu Utara,Babakan Ciparay,TEGALLEGA
72,"PT. TRINITY INDO GARMENT 
Jalan Karang Tinggal No. 22",Jalan Karang Tinggal No. 22,Izin Usaha Perdagangan,Cipedes,Sukajadi,BOJONAGARA
73,"ANUGRAH JAYA MOTOR 
Jalan Pungkur No. 173 Bandung",Jalan Pungkur No. 173 ,Izin Usaha Perdagangan,Balonggede,Regol,KAREES
74,"CAHAYA  
Jalan Jend. A YAni No. 93",Jalan Jend. A YAni No. 93,Izin Usaha Perdagangan,Cikutra,Cibeunying Kidul,CIBEUNYING
75,"APOTEK  SEHAT  FARMA 
Jalan Terusan  Pasirkoja  No. 257  Bandung",Jalan Terusan  Pasirkoja  No. 257  ,Izin Usaha Perdagangan,Sukahaji,Babakan Ciparay,TEGALLEGA
76,"EDI SUTOYO 
Jalan Jend. A Yani No. 238 Blok P 2",Jalan Jend. A Yani No. 238 Blok P 2,Izin Usaha Perdagangan,Kebonwaru,Batununggal,KAREES
77,"TB. KOPO BANGUNAN 
Jalan Kopo No. 564",Jalan Kopo No. 564,Izin Usaha Perdagangan,Margasuka,Babakan Ciparay,TEGALLEGA
78,"PT. HEGARMANAH LESTARI 
Jalan Aruna No. 15",Jalan Aruna No. 15,Izin Usaha Perdagangan,Husein Sastra Negara,Cicendo,BOJONAGARA
79,"CV. JI  
Jalan Pasanggrahan Raya No. 30 Bandung",Jalan Pasanggrahan Raya No. 30 ,Izin Usaha Perdagangan,Cipadung Kulon,Panyileukan,GEDEBAGE
80,"PT. RAKA SYIFA MANDIRI 
Jalan Batununggal Indah II Blok RA 25",Jalan Batununggal Indah II Blok RA 25,Izin Usaha Perdagangan,Mengger,Bandung Kidul,GEDEBAGE
81,"CV. SYAHFITRI UTAMA 
Jalan  Golf  Barat   II  No. 11 A  Bandung",Jalan  Golf  Barat   II  No. 11 A  ,Izin Usaha Perdagangan,Campaka,Andir,BOJONAGARA
82,"PT. KARYA MITRA UTAMA 
Jalan Anyer No. 14 Bandung",Jalan Anyer No. 14 ,Izin Usaha Perdagangan,Kebonwaru,Batununggal,KAREES
83,"PT. SEKAWAN 
Jalan Ters. Buahbatu No. 26",Jalan Ters. Buahbatu No. 26,Izin Usaha Perdagangan,Batununggal,Bandung Kidul,GEDEBAGE
84,"PANGLAYUNGAN HOTEL & RESIDENCE 
Jalan Gegerkalong Hilir No. 25 B",Jalan Gegerkalong Hilir No. 25 B,Izin Usaha Perdagangan,Gegerkalong,Sukasari,BOJONAGARA
85,"PT. CATUR DAYA SUKSES 
Jalan sari Mall Blok B4 No.90",Setra sari Mall Blok B4 No.90,Izin Usaha Perdagangan,Sukagalih,Sukajadi,BOJONAGARA
86,"PT. DAGO MEGAH CEMERLANG 
Jalan Mekar Asih No. 8",Jalan Mekar Asih No. 8,Izin Usaha Perdagangan,Kebonlega,Bojongloa Kidul,TEGALLEGA
87,"PT. BINTANG SUDIRMAN 
Jalan Suniaraja No. 14",Jalan Suniaraja No. 14,Izin Usaha Perdagangan,Braga,Sumur Bandung,CIBEUNYING
88,"M A K M U R 
Jalan Melong Asih No. 15 A  Bandung",Jalan Melong Asih No. 15 A  ,Izin Usaha Perdagangan,Cijerah,Bandung Kulon,TEGALLEGA
89,"CV. PANCARAN BUDI BAKTI 
Jalan Guntur No. 19 Bandung",Jalan Guntur No. 19 ,Izin Usaha Perdagangan,Malabar,Lengkong,KAREES
90,"CV. MEGATAMA 
Jalan Batik Kumeli 80 C Bandung",Jalan Batik Kumeli 80 C,Izin Usaha Perdagangan,Sukaluyu,Cibeunying Kaler,CIBEUNYING
91,"PT. PEMBANGUNAN PERUMAHAN Tbk c.q.Park Hotel Bandung 
Jalan. PHH. Mustafa No. 57/47",Jalan. PHH. Mustafa No. 57/47,Izin Usaha Perdagangan,Neglasari,Cibeunying Kaler,CIBEUNYING
92,"PT. CAHAYA SAKTI MULTI INTRACO 
Jalan Ibrahim Adjie No. 19 Bandung",Jalan Ibrahim Adjie No. 19 ,Izin Usaha Perdagangan,Sekejati,Buahbatu,GEDEBAGE
93,"CV. MAKMUR ABADI 
Jalan Riung Arum Timur X/30",Jalan Riung Arum Timur X/30,Izin Usaha Perdagangan,Cisaranten Kidul,Gedebage,GEDEBAGE
94,"PT. WIRA PIJAR ABADI 
Jalan Cipamokolan RT. 04/01 Bandung",Jalan Cipamokolan RT. 04/01 ,Izin Usaha Perdagangan,Derwati,Rancasari,GEDEBAGE
95,"PT. PERFORMA CIPTA HUSADA 
Jalan Dr. Setiabudhi No. 265 Bandung",Jalan Dr. Setiabudhi No. 265 ,Izin Usaha Perdagangan,Isola,Sukasari,BOJONAGARA
96,"RIFAL PHOTO COPY CENTER 
Jalan Sersan Surip No. 119/169-A Bandung ",Jalan Sersan Surip No. 119/169-A ,Izin Usaha Perdagangan,Ledeng,Cidadap,CIBEUNYING
97,"PT. MANAJEMEN ENERGI INDONESIA 
Jalan Suci Residence Blok D.7 Bandung",Komp. Suci Residence Blok D.7 ,Izin Usaha Perdagangan,Pasirlayung,Cibeunying Kidul,CIBEUNYING
98,"CV. LOMBOK ABADI 
Jalan Jend. A. Yani No. 284-F Bandung",Jalan Jend. A. Yani No. 284-F ,Izin Usaha Perdagangan,Kacapiring,Batununggal,KAREES
99,"PADASUKA 
Jalan ABC No. 6",Jalan ABC No. 6,Izin Usaha Perdagangan,Braga,Sumur Bandung,CIBEUNYING
100,"PT. NOTO SARONO NUGROHO 
Jalan Rajamantri Kulon No. 29 Bandung",Jalan Rajamantri Kulon No. 29 ,Izin Usaha Perdagangan,Turangga,Lengkong,KAREES
101,"CV. LOOK  ART  MEDIA 
Jalan Mayang Asih  No. 29  Bandung",Jalan Mayang Asih  No. 29  ,Izin Usaha Perdagangan,Pasir Endah,Ujungberung,UJUNGBERUNG
102,"CV. SAMIYAH MITRA ABADI 
Jalan Pasir Salaqm III No. 2 Bandung",Jalan Pasir Salaqm III No. 2 ,Izin Usaha Perdagangan,Ancol,Regol,KAREES
103,"PT. TRANSKA DHARMA KONSULTAN  
Jalan Gading Barat IV No.3 Bandung",Jalan Gading Barat IV No.3 ,Izin Usaha Perdagangan,Cipamokolan,Rancasari,GEDEBAGE
104,"DONI SALON 
Jalan Lodaya  No. 53",Jalan Lodaya No. 53,Izin Usaha Perdagangan,Burangrang,Lengkong,KAREES
105,"CV. MULKI 
Jalan Haremis I No. 40",Jalan Haremis I No. 40,Izin Usaha Perdagangan,Turangga,Lengkong,KAREES
106,"SAUDARA 
Jalan Mayor Sunarya No. 16 Bandung",Jalan Mayor Sunarya No. 16 ,Izin Usaha Perdagangan,Kebon Jeruk,Andir,BOJONAGARA
107,"SANDANG JAYA 
Jalan Kopo Jaya III No. 5 - Bandung",Jalan Kopo Jaya III No. 5 - ,Izin Usaha Perdagangan,Margahayu Utara,Babakan Ciparay,TEGALLEGA
108,"PT.NUROSADI FARMA 
Jalan Caringin  No. 254  Bandung",Jalan Caringin  No. 254  ,Izin Usaha Perdagangan,Babakan,Babakan Ciparay,TEGALLEGA
109,"CV. N W  BROTHERS 
Jalan Jajaway Dago Atas No. 48 Bandung",Jalan Jajaway Dago Atas No. 48 ,Izin Usaha Perdagangan,Dago,Coblong,CIBEUNYING
110,"CV.TRITUNGGAL MULTI KARYA 
Jalan ALANI NO.4 BDG",Jalan ALANI NO.4 BDG,Izin Usaha Perdagangan,Kebon Pisang,Sumur Bandung,CIBEUNYING
111,"PD. A B A D I 
Jalan Gardujati No. 16 Bandung",Jalan Gardujati No. 16 ,Izin Usaha Perdagangan,Kebon Jeruk,Andir,BOJONAGARA
112,"PT. DARMAGA ALAM INDONESIA 
Jalan Riung Arum Raya No. 20 Bandung",Jalan Riung Arum Raya No. 20 ,Izin Usaha Perdagangan,Cisaranten Kidul,Gedebage,GEDEBAGE
113,"PD. ASOKA 
Jalan Kejaksaan No. 40",Jalan Kejaksaan No. 40,Izin Usaha Perdagangan,Braga,Sumur Bandung,CIBEUNYING
114,"CV. DUNIS MEDIA PRATAMA 
Jalan Kebon Bibit Utara II No. 137/58",Jalan Kebon Bibit Utara II No. 137/58,Izin Usaha Perdagangan,Tamansari,Bandung Wetan,CIBEUNYING
115,"PT. MEDIANET TECHNOLOGY 
Jalan Merkuri Timur No. 2",Jalan Merkuri Timur No. 2,Izin Usaha Perdagangan,Manjahlega,Rancasari,GEDEBAGE
116,"TREND 
Jalan Holis No. 425 A  Bandung",Jalan Holis No. 425 A  ,Izin Usaha Perdagangan,Margahayu Utara,Babakan Ciparay,TEGALLEGA
117,"PT. ADITYA SUKSES GEMILANG 
Jalan Suniaraja No. 65 Z",Jalan Suniaraja No. 65 Z,Izin Usaha Perdagangan,Braga,Sumur Bandung,CIBEUNYING
118,"CV. PUNDI ARTHA SENA 
Jalan BTN Bumi Asri  E - 28 Bandung",Komp. BTN Bumi Asri  E - 28 ,Izin Usaha Perdagangan,Gempolsari,Bandung Kulon,TEGALLEGA
119,"CV. KAMANGKORA GENTRA WIWAHA 
Jalan Margahayu Raya Barat Blok S. 2 No. 46 ",Komp. Margahayu Raya Barat Blok S. 2 No. 46 ,Izin Usaha Perdagangan,Sekejati,Buahbatu,GEDEBAGE
120,"PT. LIMA SOLUSINDO MITRA UTAMA 
Jalan B K R  No. 14 B  Bandung",Jalan B K R  No. 14 B  ,Izin Usaha Perdagangan,Cijagra,Lengkong,KAREES
121,"PAHMI JAYA 
Jalan Bbk Sari No. 24",Jalan Bbk Sari No. 24,Izin Usaha Perdagangan,Babakansari,Kiaracondong,KAREES
122,"KOPERASI KKB. NTP KARYAWAN SEJAHTERA 
Jalan Pajajaran No. 154",Jalan Pajajaran No. 154,Izin Usaha Perdagangan,Husein Sastra Negara,Cicendo,BOJONAGARA
123,"ASVINDO 
Jalan Kebon Jayanti No. 210/134A",Jalan Kebon Jayanti No. 210/134A,Izin Usaha Perdagangan,Kebonjayanti,Kiaracondong,KAREES
124,"PT. MOIKMO  OPOI 
Jalan  Dorna  No. 2  Bandung",Jalan  Dorna  No. 2  ,Izin Usaha Perdagangan,Pamoyanan,Cicendo,BOJONAGARA
125,"PT. SARANA ALIH DAYA PRATAMA 
Jalan Jurang No. 65",Jalan Jurang No. 65,Izin Usaha Perdagangan,Pasteur,Sukajadi,BOJONAGARA
126,"SERAMBI JAYA 
Jalan BIR Blok B1 No. 18",Komp. BIR Blok B1 No. 18,Izin Usaha Perdagangan,Mekarjaya,Rancasari,GEDEBAGE
127,"CV. PURNA BHAKTI UTAMA (PURBHATAMA) 
Jalan Pelanduk No. 11",Jalan Pelanduk No. 11,Izin Usaha Perdagangan,Burangrang,Lengkong,KAREES
128,"APOTEK WARINGKAS 
Jalan Ciumbuleuit No. 43",Jalan Ciumbuleuit No. 43,Izin Usaha Perdagangan,Hegarmanah,Cidadap,CIBEUNYING
129,"APOTEK SAUYUNAN 
Jalan Gegerkalong Hilir No. 61 A",Jalan Gegerkalong Hilir No. 61 A,Izin Usaha Perdagangan,Sukarasa,Sukasari,BOJONAGARA
130,"CV. MOURY JAYA 
Batununggal Molek II No. 27 Bandung",Batununggal Molek II No. 27 ,Izin Usaha Perdagangan,Mengger,Bandung Kidul,GEDEBAGE
131,"RTJ (REDI TEJA PERKASA) 
Jalan Budi Setia No. 345/182-A Bandung",Jalan Budi Setia No. 345/182-A ,Izin Usaha Perdagangan,Pasteur,Sukajadi,BOJONAGARA
132,"TIRTA MAS 
Jalan Cilengkrang I RT. 04/ RW. 06",Jalan Cilengkrang I RT. 04/ RW. 06,Izin Usaha Perdagangan,Cisurupan,Cibiru,UJUNGBERUNG
133,"CV. CIKAL NUSANTARA JAYA 
Jalan Citepus III No. 9",Jalan Citepus III No. 9,Izin Usaha Perdagangan,Pajajaran,Cicendo,BOJONAGARA
134,"INA PRO 
Jalan Mega Murni No. 9",Jalan Mega Murni No. 9,Izin Usaha Perdagangan,Sukaraja,Cicendo,BOJONAGARA
135,"CV. PERMATA HAKIKI 
Jalan Pasir Subur No. 5 Bandung",Jalan Pasir Subur No. 5 ,Izin Usaha Perdagangan,Ancol,Regol,KAREES
136,"CAHAYA PRIMA ABADI 
Jalan Panutan I No. 8",Jalan Panutan I No. 8,Izin Usaha Perdagangan,Cipadung Kulon,Panyileukan,GEDEBAGE
137,"PT. GEOWAVE TECHNOLOGY 
Jalan Blitar No. 11",Jalan Blitar No. 11,Izin Usaha Perdagangan,Antapani Kidul,Antapani,UJUNGBERUNG
138,"COSMOS 
Jalan Pagarsih No. 44",Jalan Pagarsih No. 44,Izin Usaha Perdagangan,Cibadak,Astana Anyar,TEGALLEGA
139,"P R I M A 
Jalan H. Idrus  No. 186/89  Bandung",Gg. H. Idrus  No. 186/89  ,Izin Usaha Perdagangan,Cibadak,Astana Anyar,TEGALLEGA
140,"PD. SPBU 34.40209 
Jalan soekarno Hatta No. 801 Bandung",Jalan soekarno Hatta No. 801 ,Izin Usaha Perdagangan,Cisaranten Wetan,Cinambo,UJUNGBERUNG
141,"CV. KARYA  BAKTI 
Jalan Pratista  Timur  II  No. 50  Bandung",Jalan Pratista  Timur  II  No. 50  ,Izin Usaha Perdagangan,Antapani Kidul,Antapani,UJUNGBERUNG
142,"CV. AKBAR MULIA SEJAHTERA 
Jalan Cisiti Baru No. 30",Jalan Cisiti Baru No. 30,Izin Usaha Perdagangan,Dago,Coblong,CIBEUNYING
143,"COCA 
Jalan Pungkur No. 127",Jalan Pungkur No. 127,Izin Usaha Perdagangan,Balonggede,Regol,KAREES
