indikator,kecamatan,kelurahan_desa,pln,non_pln,tidak_ada_listrik,total_krt
"Sumber Penerangan","UJUNG BERUNG",CIGENDING,911,3,0,914
"Sumber Penerangan","UJUNG BERUNG","PASIR ENDAH",364,2,0,366
"Sumber Penerangan",CINAMBO,"CISARANTEN WETAN",323,2,0,325
"Sumber Penerangan",CINAMBO,"BABAKAN PENGHULU",410,4,0,414
"Sumber Penerangan",CINAMBO,PAKEMITAN,191,0,0,191
"Sumber Penerangan",CINAMBO,SUKAMULYA,360,0,0,360
"Sumber Penerangan",ARCAMANIK,"CISARANTEN KULON",937,124,0,1061
"Sumber Penerangan",ARCAMANIK,"CISARANTEN BINA HARAPAN",926,0,0,926
"Sumber Penerangan",ARCAMANIK,SUKAMISKIN,632,65,0,697
"Sumber Penerangan",ARCAMANIK,"CISARANTEN ENDAH",826,4,1,831
"Sumber Penerangan",ANTAPANI,"ANTAPANI KIDUL",307,0,0,307
"Sumber Penerangan",ANTAPANI,"ANTAPANI TENGAH",744,5,0,749
"Sumber Penerangan",ANTAPANI,"ANTAPANI WETAN",760,1,0,761
"Sumber Penerangan",ANTAPANI,"ANTAPANI KULON",464,19,0,483
"Sumber Penerangan",MANDALAJATI,JATIHANDAP,1267,9,0,1276
"Sumber Penerangan",MANDALAJATI,"KARANG PAMULANG",1101,4,0,1105
"Sumber Penerangan",MANDALAJATI,"SINDANG JAYA",557,4,0,561
"Sumber Penerangan",MANDALAJATI,"PASIR IMPUN",396,0,0,396
"Sumber Penerangan",KIARACONDONG,"KEBON KANGKUNG",748,19,1,768
"Sumber Penerangan",KIARACONDONG,SUKAPURA,1743,49,0,1792
"Sumber Penerangan",KIARACONDONG,"KEBUN JAYANTI",902,2,0,904
"Sumber Penerangan",KIARACONDONG,"BABAKAN SARI",1629,5,0,1634
"Sumber Penerangan",KIARACONDONG,"BABAKAN SURABAYA",1018,21,0,1039
"Sumber Penerangan",KIARACONDONG,CICAHEUM,903,2,0,905
"Sumber Penerangan",BATUNUNGGAL,GUMURUH,819,4,0,823
"Sumber Penerangan",BATUNUNGGAL,BINONG,956,64,0,1020
"Sumber Penerangan",BATUNUNGGAL,"KEBON GEDANG",586,0,0,586
"Sumber Penerangan",BATUNUNGGAL,MALEER,1422,1,0,1423
"Sumber Penerangan",BATUNUNGGAL,CIBANGKONG,981,39,0,1020
"Sumber Penerangan",BATUNUNGGAL,SAMOJA,1018,1,0,1019
"Sumber Penerangan",BATUNUNGGAL,KACAPIRING,455,1,0,456
"Sumber Penerangan",BATUNUNGGAL,"KEBON WARU",837,4,0,841
"Sumber Penerangan","SUMUR BANDUNG",BRAGA,189,0,0,189
"Sumber Penerangan","SUMUR BANDUNG","KEBON PISANG",296,0,0,296
"Sumber Penerangan","SUMUR BANDUNG",MERDEKA,53,0,0,53
"Sumber Penerangan","SUMUR BANDUNG","BABAKAN CIAMIS",181,0,0,181
"Sumber Penerangan",ANDIR,CAMPAKA,864,2,0,866
"Sumber Penerangan",ANDIR,MALEBER,728,4,0,732
"Sumber Penerangan",ANDIR,GARUDA,506,0,0,506
"Sumber Penerangan",ANDIR,"DUNGUS CARIANG",783,1,0,784
"Sumber Penerangan",ANDIR,CIROYOM,1108,1,0,1109
"Sumber Penerangan",ANDIR,"KEBON JERUK",516,2,0,518
"Sumber Penerangan",CICENDO,ARJUNA,204,0,0,204
"Sumber Penerangan",CICENDO,PASIRKALIKI,300,0,0,300
"Sumber Penerangan",CICENDO,PAMOYANAN,181,1,0,182
"Sumber Penerangan",CICENDO,PAJAJARAN,1090,85,0,1175
"Sumber Penerangan",CICENDO,"HUSEN SASTRANEGARA",835,24,0,859
"Sumber Penerangan",CICENDO,SUKARAJA,804,11,0,815
"Sumber Penerangan","BANDUNG WETAN","TAMAN SARI",785,1,0,786
"Sumber Penerangan","BANDUNG WETAN",CITARUM,25,0,0,25
"Sumber Penerangan","BANDUNG WETAN",CIHAPIT,34,0,0,34
"Sumber Penerangan","CIBEUNYING KIDUL",SUKAMAJU,420,1,0,421
"Sumber Penerangan","CIBEUNYING KIDUL",CICADAS,587,0,0,587
"Sumber Penerangan","CIBEUNYING KIDUL",CIKUTRA,1021,4,0,1025
"Sumber Penerangan","CIBEUNYING KIDUL",PADASUKA,912,6,0,918
"Sumber Penerangan","CIBEUNYING KIDUL",PASIRLAYUNG,1025,41,0,1066
"Sumber Penerangan","CIBEUNYING KIDUL",SUKAPADA,1233,11,0,1244
"Sumber Penerangan","CIBEUNYING KALER",CIHAURGEULIS,475,7,0,482
"Sumber Penerangan","CIBEUNYING KALER",SUKALUYU,497,0,0,497
"Sumber Penerangan","CIBEUNYING KALER",NEGLASARI,386,0,0,386
"Sumber Penerangan","CIBEUNYING KALER",CIGADUNG,1051,6,0,1057
"Sumber Penerangan",COBLONG,CIPAGANTI,693,1,0,694
"Sumber Penerangan",COBLONG,"LEBAK SILIWANGI",269,0,0,269
"Sumber Penerangan",COBLONG,"LEBAK GEDE",380,1,0,381
"Sumber Penerangan",COBLONG,"SADANG SERANG",1134,5,0,1139
"Sumber Penerangan",COBLONG,SEKELOA,1004,2,0,1006
"Sumber Penerangan",COBLONG,DAGO,1301,16,0,1317
"Sumber Penerangan",SUKAJADI,SUKAWARNA,387,5,0,392
"Sumber Penerangan",SUKAJADI,SUKAGALIH,879,133,0,1012
"Sumber Penerangan",SUKAJADI,SUKABUNGAH,1284,38,0,1322
"Sumber Penerangan",SUKAJADI,CIPEDES,1334,3,0,1337
"Sumber Penerangan",SUKAJADI,PASTEUR,753,6,0,759
"Sumber Penerangan",SUKASARI,SARIJADI,534,0,0,534
"Sumber Penerangan",SUKASARI,SUKARASA,426,0,0,426
"Sumber Penerangan",SUKASARI,GEGERKALONG,600,0,0,600
"Sumber Penerangan",SUKASARI,ISOLA,379,0,0,379
"Sumber Penerangan",CIDADAP,HEGARMANAH,568,1,0,569
"Sumber Penerangan",CIDADAP,CIUMBULEUIT,763,2,0,765
"Sumber Penerangan",CIDADAP,LEDENG,266,2,0,268
