indikator,kecamatan,kelurahan_desa,sepeda,sepeda_motor,mobil,perahu,perahu_motor,motor_tempel,kapal,total_krt
"Aset Kendaraan","CIBEUNYING KALER",CIHAURGEULIS,15,110,0,0,0,0,0,482
"Aset Kendaraan","CIBEUNYING KALER",SUKALUYU,5,96,0,0,0,0,0,497
"Aset Kendaraan","CIBEUNYING KALER",NEGLASARI,24,104,0,0,0,0,0,386
"Aset Kendaraan","CIBEUNYING KALER",CIGADUNG,43,442,0,0,0,0,0,1057
"Aset Kendaraan",COBLONG,CIPAGANTI,12,192,0,0,0,0,0,694
"Aset Kendaraan",COBLONG,"LEBAK SILIWANGI",10,57,0,0,0,0,0,269
"Aset Kendaraan",COBLONG,"LEBAK GEDE",19,131,0,0,0,0,0,381
"Aset Kendaraan",COBLONG,"SADANG SERANG",44,371,0,0,0,0,0,1139
"Aset Kendaraan",COBLONG,SEKELOA,47,361,0,0,0,0,0,1006
"Aset Kendaraan",COBLONG,DAGO,15,306,1,0,0,0,0,1317
"Aset Kendaraan",SUKAJADI,SUKAWARNA,3,109,0,0,0,0,0,392
"Aset Kendaraan",SUKAJADI,SUKAGALIH,40,303,0,0,0,0,0,1012
"Aset Kendaraan",SUKAJADI,SUKABUNGAH,26,276,0,0,0,0,0,1322
"Aset Kendaraan",SUKAJADI,CIPEDES,27,302,1,0,0,0,0,1337
"Aset Kendaraan",SUKAJADI,PASTEUR,21,131,0,0,0,0,0,759
"Aset Kendaraan",SUKASARI,SARIJADI,20,180,0,0,0,0,0,534
"Aset Kendaraan",SUKASARI,SUKARASA,5,252,1,0,0,0,0,426
"Aset Kendaraan",SUKASARI,GEGERKALONG,5,17,0,0,0,0,0,600
"Aset Kendaraan",SUKASARI,ISOLA,57,128,0,0,0,0,0,379
"Aset Kendaraan",CIDADAP,HEGARMANAH,14,140,2,0,0,0,0,569
"Aset Kendaraan",CIDADAP,CIUMBULEUIT,13,228,0,0,0,0,0,765
"Aset Kendaraan",CIDADAP,LEDENG,13,57,1,0,0,0,0,268
