NO,NAMA,ALAMAT,JENIS KEGIATAN
73,PT. Lentherhaka,Jl. Soekarno Hatta No. 29,Perdagangan
74,PT. Jaya Baru Abadi Sentosa,Jl. Cijerah No. 254,Toko Kain
75,CV. Shenko Abadi,Jl. Melon Asih No. 61 RT. 06 RW. 08,Toko Busana Muslim
76,PT. Aura Cendekia Sejahtera,Jl. Mekar Hurip No. 17,Perdagangan jasa diklat
77,CV. Hari Baru,Jl. Cijerah Gg. H. Subki,Penjualan alat-alat motor
78,CV. Indomaret,Jl. Melong Asih No. 63,Minimarket
79,CV. Ilham,Jl. Cijerah RT. 06 RW. 04,Kelontongan
80,CV. Bread Point,Jl. Cijerah No. 247 RT. 06 RW. 02,Toko Kopi
81,CV. Global Grapindo Internasional,Jl. Cijerah No. 33,Perdagangan umum exim
82,CV. Anggi Mugni Abadi,Jl. Mekar Sari No. 10,Laundry/ Perdagangan umum
83,CV. Triguna Abadi Makmur,Komplek Cijerah Permai No. A1 RT. 02 RW. 08,Tour dan travel
84,PT. Anugerah Kannon Abadi,Jl. Melong Cijerah No. 10/24,Perdagangan jasa
85,PT. Sampulu Sada Mandoit,Jl. Cijerah No. 106,Perdagangan
86,CV. Rabya Global Indo,Jl. Cijerah I No. 28,Perdagangan barang dan jasa
87,PT. Pundimas Majumapan,Jl. Holis No. 340 RT. 03 RW. 04,Textile
88,CV. Mayasari Jaya Sentosa,Jl. Bojong Raya No. 17 RT. 01 RW. 06,Industri makanan
89,CV. Margo Mulyo,Jl. Bojong Raya No. 27 RT. 01 RW. 06,Ekspedisi
90,PT. Satiya Jaya Raya,Jl. Syahbandar No. 4 RT. 01 RW. 01,Perdagangan barang dan jasa
91,Kantor Jasa Penilai Publik,Jl. Tegel No. 1 RT. 03 RW. 05,Konsultasi Penilai
92,CV. Mirtazani Insan Cemerlang,Jl. Bojong Raya No. 86,Toko Busana Muslim
93,CV. Kanca Kemes Lestari,Jl. Cicukang No. 20 RT. 04 RW. 03,Kantor Pengolahan Kertas
94,PT. Jaya Utama Perkasa,Jl. Holis Permai No. 11 RT. 05 RW. 03,Konveksi
95,PT. Tirta Guna Engineering,Jl. Syahbandar No. 16,Jasa Konsultasi Teknik
96,PT. Sarichem Polywarna,Jl. Holis No. 262 RT. 07 RW. 01,Kantor Alat perlengkapan tekstil
97,PT. Tri Eka Putra Lestari,Jl. Cicukang No. 14 RT. 04 RW. 09,Gudang Kimia Tekstil
98,PT. Tri Eka Putra Lestari,Jl. Holis No. 23/3 RT. 01 RW. 04,Kantor 
99,PT. Shiddiq Amanah Tours Travel,Jl. Cijerah 217,Perjalanan Haji dan Umroh
