indikator,kecamatan,kelurahan_desa,jumlah_babi,jumlah_kambing,jumlah_kerbau,jumlah_kuda,jumlah_sapi,total_krt
"Aset Ternak",COBLONG,CIPAGANTI,0,0,0,0,0,694
"Aset Ternak",COBLONG,"LEBAK SILIWANGI",0,0,0,0,0,269
"Aset Ternak",COBLONG,"LEBAK GEDE",0,2,0,0,0,381
"Aset Ternak",COBLONG,"SADANG SERANG",0,0,0,0,0,1139
"Aset Ternak",COBLONG,SEKELOA,0,0,0,0,0,1006
"Aset Ternak",COBLONG,DAGO,0,4,0,0,0,1317
"Aset Ternak",SUKAJADI,SUKAWARNA,0,0,0,0,0,392
"Aset Ternak",SUKAJADI,SUKAGALIH,0,2,0,0,0,1012
"Aset Ternak",SUKAJADI,SUKABUNGAH,0,0,0,0,1,1322
"Aset Ternak",SUKAJADI,CIPEDES,0,0,0,0,0,1337
"Aset Ternak",SUKAJADI,PASTEUR,0,2,0,0,0,759
"Aset Ternak",SUKASARI,SARIJADI,0,0,0,0,0,534
"Aset Ternak",SUKASARI,SUKARASA,0,1,0,0,0,426
"Aset Ternak",SUKASARI,GEGERKALONG,0,2,0,0,0,600
"Aset Ternak",SUKASARI,ISOLA,0,0,0,0,0,379
"Aset Ternak",CIDADAP,HEGARMANAH,0,2,0,0,0,569
"Aset Ternak",CIDADAP,CIUMBULEUIT,0,24,0,0,0,765
"Aset Ternak",CIDADAP,LEDENG,0,2,0,0,0,268
