nama_hotel,melati,alamat,jumlah_kamar,no_telepon
PILATUS HOUSE,3,Jl. Gegerkalong Hilir No. 119,27,2014215
PKPRI,3,Jl. Parakan Wangi No. 1,16,7513592
UNIT USAHA YAYASAN PEND BAKTI POS INDONESIA,3,Jl. Sari Asih No. 54,-,-
PONTY,3,Jl. Dr. Setiabudhi No. 276,20,2011879
PT. Park View,3,Jl. Sukajadi No. 153,50,-
PROGO,3,Jl. Progo No. 6,22,4206249
PT. KELOLA SANTANA GRAHA,3,Jl. Sangkuriang No. 1,38,-
PT.HAJI PADANG / CINNAMON ,3,Jl. Dr. Setiabudhi No. 300,-,-
PT. PRIMER PUTRA PERKASA,3,Jl. Cihampelas No. 125-129,100,-
PT.BANGUN INDONESIA PERSADA/PENGINAPAN MALAKA,3,Jl. Halimun No. 36,48,7315501
PT. KAGUM SINAR PELITA,3,Jl. Purnawarman No. 23,-,-
PT. PASIR INTAN /GRAND PASIFIC HOTEL,3,Jl.Pasirkaliki No. 100,-,-
PT. MULTI WISMA SEJAHTERA,3,Jl. Sumbawa No. 7,-,-
PT.PURI LAJU ABBA,3,Jl. Ir. Sutami III,-,-
PUMA,3,Jl. Cihampelas No. 153,24,2032081
PURI AUDIE,3,Jl. Sirna Galih No. 9,11,2032039
PURI GARDENIA,3,Jl. Dipati Ukur No. 30,30,2501221
PURI SETIABUDHI ,3,Jl. Dr. Setiabudhi No. 378,23,2001285
PT. BAITUNA SAKINAH,3,Jl. Bengawan No. 17,14,-
PT.GRIYA CITRA PARAHYANGAN,3,Jl. Harian Bangga No. 5,-,-
PURI TOMAT,3,Jl. Ir. H. Juanda No. 420,28,2501746
PT. PROMENADE INDONESIA,3,Jl. Cihampelas No. 121,75,-
PT. BINTANG BARU JAYA LESTARI/HOTEL KEMBANG,3,Jl. Cihampelas No. 100,-,-
PT. PRIMA SARANA MANUNGGAL/OASIS SILIWANGI,3,Jl. Blitung/Lombok No. 10,27,-
