KODE REKENING,URAIAN,JUMLAH,DASAR HUKUM
1.20 . 1.20.04 . 02 . 20 . 5 . 2 . 1,Pengadaan perlengkapan gedung kantor,8242750000,
1.20 . 1.20.04 . 02 . 20 . 5 . 2 . 2,Belanja Pegawai,89750000,
1.20 . 1.20.04 . 02 . 22,Belanja Barang dan Jasa,195000000,
1.20 . 1.20.04 . 02 . 22 . 5 . 2 . 1,Belanja Modal,7958000000,
1.20 . 1.20.04 . 02 . 23,Pengadaan mebeleur,696850000,
1.20 . 1.20.04 . 02 . 23 . 5 . 2 . 1,Belanja Pegawai,9650000,
1.20 . 1.20.04 . 02 . 23 . 5 . 2 . 2,Belanja Modal,687200000,
1.20 . 1.20.04 . 02 . 24 . 5 . 2 . 1,Pemeliharaan rutin/berkala rumah jabatan,1542850000,
1.20 . 1.20.04 . 02 . 24 . 5 . 2 . 2,Belanja Pegawai,38850000,
1.20 . 1.20.04 . 02 . 27,Belanja Barang dan Jasa,1504000000,
1.20 . 1.20.04 . 02 . 27 . 5 . 2 . 2,Pemeliharaan rutin/berkala gedung kantor,13613975000,
1.20 . 1.20.04 . 02 . 28,Belanja Pegawai,180975000,
1.20 . 1.20.04 . 02 . 28 . 5 . 2 . 1,Belanja Barang dan Jasa,13433000000,
1.20 . 1.20.04 . 02 . 29,Pemeliharaan rutin/berkala mobil jabatan,421825000,
1.20 . 1.20.04 . 02 . 29 . 5 . 2 . 1,Belanja Pegawai,22575000,
1.20 . 1.20.04 . 02 . 29 . 5 . 2 . 2,Belanja Barang dan Jasa,399250000,
1.20 . 1.20.04 . 03 . 02,Pemeliharaan rutin/berkala kendaraan dinas/operasional,3643475000,
1.20 . 1.20.04 . 03 . 02 . 5 . 2 . 1,Belanja Pegawai,33475000,
1.20 . 1.20.04 . 03 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,3610000000,
1.20 . 1.20.04 . 03 . 05 . 5 . 2 . 1,Pemeliharaan rutin/berkala peralatan rumah jabatan/dinas,70100000,
1.20 . 1.20.04 . 03 . 05 . 5 . 2 . 2,Belanja Pegawai,15100000,
1.20 . 1.20.04 . 05,Belanja Barang dan Jasa,55000000,
1.20 . 1.20.04 . 05 . 03 . 5 . 2 . 1,Pemeliharaan rutin/berkala peralatan gedung kantor,1444800000,
1.20 . 1.20.04 . 05 . 03 . 5 . 2 . 2,Belanja Pegawai,44850000,
1.20 . 1.20.04 . 06,Belanja Barang dan Jasa,1399950000,
1.20 . 1.20.04 . 06 . 01 . 5 . 2 . 1,Pemeliharaan rutin/berkala mebeleur,462500000,
1.20 . 1.20.04 . 06 . 01 . 5 . 2 . 2,Belanja Pegawai,17500000,
1.20 . 1.20.04 . 06 . 02,Belanja Barang dan Jasa,445000000,
1.20 . 1.20.04 . 06 . 02 . 5 . 2 . 2,Program peningkatan disiplin aparatur,646943000,
1.20 . 1.20.04 . 06 . 03,Pengadaan pakaian dinas beserta perlengkapannya,354355000,
1.20 . 1.20.04 . 06 . 03 . 5 . 2 . 1,Belanja Pegawai,4600000,
1.20 . 1.20.04 . 06 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,349755000,
1.20 . 1.20.04 . 06 . 04,Pengadaan pakaian khusus hari-hari tertentu,292588000,
1.20 . 1.20.04 . 06 . 04 . 5 . 2 . 1,Belanja Pegawai,4600000,
1.20 . 1.20.04 . 06 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,287988000,
1.20 . 1.20.04 . 15,Program Peningkatan Kapasitas Sumber Daya Aparatur,924305550,
1.20 . 1.20.04 . 15 . 01,Bimbingan teknis implementasi peraturan perundang-undangan,924305550,
1.20 . 1.20.04 . 15 . 01 . 5 . 2 . 1,Belanja Pegawai,157190000,
1.20 . 1.20.04 . 15 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,767115550,
1.20 . 1.20.04 . 15 . 03,Program peningkatan pengembangan sistem pelaporan capaian kinerja dan keuangan,1019731000,
1.20 . 1.20.04 . 15 . 04,Penyusunan laporan capaian kinerja dan ikhtisar realisasi kinerja SKPD,261289000,
1.20 . 1.20.04 . 15 . 04 . 5 . 2 . 1,Belanja Pegawai,120289000,
1.20 . 1.20.04 . 15 . 05,Belanja Barang dan Jasa,141000000,
1.20 . 1.20.04 . 15 . 05 . 5 . 2 . 1,Penyusunan pelaporan keuangan semesteran,262564000,
1.20 . 1.20.04 . 15 . 05 . 5 . 2 . 2,Belanja Pegawai,114414000,
1.20 . 1.20.04 . 15 . 06,Belanja Barang dan Jasa,148150000,
1.20 . 1.20.04 . 15 . 06 . 5 . 2 . 2,Penyusunan pelaporan prognosis realisasi anggaran,240289000,
1.20 . 1.20.04 . 15 . 07,Belanja Pegawai,96789000,
1.20 . 1.20.04 . 15 . 07 . 5 . 2 . 1,Belanja Barang dan Jasa,143500000,
1.20 . 1.20.04 . 15 . 07 . 5 . 2 . 2,penyusunan pelaporan keuangan akhir tahun,255589000,
1.20 . 1.20.04 . 15 . 08,Belanja Pegawai,89589000,
1.20 . 1.20.04 . 15 . 08 . 5 . 2 . 1,Belanja Barang dan Jasa,166000000,
1.20 . 1.20.04 . 15 . 08 . 5 . 2 . 2,Program peningkatan kapasitas lembaga perwakilan rakyat daerah,38525696510,
1.20 . 1.20.04 . 15 . 09,Pembahasan rancangan peraturan daerah,8779800000,
1.20 . 1.20.04 . 15 . 09 . 5 . 2 . 1,Belanja Pegawai,252750000,
1.20 . 1.20.04 . 15 . 09 . 5 . 2 . 2,Belanja Barang dan Jasa,8527050000,
1.20 . 1.20.04 . 15 . 10,Rapat-rapat alat kelengkapan dewan,1436400000,
1.20 . 1.20.04 . 15 . 10 . 5 . 2 . 1,Belanja Pegawai,57825000,
1.20 . 1.20.04 . 15 . 10 . 5 . 2 . 2,Belanja Barang dan Jasa,1378575000,
1.20 . 1.20.04 . 15 . 11,Rapat-rapat paripurna,1485745000,
1.20 . 1.20.04 . 15 . 11 . 5 . 2 . 1,Belanja Pegawai,564164000,
1.20 . 1.20.04 . 15 . 11 . 5 . 2 . 2,Belanja Barang dan Jasa,921581000,
1.20 . 1.20.04 . 15 . 12,Kegiatan Reses,6307980000,
1.20 . 1.20.04 . 15 . 12 . 5 . 2 . 1,Belanja Pegawai,1033230000,
1.20 . 1.20.04 . 15 . 12 . 5 . 2 . 2,Belanja Barang dan Jasa,5274750000,
1.20 . 1.20.04 . 15 . 13,Kunjungan kerja pimpinan dan anggota DPRD dalam daerah,130000000,
1.20 . 1.20.04 . 15 . 13 . 5 . 2 . 1,Belanja Barang dan Jasa,130000000,
1.20 . 1.20.04 . 15 . 13 . 5 . 2 . 2,Peningkatan kapasitas pimpinan dan anggota DPRD,5015542263,
1.20 . 1.20.04 . 15 . 14,Belanja Pegawai,215466000,
1.20 . 1.20.04 . 15 . 13 . 5 . 2 . 3,Belanja Barang dan Jasa,4800076263,
1.20 . 1.20.04 . 15 . 13 . 5 . 2 . 4,Sosialisasi peraturan perundang-undangan,2544525000,
1.20 . 1.20.04 . 15 . 15,Belanja Pegawai,266525000,
1.20 . 1.20.04 . 15 . 13 . 5 . 2 . 5,Belanja Barang dan Jasa,2278000000,
1.20 . 1.20.04 . 15 . 13 . 5 . 2 . 6,Pembahasan Rancangan KUA dan PPAS,1054092000,
1.20 . 1.20.04 . 15 . 16,Belanja Pegawai,120792000,
1.20 . 1.20.04 . 15 . 13 . 5 . 2 . 7,Belanja Barang dan Jasa,933300000,
1.20 . 1.20.04 . 15 . 13 . 5 . 2 . 8,Kunjungan Kerja Pimpinan dan Anggota DPRD Luar Daerah,8233862247,
1.20 . 1.20.04 . 15 . 17,Belanja Pegawai,159975000,
1.20 . 1.20.04 . 15 . 13 . 5 . 2 . 9,Belanja Barang dan Jasa,8073887247,
1.20 . 1.20.04 . 15 . 13 . 5 . 2 . 10,Kunjungan Kerja Pimpinan dan Anggota DPRD Luar Negeri,1350750000,
1.20 . 1.20.04 . 15 . 18,Belanja Pegawai,25750000,
1.20 . 1.20.04 . 15 . 13 . 5 . 2 . 11,Belanja Barang dan Jasa,1325000000,
1.20 . 1.20.04 . 15 . 13 . 5 . 2 . 12,Kajian Potensi PADS,1093500000,
1.20 . 1.20.04 . 15 . 19,Belanja Pegawai,43500000,
1.20 . 1.20.04 . 15 . 13 . 5 . 2 . 13,Belanja Barang dan Jasa,1050000000,
1.20 . 1.20.04 . 15 . 13 . 5 . 2 . 14,Penyusunan Peraturan Daerah Kota Bandung Inisiatif DPRD,1093500000,
1.20 . 1.20.04 . 15 . 20,Belanja Pegawai,43500000,
1.20 . 1.20.04 . 15 . 13 . 5 . 2 . 2,Belanja Barang dan Jasa,1050000000,
,SURPLUS / (DEFISIT),-96273237146,
