"nomor_registrasi","alamat_lokasi","nama_kelurahan","nama_kecamatan"
"1405/KRK-DISTARCIP/IV-2016","SUKAMANAH INDAH NO. 2","Kebon Jeruk","Andir"
"1403/KRK-DISTARCIP/IV-2016","SUKAMANAH NO. 5","Kebon Jeruk","Andir"
"1402/KRK-DISTARCIP/IV-2016","SUKAMANAH NO. 3","Kebon Jeruk","Andir"
"1316/KRK-DISTARCIP/III-2016","TAMIN 28","Kebon Jeruk","Andir"
"1211/KRK-DISTARCIP/III-2016","JEND. SUDIRMAN NO. 264","Kebon Jeruk","Andir"
"1192/KRK-DISTARCIP/III-2016","GG. SASMITAPURA 4/8 C","Kebon Jeruk","Andir"
"1146/KRK-DISTARCIP/III-2016","JEND. SUDIRMAN 54","Kebon Jeruk","Andir"
"0906/KRK-DISTARCIP/III-2016","SUKAMANAH INDAH NO. 1","Kebon Jeruk","Andir"
"0907/KRK-DISTARCIP/III-2016","SUKAMANAH NO.1","Kebon Jeruk","Andir"
"0928/KRK-DISTARCIP/III-2016","SUKAMANAH NO.1 A","Kebon Jeruk","Andir"
"1057/KRK-DISTARCIP/III-2016","GG. SASMITAPURA","Kebon Jeruk","Andir"
"0904/KRK-DISTARCIP/III-2016","SUAKAMANAH NO.3","Kebon Jeruk","Andir"
"0534/KRK-DISTARCIP/II-2016","MAYOR SUNARYO NO.12","Kebon Jeruk","Andir"
"0505/KRK-DISTARCIP/II-2016","GG.DULATIF NO. 27","Kebon Jeruk","Andir"
"0336/KRK-DISTARCIP/I-2016","OTTO ISKANDARDINATA NO. 70","Kebon Jeruk","Andir"
"1647/KRK-DISTARCIP/IV-2016","ELANG VII NO.7","Maleber","Andir"
"1504/KRK-DISTARCIP/IV-2016","JEND SUDIRMAN NO.766","Maleber","Andir"
"1343/KRK-DISTARCIP/IV-2016","SRI GUNTING NO. 93","Maleber","Andir"
"1325/KRK-DISTARCIP/III-2016","ELANG IX","Maleber","Andir"
"1250/KRK-DISTARCIP/III-2016","TERUSAN ELANG IX 4","Maleber","Andir"
"1073/KRK-DISTARCIP/III-2016","RAJAWALI BARAT NO. 49","Maleber","Andir"
"0304/KRK-DISTARCIP/I-2016","GG BAKTI 9","Maleber","Andir"
"2383/KRK-DISTARCIP/VI-2016","SARIWATES IV NO. 15","Antapani Kidul","Antapani"
"2337/KRK-DISTARCIP/VI-2016","ANTAPANI CITY II NO. 15","Antapani Kidul","Antapani"
"2317/KRK-DISTARCIP/VI-2016","RANDUSARI IV NO.2","Antapani Kidul","Antapani"
"2279/KRK-DISTARCIP/VI-2016","RANDUSARI RAYA KAV.C","Antapani Kidul","Antapani"
"2170/KRK-DISTARCIP/VI-2016","JL. TABANAN NO. 7","Antapani Kidul","Antapani"
"2097/KRK-DISTARCIP/V-2016","INDRAMAYU NO 8-9","Antapani Kidul","Antapani"
"1965/KRK-DISTARCIP/V-2016","PURWAKARTA NO. 140","Antapani Kidul","Antapani"
"1893/KRK-DISTARCIP/V-2016","RAYA CICALENGKA RAYA 48 A","Antapani Kidul","Antapani"
"1835/KRK-DISTARCIP/V-2016","PRATISTA BARAT IV NO. 14","Antapani Kidul","Antapani"
"1628/KRK-DISTARCIP/IV-2016","JL. PURWOREJO NO. 11","Antapani Kidul","Antapani"
"1539/KRK-DISTARCIP/IV-2016","BIAK NO.1","Antapani Kidul","Antapani"
"1260/KRK-DISTARCIP/III-2016","PURWAKARTA NO. 150","Antapani Kidul","Antapani"
"1239/KRK-DISTARCIP/III-2016","KADIPATEN","Antapani Kidul","Antapani"
"1139/KRK-DISTARCIP/III-2016","SUKANAGARA NO. 20","Antapani Kidul","Antapani"
"1019/KRK-DISTARCIP/III-2016","RANDUSARI V","Antapani Kidul","Antapani"
"0976/KRK-DISTARCIP/III-2016","PRATISTA BARAT V NO. 50","Antapani Kidul","Antapani"
"0624/KRK-DISTARCIP/II-2016","SUKANAGARA","Antapani Kidul","Antapani"
"0587/KRK-DISTARCIP/II-2016","JL. PALANGKARAYA NO. 21","Antapani Kidul","Antapani"
"0328/KRK-DISTARCIP/I-2016","PURWAKARTA RAYA 16/12/21 / JL. ANTAPANI VII KAV. 21","Antapani Kidul","Antapani"
"0455/KRK-DISTARCIP/II-2016","KUDUS NO. 12","Antapani Kidul","Antapani"
"0412/KRK-DISTARCIP/II-2016","CICALENGKA RAYA NO. 15","Antapani Kidul","Antapani"
"0353/KRK-DISTARCIP/I-2016","SARIWATES INDAH 4 NO. 37","Antapani Kidul","Antapani"
"0311/KRK-DISTARCIP/I-2016","RANDU SARI RAYA","Antapani Kidul","Antapani"
"0307/KRK-DISTARCIP/I-2016","KOMP. BOUGENVILLE H-14","Antapani Kidul","Antapani"
"0206/KRK-DISTARCIP/I-2016","KADIPATEN RAYA NO. 20","Antapani Kidul","Antapani"
"0220/KRK-DISTARCIP/I-2016","PURWAKARTA NO. 170","Antapani Kidul","Antapani"
"0202/KRK-DISTARCIP/I-2016","ATAMBUA 15","Antapani Kidul","Antapani"
"0174/KRK-DISTARCIP/I-2016","INDRAMAYU 6 NO. 5","Antapani Kidul","Antapani"
"0069/KRK-DISTARCIP/I-2016","SARIWATES V NO. 17","Antapani Kidul","Antapani"
"0068/KRK-DISTARCIP/I-2016","SARIWATES TIMUR III","Antapani Kidul","Antapani"
"0035/KRK-DISTARCIP/I-2016","PURWAKARTA NO. 136-138 KOTA BANDUNG","Antapani Kidul","Antapani"
"2380/KRK-DISTARCIP/VI-2016","KP.SUKANEGLA/KOMP. FLORENCE RESIDENCE BLOK A-15","Antapani Kulon","Antapani"
"2332/KRK-DISTARCIP/VI-2016","KOMPLEK PESONA ANTAPANI 1 NO.21","Antapani Kulon","Antapani"
"2312/KRK-DISTARCIP/VI-2016","TERUSAN JALAN JAKARTA","Antapani Kulon","Antapani"
"2169/KRK-DISTARCIP/VI-2016","KP.SUKANEGLA/KOMP. FLORENCE RESIDENCE BLOK A-14","Antapani Kulon","Antapani"
"2168/KRK-DISTARCIP/VI-2016","KP.SUKANEGLA/KOMP. FLORENCE RESIDENCE BLOK B-3","Antapani Kulon","Antapani"
"1368/KRK-DISTARCIP/IV-2016","KOMP. FLORENCE RESIDENCE","Antapani Kulon","Antapani"
"1167/KRK-DISTARCIP/III-2016","CIKAMPEK 9 NO.7","Antapani Kulon","Antapani"
"0177/KRK-DISTARCIP/I-2016","CIKAMPEK 9 NO. 7","Antapani Kulon","Antapani"
"0902/KRK-DISTARCIP/III-2016","TERUSAN JAKARTA NO. 95","Antapani Kulon","Antapani"
"0764/KRK-DISTARCIP/II-2016","KALIJATI RAYA INDAH NO.54","Antapani Kulon","Antapani"
"0608/KRK-DISTARCIP/II-2016","KALIJATI INDAH UTARA NO.21","Antapani Kulon","Antapani"
"0555/KRK-DISTARCIP/II-2016","KALIJATI RAYA NO. 51","Antapani Kulon","Antapani"
"2326/KRK-DISTARCIP/VI-2016","SUBANG NO. 31","Antapani Tengah","Antapani"
"2318/KRK-DISTARCIP/VI-2016","PLERED 15 N0 16","Antapani Tengah","Antapani"
"2173/KRK-DISTARCIP/VI-2016","PURI DAGO MAS UTARA RAYA BLOK H1 NO 4","Antapani Tengah","Antapani"
"2107/KRK-DISTARCIP/V-2016","PARAKAN SAAT","Antapani Tengah","Antapani"
"2083/KRK-DISTARCIP/V-2016","PARAKAN SAAT ( KOMP SINERGI ANTAPANI ) NO 4","Antapani Tengah","Antapani"
"2080/KRK-DISTARCIP/V-2016","PURWAKARTA NO.29","Antapani Tengah","Antapani"
"2054/KRK-DISTARCIP/V-2016","PURI DAGO MAS UTAMA NO.72","Antapani Tengah","Antapani"
"1995/KRK-DISTARCIP/V-2016","JAKARTA NO.148","Antapani Tengah","Antapani"
"1867/KRK-DISTARCIP/V-2016","TERUSAN JALAN JAKARTA KOTA BANDUNG","Antapani Tengah","Antapani"
"1792/KRK-DISTARCIP/V-2016","BLOK CIBODAS","Antapani Tengah","Antapani"
"1736/KRK-DISTARCIP/IV-2016","PURWAKARTA","Antapani Tengah","Antapani"
"1734/KRK-DISTARCIP/IV-2016","PURWAKARTA","Antapani Tengah","Antapani"
"1732/KRK-DISTARCIP/IV-2016","PURWAKARTA RAYA","Antapani Tengah","Antapani"
"1711/KRK-DISTARCIP/IV-2016","PURWAKARTA RAYA BLOK 17/11/09 (KOMPLEK PERUMNAS ANTAPANI)","Antapani Tengah","Antapani"
"1710/KRK-DISTARCIP/IV-2016","PURWAKARTA RAYA BLOK 17/11/07 (KOMPLEK PERUMNAS ANTAPANI)","Antapani Tengah","Antapani"
"1709/KRK-DISTARCIP/IV-2016","PURWAKARTA RAYA BLOK 17/11/08 (KOMPLEK PERUMNAS ANTAPANI","Antapani Tengah","Antapani"
"1252/KRK-DISTARCIP/III-2016","DEPOK RAYA NO. 11","Antapani Tengah","Antapani"
"1004/KRK-DISTARCIP/III-2016","JATIWANGI 3 NO. 3","Antapani Tengah","Antapani"
"0973/KRK-DISTARCIP/III-2016","CLUSTER ANTAPANI NO. 21","Antapani Tengah","Antapani"
"0972/KRK-DISTARCIP/III-2016","CLUSTER ANTAPANI NO. 19","Antapani Tengah","Antapani"
"0967/KRK-DISTARCIP/III-2016","CLUSTER ANTAPANI NO. 17","Antapani Tengah","Antapani"
"0957/KRK-DISTARCIP/III-2016","CLUSTER ANTAPANI NO. 14","Antapani Tengah","Antapani"
"0956/KRK-DISTARCIP/III-2016","CLUSTER ANTAPANI NO. 15","Antapani Tengah","Antapani"
"0955/KRK-DISTARCIP/III-2016","KP. PARAKAN SAAT","Antapani Tengah","Antapani"
"0868/KRK-DISTARCIP/III-2016","CLUSTER ANTAPANI NO. 11","Antapani Tengah","Antapani"
"0867/KRK-DISTARCIP/III-2016","CLUSTER ANTAPANI NO. 12","Antapani Tengah","Antapani"
"0860/KRK-DISTARCIP/III-2016","CLUSTER ANTAPANI NO. 10","Antapani Tengah","Antapani"
"0858/KRK-DISTARCIP/III-2016","CLUSTER ANTAPANI NO. 9","Antapani Tengah","Antapani"
"0814/KRK-DISTARCIP/II-2016","CLUSTER ANTAPANI NO. 8","Antapani Tengah","Antapani"
"0811/KRK-DISTARCIP/II-2016","CLUSTER ANTAPANI NO. 6","Antapani Tengah","Antapani"
"0810/KRK-DISTARCIP/II-2016","CLUSTER ANTAPANI NO. 7","Antapani Tengah","Antapani"
"0793/KRK-DISTARCIP/II-2016","CIBATU RAYA NO. 30","Antapani Tengah","Antapani"
"0753/KRK-DISTARCIP/II-2016","CLUSTER ANTAPANI NO. 5","Antapani Tengah","Antapani"
"0752/KRK-DISTARCIP/II-2016","CLUSTER ANTAPANI NO. 4","Antapani Tengah","Antapani"
"0733/KRK-DISTARCIP/II-2016","CLUSTER ANTAPANI NO. 3","Antapani Tengah","Antapani"
"0724/KRK-DISTARCIP/II-2016","PARAKAN SAAT / JL. CIBODAS RAYA CR.15","Antapani Tengah","Antapani"
"0666/KRK-DISTARCIP/II-2016","CLUSTER ANTAPANI NO. 1","Antapani Tengah","Antapani"
"0665/KRK-DISTARCIP/II-2016","CLUSTER ANTAPANI NO. 2","Antapani Tengah","Antapani"
"0593/KRK-DISTARCIP/II-2016","JL.PURWAKARTA NO.41","Antapani Tengah","Antapani"
"0492/KRK-DISTARCIP/II-2016","ANTAPANI","Antapani Tengah","Antapani"
"0480/KRK-DISTARCIP/II-2016","SUBANG 15 07 14","Antapani Tengah","Antapani"
"0464/KRK-DISTARCIP/II-2016","DEPOK 10","Antapani Tengah","Antapani"
"0442/KRK-DISTARCIP/II-2016","PURWAKARTA 3 NO. 32","Antapani Tengah","Antapani"
"0354/KRK-DISTARCIP/I-2016","JL.PURWAKARTA NO 81","Antapani Tengah","Antapani"
"0209/KRK-DISTARCIP/I-2016","TERUSAN JAKARTA NO. 116","Antapani Tengah","Antapani"
"0160/KRK-DISTARCIP/I-2016","NYAMAN NO 13","Antapani Tengah","Antapani"
"0157/KRK-DISTARCIP/I-2016","NYAMAN NO. 15","Antapani Tengah","Antapani"
"0099/KRK-DISTARCIP/I-2016","BANJARSARI III NO. 18","Antapani Tengah","Antapani"
"0092/KRK-DISTARCIP/I-2016","KOMPLEK D' LAVENDER TOWN HOUSE C/7","Antapani Tengah","Antapani"
"2367/KRK-DISTARCIP/VI-2016","SETRA DAGO UTAMA NO.8","Antapani Wetan","Antapani"
"2366/KRK-DISTARCIP/VI-2016","SETRA DAGO UTARA III NO.47","Antapani Wetan","Antapani"
"2365/KRK-DISTARCIP/VI-2016","SETRA DAGO UTARA III NO.92","Antapani Wetan","Antapani"
"2358/KRK-DISTARCIP/VI-2016","BLOK PENGPERANG","Antapani Wetan","Antapani"
"2303/KRK-DISTARCIP/VI-2016","TANJUNGSARI ASRI UTARA NO 25","Antapani Wetan","Antapani"
"2130/KRK-DISTARCIP/V-2016","SETRA DAGO UTAMA NO.10","Antapani Wetan","Antapani"
"2061/KRK-DISTARCIP/V-2016","JL.TANJUNGSARI ASRI UTARA NO.16","Antapani Wetan","Antapani"
"1994/KRK-DISTARCIP/V-2016","SETRA DAGO UTAMA NO.19","Antapani Wetan","Antapani"
"1308/KRK-DISTARCIP/III-2016","BLOK CIHAURKUKU","Antapani Wetan","Antapani"
"1275/KRK-DISTARCIP/III-2016","BLOK CIAHURKUKU/ BLOK PENGPERANG","Antapani Wetan","Antapani"
"1274/KRK-DISTARCIP/III-2016","BLOK CIAHURKUKU/ BLOK PENGPERANG","Antapani Wetan","Antapani"
"1273/KRK-DISTARCIP/III-2016","BLOK CIAHURKUKU/ BLOK PENGPERANG","Antapani Wetan","Antapani"
"1272/KRK-DISTARCIP/III-2016","BLOK CIAHURKUKU/ BLOK PENGPERANG","Antapani Wetan","Antapani"
"1217/KRK-DISTARCIP/III-2016","BLOK CIHAURKUKU","Antapani Wetan","Antapani"
"1216/KRK-DISTARCIP/III-2016","BLOK CIHAURKUKU","Antapani Wetan","Antapani"
"1213/KRK-DISTARCIP/III-2016","BLOK CIHAURKUKU","Antapani Wetan","Antapani"
"0748/KRK-DISTARCIP/II-2016","SETRA DAGO UTARA VI NO.9","Antapani Wetan","Antapani"
"1069/KRK-DISTARCIP/III-2016","SETRA DAGO TIMUR IV 2/4/6","Antapani Wetan","Antapani"
"0851/KRK-DISTARCIP/III-2016","TANJUNGSARI ASRI RESIDENCE BLOK D NO. 11","Antapani Wetan","Antapani"
"0850/KRK-DISTARCIP/III-2016","TANJUNGSARI ASRI RESIDENCE BLOK E NO. 68 ANTAPANI","Antapani Wetan","Antapani"
"0849/KRK-DISTARCIP/III-2016","TANJUNGSARI ASRI RESIDENCE BLOK D NO. 24","Antapani Wetan","Antapani"
"0848/KRK-DISTARCIP/III-2016","TANJUNGSARI ASRI RESIDENCE BLOK C NO. 48 ANTAPANI","Antapani Wetan","Antapani"
"0847/KRK-DISTARCIP/III-2016","TANJUNGSARI ASRI RESIDENCE BLOK D NO. 4","Antapani Wetan","Antapani"
"0845/KRK-DISTARCIP/III-2016","TANJUNGSARI ASRI RESIDENCE BLOK E NO. 56 ANTAPANI","Antapani Wetan","Antapani"
"0844/KRK-DISTARCIP/III-2016","SINDANGSARI UTAMA NO. 5","Antapani Wetan","Antapani"
"0843/KRK-DISTARCIP/III-2016","TANJUNGSARI ASRI RESIDENCE BLOK E NO. 85 ANTAPANI","Antapani Wetan","Antapani"
"0841/KRK-DISTARCIP/III-2016","SINDANGSARI UTAMA NO. 3","Antapani Wetan","Antapani"
"0770/KRK-DISTARCIP/II-2016","SETRA DAGO UTARA VI NO.4","Antapani Wetan","Antapani"
"0751/KRK-DISTARCIP/II-2016","TANJUNGSARI ASRI/BUNI SARI","Antapani Wetan","Antapani"
"0690/KRK-DISTARCIP/II-2016","MALANGBONG III NO.17 ANTAPANI BANDUNG","Antapani Wetan","Antapani"
"0702/KRK-DISTARCIP/II-2016","SETRA DAGO UTARA VI NO.32","Antapani Wetan","Antapani"
"0683/KRK-DISTARCIP/II-2016","SETRA DAGO UTARA VI NO.6","Antapani Wetan","Antapani"
"0682/KRK-DISTARCIP/II-2016","SETRA DAGO UTARA III NO.97","Antapani Wetan","Antapani"
"0681/KRK-DISTARCIP/II-2016","SETRA DAGO UTARA VI NO.20","Antapani Wetan","Antapani"
"0669/KRK-DISTARCIP/II-2016","SETRA DAGO UTARA VI NO.18","Antapani Wetan","Antapani"
"0667/KRK-DISTARCIP/II-2016","SETRA DAGO UTARA VI NO.4","Antapani Wetan","Antapani"
"0662/KRK-DISTARCIP/II-2016","SETRA DAGO UTARA VI NO.14","Antapani Wetan","Antapani"
"0660/KRK-DISTARCIP/II-2016","SETRA DAGO UTARA VI NO.7","Antapani Wetan","Antapani"
"0634/KRK-DISTARCIP/II-2016","SETRA DAGO UTARA IV NO.33","Antapani Wetan","Antapani"
"0633/KRK-DISTARCIP/II-2016","SETRA DAGO UTARA III NO.97","Antapani Wetan","Antapani"
"0506/KRK-DISTARCIP/II-2016","MAJALAYA IV NO 9","Antapani Wetan","Antapani"
"0478/KRK-DISTARCIP/II-2016","SETRA DAGO UTARA IV 8","Antapani Wetan","Antapani"
"0374/KRK-DISTARCIP/I-2016","TERUSAN JAKARTA NO 291","Antapani Wetan","Antapani"
"0360/KRK-DISTARCIP/I-2016","MALANGBONG RAYA NO.21","Antapani Wetan","Antapani"
"0357/KRK-DISTARCIP/I-2016","TANJUNGSARI ASRI BARAT II NO. 25","Antapani Wetan","Antapani"
"0338/KRK-DISTARCIP/I-2016","SINDANG SARI III","Antapani Wetan","Antapani"
"0296/KRK-DISTARCIP/I-2016","BLOK PANGPERANG","Antapani Wetan","Antapani"
"0295/KRK-DISTARCIP/I-2016","BLOK PANGPERANG","Antapani Wetan","Antapani"
"0294/KRK-DISTARCIP/I-2016","BLOK PANGPERANG","Antapani Wetan","Antapani"
"0293/KRK-DISTARCIP/I-2016","BLOK PANGPERANG","Antapani Wetan","Antapani"
"0292/KRK-DISTARCIP/I-2016","BLOK PANGPERANG","Antapani Wetan","Antapani"
"0044/KRK-DISTARCIP/I-2016","TANJUNGSARI ASRI TENGAH NO. 47-49","Antapani Wetan","Antapani"
"2073/KRK-DISTARCIP/V-2016","GOLF 1 NO. E2","Cisaranten Bina Harapan","Arcamanik"
"1976/KRK-DISTARCIP/V-2016","KP. CIPANJALU","Cisaranten Bina Harapan","Arcamanik"
"1866/KRK-DISTARCIP/V-2016","KOMP.PAWENANG C - 7","Cisaranten Bina Harapan","Arcamanik"
"1133/KRK-DISTARCIP/III-2016","GOLF RAYA","Cisaranten Bina Harapan","Arcamanik"
"0862/KRK-DISTARCIP/III-2016","CLUSTER PAWENANG A/32","Cisaranten Bina Harapan","Arcamanik"
"0576/KRK-DISTARCIP/II-2016","CICUKANG NO. 4","Cisaranten Bina Harapan","Arcamanik"
"0456/KRK-DISTARCIP/II-2016","GOLF III NO.24","Cisaranten Bina Harapan","Arcamanik"
"0043/KRK-DISTARCIP/I-2016","GOLF SELATAN II NO.13","Cisaranten Bina Harapan","Arcamanik"
"2257/KRK-DISTARCIP/VI-2016","AEROMODELING II H3-14","Cisaranten Endah","Arcamanik"
"2032/KRK-DISTARCIP/V-2016","RENANG NO.1","Cisaranten Endah","Arcamanik"
"1534/KRK-DISTARCIP/IV-2016","CINGISED / JL PARAKAN SAAT B48","Cisaranten Endah","Arcamanik"
"1803/KRK-DISTARCIP/V-2016","CINGISED BLOK SUSUKANWARU KOTA BANDUNG","Cisaranten Endah","Arcamanik"
"1621/KRK-DISTARCIP/IV-2016","CINGISED","Cisaranten Endah","Arcamanik"
"1545/KRK-DISTARCIP/IV-2016","JL. TERUSAN CISARANTEN KULON NO 5","Cisaranten Endah","Arcamanik"
"1541/KRK-DISTARCIP/IV-2016","BLOK SUSUKAN WARU","Cisaranten Endah","Arcamanik"
"1536/KRK-DISTARCIP/IV-2016","ICE SKATING III NO. 3","Cisaranten Endah","Arcamanik"
"1506/KRK-DISTARCIP/IV-2016","KO. GRIYA CARAKA H1","Cisaranten Endah","Arcamanik"
"0461/KRK-DISTARCIP/II-2016","BLOK.SUSUKAN WARU","Cisaranten Endah","Arcamanik"
"1389/KRK-DISTARCIP/IV-2016","GRIYA HAMDHAN SARI NO. 2","Cisaranten Endah","Arcamanik"
"1384/KRK-DISTARCIP/IV-2016","BLOK. CINGISED","Cisaranten Endah","Arcamanik"
"1310/KRK-DISTARCIP/III-2016","VILA ARCAMANIK/ KP. CINGISED","Cisaranten Endah","Arcamanik"
"1296/KRK-DISTARCIP/III-2016","PARAKAN SAAT II","Cisaranten Endah","Arcamanik"
"1271/KRK-DISTARCIP/III-2016","JL. CINGISED","Cisaranten Endah","Arcamanik"
"1157/KRK-DISTARCIP/III-2016","BLOK CINGISED 10 BLOK C","Cisaranten Endah","Arcamanik"
"1047/KRK-DISTARCIP/III-2016","KOMP KAMAYANGAN RESIDENCE KAV NO B. 1-07","Cisaranten Endah","Arcamanik"
"1044/KRK-DISTARCIP/III-2016","ARCAMANIK ENDAH NO. 113","Cisaranten Endah","Arcamanik"
"1042/KRK-DISTARCIP/III-2016","CINGISED KULON","Cisaranten Endah","Arcamanik"
"0948/KRK-DISTARCIP/III-2016","GADING UTARA II B 11 NO. 4","Cisaranten Endah","Arcamanik"
"0893/KRK-DISTARCIP/III-2016","CINGISED / KOMP. MEDINA ANTPANI MAKMUR KAV. 37","Cisaranten Endah","Arcamanik"
"0899/KRK-DISTARCIP/III-2016","KOMP. GRIYA CARAKA BLOK A.12","Cisaranten Endah","Arcamanik"
"0582/KRK-DISTARCIP/II-2016","KP. LIO GIRANG","Cisaranten Endah","Arcamanik"
"0512/KRK-DISTARCIP/II-2016","TERJUN BUGI 16","Cisaranten Endah","Arcamanik"
"0484/KRK-DISTARCIP/II-2016","BLOK SUSUKAN WARU","Cisaranten Endah","Arcamanik"
"0368/KRK-DISTARCIP/I-2016","ICE SKATING V","Cisaranten Endah","Arcamanik"
"0344/KRK-DISTARCIP/I-2016","KOMP. KAMAYANGAN RESIDENCE C4-2","Cisaranten Endah","Arcamanik"
"0343/KRK-DISTARCIP/I-2016","KOMP. KAMAYANGAN RESIDENCE C6-2","Cisaranten Endah","Arcamanik"
"0341/KRK-DISTARCIP/I-2016","KOMPLEK KAMAYANGAN RESIDENCE C1-9","Cisaranten Endah","Arcamanik"
"0142/KRK-DISTARCIP/I-2016","BLOK CINGISED NO. 54","Cisaranten Endah","Arcamanik"
"0103/KRK-DISTARCIP/I-2016","PARAKANSAAT","Cisaranten Endah","Arcamanik"
"2445/KRK-DISTARCIP/VI-2016","PURBASARI 83","Cisaranten Kulon","Arcamanik"
"2438/KRK-DISTARCIP/VI-2016","PERMATA PERMAI","Cisaranten Kulon","Arcamanik"
"2437/KRK-DISTARCIP/VI-2016","PERMATA PERMAI","Cisaranten Kulon","Arcamanik"
"2436/KRK-DISTARCIP/VI-2016","BLOK CISARANTEN/ ANTHORIUM","Cisaranten Kulon","Arcamanik"
"2420/KRK-DISTARCIP/VI-2016","JL.PERMATA TAMANSARI ASRI I","Cisaranten Kulon","Arcamanik"
"2419/KRK-DISTARCIP/VI-2016","JL.TERUSAN PERMATA PERMAI II","Cisaranten Kulon","Arcamanik"
"2418/KRK-DISTARCIP/VI-2016","JL.PERMATA PERMAI","Cisaranten Kulon","Arcamanik"
"2417/KRK-DISTARCIP/VI-2016","JL.PERMATA TAMANSARI ASRI III","Cisaranten Kulon","Arcamanik"
"2416/KRK-DISTARCIP/VI-2016","JL.PERMATA TAMANSARI ASRI III","Cisaranten Kulon","Arcamanik"
"2415/KRK-DISTARCIP/VI-2016","JL.PERMATA PERMAI","Cisaranten Kulon","Arcamanik"
"2414/KRK-DISTARCIP/VI-2016","JL.PERMATA TAMANSARI ASRI I","Cisaranten Kulon","Arcamanik"
"2413/KRK-DISTARCIP/VI-2016","JL.PERMATA TAMANSARI ASRI IV","Cisaranten Kulon","Arcamanik"
"2412/KRK-DISTARCIP/VI-2016","JL.PERMATA TAMANSARI ASRI II","Cisaranten Kulon","Arcamanik"
"2302/KRK-DISTARCIP/VI-2016","CISARANTEN KULON","Cisaranten Kulon","Arcamanik"
"0223/KRK-DISTARCIP/I-2016","GURUMINDA NO. 5","Cisaranten Kulon","Arcamanik"
"2297/KRK-DISTARCIP/VI-2016","CISARANTEN INDAH NO.12/161","Cisaranten Kulon","Arcamanik"
"2281/KRK-DISTARCIP/VI-2016","KAVLING DAC NO. 26","Cisaranten Kulon","Arcamanik"
"2265/KRK-DISTARCIP/VI-2016","PERMATA BUMI RAYA NO. 25","Cisaranten Kulon","Arcamanik"
"2237/KRK-DISTARCIP/VI-2016","PERMATA BUMI D 10-11","Cisaranten Kulon","Arcamanik"
"2236/KRK-DISTARCIP/VI-2016","PERMATA BUMI D-11","Cisaranten Kulon","Arcamanik"
"2225/KRK-DISTARCIP/VI-2016","HAUR SADAPUR/ KAVLING DAC-61","Cisaranten Kulon","Arcamanik"
"1627/KRK-DISTARCIP/IV-2016","PERMATA TAMANSARI","Cisaranten Kulon","Arcamanik"
"2183/KRK-DISTARCIP/VI-2016","CISARANTEN DALAM / BLOK. ASTANA","Cisaranten Kulon","Arcamanik"
"2136/KRK-DISTARCIP/V-2016","SURAU I","Cisaranten Kulon","Arcamanik"
"2087/KRK-DISTARCIP/V-2016","PERMATA INDAH 3-16","Cisaranten Kulon","Arcamanik"
"2086/KRK-DISTARCIP/V-2016","PERMATA INDAH 3-15","Cisaranten Kulon","Arcamanik"
"2069/KRK-DISTARCIP/V-2016","GELOMBANG CINTA/ KAVLING DAB 9","Cisaranten Kulon","Arcamanik"
"2063/KRK-DISTARCIP/V-2016","BLOK CISARANTEN","Cisaranten Kulon","Arcamanik"
"1981/KRK-DISTARCIP/V-2016","JL. TERS PERMATA PERMAI II","Cisaranten Kulon","Arcamanik"
"1921/KRK-DISTARCIP/V-2016","PERMATA PERMAI IX","Cisaranten Kulon","Arcamanik"
"1919/KRK-DISTARCIP/V-2016","JL.PERMATA TAMANSARI ASRI IV","Cisaranten Kulon","Arcamanik"
"1918/KRK-DISTARCIP/V-2016","JL.PERMATA TAMANSARI ASRI IV","Cisaranten Kulon","Arcamanik"
"1898/KRK-DISTARCIP/V-2016","TERS PERMATA TAMANSARI RAYA NO. 6 (BLOK SAYANGKAAK)","Cisaranten Kulon","Arcamanik"
"1897/KRK-DISTARCIP/V-2016","JL. CISARANTEN","Cisaranten Kulon","Arcamanik"
"1891/KRK-DISTARCIP/V-2016","JL. CISARANTEN KULON VI","Cisaranten Kulon","Arcamanik"
"1737/KRK-DISTARCIP/IV-2016","CISARANTEN KAV. AC - 45","Cisaranten Kulon","Arcamanik"
"1688/KRK-DISTARCIP/IV-2016","PERMATA INTEN KAVLING 16","Cisaranten Kulon","Arcamanik"
"1687/KRK-DISTARCIP/IV-2016","PERMATA INTEN KAVLING 08","Cisaranten Kulon","Arcamanik"
"1686/KRK-DISTARCIP/IV-2016","PERMATA INTEN KAVLING 09","Cisaranten Kulon","Arcamanik"
"1685/KRK-DISTARCIP/IV-2016","PERMATA INTEN KAVLING 07","Cisaranten Kulon","Arcamanik"
"1684/KRK-DISTARCIP/IV-2016","PERMATA INTEN KAVLING 05","Cisaranten Kulon","Arcamanik"
"1683/KRK-DISTARCIP/IV-2016","PERMATA INTEN KAVLING 06","Cisaranten Kulon","Arcamanik"
"1682/KRK-DISTARCIP/IV-2016","PERMATA INTEN KAVLING 15","Cisaranten Kulon","Arcamanik"
"1681/KRK-DISTARCIP/IV-2016","PERMATA INTEN KAVLING 12","Cisaranten Kulon","Arcamanik"
"1680/KRK-DISTARCIP/IV-2016","JL. PERMATA INTEN KAVLING 04","Cisaranten Kulon","Arcamanik"
"1679/KRK-DISTARCIP/IV-2016","PERMATA INTEN KAVLING 03","Cisaranten Kulon","Arcamanik"
