"nomor_registrasi","alamat_lokasi","nama_kelurahan","nama_kecamatan"
"2977/KRK-DISTARCIP/VIII-2016","MALEBER BARAT NO.52","Maleber","Andir"
"2860/KRK-DISTARCIP/VIII-2016","INPRES","Maleber","Andir"
"2508/KRK-DISTARCIP/VI-2016","JL KUAU KAV 5 NO 14","Maleber","Andir"
"4706/KRK-DISTARCIP/XI-2016","RANDU SARI RAYA NO. 7","Antapani Kidul","Antapani"
"5073/KRK-DISTARCIP/XII-2016","RANDUSARI I NO. 5","Antapani Kidul","Antapani"
"4860/KRK-DISTARCIP/XII-2016","SARIWATES RAYA","Antapani Kidul","Antapani"
"4952/KRK-DISTARCIP/XII-2016","PRATISTA UTARA I NO. 4","Antapani Kidul","Antapani"
"4869/KRK-DISTARCIP/XII-2016","PRATISTA UTARA I NO. 51","Antapani Kidul","Antapani"
"4755/KRK-DISTARCIP/XI-2016","ANTASARI V NO. 9","Antapani Kidul","Antapani"
"4635/KRK-DISTARCIP/XI-2016","SUKANAGARA NO.66","Antapani Kidul","Antapani"
"4622/KRK-DISTARCIP/XI-2016","KOMP. PRATISTA II E / 16","Antapani Kidul","Antapani"
"4558/KRK-DISTARCIP/XI-2016","RANDU SARI VI","Antapani Kidul","Antapani"
"4523/KRK-DISTARCIP/XI-2016","TAMAN KLATEN NO. 5","Antapani Kidul","Antapani"
"4437/KRK-DISTARCIP/XI-2016","PURWAKARTA 162","Antapani Kidul","Antapani"
"4259/KRK-DISTARCIP/X-2016","JAJAWAY TIMUR","Antapani Kidul","Antapani"
"4306/KRK-DISTARCIP/XI-2016","RENGASDENGKLOK","Antapani Kidul","Antapani"
"3919/KRK-DISTARCIP/X-2016","JAYAPURA","Antapani Kidul","Antapani"
"3888/KRK-DISTARCIP/X-2016","JAJAWAY TIMUR","Antapani Kidul","Antapani"
"3885/KRK-DISTARCIP/X-2016","KOMP. PRATISTA II E/63","Antapani Kidul","Antapani"
"3801/KRK-DISTARCIP/IX-2016","BLOK. SAYANGKAAK/SARIWATES INDAI I","Antapani Kidul","Antapani"
"3774/KRK-DISTARCIP/IX-2016","SINDANG KASIH VI","Antapani Kidul","Antapani"
"3718/KRK-DISTARCIP/IX-2016","SUKA NEGARA NO. 28","Antapani Kidul","Antapani"
"3746/KRK-DISTARCIP/IX-2016","SALATIGA NO.3","Antapani Kidul","Antapani"
"3465/KRK-DISTARCIP/IX-2016","MANOKWARI 10","Antapani Kidul","Antapani"
"3431/KRK-DISTARCIP/IX-2016","CIBODAS RAYA NO.27-A","Antapani Kidul","Antapani"
"3389/KRK-DISTARCIP/IX-2016","ANTAPANI 12/63","Antapani Kidul","Antapani"
"3341/KRK-DISTARCIP/IX-2016","PURWAKARTA 124","Antapani Kidul","Antapani"
"3230/KRK-DISTARCIP/VIII-2016","PRATISTA BARAT V NO. 54","Antapani Kidul","Antapani"
"3096/KRK-DISTARCIP/VIII-2016","RENGASDENGKLOK NO. 26","Antapani Kidul","Antapani"
"2938/KRK-DISTARCIP/VIII-2016","SARIWATES INDAH V NO. 22","Antapani Kidul","Antapani"
"2869/KRK-DISTARCIP/VIII-2016","JAJAWAY TIMUR","Antapani Kidul","Antapani"
"2801/KRK-DISTARCIP/VIII-2016","KO. PRATISTA ANTAPANI II KAV-05","Antapani Kidul","Antapani"
"2790/KRK-DISTARCIP/VIII-2016","BUAH DUA NO.14","Antapani Kidul","Antapani"
"2768/KRK-DISTARCIP/VIII-2016","BANYUWANGI 12","Antapani Kidul","Antapani"
"2745/KRK-DISTARCIP/VII-2016","KOMPLEKS BOUGENVILLE H-15","Antapani Kidul","Antapani"
"2744/KRK-DISTARCIP/VII-2016","KP. SARI WATES","Antapani Kidul","Antapani"
"2682/KRK-DISTARCIP/VII-2016","ANTAPANI X NO 9","Antapani Kidul","Antapani"
"2677/KRK-DISTARCIP/VII-2016","BUAH DUA NO 6","Antapani Kidul","Antapani"
"2642/KRK-DISTARCIP/VII-2016","JAYAPURA NO. 35","Antapani Kidul","Antapani"
"2527/KRK-DISTARCIP/VI-2016","PRATISTA TIMUR VII","Antapani Kidul","Antapani"
"2519/KRK-DISTARCIP/VI-2016","JL SUKANEGARA NO 35","Antapani Kidul","Antapani"
"4887/KRK-DISTARCIP/XII-2016","SETRA DAGO V NO 1","Antapani Kulon","Antapani"
"4876/KRK-DISTARCIP/XII-2016","PELANGI ANTAPANI","Antapani Kulon","Antapani"
"4812/KRK-DISTARCIP/XII-2016","SUKANEGLA","Antapani Kulon","Antapani"
"4813/KRK-DISTARCIP/XII-2016","SUKANEGLA","Antapani Kulon","Antapani"
"4531/KRK-DISTARCIP/XI-2016","TERUSAN JAKARTA NO. 123","Antapani Kulon","Antapani"
"4357/KRK-DISTARCIP/XI-2016","JL TERUSAN SINDANG BARANG/JL ANTAPANI NO 6","Antapani Kulon","Antapani"
"4169/KRK-DISTARCIP/X-2016","ANTAPANI NO. 15","Antapani Kulon","Antapani"
"3799/KRK-DISTARCIP/IX-2016","TRS. SINDANG BARANG III NO I","Antapani Kulon","Antapani"
"3815/KRK-DISTARCIP/X-2016","TARUMASARI/ ANTAPANI","Antapani Kulon","Antapani"
"3582/KRK-DISTARCIP/IX-2016","PELANGI I NO. 11","Antapani Kulon","Antapani"
"3564/KRK-DISTARCIP/IX-2016","ANTAPANI REGENCY BLOK E NO.1","Antapani Kulon","Antapani"
"3529/KRK-DISTARCIP/IX-2016","SINDANG BARANG","Antapani Kulon","Antapani"
"3344/KRK-DISTARCIP/IX-2016","TERS JAKARTA BARAT 87","Antapani Kulon","Antapani"
"3330/KRK-DISTARCIP/IX-2016","TERUSAN JALAN JAKARTA","Antapani Kulon","Antapani"
"2967/KRK-DISTARCIP/VIII-2016","PELANGI ANTAPANI","Antapani Kulon","Antapani"
"2935/KRK-DISTARCIP/VIII-2016","KP.SUKANEGLA NO.17","Antapani Kulon","Antapani"
"2562/KRK-DISTARCIP/VII-2016","SUKANEGLA /JL. KALIJATI INDAH","Antapani Kulon","Antapani"
"2560/KRK-DISTARCIP/VII-2016","SETRA DAGO BARAT 9","Antapani Kulon","Antapani"
"2457/KRK-DISTARCIP/VI-2016","PELANGI ANTAPANI","Antapani Kulon","Antapani"
"5190/KRK-DISTARCIP/XII-2016","DEPOK XI NO.8","Antapani Tengah","Antapani"
"5110/KRK-DISTARCIP/XII-2016","PURI DAGO MAS SELATAN NO 18","Antapani Tengah","Antapani"
"5109/KRK-DISTARCIP/XII-2016","PURI DAGO MAS UTAMA 65","Antapani Tengah","Antapani"
"5111/KRK-DISTARCIP/XII-2016","PURI DAGO MAS UTARA II NO.29","Antapani Tengah","Antapani"
"4978/KRK-DISTARCIP/XII-2016","TERUSAN JAKARTA 254","Antapani Tengah","Antapani"
"4875/KRK-DISTARCIP/XII-2016","KUNINGAN I NO.17","Antapani Tengah","Antapani"
"4655/KRK-DISTARCIP/XI-2016","BANJARSARI RAYA NO. 24","Antapani Tengah","Antapani"
"4809/KRK-DISTARCIP/XII-2016","PARAKAN SAAT / JAJAWAY","Antapani Tengah","Antapani"
"4772/KRK-DISTARCIP/XI-2016","BANJARSARI RAYA NO. 29","Antapani Tengah","Antapani"
"4754/KRK-DISTARCIP/XI-2016","JAJAWAY/ KOMP. PARADISE REGENCY NO. A1-A2","Antapani Tengah","Antapani"
"4701/KRK-DISTARCIP/XI-2016","SALATIGA NO.3","Antapani Tengah","Antapani"
"4672/KRK-DISTARCIP/XI-2016","KP. CIBODAS SAWAH (JL. CIBODAS RAYA)","Antapani Tengah","Antapani"
"4657/KRK-DISTARCIP/XI-2016","CIKAMPEK 12 NO. 4","Antapani Tengah","Antapani"
"4583/KRK-DISTARCIP/XI-2016","KUNINGANRAYA NO.27","Antapani Tengah","Antapani"
"4536/KRK-DISTARCIP/XI-2016","PURI DAGO MAS SELATAN I NO.17","Antapani Tengah","Antapani"
"4535/KRK-DISTARCIP/XI-2016","PURI DAGO MAS UTAMA NO.78","Antapani Tengah","Antapani"
"4278/KRK-DISTARCIP/X-2016","JL.CIBODAS RAYA NO.4","Antapani Tengah","Antapani"
"4223/KRK-DISTARCIP/X-2016","CIBODAS BARU","Antapani Tengah","Antapani"
"4120/KRK-DISTARCIP/X-2016","PURWAKARTA NO. 91","Antapani Tengah","Antapani"
"4035/KRK-DISTARCIP/X-2016","PARAKAN SAAT ( JAJAWAY )","Antapani Tengah","Antapani"
"3922/KRK-DISTARCIP/X-2016","KP.PARAKAN SAAT","Antapani Tengah","Antapani"
"3921/KRK-DISTARCIP/X-2016","KP.PARAKAN SAAT","Antapani Tengah","Antapani"
"3843/KRK-DISTARCIP/X-2016","PLERED VIII NO. 25","Antapani Tengah","Antapani"
"3689/KRK-DISTARCIP/IX-2016","DEPOK II NO. 4","Antapani Tengah","Antapani"
"3594/KRK-DISTARCIP/IX-2016","D LAVENDER TOWN HOUSE KAV A5 - B","Antapani Tengah","Antapani"
"3593/KRK-DISTARCIP/IX-2016","D LAVENDER TOWN HOUSE KAV A5 - C","Antapani Tengah","Antapani"
"3589/KRK-DISTARCIP/IX-2016","D LAVENDER TOWN HOUSE KAV A5 - A","Antapani Tengah","Antapani"
"3508/KRK-DISTARCIP/IX-2016","DEPOK XIV NO. 03","Antapani Tengah","Antapani"
"3450/KRK-DISTARCIP/IX-2016","PURWAKARTA NO. 69","Antapani Tengah","Antapani"
"3409/KRK-DISTARCIP/IX-2016","KUNINGAN (KOMP.PERUMNAS ANTAPANI BLOK.20 KAV NO.15","Antapani Tengah","Antapani"
"3296/KRK-DISTARCIP/IX-2016","KOMP.SINERGI ANTAPANI JL NYAMAN NO 21","Antapani Tengah","Antapani"
"3227/KRK-DISTARCIP/VIII-2016","KOMP.CLUSTER RUMAH IBU.KAV. P","Antapani Tengah","Antapani"
"2883/KRK-DISTARCIP/VIII-2016","SUBANG RAYA 60","Antapani Tengah","Antapani"
"2868/KRK-DISTARCIP/VIII-2016","KP. PARAKAN SAAT","Antapani Tengah","Antapani"
"2833/KRK-DISTARCIP/VIII-2016","JL.CIBODAS RAYA","Antapani Tengah","Antapani"
"2816/KRK-DISTARCIP/VIII-2016","CIKAMPEK RAYA NO. 2","Antapani Tengah","Antapani"
"2798/KRK-DISTARCIP/VIII-2016","PURWAKARTA 171","Antapani Tengah","Antapani"
"2730/KRK-DISTARCIP/VII-2016","PURWAKARTA NO. 113","Antapani Tengah","Antapani"
"2593/KRK-DISTARCIP/VII-2016","DEPOK 13 19","Antapani Tengah","Antapani"
"2591/KRK-DISTARCIP/VII-2016","JATIWANGI RAYA NO. 45","Antapani Tengah","Antapani"
"5214/KRK-DISTARCIP/XII-2016","SETRA DAGO UTAMA NO.2","Antapani Wetan","Antapani"
"5213/KRK-DISTARCIP/XII-2016","SETRA DAGO UTAMA NO.24","Antapani Wetan","Antapani"
"5212/KRK-DISTARCIP/XII-2016","SETRA DAGO UTARA VI NO.35","Antapani Wetan","Antapani"
"5211/KRK-DISTARCIP/XII-2016","SETRA DAGO UTARA VI NO.37","Antapani Wetan","Antapani"
"5201/KRK-DISTARCIP/XII-2016","SETRA DAGO UTARA III NO.101","Antapani Wetan","Antapani"
"5200/KRK-DISTARCIP/XII-2016","SETRA DAGO UTARA RAYA NO.1","Antapani Wetan","Antapani"
"5199/KRK-DISTARCIP/XII-2016","SETRA DAGO UTARA RAYA NO.5","Antapani Wetan","Antapani"
"5198/KRK-DISTARCIP/XII-2016","SETRA DAGO UTARA RAYA NO.7","Antapani Wetan","Antapani"
"5197/KRK-DISTARCIP/XII-2016","SERTA DAGO UTARA RAYA NO.11","Antapani Wetan","Antapani"
"5196/KRK-DISTARCIP/XII-2016","SETRA DAGO UTARA RAYA NO.9","Antapani Wetan","Antapani"
