nama_upt,nama_puskesmas,jenis,alamat,telepon_1,telepon_2,latitude,longitude,tk_bidan,tk_laki,tk_perempuan,tkg_laki,tkg_perempuan
UPT Kopo,Kopo,UPT,JL.KOPO NO.369 BANDUNG ,(022) 70722596,(022) -,-6.946492,107.588196,11,0,0,0,0
UPT Caringin,Caringin,UPT,JL.CARINGIN NO.103 BANDUNG ,(022) 5432275,(022) -,-6.945715,107.582985,3,2,2,2,2
UPT Caringin,Cibolerang,PKM,JL.CIBOLERANG BANDUNG ,(022) 5423822,(022) -,-6.950646,107.573013,4,0,0,0,0
UPT Caringin,Sukahaji,PKM,JL.H ZAKARIA BANDUNG ,(022) 6026075,(022) -,-6.819000,108.281868,3,0,0,0,0
UPT Cibuntu,Cibuntu,UPT,JL.SAH BANDAR NO.1 BANDUNG ,(022) 6021597,(022) -,-6.926171,107.574326,6,0,0,0,0
UPT Cibuntu,Cijerah,PKM,JL.MELONG ASIH BANDUNG ,(022) 6022029,(022) -,-6.898245,107.617432,4,0,0,0,0
UPT Cibuntu,Cigondewah,PKM,JL.CIGONDEWAH KALER BANDUNG ,(022) 6022908,(022) -,-6.951860,107.565033,5,0,0,0,0
UPT Griya Antapani,Griya Antapani,UPT,JL.PLERED NO.27 BANDUNG ,(022) -,(022) -,-6.916628,107.660423,4,0,0,0,0
UPT Griya Antapani,Jajaway,PKM,JL.TERS KEBAKTIAN BANDUNG ,(022) 7106601,(022) -,-6.927961,107.664803,3,0,0,0,0
UPT Griya Antapani,Antapani,PKM,JL.TERS ANTAPANI BANDUNG ,(022) -,(022) -,-6.913390,107.664024,3,0,0,0,0
UPT Sindang Jaya,Sindang Jaya,UPT,JL.ARCAMANIK NO.30 BANDUNG ,(022) 70722585,(022) -,-6.916074,107.701050,4,1,1,1,1
UPT Sindang Jaya,Jatihandap,PKM,JL.JATIHANDAP NO.6 BANDUNG ,(022) 2038891,(022) -,-6.900758,107.658997,3,0,0,0,0
UPT Sindang Jaya,Mandalamekar,PKM,JL.KOMP MANDALA MEKAR BANDUNG ,(022) -,(022) -,-6.897776,107.669083,2,0,0,0,0
UPT Sindang Jaya,Pamulang,PKM,JL.RAYA CIKADUT NO.1 BANDUNG ,(022) -,(022) -,-6.902431,107.666359,2,0,0,0,0
UPT Sindang Jaya,Girimande,PKM,JL.KOMP GIRIMANDE BANDUNG ,(022) -,(022) -,-6.893303,107.672493,4,0,0,0,0
UPT Arcamanik,Arcamanik,UPT,JL.GOLF III NO.7 BANDUNG ,(022) 70782327,(022) -,-6.913028,107.643486,4,0,0,0,0
UPT Arcamanik,Rusunawa,PKM,JL.CINGISED BANDUNG ,(022) -,(022) -,-6.923253,107.683563,4,0,0,0,0
UPT Ujungberung Indah,Ujungberung Indah,UPT,JL.KOMP UJUNG BERUNG INDAH BANDUNG ,(022) -,(022) -,-6.911447,107.696783,7,1,1,1,1
UPT Cinambo,Cinambo,UPT,JL.GEDE BAGE NO.19 A. BANDUNG ,(022) 7505457,(022) -,-6.937280,107.693062,5,1,1,1,1
UPT Cibiru,Cibiru,UPT,JL.A H NASUTION NO.47 A BDG ,(022) 7016601,(022) -,-6.934484,107.720955,6,1,1,1,1
UPT Cibiru,Cipadung,PKM,JL.CIGAGAK  NO.1 BANDUNG ,(022) 6070570,(022) -,-6.916096,107.723701,5,0,0,0,0
UPT Cibiru,Cilengkrang,PKM,JL.RAYA CILENGKRANG I NO.130 BANDUNG ,(022) 70782329,(022) -,-6.892482,107.725128,3,0,0,0,0
UPT Panghegar,Panghegar,UPT,JL.BUMI PANGHEGAR PERMAI . BANDUNG ,(022) 70782328,(022) -,-6.927023,107.698929,4,0,0,0,0
UPT Panghegar,Panyileukan,PKM,JL.KOMP PANYILEUKAN BLOK C NO.2 BANDUNG ,(022) 7801099,(022) -,-6.938803,107.713745,3,0,0,0,0
UPT Riung Bandung,Riung Bandung,UPT,JL.RIUNG PUMA XI BANDUNG ,(022) -,(022) -,-6.948175,107.686867,6,2,2,2,2
UPT Riung Bandung,Cempaka Arum,PKM,JL.CEMPAKA ARUM  BANDUNG ,(022) -,(022) -,-6.934905,107.680840,5,1,1,1,1
UPT Cipamokolan,Cipamokolan,UPT,JL.KALI CIPAMOKOLAN BANDUNG ,(022) 7534828,(022) -,-6.941843,107.675629,3,1,1,1,1
UPT Cipamokolan,Derwati,PKM,JL.DERWATI NO.38  BANDUNG ,(022) 70722584,(022) -,-6.964916,107.682816,3,0,0,0,0
UPT Margahayu Raya,Margahayu Raya,UPT,JL.PLUTO RAYA NO.54 BANDUNG,(022) 7505457,(022) -,-6.955395,107.662399,4,0,0,0,0
UPT Margahayu Raya,Sekejati,PKM,JL.YUPITER TENGAH BANDUNG,(022) 7506501,(022) -,-6.947046,107.662308,3,1,1,1,1
UPT Kujang Sari,Kujang Sari,UPT,JL.BUAH BATU BANDUNG,(022) -,(022) -,-6.962765,107.634598,5,1,1,1,1
UPT Kujang Sari,Mengger,PKM,JL.DESA MENGGER BANDUNG,(022) 5210994,(022) -,-6.956247,107.622704,3,0,0,0,0
UPT Kujang Sari,Pasawahan,PKM,JL. MOCH TOHA KM 5 BANDUNG,(022) 5232621,(022) -,-6.964864,107.635719,3,1,1,1,1
