Nama Sekolah,NPSN,Alamat,Kecamatan,Tingkat 1,Tingkat 2,Tingkat 3,Tingkat 4,Tingkat 5,Tingkat 6,Jumlah
SD NEGERI BOJONGLOA 5,20244957,Jl. Cibaduyut Raya No. 142/199 C,Kec. Bojong Loa Kidul,16,12,15,16,14,30,211
SD NEGERI BOJONGLOA 6,20244958,Jl. Cibaduyut Raya No. 142/199 C,Kec. Bojong Loa Kidul,17,22,24,17,26,33,257
SD NEGERI BUAH BATU BARU,20245022,Jl. Buahbatu No. 273,Kec. Lengkong,35,37,31,32,41,41,414
SD NEGERI BUAHBATU 1,20245122,Jl. H. Ibrahiem Adji No. 106,Kec. Buah Batu,38,22,21,20,19,19,302
SD NEGERI BUAHBATU 3,20245124,Jl. H. Ibrahiem Adji No. 45,Kec. Buah Batu,15,21,27,27,18,21,268
SD NEGERI BUAHBATU 4,20245125,Jl. H. Ibrahiem Adji No. 45,Kec. Buah Batu,17,22,27,22,19,20,279
SD NEGERI BUAHBATU 5,20246396,Jl. H. Ibrahiem Adji No. 65,Kec. Buah Batu,25,44,22,28,22,36,316
SD NEGERI BUAHBATU 6,20246397,Jl. H. Ibrahiem Adji No. 65,Kec. Buah Batu,20,19,21,21,33,35,300
SD NEGERI BUAHBATU 7,20246398,Jl. H. Ibrahiem Adji No. 45,Kec. Buah Batu,25,16,23,21,23,18,243
SD NEGERI BUAHBATU 9,20246399,Jl. H. Ibrahiem Adji No. 106,Kec. Buah Batu,20,22,17,18,21,18,235
SD NEGERI CANGKUANG 14,20244959,Jl. Cibaduyut Raya Gg. Tvri 5,Kec. Bojong Loa Kidul,30,27,23,23,35,33,336
SD NEGERI CANGKUANG 3,20244960,Jl. Cibaduyut Raya Gg. Tvri 5,Kec. Bojong Loa Kidul,17,14,25,23,13,23,218
SD NEGERI CARINGIN,20244742,Jl. Holis No. 424,Kec. Bandung Kulon,55,60,68,66,77,50,765
SD NEGERI CARINGIN 1,20245126,Jl. Sukamulya No.46,Kec. Sukajadi,18,16,14,17,16,16,181
SD NEGERI CARINGIN 2,20245127,Jl. Sukamulya No.46,Kec. Sukajadi,16,15,13,20,15,12,180
SD NEGERI CARINGIN 3,20245128,Jl. Sukamulya No.46,Kec. Sukajadi,19,21,9,9,11,13,164
SD NEGERI CEMPAKA ARUM,20245486,Jl. Umar Bin Khotob,Kec. Gedebage,30,38,35,29,43,37,435
SD NEGERI CENTEH 1,20244829,Jl. Centeh No. 5,Kec. Batununggal,17,22,20,23,22,20,247
SD NEGERI CENTEH 2,20244830,Jl. Centeh No. 5,Kec. Batununggal,14,22,20,16,20,23,244
SD NEGERI CENTEH 3,20244831,Jl. Centeh No. 5,Kec. Batununggal,15,16,19,17,21,23,230
SD NEGERI CENTEH 4,20244832,Jl. Centeh No. 5,Kec. Batununggal,11,15,15,18,34,23,194
SD NEGERI CENTEH 5,20244833,Jl. Centeh No. 5,Kec. Batununggal,6,11,16,20,22,28,189
SD NEGERI CENTEH 6,20244834,Jl. Centeh No. 5,Kec. Batununggal,18,14,24,23,15,23,232
SD NEGERI CIATEUL,20245146,Jl. Ibu Inggit Garnasih No.159,Kec. Regol,27,27,22,28,17,20,266
SD NEGERI CIBADAK 1,20244961,Jl.cibadak No.193 Bandung,Kec. Astananyar,16,19,22,13,12,14,168
SD NEGERI CIBADAK 3,20244962,Jl. Cibadak No. 193,Kec. Astananyar,18,14,17,18,15,15,193
SD NEGERI CIBADUYUT 1,20244963,Jl. Cibaduyut Raya Gg. Ma Maja No. 50,Kec. Bojong Loa Kidul,38,37,23,18,24,23,281
SD NEGERI CIBADUYUT 2,20244964,Jl. Cibaduyut Raya Gg. Ma Maja No. 50,Kec. Bojong Loa Kidul,21,32,37,25,42,38,419
SD NEGERI CIBADUYUT 3,20244965,Jl. Cibaduyut Raya Gg.maeja,Kec. Bojong Loa Kidul,15,12,24,21,22,22,219
SD NEGERI CIBADUYUT 4,20244966,Jl. Prambanan Blok O No. 4,Kec. Bojong Loa Kidul,21,41,16,36,35,17,332
SD NEGERI CIBADUYUT 5,20244967,Jl. Raya Cibaduyut No.45,Kec. Bojong Loa Kidul,41,38,26,34,32,38,453
SD NEGERI CIBEUNYING 4,20245147,Jl. Bojongkoneng No.38,Kec. Cibeunying Kidul,16,24,19,18,12,17,200
SD NEGERI CIBEUREUM 01,20245129,Jl. Asrama Kipal No. 56,Kec. Andir,13,17,17,40,25,23,271
SD NEGERI CIBEUREUM 02,20245131,Jl. Asrama Kipal No. 56,Kec. Andir,14,21,29,19,13,18,277
SD NEGERI CIBEUREUM 03,20245132,Jl. Asrama Kipal No. 56,Kec. Andir,18,21,27,34,34,27,283
SD NEGERI CIBEUREUM 04,20245133,Jl. Asrama Kipal No. 56,Kec. Andir,17,32,28,28,29,16,285
SD NEGERI CIBEUREUM 06,20245134,Jl. Asrama Kipal No. 56,Kec. Andir,18,21,14,19,38,22,244
SD NEGERI CIBEUREUM 08,20245135,Jl. Asrama Kipal No. 56,Kec. Andir,17,36,19,23,32,33,297
SD NEGERI CIBEUREUM 09,20245136,Jl. Asrama Kipal No. 56,Kec. Andir,15,27,35,17,25,26,278
SD NEGERI CIBEUREUM 11,20245130,Jl. Asrama Kipal No. 56,Kec. Andir,27,38,30,24,42,43,424
SD NEGERI CIBIRU 1,20245487,"Jl. A.h. Nasution Km. 14,5",Kec. Cibiru,38,39,51,37,24,26,402
SD NEGERI CIBIRU 3,20245488,"Jl. A.h. Nasution Km. 14,5 Bandung",Kec. Cibiru,61,74,74,75,93,97,951
SD NEGERI CIBIRU 4,20245489,"Jl. A.h. Nasution Km. 14,5",Kec. Cibiru,58,74,61,75,69,68,799
SD NEGERI CIBIRU 5,20245490,"Jl. A.h. Nasution Km. 14,5",Kec. Cibiru,35,37,37,48,54,49,517
SD NEGERI CIBIRU 7,20245491,"Jl. A.h. Nasution Km. 14,5",Kec. Cibiru,33,35,48,19,18,25,341
SD NEGERI CIBOGO,20245137,Jl. Cibogo No. 78,Kec. Sukajadi,20,25,16,16,26,22,284
SD NEGERI CIBUNTU 02,20244744,Jalan Holis - Kpad,Kec. Bandung Kulon,36,37,37,44,35,41,449
SD NEGERI CIBUNTU 1,20244743,Jl. Holis No.31,Kec. Bandung Kulon,24,17,16,18,20,32,222
SD NEGERI CIBUNTU 3,20244769,Jl. Kawat No. 1,Kec. Bandung Kulon,13,16,13,9,13,17,173
SD NEGERI CIBUNTU 4,20244770,JL. HOLIS NO.31,Kec. Bandung Kulon,23,17,12,18,14,16,176
SD NEGERI CIBUNTU 5,20244835,Jl. Holis No.31,Kec. Bandung Kulon, -   ,14,3,9,12,12,97
SD NEGERI CIBURUY,20245148,Jl. Ciburuy Kav. 59,Kec. Regol,22,26,12,14,24,23,232
SD NEGERI CICABE,20245510,Jl. H. Abdul Hamid No. 66,Kec. Mandalajati,46,95,78,91,72,69,932
SD NEGERI CICADAS 01,20245149,Jl. Cikutra No. 15,Kec. Cibeunying Kidul,33,35,42,46,39,32,471
SD NEGERI CICADAS 02,20245153,Jl. Cikutra No. 58,Kec. Cibeunying Kidul,32,28,25,21,17,18,270
SD NEGERI CICADAS 04,20245157,Jl. Asep Berlian No.33,Kec. Cibeunying Kidul,13,23,24,18,24,15,223
SD NEGERI CICADAS 05,20245158,Jl. Cikutra No. 15,Kec. Cibeunying Kidul,9,19,17,29,22,26,226
SD NEGERI CICADAS 06,20245159,Jl. Cikutra No. 15,Kec. Cibeunying Kidul,23,27,28,31,29,36,362
SD NEGERI CICADAS 08,20245160,Jl. Asep Berlian No.33,Kec. Cibeunying Kidul,17,22,16,23,16,17,220
SD NEGERI CICADAS 21,20245154,Jl. Asep Berlian No.33,Kec. Cibeunying Kidul,20,22,11,23,16,7,209
SD NEGERI CICADAS 22,20245155,Jl. Asep Berlian No.33,Kec. Cibeunying Kidul,17,24,12,15,13,18,199
SD NEGERI CICAHEUM 1,20245512,Jl. Antapani No. 44,Kec. Kiaracondong,19,18,24,20,21,11,204
SD NEGERI CICAHEUM 2,20245513,Jl. Antapani No. 44,Kec. Kiaracondong,21,18,19,23,17,19,209
SD NEGERI CIDADAP 1,20245138,Jl. Dr. Setiabudi No. 234,Kec. Cidadap,12,22,9,9,12,22,176
SD NEGERI CIDADAP 2,20245139,Jl. Cipaku Indah 2 No. 13,Kec. Cidadap,19,15,26,22,21,15,229
SD NEGERI CIGADUNG 1,20245162,Jl. Ranca Kendal No. 99,Kec. Cibeunying Kaler,30,36,41,48,26,37,390
SD NEGERI CIGADUNG 2,20245163,Jl. Ranca Kendal No. 99,Kec. Cibeunying Kaler,32,33,36,41,34,31,432
SD NEGERI CIGAGAK 1,20245838,Jl. Cilengkrang I No.153,Kec. Cibiru,47,39,38,34,52,24,478
SD NEGERI CIGONDEWAH 1,20244836,Jl. Cigondewah Kaler No. 15,Kec. Bandung Kulon,58,47,72,50,48,57,704
SD NEGERI CIGONDEWAH 4,20244839,JL.CIGONDEWAH KALER BLOK JAMBANGAN RT.03 RW 10,Kec. Bandung Kulon,15,19,22,16,20,22,218
SD NEGERI CIGONDEWAH 5,20244838,Jl. Baturengat Cigondewah,Kec. Bandung Kulon,25,28,23,21,25,26,271
SD NEGERI CIGONDEWAH HILIR,20244840,Jl. Cigondewah Rahayu rt 02 rw 05,Kec. Bandung Kulon,25,23,25,16,29,27,306
SD NEGERI CIHAMPELAS 1,20245514,Jl Cihampelas No 280,Kec. Coblong,20,24,30,31,17,34,303
SD NEGERI CIHAMPELAS 3,20245515,Jl. Cihampelas No. 280,Kec. Coblong,26,22,25,17,27,26,284
SD NEGERI CIHAURGEULIS 1,20245165,Jl. Surapati No. 155,Kec. Cibeunying Kaler,30,36,30,46,40,34,448
SD NEGERI CIHAURGEULIS 2,20245166,Jl. Surapati No. 82,Kec. Cibeunying Kaler,36,31,24,35,31,34,397
SD NEGERI CIJAGRA 1,20245023,Jl. Situ Lembang,Kec. Lengkong,16,14,21,25,24,24,255
SD NEGERI CIJAGRA 2,20245024,JL. SITU LEMBANG,Kec. Lengkong,14,24,22,22,18,25,232
SD NEGERI CIJAMBE 1,20245516,Jl. Terusan Sukup Baru No. 05,Kec. Ujungberung,32,42,31,34,38,44,418
SD NEGERI CIJAMBE 2,20245517,Jl. Sukup Baru No. 18,Kec. Ujungberung,41,49,32,37,40,57,507
SD NEGERI CIJAMBE 4,20245519,Jl. Terusan Sukup Baru No. 05,Kec. Ujungberung,15,13,17,18,17,17,210
SD NEGERI CIJAWURA 1,20245169,Jl. Cijawura,Kec. Rancasari,45,37,42,36,39,30,486
SD NEGERI CIJAWURA 2,20245170,Jl. Raya Ciwastra,Kec. Rancasari,44,38,43,46,41,40,479
SD NEGERI CIJAWURA 3,20245171,Jl. Cijawura Hilir,Kec. Buah Batu,18,13,20,19,13,19,227
SD NEGERI CIJAWURA 5,20246402,Jl. Cijawura Hilir,Kec. Buah Batu,20,22,23,19,20,27,225
SD NEGERI CIJAWURA 6,20246403,Jl. Cijawura Hilir,Kec. Buah Batu,22,16,21,26,16,28,221
SD NEGERI CIJERAH 1,20244841,Jl. Cijerah No. 122,Kec. Bandung Kulon,20,32,17,21,21,22,274
SD NEGERI CIJERAH 2,20244842,Jl. Cijerah No. 122,Kec. Bandung Kulon,19,30,24,26,12,15,275
SD NEGERI CIJERAH 3,20244843,Jl. Cijerah No. 116,Kec. Bandung Kulon,12,10,19,25,21,24,225
SD NEGERI CIJERAH 4,20244844,Jl. Cijerah No. 116,Kec. Bandung Kulon,18,18,17,26,25,37,236
SD NEGERI CIJERAH 5,20244845,Jl. Cijerah Barat No.4,Kec. Bandung Kulon,17,22,37,23,31,25,341
SD NEGERI CIJERAH 6,20244846,Jl. Mekar Hurip No. 18,Kec. Bandung Kulon,24,19,28,25,22,30,317
SD NEGERI CIJERAH INDAH,20244847,Jl. Mekar Hurip No. 18,Kec. Bandung Kulon,11,23,22,30,30,36,288
SD NEGERI CIJEROKASO 1,20244848,Jl. Sarijadi Raya No.73,Kec. Sukasari,45,43,61,55,36,20,480
SD NEGERI CIJEROKASO II,20244849,Jl. Sarijadi No. 73,Kec. Sukasari, -   , -   , -   , -   , -   ,13,38
SD NEGERI CIKADUT 1,20245520,Jl. A.H. Nasution Km.7 No. 1,Kec. Mandalajati,15,8,14,18,24,26,234
SD NEGERI CIKADUT 2,20245521,Jl. Jamaras 4 No. 101,Kec. Mandalajati,31,33,21,25,14,20,281
SD NEGERI CIKADUT 3,20245522,Jl. A.H. Nasution Km.7 No. 1,Kec. Mandalajati,33,19,16,23,26,22,262
SD NEGERI CIKADUT 4,20245523,Jl. Jamaras 4 No. 101,Kec. Mandalajati,10,9,12,21,18,25,173
SD NEGERI CIKADUT 5,20245524,Jl. A.h. Nasution Km.7 No. 1,Kec. Mandalajati,16,19,18,17,27,23,231
SD NEGERI CIKUDAYASA,20245492,Jl. Cikuda,Kec. Cibiru,54,49,44,42,41,42,498
SD NEGERI CIKUTRA 1,20245172,Jl. Cikutra No.326,Kec. Cibeunying Kaler,20,21,19,25,21,36,277
SD NEGERI CIKUTRA 2,20245173,Jl. Cikutra No.326,Kec. Cibeunying Kaler,19,23,22,24,19,21,251
SD NEGERI CIKUTRA 3,20245174,Jl. Cikutra No.326,Kec. Cibeunying Kaler,22,19,25,24,23,20,245
SD NEGERI CIKUTRA 4,20245175,Jl. Cikutra No.326,Kec. Cibeunying Kaler,22,24,20,20,21,20,240
SD NEGERI CIKUTRA 5,20245176,Jl. Cikutra No.326,Kec. Cibeunying Kaler,22,17,21,28,27,21,242
SD NEGERI CIKUTRA 6,20245177,Jl. Cikutra No.326,Kec. Cibeunying Kaler,19,24,24,29,28,35,282
SD NEGERI CILANDAK,20245918,Jl. Sarijadi Blok I,Kec. Sukasari,20,15,21,17,16,14,190
SD NEGERI CILENGKRANG 1,20245494,Jl. Cilengkrang I No. 134,Kec. Cibiru,23,20,17,16,33,28,287
SD NEGERI CILENGKRANG 2,20245495,Jl. Cilengkrang I No. 136,Kec. Cibiru,15,16,16,26,17,17,215
SD NEGERI CILENGKRANG 3,20245496,Jl. Cilengkrang I No. 135,Kec. Cibiru,18,17,14,20,23,17,206
SD NEGERI CIMINCRANG,20245497,Jl. Cilameta No.1,Kec. Gedebage,30,36,26,30,26,41,355
SD NEGERI CIMUNCANG 1,20245178,Jl. Babakan Haji Tamim No.33,Kec. Cibeunying Kidul,17,13,22,22,24,21,232
SD NEGERI CIMUNCANG 2,20245179,Jl. Babakan Haji Tamim No.33,Kec. Cibeunying Kidul,17,15,25,15,20,19,231
SD NEGERI CIMUNCANG 3,20245180,Jl. Babakan Haji Tamim No.33,Kec. Cibeunying Kidul,20,17,17,17,19,11,219
SD NEGERI CIMUNCANG 4,20245181,Jl. Babakan Haji Tamim No.33,Kec. Cibeunying Kidul,18,22,17,20,17,24,226
SD NEGERI CIMUNCANG 5,20245182,Jl. Babakan Haji Tamim No.33,Kec. Cibeunying Kidul,21,29,11,18,24,15,220
SD NEGERI CIMUNCANG 6,20245183,Jl. Babakan Haji Tamim No.33,Kec. Cibeunying Kidul,18,16,19,15,22,19,256
SD NEGERI CIMUNCANG 7,20245184,Jl. Babakan Haji Tamim No.33,Kec. Cibeunying Kidul,37,14,12,22,23,25,246
SD NEGERI CIPADUNG 1,20245498,"Jl. A.h. Nasution No. 71 Km.13,5",Kec. Cibiru,21,20,23,22,17,40,278
SD NEGERI CIPADUNG 2,20245499,Jl. A.h. Nasution No. 71,Kec. Cibiru,22,40,16,20,15,19,273
SD NEGERI CIPADUNG 3,20245500,Jl. Embah Jaksa No. 145 B,Kec. Cibiru,51,49,55,53,59,59,658
SD NEGERI CIPAGANTI 2,20245525,Jl. Sastra No. 11 A,Kec. Coblong,15,18,10,21,24,15,213
SD NEGERI CIPAGANTI 4,20245526,Jl. Sastra No.11 Bandung,Kec. Coblong,13,12,10,13,16,18,169
SD NEGERI CIPAMOKOLAN 1,20245502,Jl. Derwati No. 40,Kec. Rancasari,15,35,15,16,18,26,266
SD NEGERI CIPAMOKOLAN 2,20245503,Jl. Derwati No. 40,Kec. Rancasari,34,25,16,40,19,20,270
SD NEGERI CIPAMOKOLAN 3,20245504,Jl. Raya Derawti No.40,Kec. Rancasari,17,21,22,23,27,14,227
SD NEGERI CIPEDES 1,20245919,Jl. Setrasari Tengah No. 15,Kec. Sukasari,20,19,24,25,19,36,240
SD NEGERI CIPEDES 2,20244852,Jl. Setrasari Tengah No. 15,Kec. Sukasari,20,7,11,10,15,17,147
SD NEGERI CIPEDES 5,20245922,Jl. Gegerkalong Hilir No. 79,Kec. Sukasari,22,36,34,33,32,17,312
SD NEGERI CIPOREAT 1,20245527,Jl. A.h. Nasution No. 29,Kec. Ujungberung,37,19,22,17,26,30,302
SD NEGERI CIPOREAT 2,20245528,"Jl. A.H NASUTION KM 11,6 NO.29 A",Kec. Ujungberung,19,21,23,23,26,38,294
SD NEGERI CIPOREAT 3,20245529,"JL A.H NASUTION KM 11,6 No.29",Kec. Ujungberung,18,21,38,37,15,31,319
SD NEGERI CIPOREAT 4,20246400,Jl. A.h. Nasution No. 29,Kec. Ujungberung,18,22,21,28,28,35,270
SD NEGERI CIRANGRANG 1,20245025,"Jl. K.h. Wahid Hasyim Kopo Km 5,5",Kec. Babakan Ciparay,19,11,22,17,18,22,228
SD NEGERI CIRANGRANG 2,20245026,"Jl. K.h. Wahid Hasyim Kopo Km 5,5",Kec. Babakan Ciparay,16,17,25,16,15,12,203
SD NEGERI CIRANGRANG 3,20245027,"Jl. K.H. Wahid Hasyim Km 5,5 Kopo Cirangrang",Kec. Babakan Ciparay,12,17,15,17,17,16,193
SD NEGERI CIRANGRANG 4,20245028,"Jl. K.h. Wahid Hasyim Kopo Km 5,5",Kec. Babakan Ciparay,14,18,16,25,13,21,202
SD NEGERI CIRATEUN,20245140,Jl. Dr. Setiabudi No. 5 KM 10,Kec. Cidadap,30,41,38,24,27,46,413
SD NEGERI CIRATEUN KULON,20244855,"Jl. Dr. Setiabudi Km. 10,7",Kec. Sukasari,26,27,35,34,43,44,394
SD NEGERI CIROYOM,20245141,Jl. Taruna No. 33/26 A,Kec. Andir,47,32,20,17,27,16,274
SD NEGERI CISARANTEN KIDUL 1,20245505,Jl. Riung Bakti 1,Kec. Gedebage,20,17,37,17,13,22,275
SD NEGERI CISARANTEN KIDUL 2,20245506,Jl. Riung Bakti 1,Kec. Gedebage,23,26,16,20,23,24,244
SD NEGERI CISARANTEN KIDUL 3,20245507,Jl. Riung Bakti 1,Kec. Gedebage,35,11,16,29,29,14,264
SD NEGERI CISARANTEN KIDUL 4,20245508,Jl. Riung Bakti 1,Kec. Gedebage,19,12,20,35,19,25,264
SD NEGERI CISARANTEN KIDUL 5,20245509,Jl. Riung Bakti 1,Kec. Gedebage,19,29,14,13,22,14,217
SD NEGERI CISARANTEN KULON 01,20245530,Jl. Cisaranten Kulon No.129,Kec. Arcamanik,29,16,19,18,22,32,228
SD NEGERI CISARANTEN KULON 02,20245531,Jl. Cisaranten Kulon No.129,Kec. Arcamanik,27,21,33,23,37,35,324
SD NEGERI CISARANTEN WETAN 1,20245534,Jl. Raya Gedebage No. 17,Kec. Cinambo,12,15,22,20,28,32,260
SD NEGERI CISARANTEN WETAN 2,20245535,Jl. Raya Gedebage No. 17,Kec. Cinambo,14,13,13,24,26,16,204
SD NEGERI CISARANTEN WETAN 3,20245536,Jl. Raya Gedebage No. 17,Kec. Cinambo,25,20,22,24,25,23,242
SD NEGERI CISITU 1,20245537,Jl. Sangkuriang No. 87,Kec. Coblong,45,40,43,46,32,32,487
SD NEGERI CISITU 2,20245538,Jl. Sangkuriang No. 87,Kec. Coblong,44,54,45,42,41,61,571
SD NEGERI CITARIP BARAT 1,20244969,Jl.madesa No.24 Rt.01/12,Kec. Bojong Loa Kaler,23,46,22,20,29,19,292
SD NEGERI CITARIP BARAT 3,20244970,Jl. Madesa No. 24,Kec. Bojong Loa Kaler,21,21,36,19,20,12,276
SD NEGERI CITARIP BARAT 5,20244971,Jl. Madesa No. 24,Kec. Bojong Loa Kaler,22,34,19,23,21,18,290
SD NEGERI CITARIP BARAT 6,20244972,Jl. Madesa No. 24,Kec. Bojong Loa Kaler,22,20,41,22,29,24,283
SD NEGERI CITEPUS 1,20245541,Jl. Astana Eyang,Kec. Cicendo,21,23,14,24,21,16,235
SD NEGERI CITEPUS 2,20245542,Jl. Astana Eyang,Kec. Cicendo,18,25,30,20,26,19,265
SD NEGERI CITEPUS 3,20245543,Jl. Astana Eyang,Kec. Cicendo,23,39,19,19,20,23,266
SD NEGERI CITEPUS 4,20245544,Jl. Astana Eyang,Kec. Cicendo,20,11,14,14,23,23,251
SD NEGERI CITEPUS 5,20245545,Jl. Astana Eyang,Kec. Cicendo,22,18,17,20,24,29,259
SD NEGERI CIUJUNG 1,20245187,Jl. Lapangan Supratman No. 7,Kec. Bandung Wetan,19,24,21,20,18,18,222
SD NEGERI CIUJUNG 2,20245188,Jl. Lapangan Supratman No. 7,Kec. Bandung Wetan,19,25,16,16,19,23,228
SD NEGERI CIUJUNG 3,20245189,Jl. Lapangan Supratman No. 7,Kec. Bandung Wetan,15,17,17,16,15,19,220
SD NEGERI CIUJUNG 4,20245190,Jl. Lapangan Supratman No. 7,Kec. Bandung Wetan,18,15,15,17,19,16,215
SD NEGERI CIUMBULEUIT 1,20245142,Jl. Bukit Raya No. 173,Kec. Cidadap,36,47,30,34,38,42,455
SD NEGERI CIUMBULEUIT 3,20245144,Jl. Bukit Indah No. 12,Kec. Cidadap,32,34,45,31,33,25,408
SD NEGERI CIUMBULEUIT 4,20245145,Jl.Bukit Raya Atas,Kec. Cidadap,11,12,8,19,17,12,155
SD NEGERI COBLONG 1,20245546,Jl. Ir.h. Juanda No. 304,Kec. Coblong,27,22,20,18,23,18,247
SD NEGERI COBLONG 2,20245547,Jl. Ir.h. Juanda No. 304,Kec. Coblong,16,25,16,15,24,21,257
SD NEGERI COBLONG 3,20245548,Jl. Ir.h. Juanda No. 304,Kec. Coblong,24,20,24,18,17,25,251
SD NEGERI COBLONG 4,20245549,Jl. Ir. H. Juanda No. 338,Kec. Coblong,21,22,21,26,25,21,264
SD NEGERI COBLONG 5,20245560,Jl. Ir. H. Juanda No. 338,Kec. Coblong,20,16,23,24,19,24,253
SD NEGERI COBLONG 6,20245561,Jl. Ir.h. Juanda No. 304,Kec. Coblong,23,26,26,24,15,29,245
SD NEGERI DADALI,20245191,Jl. Dadali No. 5,Kec. Andir,22,35,31,21,21,23,271
SD NEGERI DERWATI,20245562,Jl. Derwati No. 40,Kec. Rancasari,15,14,23,37,19,20,249
SD NEGERI DERWATI 1,20245563,Jl. Derwati No. 40,Kec. Rancasari,21,15,16,18,20,23,223
SD NEGERI DIAN,20245564,Jl. Budi No. 26,Kec. Cicendo,39,27,40,34,31,36,418
SD NEGERI DR. CIPTO,20245566,Jl. Dr. Cipto No. 4,Kec. Cicendo,27,44,43,43,57,39,487
SD NEGERI DURMAN,20245193,Jl. Durman No.30,Kec. Andir,24,35,34,28,33,28,389
SD NEGERI DWIKORA 1,20245029,Jl. Inhoftank No. 16,Kec. Astananyar,24,25,19,11,19,25,259
SD NEGERI DWIKORA 3,20245030,Jl.inhoftank No.16,Kec. Astananyar,11,22,22,21,23,21,226
SD NEGERI EMBONG,20245568,Jalan Embong No. 6,Kec. Sumur Bandung,23,16,33,23,25,34,287
SD NEGERI GAMBIR,20244857,Jl. Gambir No. 25,Kec. Batununggal,46,46,50,59,47,42,563
SD NEGERI GARUDA 1,20245196,Jl. Dadali No. 5,Kec. Andir,38,44,39,36,38,45,450
SD NEGERI GARUDA 2,20245197,Jl. Dadali No. 5 Kota Bandung,Kec. Andir,54,62,58,58,53,59,649
SD NEGERI GATOT SUBROTO 1,20245206,Jl. Yudhawastu Pramuka IV,Kec. Cibeunying Kidul,25,26,31,22,36,37,346
SD NEGERI GATOT SUBROTO 2,20245207,Jl. Yudhawastu Pramuka IV,Kec. Cibeunying Kidul,24,31,32,30,25,32,315
SD NEGERI GEDEBAGE,20245572,Jln. Gedebage Selatan,Kec. Cinambo,37,16,34,24,13,22,286
SD NEGERI GEGERKALONG GIRANG 1,20247203,Jl. Geger Arum No. 11 B,Kec. Sukasari,18,31,11,22,20,27,236
SD NEGERI GEGERKALONG GIRANG 2,20247204,Jl. Geger Arum No. 11 B,Kec. Sukasari,21,15,20,19,21,24,238
SD NEGERI GEGERKALONG KPAD 1,20244861,Jl. Manunggal Kpad,Kec. Sukasari,20,22,38,42,33,40,372
SD NEGERI GEGERKALONG KPAD 2,20244862,Jl. Manunggal Kpad,Kec. Sukasari,43,28,14,20,38,38,372
SD NEGERI GEMPOL SARI,20244863,Komplek Bumi Asri E-40,Kec. Bandung Kulon,42,21,37,22,26,27,333
SD NEGERI GENTRA MASEKDAS,20244974,Jl. Sukamulya No. 29,Kec. Bojong Loa Kaler,66,68,52,59,58,125,812
SD NEGERI GRIYA BUMI ANTAPANI 13-1,20245573,Jl. Kadipaten 14 No. 2,Kec. Antapani,24,16,20,13,22,28,264
SD NEGERI GRIYA BUMI ANTAPANI 13-2,20245574,Jl. Kadipaten 14 No. 2,Kec. Antapani,17,30,19,15,19,14,224
SD NEGERI GRIYA BUMI ANTAPANI 14-1,20245575,Jl. Cicalengka Raya No. 1,Kec. Antapani,42,38,39,27,27,34,391
SD NEGERI GRIYA BUMI ANTAPANI 14-2,20245576,Jl. Cicalengka Raya No.1,Kec. Antapani,18,15,22,18,19,21,235
SD NEGERI GRIYA BUMI ANTAPANI 14-3,20246405,Jl. Cicalengka Raya No. 1,Kec. Antapani,19,22,27,18,17,14,226
SD NEGERI GRIYA BUMI ANTAPANI 18,20245577,Jl. Plered 9 No. 25,Kec. Antapani,38,27,28,19,18,39,289
SD NEGERI GRIYA BUMI ANTAPANI 23,20245579,Jl. Banjarsari IV No. 1,Kec. Antapani,31,40,37,31,23,33,387
SD NEGERI GRIYA BUMI ANTAPANI 27-1,20245580,Jl. Cibatu VI No. 1,Kec. Antapani,37,24,21,16,20,22,315
SD NEGERI GRIYA BUMI ANTAPANI 27-2,20245581,Jl. Cibatu VI No. 1,Kec. Antapani,17,14,12,13,17,18,182
SD NEGERI GRIYA BUMI ANTAPANI 32,20245582,Jl. Tanjungsari VI No. 40,Kec. Antapani,36,42,45,48,44,33,474
SD NEGERI GRIYA BUMI ANTAPANI 5-1,20245583,Jl. Subang V No. 5,Kec. Antapani,21,21,31,18,24,21,269
SD NEGERI GRIYA BUMI ANTAPANI 5-2,20245584,Jl. Subang V No. 5,Kec. Antapani,17,21,21,18,42,20,273
SD NEGERI GUMURUH 01,20244864,Jl. Cibangkong No. 13,Kec. Batununggal,19,24,16,24,14,20,247
SD NEGERI GUMURUH 02,20244867,Jl. Cibangkong No. 13,Kec. Batununggal,30,31,31,29,27,31,327
SD NEGERI GUMURUH 06,20244869,Jl. Cibangkong No. 13,Kec. Batununggal,18,20,17,16,19,22,220
SD NEGERI GUMURUH 07,20244870,Jl. Gumuruh No. 138,Kec. Batununggal,20,30,41,37,34,31,329
SD NEGERI GUMURUH 08,20244871,Jl. Taurus No. 60,Kec. Batununggal,31,16,14,28,19,23,243
SD NEGERI GUMURUH 09,20244872,Jl. Gumuruh No. 138,Kec. Batununggal,37,48,36,20,37,22,419
SD NEGERI GUMURUH 10,20244865,Jl. Cibangkong No. 13,Kec. Batununggal,15,13,20,20,13,17,215
SD NEGERI GUNUNG RAHAYU 2,20245570,Jl. Mentor No. 67,Kec. Cicendo,20,28,38,30,15,22,292
SD NEGERI GUNUNG RAHAYU 4,20245571,Jl. Mantor No. 67,Kec. Cicendo,41,36,25,30,37,31,384
