npsn,nama,bentuk_pendidikan_nama,jenjang_pendidikan_nama,alamat_jalan,rt,rw,nama_dusun,desa_kelurahan_nama,Column,lintang,bujur,kebutuhan_khusus_nama,status_sekolah_nama,status_kepemilikan_nama
20244969,SD NEGERI CITARIP BARAT 1,SD,SD / sederajat,Jl.madesa No.24 Rt.01/12,1,12,,Kopo,Kec. Bojong Loa Kaler,-6.9391,107.5852,"C1, D",Aktif,Pemerintah Daerah
20245808,SD NEGERI SUKAPURA 4,SD,SD / sederajat,Jl. Terusan Psm No. 1,5,1,Sukapura,Sukapura,Kec. Kiaracondong,-6.9305,107.6539,Tidak ada,Aktif,Lainnya
20245042,SD NEGERI KOPO 4,SD,SD / sederajat,Jl. Pasirkoja No. 37,1,3,,Nyengseret,Kec. Astanaanyar,-6.9271,107.6013,Tidak ada,Aktif,Pemerintah Daerah
20245584,SD NEGERI GRIYA BUMI ANTAPANI 5-2,SD,SD / sederajat,Jl. Subang V No. 5,1,2,,Antapani Tengah,Kec. Antapani,-6.913,107.6536,Tidak ada,Aktif,Pemerintah Pusat
20245786,SD NEGERI SOKA 34-6,SD,SD / sederajat,Jl. Soka No. 34,5,8,,Merdeka,Kec. Sumur Bandung,-6.9155,107.6288,Tidak ada,Aktif,Pemerintah Daerah
20247203,SD NEGERI GEGERKALONG GIRANG 1,SD,SD / sederajat,Jl. Geger Arum No. 11 B,4,6,,Isola,Kec. Sukasari,-6.8608,107.5866,"C1, D",Aktif,Pemerintah Pusat
20244861,SD NEGERI GEGERKALONG KPAD 1,SD,SD / sederajat,Jl. Manunggal Kpad,6,2,,Gegerkalong,Kec. Sukasari,-6.8665,107.5818,"C1, D",Aktif,Lainnya
20245099,SD NEGERI TURANGGA 4,SD,SD / sederajat,Jl. Salak No. 3,3,8,,Lingkar Selatan,Kec. Lengkong,-6.927,107.629,Tidak ada,Aktif,Pemerintah Pusat
20245087,SD NEGERI SITUGUNTING 3,SD,SD / sederajat,Jl. H. Zakaria No. 56,7,1,,Sukahaji,Kec. Babakan Ciparay,-6.9324,107.5843,"C1, D",Aktif,Pemerintah Daerah
20245276,SD NEGERI SUKASARI 3,SD,SD / sederajat,Jl. Dr. Djundjunan No. 79,1,5,,Sukawarna,Kec. Sukajadi,-6.8912,107.5802,Tidak ada,Aktif,Pemerintah Daerah
20219832,SD PRIANGAN,SD,SD / sederajat,Jl. Baros No.1,4,5,Cihapit,Cihapit,Kec. Bandung Wetan,-6.9067,107.6284,Tidak ada,Tidak Aktif,Yayasan
20245588,SD NEGERI HAURPANCUH 2,SD,SD / sederajat,Jl. Terusan Teuku Umar No. 87,0,0,,Sadang Serang,Kec. Coblong,-6.8927,107.6197,Tidak ada,Aktif,Pemerintah Daerah
20246411,SD NEGERI MARGACINTA 2,SD,SD / sederajat,Jl. Marga Indah I,2,4,Cijaura,Cijaura,Kec. Buahbatu,-6.9552,107.6422,Tidak ada,Aktif,Pemerintah Daerah
20219822,SDS BPK PENABUR TAMAN HOLIS INDAH,SD,SD / sederajat,Komp. Taman Holis Indah Blok A,2,5,,Cigondewah Kidul,Kec. Bandung Kulon,-6.9463,108.0,Tidak ada,Tidak Aktif,Yayasan
