NO,TANGGAL,TAHUN,TEMPAT,LEVEL,KATEGORI,PENGHARGAAN,PEMBERI,PENERIMA,PEMILIK PRESTASI
33,,2015,SUMEDANG,PROPINSI,DINAS,JUARA I FESTIVAL CALUNG TINGKAT PROPINSI,,DISBUDPAR,DISBUDPAR
34,12/23/2015,2015,JAKARTA,NASIONAL,PIMPINAN,WAHANA TATA NUGRAHA BIDANG ANGKUTAN DAN LALU LINTAS KATEGORI KOTA METROPOLITAN,PRESIDEN RI,WALIKOTA,PEMKOT
35,2015,2015,SURABAYA,NASIONAL,PIMPINAN,JUARA KEDUA UNTUK KATEGORI PENGUMUMAN INFORMASI BERKALA TERLENGKAP ,KOMINFO AWARD 2015 PROVINSI JAWA BARAT (WAKIL GUBERNUR JABAR) ,WAKIL WALIKOTA,PPID
36,2015,2015,SURABAYA,NASIONAL,PIMPINAN,JUARA UMUM KETIGA PENERAPAN UNDANG-UNDANG KIP TERLENGKAP ,KOMINFO AWARD 2015 PROVINSI JAWA BARAT (WAKIL GUBERNUR JABAR) ,WAKIL WALIKOTA,PPID
37,2015,2015,,NASIONAL,PIMPINAN,SATYALENCANA KEBAKTIAN SOSIAL ,PRESIDEN RI (GUBERNUR JABAR) ,WALIKOTA,WALIKOTA
38,2015,2015,,NASIONAL,PIMPINAN,KOTA LANGIT BIRU KATEGORI KOTA METROPOLITAN ,KEMENTRIAN LINGKUNGAN HIDUP DAN KEHUTANAN RI ,WALIKOTA,PEMKOT
39,2015,2015,,NASIONAL,PIMPINAN,ANUGERAH MEDIA HUMAS KATEGORI PROFIL LEMBAGA TERBAIK KE-2,,,
40,2015,2015,,NASIONAL,PIMPINAN,ANUGERAH MEDIA HUMAS KATEGORI CINDERAMATA UTAMA ,,,
41,2015,2015,,NASIONAL,PIMPINAN,PENGHARGAAN SEBAGAI KOTA SEHAT,,,
42,2015,2015,,NASIONAL,PIMPINAN,PENGHARGAAN SEBAGAI KOTA HAM ,,,
43,2015,2015,,NASIONAL,PIMPINAN,KNPI AWARDS KOTA LAYAK PEMUDA,,,
44,2015,2015,,NASIONAL,PIMPINAN,ADIPURA,,,
45,2015,2015,,NASIONAL,PIMPINAN,PENGHARGAAN DARI IPRAS (INDONESIA PUBLIC RELATION AWARD AND SUMMIT),,,
46,2015,2015,,NASIONAL,PIMPINAN,PENGHARGAAN ISNA (INDONESIA SMART NATION AWARD) 2015,,,
47,2015,2015,,NASIONAL,PIMPINAN,PENGHARGAAN K3,,,
48,2015,2015,,NASIONAL,PIMPINAN,PENGHARGAAN ANUBHAWA SASANA,,,
49,2015,2015,,NASIONAL,PIMPINAN,PENGHARGAAN DARI KEMENPAN-RB,,,
50,2015,2015,,NASIONAL,PIMPINAN,PENGHARGAAN IKCI (INDEKS KOTA CERDAS INDONESA),,,
51,2015,2015,,NASIONAL,PIMPINAN,PENGHARGAAN DIASPORA,,,
52,2015,2015,,NASIONAL,PIMPINAN,SINDO AWARD WALIKOTA INOVATIF,,,
53,6/14/2015,2015,BANDUNG,NASIONAL,PIMPINAN,PENGHARGAAN DARI FSOI ATAS PRESTASI SEBAGAI SEKDA KOTA BANDUNG YANG TELAH BERHASIL MEMBUAT LINGKUNGAN KOTA BANDUNG MENJADI INDAH DAN TELAH SUKSES MENJADI TUAN RUMAH KONFERENSI ASIA AFRIKA KE 60,FORUM SILATURAHMI ORMAS ISLAM,SEKRETARIS DAERAH,PEMKOT
54,6/14/2015,2015,BANDUNG,NASIONAL,PIMPINAN,PENGHARGAAN DARI FSOI  ATAS PRESTASI SEBAGAI WAKIL WALI KOTA BANDUNG YANG TELAH BERHASIL MEMBUAT LINGKUNGAN KOTA BANDUNG MENJADI INDAH DAN TELAH SUKSES MENJADI TUAN RUMAH KONFERENSI ASIA AFRIKA KE 60 ,FORUM SILATURAHMI ORMAS ISLAM,WAKIL WALIKOTA,PEMKOT
55,,2015,JAKARTA,NASIONAL,KEWILAYAHAN,JUARA 1 ADIWIYATA MANDIRI TINGKAT NASIONAL,PRESIDEN RI,KECAMATAN RANCASARI,SD CIJAWURA
56,1/16/2015,2015,JAKARTA,NASIONAL,BADAN,"KEBERHASILAN DALAM MELAKSANAKAN SELEKSI cpns TAHUN 2014 DENGAN METODE CAT BKN SECARA CEPAT, AKUNTABEL, DAN TRANSPARAN SERTA BEBAS KKN DALAM RANGKA MEWUJUDKAN ASN YANG PROFESIONAL DAN BERMARTABAT",BKN,BKD,BKD
57,6/7/2015,2015,JAKARTA,NASIONAL,BADAN,JUARA HARAPAN 2 PADA PAMERAN INDUSTRI PERDAGANGAN DAN PARIWISATA & EKONOMI KREATIF SKALA NASIONAL,PT. VISI SINERGI ANTARNUSA,BAPPEDA,BAPPEDA
