jenis_kelamin,asal_sekolah,kelas
Laki-laki,SDN Cincin 03 Kab.Bandung,II(dua)
Laki-laki,SDN Sukarasa Kab.Bandung,III(tiga)
Perempuan,SDN Cicalengka 08 Kab.Bandung,VI(enam)
Laki-laki,SDN Bintara IV Bekasi Barat,VI(enam)
Laki-laki,SDN Karet 04 PG,III(tiga)
Perempuan,SDN 2 Kedungarum,II(dua)
Laki-laki,SDN Tugu 3,II(dua)
Laki-laki,SDN Lengkong Bojongsoang Kab.Bandung,II(dua)
Laki-laki,SDN Kadungora III Kab.Garut,II(dua)
Perempuan,SDN 2 Ciomas Kab.Ciamis,II(dua)
Perempuan,SDN Curug wetan VI Kab.Tangerang,V(lima)
Laki-laki,SDN Cinunuk 05,VI (Enam)
Perempuan,SDN Cijagra 1 Bojongsoang Kab.Bandung,II(dua)
Laki-laki,SDN Cijagra 1 Bojongsoang Kab.Bandung,IV
Perempuan,SDN sunter jaya 08 Petang Jakarta,V(lima)
Laki-laki,SDN Cirapuhan 5 Selawi Kab.Garut,V(lima)
Perempuan,SDN Rancamanyar 06 Kab.Bandung,V(lima)
Laki-laki,SD katolik Santo Fransiskus Asisi Samarinda,II(dua)
Perempuan,SDN Cimahi  Mandiri 2 Kota Cimahi,V(lima)
Laki-laki,SDN Tengah 04 Petang Kota Jakarta Timur,III(tiga)
Perempuan,SDN Cimacan 1 Cipanas Kab..Cianjur,VI(enam)
Laki-laki,SDN Sinarmanah,V(lima)
Laki-laki,SDN Angkasa 4 Jakarta Timur,III(tiga)
Perempuan,SDN 21 Pekanbaru ,II(dua)
Laki-laki,SDN Cicalenga 8 Kab.Bandung,IV(empat)
Laki-laki,SDN Cikasarung I Kab.Majalengka,IV(empat)
Perempuan,SDN Sindangkerta Kab.Sumedang,V(lima)
Perempuan,SDN Kadu Sempur,II (dua)
Perempuan,Newton British School, Doha, Qatar,
Perempuan,SDN 21 Bireun, Aceh,IV(empat)
Perempuan,SDN Pananjung III,II (dua)
Laki-laki,SDN Sayuran 2 Kab.Bandung,VI(enam)
Laki-laki,SDN Melong Mandiri 5 Kota Cimahi,II(dua)
Laki-laki,SDN Buluh II Kab.Bandung,VI(enam)
Laki-laki,SD Yayasan Atikan Sunda I Pasirleutik,II (dua)
Perempuan,SDN Neglasari Kab.Sumedang,V(lima)
Laki-laki,SDN Sipak 01 Kab.Bogor,II(dua)
Perempuan,SDN Maripari I,II (dua)
Perempuan,SDN Rengasdengklok Utara 1 Kab.Karawang,IV(empat)
Laki-laki,SDN Cimahi Mandiri 2 Kota Cimahi,V(lima)
Laki-laki,SD Katolik Santa Maria Kota Cirebon,V(lima)
Laki-laki,SDN Muh Cisaat Kabupaten Garut,IV(empat)
Laki-laki,SDN Pangauban 02 Kab.Bandung,III(tiga)
Perempuan,SDN cijagra 2 Kabupaten Bandung,II(dua)
Perempuan,SDN Grogol Selatan 02 Jakarta Selatan,IV(empat)
Perempuan,SDN Karyamukti II Kab.Majalengka,IV(empat)
Perempuan,SDN Bungbulang 4 Kabupaten Garut,IV(empat)
Perempuan,SDN Rancamanyar 1 Kab.Bandung,V(lima)
Laki-laki,SDN Cibodas Kabupaten Sukabumi,IV(empat)
Laki-laki,SDN Ciluncat I Kabupaten Bandung,VI(enam)
Perempuan,SDN 1 Ciomas Kab.Kuningan,II(dua)
Laki-laki,SDN Purwadana Kab.Karawang,II(dua)
Laki-laki,SDN Blok Sawah,IV(empat)
Laki-laki,SDITA Taman Harapan Curup Kab.Rejang Lebong Prov.Bengkulu,III(tiga)
Perempuan,SDITA Taman Harapan Curup Kab.Rejang Lebong Prov.Bengkulu,II(dua)
Laki-laki,SDN Rungkut Menanggal I Kota Surabaya,II(dua)
Perempuan,Jefferson Elementary School, Dekalb, IL60115 United States Of America,IV(empat)
Perempuan,Jefferson Elementary School, Dekalb, IL60115 United States Of America,II(dua)
Laki-laki,SDN Banjaran Kab.Bandung,V(lima)
Perempuan,SDIT Al Huda Sidoarjo Kabupaten Wonogiri,III(tiga)
Perempuan,SDN Sekeperis 2 Kab.Bandung,V(lima)
Laki-laki,SDN 4 Pejagoan Kabupaten Kebumen,IV(empat)
Perempuan,SDN Calingcing Kec.Sukahening Kab.Tasikmalaya,V(lima)
Perempuan,SDI Al-Furqon Kab.Sumedang,II(dua)
Laki-laki,SDN Baros Mandiri 4 Kota Cimahi,III(tiga)
Laki-laki,SDN Pucangrejo Kab.Kendal,II(dua)
Perempuan,SDN Mekarsari IV Cbatu Kab.Garut,II(dua)
Perempuan,SDIT Nurul Fajri Kab.Bekasi,VI(enam)
Perempuan,SDN cikodom 2 Kab.Bogor,IV(empat)
Perempuan,SDN Banjaran Kab.Bandung,III(tiga)
Perempuan,SDN Cibiru 9 Kab.Bandung,V(lima)
Perempuan,SDN Haurngombong 2,III(tiga)
Laki-laki,SDN Adiyasa Kab.Bandung,II(dua)
Laki-laki,SDN Cibabat Mandiri 3 Kota Cimahi,IV(empat)
Perempuan,SDN Kaduagung 1 Kab.Tangerang,III(tiga)
Perempuan,SDN 1 Dagan Kab.Purbalingga,V(lima)
Perempuan,SDN 1 Wanayasa Kab.Purwakarta,VI(enam)
Laki-laki,MI Panyindangan,III (Tiga)
Perempuan,SDN Karang Mekar Mandiri 2 Kota Cimahi,II(dua)
Perempuan,SDN Kota Kulon 09 Kab.Garut,III(tiga)
Perempuan,SDN 3 Gunung Putri Kab.Bogor,III(tiga)
Perempuan,SDN 3 Gunung Putri Kab.Bogor,V(lima)
Perempuan,SDN Rancamalang IV Kab.Bandung,I(satu)
Perempuan,SDN Ganjarsabar 01 Kab.Bandung,III(tiga)
Laki-laki,SDN Susukan 04 Pagi Jakarta Timur,II(dua)
Perempuan,SDN 10 Lembang Kab.Bandung Barat,III(tiga)
Perempuan,SDN 1 Surade Kab.Sukabumi,IV(empat)
Perempuan,SDN Sukamaju Ngamprah Kab.Bandung Barat,I(satu)
Perempuan,SDN 1 Wanasigra Sindangkasih Kab.Ciamis,IV(empat)
Laki-laki,SDN Serang 4 Kota Serang,II(dua)
Laki-laki,SDN Rancamanyar VI Kab.Bandung,V(lima)
Laki-laki,SDN ADETEX Kab.Bandung,I(satu)
Perempuan,SDN Junti Hilir 04 Kab.Bandung,VI(enam)
Laki-laki,SDN Sukamenak Kab.Bandung,VI(enam)
Perempuan,SDN Sarimulya III Kabupaten Karawang,II(dua)
Perempuan,SDN Rahayu 6 Kab.Bandung,
Laki-laki,SDN Limbangan Timur 1 Kab.Garut,IV(empat)
Perempuan,SD Plus Al-Muhajirin Kab.Purwakarta,III(tiga)
Perempuan,SDN Sukapura 1 Kota Cirebon,VI(enam)
Laki-laki,SDN Magelang 6 Kota Magelang,III(tiga)
Perempuan,SDN Cicadas Kabupaten Tasikmalaya,II(dua)
Perempuan,MI Cipeujeuh Kab.Garut,III(tiga)
Laki-laki,SDN Pangauban 2 Kab.Bandung,III(tiga)
Laki-laki,SDN Ciracas 16 PT Jakarta Timur,II(dua)
Perempuan,SDN 46 Pagar Alam Kota Pagar Alam,III(tiga)
Laki-laki,SDN 17 Kelapa Kampit Kab.Belitung Timur,III(tiga)
Laki-laki,SDN 76 Kota Bengkulu,V(lima)
Perempuan,SDN Jagasari II Kab.Majalengka,V(lima)
Perempuan,SDN Bina Insani Kab.Karawang,II(dua)
Laki-laki,SDN Dahniar Kab.Bandung,IV(empat)
Laki-laki,SDN Mekarwangi Kab.Bandung,II(dua)
Laki-laki,SDN Mekarwangi Kab.Bandung,V(lima)
Perempuan,SDN Padasuka Mandiri 1,IV(empat)
Laki-laki,SDN Majalengka Wetan VII Kabu.Majalengka,VI(enam)
Laki-laki,SDN Kendeng Kab.Bandung,IV(empat)
Perempuan,SDN Padasuka 4,V(lima)
Perempuan,SD Al Falah Assalam Kabupaten Sidoarjo,V(lima)
Laki-laki,SD Al Falah Assalam Kabupaten Sidoarjo,V(lima)
Laki-laki,SDN Cikoneng Kab.Bandung,IV(empat)
Laki-laki,SDN Sapan 2 Kab.Bandung,IV(empat)
Laki-laki,SDN Kondangjaya III Karawang Timur,IV(empat)
Laki-laki,SDN Cincin 03 Kab.Bandung,I(satu)
Laki-laki,SDN Cincin 03 Kab.Bandung,IV(empat)
Laki-laki,SDN Cikalapa Kab.Bandung Barat,II(dua)
Perempuan,Garut, 26 Desember 2007,II(dua)
