indikator,kecamatan,kelurahan_desa,tidak_cacat,tuna_daksa,tuna_netra,tuna_rungu,tuna_wicara,"tuna_rungu,wicara","tuna_netra,daksa","tuna_netra,rungu,_wicara","tuna_rungu,wicara,_daksa","tuna_rungu,_wicara,netra,_daksa",cacat_mental,mental_gangguan_jiwa,cacat_fisik_mental,total_krt
"Kekurangan Fisik",KIARACONDONG,"BABAKAN SARI",1621,2,2,2,0,1,1,0,0,0,3,1,0,1634
"Kekurangan Fisik",KIARACONDONG,"BABAKAN SURABAYA",1023,7,1,3,0,0,0,0,0,0,2,2,1,1039
"Kekurangan Fisik",KIARACONDONG,CICAHEUM,885,4,1,1,1,0,0,2,0,0,1,0,10,905
"Kekurangan Fisik",BATUNUNGGAL,GUMURUH,801,2,7,0,1,1,2,0,0,0,3,6,0,823
"Kekurangan Fisik",BATUNUNGGAL,BINONG,999,7,2,1,0,0,0,0,0,1,3,0,5,1019
"Kekurangan Fisik",BATUNUNGGAL,"KEBON GEDANG",577,2,2,0,0,0,0,0,0,0,2,1,1,586
"Kekurangan Fisik",BATUNUNGGAL,MALEER,1404,7,1,1,3,0,0,0,0,0,5,0,2,1423
"Kekurangan Fisik",BATUNUNGGAL,CIBANGKONG,979,22,3,5,2,2,1,0,0,0,2,3,1,1020
"Kekurangan Fisik",BATUNUNGGAL,SAMOJA,1006,2,5,0,1,2,0,0,1,0,2,0,0,1019
"Kekurangan Fisik",BATUNUNGGAL,KACAPIRING,448,0,1,1,0,2,0,1,0,0,1,0,2,456
"Kekurangan Fisik",BATUNUNGGAL,"KEBON WARU",825,8,2,0,0,0,3,0,1,0,2,0,0,841
"Kekurangan Fisik","SUMUR BANDUNG",BRAGA,184,1,1,0,0,0,0,1,0,1,0,0,1,189
"Kekurangan Fisik","SUMUR BANDUNG","KEBON PISANG",291,2,0,0,0,0,0,0,0,0,0,1,2,296
"Kekurangan Fisik","SUMUR BANDUNG",MERDEKA,50,0,1,0,0,0,0,0,0,0,0,0,2,53
"Kekurangan Fisik","SUMUR BANDUNG","BABAKAN CIAMIS",173,1,2,3,0,0,0,0,1,0,0,1,0,181
"Kekurangan Fisik",ANDIR,CAMPAKA,849,7,4,2,0,0,0,0,0,0,0,2,2,866
"Kekurangan Fisik",ANDIR,MALEBER,721,2,4,1,1,0,0,0,0,0,2,1,0,732
"Kekurangan Fisik",ANDIR,GARUDA,491,2,1,0,0,1,1,0,0,1,5,3,1,506
"Kekurangan Fisik",ANDIR,"DUNGUS CARIANG",770,8,2,0,1,0,0,1,0,1,0,1,0,784
"Kekurangan Fisik",ANDIR,CIROYOM,1087,5,3,2,0,1,0,0,0,1,7,1,2,1109
"Kekurangan Fisik",ANDIR,"KEBON JERUK",514,0,2,1,0,0,0,0,0,0,0,0,1,518
"Kekurangan Fisik",CICENDO,ARJUNA,198,2,1,0,0,0,0,0,0,0,1,0,2,204
"Kekurangan Fisik",CICENDO,PASIRKALIKI,292,0,4,1,0,1,0,1,0,0,0,0,1,300
"Kekurangan Fisik",CICENDO,PAMOYANAN,180,2,0,0,0,0,0,0,0,0,0,0,0,182
"Kekurangan Fisik",CICENDO,PAJAJARAN,1146,6,8,0,1,0,1,0,0,5,2,4,2,1175
"Kekurangan Fisik",CICENDO,"HUSEN SASTRANEGARA",847,5,1,1,0,0,0,1,0,0,2,2,0,859
"Kekurangan Fisik",CICENDO,SUKARAJA,802,0,3,0,1,0,0,0,0,2,4,1,2,815
"Kekurangan Fisik","BANDUNG WETAN","TAMAN SARI",753,7,3,4,0,0,0,1,0,3,3,2,10,786
"Kekurangan Fisik","BANDUNG WETAN",CITARUM,25,0,0,0,0,0,0,0,0,0,0,0,0,25
"Kekurangan Fisik","BANDUNG WETAN",CIHAPIT,33,0,0,1,0,0,0,0,0,0,0,0,0,34
"Kekurangan Fisik","CIBEUNYING KIDUL",SUKAMAJU,410,0,3,1,1,1,0,0,0,0,2,1,2,421
"Kekurangan Fisik","CIBEUNYING KIDUL",CICADAS,575,3,3,2,0,1,0,0,0,1,0,1,1,587
"Kekurangan Fisik","CIBEUNYING KIDUL",CIKUTRA,997,9,4,5,0,0,0,0,1,1,2,1,3,1025
"Kekurangan Fisik","CIBEUNYING KIDUL",PADASUKA,901,7,4,2,0,0,0,0,0,0,1,0,3,918
"Kekurangan Fisik","CIBEUNYING KIDUL",PASIRLAYUNG,1052,5,3,1,0,1,0,0,1,0,2,0,0,1066
"Kekurangan Fisik","CIBEUNYING KIDUL",SUKAPADA,1217,9,3,5,0,1,1,0,0,0,3,0,3,1244
"Kekurangan Fisik","CIBEUNYING KALER",CIHAURGEULIS,474,2,2,0,0,1,0,0,0,0,0,0,2,482
"Kekurangan Fisik","CIBEUNYING KALER",SUKALUYU,478,7,4,2,0,0,0,0,0,0,3,3,0,497
"Kekurangan Fisik","CIBEUNYING KALER",NEGLASARI,383,1,0,0,0,0,0,0,0,0,0,0,1,386
"Kekurangan Fisik","CIBEUNYING KALER",CIGADUNG,1034,1,4,5,1,0,1,0,0,3,2,2,4,1057
"Kekurangan Fisik",COBLONG,CIPAGANTI,688,2,0,1,1,0,0,0,0,0,2,0,0,694
"Kekurangan Fisik",COBLONG,"LEBAK SILIWANGI",265,2,0,0,1,0,0,0,0,0,0,0,0,269
"Kekurangan Fisik",COBLONG,"LEBAK GEDE",377,2,1,0,0,0,0,0,0,0,1,0,0,381
"Kekurangan Fisik",COBLONG,"SADANG SERANG",1121,7,2,2,0,1,0,1,1,0,0,3,0,1139
"Kekurangan Fisik",COBLONG,SEKELOA,991,6,1,3,0,0,0,1,0,0,1,1,1,1006
"Kekurangan Fisik",COBLONG,DAGO,1268,21,2,8,0,0,0,0,1,2,5,6,1,1317
"Kekurangan Fisik",SUKAJADI,SUKAWARNA,383,2,1,2,0,1,0,0,0,0,2,1,0,392
"Kekurangan Fisik",SUKAJADI,SUKAGALIH,1001,1,4,2,0,0,0,0,0,0,0,2,2,1012
"Kekurangan Fisik",SUKAJADI,SUKABUNGAH,1299,9,5,1,2,1,0,0,0,0,1,1,3,1322
"Kekurangan Fisik",SUKAJADI,CIPEDES,1315,4,3,5,1,0,0,0,0,0,0,5,2,1337
"Kekurangan Fisik",SUKAJADI,PASTEUR,744,4,4,1,0,0,0,0,1,0,3,2,0,759
"Kekurangan Fisik",SUKASARI,SARIJADI,529,0,1,1,0,0,1,0,0,0,1,1,0,534
"Kekurangan Fisik",SUKASARI,SUKARASA,418,0,2,0,0,0,0,0,0,0,6,0,0,426
"Kekurangan Fisik",SUKASARI,GEGERKALONG,591,4,0,1,0,0,0,0,0,0,2,1,1,600
"Kekurangan Fisik",SUKASARI,ISOLA,371,4,2,0,0,0,0,0,0,0,1,1,0,379
"Kekurangan Fisik",CIDADAP,HEGARMANAH,539,4,3,11,2,0,0,0,1,4,1,0,4,569
"Kekurangan Fisik",CIDADAP,CIUMBULEUIT,751,3,5,0,1,0,0,1,1,0,2,1,0,765
"Kekurangan Fisik",CIDADAP,LEDENG,263,3,1,0,0,0,0,0,0,0,0,0,1,268
