npsn,nama,bentuk_pendidikan_nama,jenjang_pendidikan_nama,alamat_jalan,rt,rw,nama_dusun,desa_kelurahan,desa_kelurahan_nama,,lintang,bujur,kebutuhan_khusus_nama,status_sekolah_nama,status_kepemilikan_nama
20219359,SMP SUMATERA 40,SMP,SMP / sederajat,Jl. Pahlawan No.21,7,6,Cihaurgeulis,CIHAURGEULIS,Cihaurgeulis,Kec. Cibeunying Kaler,-6.9,107.6338,Tidak ada,Tidak Aktif,Yayasan
20219405,SMP NEGERI 29,SMP,SMP / sederajat,Jl. Geger Arum no. 11 A,4,6,,Isola,Isola,Kec. Sukasari,-6.8608,107.5864,Tidak ada,Aktif,Pemerintah Daerah
69894966,SMP NEGERI 54,SMP,SMP / sederajat,Jl. Raya Utsman Bin Affan,3,2,Babakan Sindang,Rancanumpang,Rancanumpang,Kec. Gedebage,-6.958364,107.70583,Tidak ada,Aktif,Pemerintah Daerah
20219355,SMP TARUNA BAKTI,SMP,SMP / sederajat,Jln. L.L.R.E. Martadinata No. 52,2,6,,Citarum,Citarum,Kec. Bandung Wetan,-6.9063,107.6234,"C1, D",Tidak Aktif,Yayasan
20251919,SMP BINA DHARMA 2,SMP,SMP / sederajat,Jl. Babakan Sari 1 No. 131,9,11,babakan sari,BABAKAN SARI,Babakan Sari,Kec. Kiaracondong,-6.9275,107.6504,Tidak ada,Tidak Aktif,Yayasan
20219504,SMP MUTIARA 3,SMP,SMP / sederajat,Jl. Caringin Gg. Lumbung II No. 19,5,3,Maleber,BABAKAN CIPARAY,Babakan Ciparay,Kec. Babakan Ciparay,-6.9461,107.5793,Tidak ada,Tidak Aktif,Yayasan
20219186,SMP BANDUNG INSTITUT,SMP,SMP / sederajat,Jl. Manglayang I No. 7,2,6,Palasari,PALASARI,Palasari,Kec. Cibiru,-6.9123,107.7242,Tidak ada,Tidak Aktif,Yayasan
20219397,SMP NEGERI 7,SMP,SMP / sederajat,Jl. Ambon No. 23,2,6,,Citarum,Citarum,Kec. Bandung Wetan,-6.9078,107.6196,Tidak ada,Aktif,Pemerintah Daerah
20219443,SMP MUHAMMADIYAH 2,SMP,SMP / sederajat,Jl. Raya Cilember Gg. Bunisugih Bandung,4,3,,Kelurahan Sukaraja,,Kec. Cicendo,-6.8944,107.5823,Tidak ada,Tidak Aktif,Yayasan
20219418,SMP NEGERI 37,SMP,SMP / sederajat,Jl. Babakan Sari Kiaracondong Bandung,8,16,,BABAKAN SARI,Babakan Sari,Kec. Kiaracondong,-6.926252,107.655984,Tidak ada,Aktif,Pemerintah Daerah
