nama_aplikasi,pemilik,tautan,status,jenis_platform,kepemillikan
Database Kearsipan,TU Setda,,dioperasikan,mobile,sendiri
Database Kepegawaian Terintegerasi,BKD,,dibangun,web,sendiri
Database Kependudukan Terintegrasi,Disdukcapil,,dibangun,web,sendiri
Database Pedagang,PD Pasar,,direncanakan,web,sendiri
Database Penduduk Miskin di Kota Bandung,BKBPPM,,dioperasikan,web,sendiri
Database Sentra Industri,DInas KUKM Indag,,dioperasikan,web,sendiri
Database Usaha Kecil Menengah,DInas KUKM Indag,,dioperasikan,web,sendiri
Database Usaha Koperasi,DInas KUKM Indag,,diujicoba,web,sendiri
DISDIK Carrier Management,Disdik,,tidak operasional,web,sendiri
Disdik Emergency Service unit,Disdik,,tidak operasional,web,sendiri
Disdik Gateway,Disdik,,dioperasikan,web,sendiri
DISDIK Mailing,Disdik,,dioperasikan,web,sendiri
Disdik Online,Disdik,,dioperasikan,web,sendiri
DISDIK Reservoir,Disdik,,tidak operasional,web,sendiri
DSS Kesehatan,Dinkes,,direncanakan,web,sendiri
E- Wars,K/L Pusat,,dioperasikan,web,dari pusat
e-DAK Sistem informasi perencanaan dan monitoring,K/L Pusat,,dioperasikan,mobile,dari pusat
E-Kecamatan,Kec. Coblong,,diujicoba,web,sendiri
E-Kelurahan,Kec. Coblong,,dioperasikan,web,hibah
E-Kinerja & E-Office,DISPORA,,dibangun,web,sendiri
e-lisencing,Dinkes,,direncanakan,web,sendiri
e-monev  Sistem informasi perencanaan dan monitoring,K/L Pusat,,dioperasikan,web,dari pusat
E-Parking,DISHUB,,dioperasikan,multiplatform,sendiri
E-Payment Trans Metro Bandung,DISHUB,,tidak operasional,multiplatform,sendiri
e-Pharm,K/L Pusat,,dioperasikan,web,dari pusat
e-planning Sistem informasi perencanaan dan monitoring,K/L Pusat,,dioperasikan,web,dari pusat
e-PPTK,DInas KUKM Indag,,diujicoba,web,sendiri
e-Prescription,Dinkes,,dioperasikan,web,hibah
e-promotion,Dinkes,,direncanakan,web,sendiri
e-Puskesmas,Dinkes,,dioperasikan,web,hibah
E-SKP,DInas KUKM Indag,,dioperasikan,web,sendiri
Early Warning System,DBMP,,direncanakan,web,sendiri
Edit Data Badan Usaha,PD Kebersihan,,dioperasikan,web,hibah
Elektronik Sistem Malaria,K/L Pusat,,dioperasikan,web,dari pusat
Galeri Disdik,Disdik,,dioperasikan,mobile,sendiri
GIS Fasilitas Perlengkapan Jalan,DISHUB,,tidak operasional,web,sendiri
Hasil Perhitungan Sementara,DBMP,,tidak operasional,web,sendiri
Hayu Bandung,BPPT,,dioperasikan,web,sendiri
Hibah Non APBD Monitoring System,DPKAD,http://hibah.bandung.go.id,dibangun,web,sendiri
INA-CBGs,K/L Pusat,,dioperasikan,web,dari pusat
Infolang Cater,PDAM Tirtawening,,dioperasikan,desktop,sendiri
Inlist,K/L Pusat,,dioperasikan,web,dari pusat
Integrasi Aplikasi BKKBN,K/L Pusat,,dioperasikan,web,dari pusat
Integrated Banking System,PD BPR,,dioperasikan,desktop,sendiri
Inventaris Aplikasi,Diskominfo,http://inventori-app.bandung.go.id,dioperasikan,web,sendiri
Inventori data Puskesmas,K/L Pusat,,dioperasikan,desktop,dari pusat
IPPhone,Disdik,,diujicoba,mobile,sendiri
Jalan Kita,DBMP,,diujicoba,multiplatform,sendiri
Jaringan Dokumentasi dan Informasi Hukum,Bakumham,,dioperasikan,web,sendiri
Kartini,K/L Pusat,,dioperasikan,desktop,dari pusat
KOMDAT-data set-data prioritas,K/L Pusat,,direncanakan,web,dari pusat
Kredit Melati,PD BPR,,dioperasikan,desktop,sendiri
KRK Online,Distarcip,,dioperasikan,web,sendiri
Layanan Online,Disdik,,diujicoba,web,sendiri
Live Streaming Penanggulangan bencana,DISKAR,,dioperasikan,multiplatform,sendiri
Loket PIRK,Distarcip,,dibangun,web,sendiri
maintenance transaksi rekening,PDAM Tirtawening,,dioperasikan,desktop,sendiri
Manajemen Aset IPA Badaksinga,PDAM Tirtawening,,diujicoba,desktop,sendiri
Manajemen Integrasi Informasi dan Pertukaran Data,K/L Pusat,,diujicoba,web,dari pusat
Manajemen Projek,DBMP,,diujicoba,web,sendiri
