NO,NAMA PERUSAHAAN,ALAMAT,KET
154,SUSHI HANNA,Jl. Sukajadi No. 137-139,
155,THE FOOD OPERA,Jl. Tamansari no. 30,
153,THE VOLCANO,Jl. Setrasa Mall B3/60 Lt.I dan II,
154,THE MAJESTY RESTAURANT,Jl. Prof. Drg. Suria Somantri No. 91,
155,THE R CAFE & LOUNGE,Jalan IR. H. Juanda No. 97,
156,THE STAR (PT. BINTANG CENDRAWASIH),Jl. Pungkur No. 234,
157,TIZI?S,Jalan Kidang Pananjung No. 3,P.A. 2007
158,TOMODACHI,Jalan Sukajadi No. 163,
159,TOMODACHI,Jalan DR. Rajiman No. 5,
160,TORIGEN,Jl. Setiabudhi No. 55,
161,TRANSIT,Jl.. Sukajadi No. 207,Baru
162,UD. PLANET BIZ CAFE,Jalan Diponegoro No. 21,
163,VIENNA,Jalan Sukajadi No. 205,
164,VIOLET,Jl. Braga No. 54,
165,YOU,Jalan Hasanudin No. 12,
166,PT. MITRA RUKUN ABADI,Jl. Hegarmanah No. 2,
167,PT. KARYA USAHA PERKASA/POSWEG,Jl. Asia. Afrika No. 81 Bandung,
