nama_dewan,partai_politik,dapil,kecamatan_dapil,tahun,usulan_reses,skpd,program,kegiatan,volume,lokasi,anggaran_skpd,status
"RIEKE SURYANINGSIH,  SH",PDI Perjuangan,Kota Bandung 1,"Sukasari, Andir, Cicendo, Sukajadi",2015,Pembetonan Jalan,Dinas Bina Marga dan Pengairan,Program Pembangunan Jalan dan Jembatan,Kegiatan Pembangunan Jalan,-,"DEPAN KANTOR KELURAHAHN DUNGUS CARIAN, KEL., KEC.",100000000,Diakomodir
"RIEKE SURYANINGSIH,  SH",PDI Perjuangan,Kota Bandung 1,"Sukasari, Andir, Cicendo, Sukajadi",2015,Pengecoran Jalan,Dinas Bina Marga dan Pengairan,-,-,-,"JL. SARIMANAH BLOK 8 RT.09 RW.09, KEL., KEC.",0,Tidak diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Perbaikan Saluran Air Kotor,Dinas Bina Marga dan Pengairan,-,-,-,"RT.01, 02, 03, 04, 05 RW.04, KEL., KEC.",0,Tidak diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Permohonan Paralon Pvc,Dinas Bina Marga dan Pengairan,-,-,-,"RT.01, 02, 03, 04 DAN 05 , KEL., KEC.",0,Tidak diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Penggantian Bak Kontrol Air Kotor,Dinas Bina Marga dan Pengairan,-,-,-,"RW.03 GG. MUKALMI , KEL., KEC.",0,Tidak diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Penggantian Bak Kontrol Air Kotor,Dinas Bina Marga dan Pengairan,-,-,-,"RW.03 GG. MUKALMI , KEL., KEC.",0,Tidak diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Rambat Beton,Dinas Bina Marga dan Pengairan,-,-,-,"RT.01, 02, 03, 04 DAN 05 RW.04, KEL., KEC.",0,Tidak diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Pembangunan Masjid Tanah Wakap,Dinas Tata Ruang dan Cipta Karya,-,-,-,"RT.05 RW. 11, KEL., KEC.",0,Tidak diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Perbaikan Jalan,Dinas Bina Marga dan Pengairan,-,-,-,"RW.03 KEL. JAMIKA, KEL., KEC.",0,Tidak diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Perlengkapan Pencak Silat,Dinas Pemuda dan Olahraga,-,-,-,"JL. BBK IRIGASI NO.8 RT.03 RW.07, KEL., KEC.",0,Belum Diproses
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Perbaikan Jalan Dengan Hotmix,Dinas Bina Marga dan Pengairan,Program Pembangunan Jalan dan Jembatan,Kegiatan Pembangunan Jalan,-,"JL. KEDAUNG RT.01 RW.07 , KEL., KEC.",87000000,Diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Sumber Air Bersih,Dinas Tata Ruang dan Cipta Karya,Program Lingkungan Sehat Perumahan,Kegiatan Penyediaan Sarana Air Bersih dan Sanitasi Dasar Terutama bagi Masyaraka Miskin,-,"JL. BABAKAN CIPARAY RT.03 RW. 01, KEL., KEC.",30000000,Diakomodir
