Nama Lembaga,Jenis Satuan,No. NPSN/NILEK/  NILEM,Status,Alamat,Kelurahan,Kecamatan,PTK_LakiLaki,PTK_Perempuan,Siswa_LakiLaki,Siswa_Perempuan
SARAH SABRINA,TK,20255156,Swasta,PARAKAN SAAT,Cisaranten endah,Arcamanik,0,2,2,6
PRATISTHA,TK,20255155,Swasta,SKI AIR NO.10,Cisaranten endah,Arcamanik,0,8,14,10
BUNDA ASUH NANDA,TK,20255152,Swasta,TERJUN PAYUNG ,Cisaranten endah,Arcamanik,0,1,12,15
AL-HIKMAT,TK,,Swasta,CICUKANG,Cisaranten Kulon,Arcamanik,0,7,20,25
NUSA INDAH,TK,20255146,Swasta,CISARANTEN KULON,Cisaranten Kulon,Arcamanik,0,3,15,10
PERMATA BUNDA,TK,,Swasta,CISARANTEN KULON NO. 122 RT.02/07,Cisaranten Kulon,Arcamanik,0,4,12,8
ALBIRUNI GRIYA CARAKA,TK,,Swasta,JL CINGISED,Cisaranten Kulon,Arcamanik,0,3,18,9
PARIPURNA 2,TK,20255147,Swasta,PERMATA BUMI RAYA NO.25,Cisaranten Kulon,Arcamanik,0,12,25,24
EKA SAPUTRA,TK,20255158,Swasta,PURBALAYUNG BLOK D 32 KOMP. GURUMINDA,Cisaranten Kulon,Arcamanik,0,3,19,10
AISYIYAH 22,TK,20255157,Swasta,SUMBERSARI NO.65 RT.04 RW.08,Cisaranten Kulon,Arcamanik,1,4,15,15
BADAK PUTIH,TK,20255149,Swasta,ARCAMANIK ENDAH NO.3,Sukamiskin,Arcamanik,0,5,23,17
SEKAR ARUM,TK,,Swasta,BANJIRSARI,Sukamiskin,Arcamanik,0,3,5,11
PERMATA AYAH BUNDA,TK,20255154,Swasta,LAYAR NO.14,Sukamiskin,Arcamanik,0,11,52,40
MUTIATRA BUNDA PLAYSCHOOL,TK,,Swasta,"PADANG GOLF NO 8, ARCAMANIK",Sukamiskin,Arcamanik,0,20,34,36
NUSA BANGSA,TK,20255151,Swasta,PESANTREN NO. 8,Sukamiskin,Arcamanik,0,3,12,13
KEMALA BHAYANGKARI 21,TK,20255148,Swasta,RUSBANDI SH,Sukamiskin,Arcamanik,0,4,14,32
BINTANG MADANI,TK,,Swasta,TERUSAN PESANTREN NO.102,Sukamiskin,Arcamanik,0,8,,
KASANDA (KASIH SAYANG BUNDA),TK,20255150,Swasta,TERUSAN PESANTREN VIII KOMP. POS GIRO BLOK J 110 J,Sukamiskin,Arcamanik,1,3,10,11
TRIDAYA BHAKTI,TK,20254887,Swasta,CIBADAK NO. 202 BELAKANG AULA WINAYASABA,Cibadak,Astanaanyar,0,5,16,9
SILIH ASIH,TK,20254885,Swasta,H.SAPARI GG.SILIH ASIH NO.11/90 ,Cibadak,Astanaanyar,0,3,11,9
AL-KAUTSAR,TK,20254895,Swasta,JL PAGARSIH GG ONONG 183,Cibadak,Astanaanyar,0,3,12,14
KRISTEN GAMALIEL,TK,20254892,Swasta,JL. CIBADAK 171 - 173 BANDUNG ,Cibadak,Astanaanyar,0,14,109,95
FITRA SARI,TK,20254893,Swasta,PAGARSIH,Cibadak,Astanaanyar,0,3,,
KUNCUP HARAPAN,TK,20254883,Swasta,JL KARANGANYAR NO 37,Karang Anyar,Astanaanyar,0,2,13,34
NURUL IMAN,TK,20254891,Swasta,KEBON MANGGU GG LEBE NO.16 ,Karang Anyar,Astanaanyar,0,2,18,12
AL-FURQON,TK,20254898,Swasta,JLN. MOCH. TOHA GG. CISEUREUH II,Karasak,Astanaanyar,0,5,27,35
Bhayangkari 49,TK,20254896,Swasta,Jl. Mochammad Toha No 198,Karasak,Astanaanyar,0,6,17,28
BUGENVIL,TK,20254899,Swasta,Jl. Moh. Toha No. 214,Karasak,Astanaanyar,0,3,8,2
TKK PELITA BANGSA,TK,20254889,Swasta,SOEKARNO-HATTA,Karasak,Astanaanyar,1,4,18,7
PERMATA BUNDA,TK,20254904,Swasta,LIO GENTENG,Kebon Jeruk,Astanaanyar,0,2,8,7
NURUL FALAH,TK,,Swasta,JL.KOPO GG.MAKSUDI IV RT06/RW04,Panjunan,Astanaanyar,0,5,28,14
MUSLIMAT BAITURROHMAH,TK,20254884,Swasta,KOPO NO. 23,Panjunan,Astanaanyar,0,3,10,10
TK.NURUL HASAN,TK,20254886,Swasta,Trs.Pasir Koja No.49,Panjunan,Astanaanyar,0,4,12,19
AISYIYAH 2,TK,20254894,Swasta,JL OTOISKANDARDINATA NO 77B/95,Pelindung Hewan,Astanaanyar,0,2,12,33
BHAYANGKARI 42,TK,20254897,Swasta,JL. PELINDUNG HEWAN NO 20 B/46,Pelindung Hewan,Astanaanyar,0,4,28,37
Budi Arti,TK,20254733,Swasta,Jalan Aki Padma Komplek Pa Aman 1-b Bandung,Babakan,Babakan Ciparay,1,2,4,8
EFATA,TK,20254751,Swasta,BABAKAN CIPARAY,Babakan Ciparay,Babakan Ciparay,0,4,26,18
HOLIS PERMAI,TK,20255392,Swasta,JL BLOK BEAS RT 03/ RW 06 NO 28,Babakan Ciparay,Babakan Ciparay,0,3,7,10
AL - MIFTAAH,TK,,Swasta,JL. CARINGIN,Babakan Ciparay,Babakan Ciparay,1,2,18,22
PARIKESIT,TK,20254910,Swasta,JL. CARINGIN ELOK NO 27A,Babakan Ciparay,Babakan Ciparay,0,3,4,11
KENARI,TK,20255403,Swasta,JL. CARINGIN GG. BP. H. UMAR RT 01/ RW 03,Babakan Ciparay,Babakan Ciparay,0,3,11,9
ALFITROH TUNAS HARAPAN,TK,20254731,Swasta,JL. CARINGIN GG. PORIB I RW 02,Babakan Ciparay,Babakan Ciparay,0,6,26,22
TUNAS PRESTASI,TK,,Swasta,JL. SOEKARNO HATTA,Babakan Ciparay,Babakan Ciparay,1,3,28,21
AL MUHAJIRIN,TK,,Swasta,JL. KOPO CIRANGRANG,Cirangrang,Babakan Ciparay,0,5,13,13
PLUS AL ISLAM,TK,20254908,Swasta,JALAN TERUSAN HOLIS NO: 38,Margahayu Utara,Babakan Ciparay,0,7,34,35
ANNISA,TK,20254906,Swasta,JL. SATRIA RAYA IV NO. 5,Margahayu Utara,Babakan Ciparay,1,3,7,18
TK.SITI KHADIJAH 2,TK,20254905,Swasta,KOMP.CIBOLERANG BLOK G-89,Margahayu Utara,Babakan Ciparay,0,5,26,17
JAUHARUL INSIYYAH,TK,20254907,Swasta,KOMPLEK CIBOLERANG JL SATRIA RAYA BLOK F NO 60,Margahayu Utara,Babakan Ciparay,1,6,35,28
MELATI JAYA,TK,20254909,Swasta,Jl. Kopo Cirangrang Blk No 542,Margasuka,Babakan Ciparay,0,4,8,11
9 MUTIARA,TK,20255754,Swasta,JALAN SITU AKSAN PERMAI NO. 43 PERUMAHAN TAMAN HIJAU,Sukahaji,Babakan Ciparay,1,4,7,4
IBNU SINA,TK,20255391,Swasta,JL.AKSAN NO.64,Sukahaji,Babakan Ciparay,0,2,6,4
PLUS MUTIARA,TK,20254821,Swasta,BATUNUNGGAL,Batununggal,Bandung Kidul,0,3,14,32
AL-WAHDAH,TK,20255396,Swasta,BATUNUNGGAL GG.BATU BAROKAH NO.95,Batununggal,Bandung Kidul,0,12,17,14
DAYA WANITA III,TK,20254827,Negeri,JL.SEKELIMUS VII NO. 18 ,Batununggal,Bandung Kidul,1,5,20,11
NURUL INAYAH,TK,20254823,Swasta,JL. H. BARDAN III NO. 309 B,Kujangsari,Bandung Kidul,0,4,26,19
DARUR RAHMAH,TK,20254828,Swasta,JL. H. BARDAN VII NO. 322 A,Kujangsari,Bandung Kidul,1,6,12,24
BINEKAS,TK,20254824,Swasta,KOMP. BUAH BATU REGENSI KAV G7 NO.6-7,Kujangsari,Bandung Kidul,1,25,39,31
TUNAS NUSA,TK,20254829,Swasta,KOPERPU C2/11,Kujangsari,Bandung Kidul,0,3,11,6
TIARA BUNDA,TK,20254819,Swasta,JL. BATUNUNGGAL INDAH I NO. 74-76,Mengger,Bandung Kidul,1,7,26,20
KRISTEN PELITA,TK,20254864,Swasta,HOLIS NO. 300,Caringin,Bandung Kulon,0,3,10,10
BANDUNG RAYA,TK,20254877,Swasta,CIJERAH NO.5/190A,Cibuntu,Bandung Kulon,0,12,60,39
AL FURQON,TK,20254872,Swasta,HAJI ALFI NO. 1,Cibuntu,Bandung Kulon,0,4,29,17
PROFITA,TK,20251875,Swasta,HAJI ANWAR NO. 47,Cibuntu,Bandung Kulon,1,6,22,18
TUNAS CEMARA,TK,20254752,Swasta,SOEKARNO HATTA NO. 22,Cibuntu,Bandung Kulon,0,10,31,31
MIFTAHUSSALAM,TK,,Negeri,BATU RENGAT RT03 RW01,Cigondewah Kaler,Bandung Kulon,0,7,14,18
USWATUN HASANAH,TK,,Swasta,BATURENGAT,Cigondewah Kaler,Bandung Kulon,1,3,13,17
ATTA'ZHIMIYAH,TK,20254880,Swasta,CIGONDEWAH KIDUL,Cigondewah Kaler,Bandung Kulon,0,4,14,16
BPK PENABUR THI,TK,20254863,Swasta,TAMAN HOLIS INDAH,Cigondewah Kaler,Bandung Kulon,1,15,149,134
LCC,TK,20254882,Swasta,TAMAN HOLIS INDAH F 2 NO. 25,Cigondewah Kaler,Bandung Kulon,0,3,40,27
AL IKHWAN,TK,20254862,Swasta,CIGONDEWAH BARAT,Cigondewah Rahayu,Bandung Kulon,0,5,22,13
MUSLIMIN,TK,20254874,Swasta,CIJERAH BELAKANG NO. 4,Cijerah,Bandung Kulon,0,4,30,19
AL FITHROH,TK,20254860,Swasta,CIJERAH GIRANG RW 5,Cijerah,Bandung Kulon,0,10,71,90
SANTA REGINA,TK,20254876,Swasta,CIJERAH INDAH I/3,Cijerah,Bandung Kulon,0,3,15,7
ISLAM DAN ANNISA,TK,20254273,Swasta,JEND. SUDIRMAN NO. 817-819,Cijerah,Bandung Kulon,0,5,11,15
TUNAS MEKAR,TK,20254878,Swasta,MEKAR BUNGAH NO. 26 PEMUKIMAN MEKAR INDAH,Cijerah,Bandung Kulon,0,6,25,35
CAHAYA NUSANTARA,TK,20254881,Swasta,KOMP. TAMAN BURUNG B-02,Gempol Sari,Bandung Kulon,0,2,11,9
CAHAYA ILMU,TK,,Swasta,MIRABILIC4,Gempol Sari,Bandung Kulon,0,3,18,12
BINTARI,TK,20254861,Swasta,CIBUNTU SAYURAN NO. 11,Warung Muncang,Bandung Kulon,1,5,18,22
PRIANGAN,TK,20255246,Swasta,BAROS NO. 1,Cihapit,Bandung Wetan,0,3,14,17
SANTA URSULA,TK,20255248,Swasta,BENGAWAN NO. 2,Cihapit,Bandung Wetan,0,11,91,78
HOLLY KIDS,TK,20255244,Swasta,CILAKI NO. 53 RT 02 RW 04,Cihapit,Bandung Wetan,0,5,14,4
SANTO AGUSTINUS,TK,20255247,Swasta,JL. AHMAD YANI NO. 273,Cihapit,Bandung Wetan,0,10,55,41
STARKIDS,TK,69759462,Swasta,JL. CENDANA NO. 7,Cihapit,Bandung Wetan,1,5,6,11
ASELIA,TK,20255245,Swasta,LAPANGAN SUPRATMAN NO 7,Cihapit,Bandung Wetan,0,4,6,4
MUTIARA ILMI PLUS,TK,20255243,Swasta,LOMBOK NO. 32 A,Cihapit,Bandung Wetan,0,6,16,17
GELATIK,TK,20255249,Swasta,SAWO NO.9,Cihapit,Bandung Wetan,0,2,7,12
PENABUR INTERNATIONAL SCHOOL,TK,20255256,Swasta,BAHUREKSA NO. 26,Citarum,Bandung Wetan,1,11,7,13
TARUNA BAKTI,TK,20255250,Swasta,JL. RE. MARTADINATA NO. 91,Citarum,Bandung Wetan,0,9,56,71
CAMBRIDGE INDONESIA,TK,20255257,Swasta,SULTAN TIRTAYASA NO. 15,Citarum,Bandung Wetan,0,7,11,20
ISTIQAMAH,TK,20255241,Swasta,TAMAN CITARUM BANDUNG,Citarum,Bandung Wetan,1,19,60,51
SANTO ALOYSIUS,TK,20255255,Swasta,TRUNOJOYO NO.3,Citarum,Bandung Wetan,0,12,53,35
YKPPK,TK,20255254,Swasta,CIHAMPELAS BLK NO 14,Taman Sari,Bandung Wetan,0,3,20,16
YAKESWA,TK,20255253,Swasta,DR.HATTA 54/29 B,Taman Sari,Bandung Wetan,0,3,9,8
PERTIWI 1,TK,20255251,Swasta,JL. KEBON BIBIT NO. 16 BANDUNG,Taman Sari,Bandung Wetan,0,3,20,14
BAPTIS,TK,20255252,Swasta,JL. WASTUKENCANA NO. 40,Taman Sari,Bandung Wetan,0,5,10,11
BUDI MURNI,TK,20254737,Swasta,BINONG JATI,Binong,Batununggal,0,3,11,8
IGNATIUS SLAMET RIYADI I,TK,20254740,Swasta,GATOT SUBROTO NO 221 ,Cibangkong,Batununggal,0,7,12,8
CITRA,TK,20254736,Swasta,"JL. CINTA ASIH , RW.13",Cibangkong,Batununggal,0,4,12,17
AL FITRAH,TK,20254742,Swasta,Jln 17 AGUSTUS 11 no 19,Cibangkong,Batununggal,0,5,24,16
41868,TK,20254744,Swasta,JL.JENDRAL GATOT SUBROTO NO.170,Gumuruh,Batununggal,0,4,26,22
KARTIKA XIX-2,TK,20254743,Swasta,JL.JAKARTA NO 10,Kacapiring,Batununggal,0,4,20,21
AL-MUSTAFA,TK,20254750,Swasta,JL.SUKABUMI DALAM NO 15,Kacapiring,Batununggal,0,2,14,16
HIKMAT 3,TK,20255763,Swasta,Jln. Majalengka No.30 A,Kacapiring,Batununggal,0,2,8,10
PELITA 1,TK,20254747,Swasta,KEBON GEDANG NO 7,Kebon Gedang,Batununggal,0,2,17,9
AL IKHWAN,TK,20254748,Swasta,KIARACONDONG BARAT NO. 25,Kebon Gedang,Batununggal,0,4,16,18
AISYIYAH 24,TK,20254739,Swasta,GG.SAMSI I NO 45 RW 01 RT 04,Kebon Waru,Batununggal,0,4,9,11
NURUL MUBTADI-IN,TK,20276923,Swasta,JL. BABAKAN DESE NO. 25A,Kebon Waru,Batununggal,,,,
AL ARDH,TK,20254745,Swasta,Jl.TERUSAN RANCAGOONG NO. 11,Maleer,Batununggal,0,5,8,7
KEMALA BHAYANGKARI-39,TK,20254729,Swasta,Jl. Samoja No. 11,Samoja,Batununggal,0,5,28,15
NEGERI CENTEH,TK,20254727,Negeri,PACAR NO 5,Samoja,Batununggal,0,10,34,33
BHAKTI,TK,20254955,Swasta,JL SUKARMA NO. 8,Babakan Asih,Bojongloa Kaler,0,5,35,28
ISLAMIYAH,TK,20255401,Swasta,Jl. Kopo Gg. Sukaleueur III No 100/198A,Babakan Asih,Bojongloa Kaler,0,10,29,41
TUNAS HARAPAN AL-HUSNA,TK,20254961,Swasta,JL TERUSAN PASIRKOJA GG.ABADI 2 NO 237/194,Babakan Tarogong,Bojongloa Kaler,0,5,22,17
TUNAS PENDAWA,TK,20254965,Swasta,Pasirkoja Gg. Sukapkir Dlm III,Jamika,Bojongloa Kaler,0,3,30,0
PELITA FAJAR,TK,20255402,Swasta,Jalan Jendral Sudirman 475 Bandung,Jamika,Bojongloa Kaler,0,15,60,45
ANAK BANGSA,TK,20254969,Swasta,JL PAGARSIH GG HOLILI NO 182/87,Jamika,Bojongloa Kaler,0,4,18,17
FAJAHIRA,TK,69759452,Swasta,Jl. Trs Pasir Koja Gg. Sukapakir Tengah,Jamika,Bojongloa Kaler,0,3,10,14
MELATI MEKAR,TK,20254960,Swasta,LUNA IV NO. 25 RT.013 RW. 04,Jamika,Bojongloa Kaler,0,3,10,12
SWADAYA,TK,20254962,Swasta,PAGARSIH NO.181 E,Jamika,Bojongloa Kaler,0,5,23,26
BINEKAS,TK,20254954,Swasta,JALAN CARINGIN NO.16,Kopo,Bojongloa Kaler,0,3,13,7
NEGERI PEMBINA CITARIP,TK,20254952,Negeri,KOPO,Kopo,Bojongloa Kaler,,9,18,30
MELATI,TK,20254966,Swasta,Jln. Babakan Tarogong No 231,Suka Asih,Bojongloa Kaler,0,4,14,15
Tarbiyatul Muta'allimin,TK,69759451,Swasta,KOPO GANG PABRIK KULIT UTARA RT.04/RW01 NO.517B/196B,Suka Asih,Bojongloa Kaler,3,4,2,1
CEMPAKA,TK,20254953,Swasta,SITUGUNTING,Suka Asih,Bojongloa Kaler,0,3,26,30
TAMAN KANAK-KANAK ISLAM TERPADU MUTHMAINNAH,TK,20254974,Swasta,JL PRAMBANAN NO B3 CIBADUYUT PERMAI RT 01 RW 02,Cibaduyut Kidul,Bojongloa Kidul,3,11,26,43
DEWI ASRI,TK,20254973,Swasta,JL.SALAKADOMAS NO.14 KOMP.CIBADUYUT PERMAI,Cibaduyut Kidul,Bojongloa Kidul,0,4,4,13
AL BASYARIYAH,TK,20254971,Swasta,JL. CIBADUYUT KOMP SAUYUNAN,Kebon Lega,Bojongloa Kidul,0,5,25,19
CAHAYA BUNDA,TK,20254972,Swasta,INHOFTANG GG. BP MANTA 22,Kebon Lega,Bojongloa Kidul,0,3,10,10
REMBULAN,TK,20254979,Swasta,JL. MUARA SARI 1 NO 27 ,Kebon Lega,Bojongloa Kidul,0,6,19,30
AS-SYIFA,TK,,Swasta,JL. SAUYUNAN RAYA NO 25 RT 07/07,Kebon Lega,Bojongloa Kidul,0,2,13,11
BPK PENABUR SINGGASANA,TK,69860905,Swasta,JL. INDRA PRAHASTA TIMUR NO.2 ,Mekar Wangi,Bojongloa Kidul,0,17,61,71
HARAPAN KASIH,TK,20275730,Swasta,MEKAR KENCANA NO. 2A,Mekar Wangi,Bojongloa Kidul,0,5,96,74
KRISTEN DIAN EMAS,TK,20254976,Swasta,JL. MUARA BARAT NO. 2 BANDUNG,Situsaeur,Bojongloa Kidul,1,8,28,28
BUNGA PERTIWI,TK,20254975,Swasta,JL.KOPO GG.KATIR NO.57 RT. 04 RW. 03,Situsaeur,Bojongloa Kidul,2,3,14,9
AISYIYAH 13,TK,20254981,Swasta,GG.KEBON KALAPA DALAM V RT.11 RW.07,Situsaeur,Bojongloa Kidul,1,3,27,30
ISLAM AL - KAAFFAH,TK,20254977,Swasta,KOPO NO. 233 BANDUNG,Situsaeur,Bojongloa Kidul,0,4,24,18
BANY RAHMAH,TK,20254757,Swasta,CIJAWURA HILIR NO 7,Cijaura,Buah Batu,0,3,7,6
PERMATA IBUNDA,TK,20254753,Swasta,JL. BATU PERMATA NO. 5,Cijaura,Buah Batu,2,7,37,31
DEWI SARTIKA,TK,20254754,Swasta,JL.LOGAM NO. 9,Cijaura,Buah Batu,1,16,29,21
TAMAN INDRIA,TK,20254758,Swasta,KOMPLEK PANDANWANGI F 23,Cijaura,Buah Batu,0,3,7,6
IT AL FALAH,TK,20254773,Swasta,JL. KAWALUYAANINDAH XIV/II,Jati Sari,Buah Batu,0,3,6,2
BINA PURI HANDAYANI,TK,,Swasta,JL. SOEKARNO HATTA NO. 725 D,Jati Sari,Buah Batu,,,,
AL-IMAN,TK,,Swasta,PERMATA KAWALUYAAN NO D 7,Jati Sari,Buah Batu,0,3,8,11
TADIKA PURI,TK,20254766,Swasta,Sanggar Kencana VI No. 11 Sanggar Hurip,Jati Sari,Buah Batu,0,4,13,21
AL-IKHLAS,TK,20254755,Swasta,JL. MARGACINTA NO. 169,Margasari,Buah Batu,0,6,34,28
PLUS PELANGI,TK,20254760,Swasta,JL. MARGASARI NO.221 A (RANCA BOLANG),Margasari,Buah Batu,0,3,9,11
PERTWI III,TK,20254756,Swasta,JL. SMP 18 BUAH BATU BANDUNG,Margasari,Buah Batu,0,3,8,8
PERTIWI,TK,20254767,Swasta,KOMPLEK PEMDA SAWO ENDAH NO. 31,Margasari,Buah Batu,0,5,0,31
ARYANDINI,TK,20254763,Swasta,,Sekejati,Buah Batu,0,3,15,15
ISLAM AL IKHWAN,TK,20254764,Swasta,JL. JUPITER RAYA NO. 07,Sekejati,Buah Batu,0,4,11,19
ISLAM TAMAN FIRDAUS,TK,20254762,Swasta,Jl. Neptunus Timur II NO. 54 G Komp Margahayu Raya Barat,Sekejati,Buah Batu,3,3,45,50
AL BAYAN,TK,20254765,Swasta,METEOR RAYA BLOK L II A NO 76,Sekejati,Buah Batu,0,3,8,13
Islam Al Muhajir,TK,20254761,Swasta,Taman Yupiter Blok E II,Sekejati,Buah Batu,0,13,46,35
BHINNEKA BHAKTI,TK,20255271,Swasta,BOJONG MEKAR NO.21 RT 01 RW14,Cigadung,Cibeunying Kaler,0,8,10,10
AL-YAHYA,TK,20255272,Swasta,Jl. CIGADUNG PESANTREN NO. 160,Cigadung,Cibeunying Kaler,0,7,27,30
HARAPAN BHAKTI,TK,20255268,Swasta,JL. CIGADUNG RAYA BARAT NO 43,Cigadung,Cibeunying Kaler,0,2,6,10
ISLAM LATHIFIYAH,TK,20255270,Swasta,JL. CIGADUNG RAYA TIMUR A9,Cigadung,Cibeunying Kaler,0,7,10,11
YPKS CIGADUNG,TK,20255267,Swasta,JL.KONSTITUSI NO.13,Cigadung,Cibeunying Kaler,0,4,11,11
MERPATI POS,TK,20255278,Swasta,JL. BRIGJEND KATAMSO NO. 3 - 5 BANDUNG ,Cihaurgeulis,Cibeunying Kaler,1,14,29,41
SANTA MELANIA,TK,20255273,Swasta,Jl. Melania No. 1-3,Cihaurgeulis,Cibeunying Kaler,0,6,19,20
DWIKORA,TK,20255274,Swasta,Jl. MUARARAJEUN WETAN NO 26 A,Cihaurgeulis,Cibeunying Kaler,1,3,15,12
KARTIKA VIII-19,TK,20255264,Swasta,CIKUTRA NO. 201,Neglasari,Cibeunying Kaler,0,4,21,28
AVICENNA,TK,20280582,Swasta,JALAN CIKUTRA BARU III NO 19,Neglasari,Cibeunying Kaler,1,5,12,11
AL-IRSYAD,TK,20255265,Swasta,JLN CIKUTRA 205 A,Neglasari,Cibeunying Kaler,0,8,37,33
Plus Atinidi,TK,20255266,Swasta,Gagak No.112 RT 10 RW 03,Sukaluyu,Cibeunying Kaler,2,8,9,9
PARIPURNA I,TK,20255275,Swasta,Jalan Batik Kumeli No. 63,Sukaluyu,Cibeunying Kaler,0,6,50,26
SITI KHADIJAH I,TK,20255281,Swasta,JALAPRANG NO.16 SUKALU,Sukaluyu,Cibeunying Kaler,0,4,7,12
MUTIARA BUNDA,TK,20255280,Swasta,JL. BATIK RENGGANIS NO 21,Sukaluyu,Cibeunying Kaler,0,18,41,26
HAPPY HOUSE,TK,69759464,Swasta,JL. PAHLAWAN NO.59,Sukaluyu,Cibeunying Kaler,0,5,8,15
ALBIRUNI SIDOMUKTI,TK,20255279,Swasta,JL.SIDOMUKTI NO.57,Sukaluyu,Cibeunying Kaler,0,12,26,28
PASUNDAN ISTRI,TK,20255276,Swasta,SAPUJAGAT No. 19,Sukaluyu,Cibeunying Kaler,0,3,6,10
AL-AMIN 2,TK,20255112,Swasta,AWIBULUH Gg. Bunga I No. 338,Cicadas,Cibeunying Kidul,0,4,17,16
