indikator,kecamatan,kelurahan_desa,jamban_sendiri,jamban_bersama__umum,tidak_ada,total_krt
"Fasilitas BAB",ARCAMANIK,"CISARANTEN BINA HARAPAN",423,491,12,926
"Fasilitas BAB",ARCAMANIK,SUKAMISKIN,332,362,3,697
"Fasilitas BAB",ARCAMANIK,"CISARANTEN ENDAH",440,387,4,831
"Fasilitas BAB",ANTAPANI,"ANTAPANI KIDUL",272,35,0,307
"Fasilitas BAB",ANTAPANI,"ANTAPANI TENGAH",527,222,0,749
"Fasilitas BAB",ANTAPANI,"ANTAPANI WETAN",314,440,7,761
"Fasilitas BAB",ANTAPANI,"ANTAPANI KULON",234,249,0,483
"Fasilitas BAB",MANDALAJATI,JATIHANDAP,847,426,3,1276
"Fasilitas BAB",MANDALAJATI,"KARANG PAMULANG",795,300,10,1105
"Fasilitas BAB",MANDALAJATI,"SINDANG JAYA",408,152,1,561
"Fasilitas BAB",MANDALAJATI,"PASIR IMPUN",187,175,34,396
"Fasilitas BAB",KIARACONDONG,"KEBON KANGKUNG",384,377,6,768
"Fasilitas BAB",KIARACONDONG,SUKAPURA,674,1117,1,1792
"Fasilitas BAB",KIARACONDONG,"KEBUN JAYANTI",423,481,0,904
"Fasilitas BAB",KIARACONDONG,"BABAKAN SARI",1066,568,0,1634
"Fasilitas BAB",KIARACONDONG,"BABAKAN SURABAYA",578,456,5,1039
"Fasilitas BAB",KIARACONDONG,CICAHEUM,450,454,1,905
"Fasilitas BAB",BATUNUNGGAL,GUMURUH,457,360,6,823
"Fasilitas BAB",BATUNUNGGAL,BINONG,506,513,1,1020
"Fasilitas BAB",BATUNUNGGAL,"KEBON GEDANG",249,334,3,586
"Fasilitas BAB",BATUNUNGGAL,MALEER,798,623,2,1423
"Fasilitas BAB",BATUNUNGGAL,CIBANGKONG,325,695,0,1020
"Fasilitas BAB",BATUNUNGGAL,SAMOJA,406,612,1,1019
"Fasilitas BAB",BATUNUNGGAL,KACAPIRING,137,319,0,456
"Fasilitas BAB",BATUNUNGGAL,"KEBON WARU",486,354,1,841
"Fasilitas BAB","SUMUR BANDUNG",BRAGA,46,143,0,189
"Fasilitas BAB","SUMUR BANDUNG","KEBON PISANG",125,170,1,296
"Fasilitas BAB","SUMUR BANDUNG",MERDEKA,16,35,2,53
"Fasilitas BAB","SUMUR BANDUNG","BABAKAN CIAMIS",63,118,0,181
"Fasilitas BAB",ANDIR,CAMPAKA,547,319,0,866
"Fasilitas BAB",ANDIR,MALEBER,397,335,0,732
"Fasilitas BAB",ANDIR,GARUDA,202,304,0,506
"Fasilitas BAB",ANDIR,"DUNGUS CARIANG",399,384,1,784
"Fasilitas BAB",ANDIR,CIROYOM,483,618,8,1109
"Fasilitas BAB",ANDIR,"KEBON JERUK",223,295,0,518
"Fasilitas BAB",CICENDO,ARJUNA,106,98,0,204
"Fasilitas BAB",CICENDO,PASIRKALIKI,85,214,1,300
"Fasilitas BAB",CICENDO,PAMOYANAN,146,36,0,182
"Fasilitas BAB",CICENDO,PAJAJARAN,644,447,84,1175
"Fasilitas BAB",CICENDO,"HUSEN SASTRANEGARA",412,446,1,859
"Fasilitas BAB",CICENDO,SUKARAJA,516,297,2,815
"Fasilitas BAB","BANDUNG WETAN","TAMAN SARI",285,501,0,786
"Fasilitas BAB","BANDUNG WETAN",CITARUM,12,13,0,25
"Fasilitas BAB","BANDUNG WETAN",CIHAPIT,3,31,0,34
"Fasilitas BAB","CIBEUNYING KIDUL",SUKAMAJU,180,241,0,421
"Fasilitas BAB","CIBEUNYING KIDUL",CICADAS,311,276,0,587
"Fasilitas BAB","CIBEUNYING KIDUL",CIKUTRA,550,474,1,1025
"Fasilitas BAB","CIBEUNYING KIDUL",PADASUKA,410,508,0,918
"Fasilitas BAB","CIBEUNYING KIDUL",PASIRLAYUNG,579,474,13,1066
"Fasilitas BAB","CIBEUNYING KIDUL",SUKAPADA,756,484,4,1244
"Fasilitas BAB","CIBEUNYING KALER",CIHAURGEULIS,305,177,0,482
"Fasilitas BAB","CIBEUNYING KALER",SUKALUYU,164,331,2,497
"Fasilitas BAB","CIBEUNYING KALER",NEGLASARI,171,215,0,386
"Fasilitas BAB","CIBEUNYING KALER",CIGADUNG,539,512,6,1057
"Fasilitas BAB",COBLONG,CIPAGANTI,321,373,0,694
"Fasilitas BAB",COBLONG,"LEBAK SILIWANGI",92,177,0,269
"Fasilitas BAB",COBLONG,"LEBAK GEDE",217,159,5,381
"Fasilitas BAB",COBLONG,"SADANG SERANG",442,695,2,1139
"Fasilitas BAB",COBLONG,SEKELOA,494,511,1,1006
"Fasilitas BAB",COBLONG,DAGO,606,688,23,1317
"Fasilitas BAB",SUKAJADI,SUKAWARNA,247,143,2,392
"Fasilitas BAB",SUKAJADI,SUKAGALIH,526,463,23,1012
"Fasilitas BAB",SUKAJADI,SUKABUNGAH,500,822,0,1322
"Fasilitas BAB",SUKAJADI,CIPEDES,733,598,6,1337
"Fasilitas BAB",SUKAJADI,PASTEUR,313,445,1,759
"Fasilitas BAB",SUKASARI,SARIJADI,416,118,0,534
"Fasilitas BAB",SUKASARI,SUKARASA,312,109,5,426
"Fasilitas BAB",SUKASARI,GEGERKALONG,350,249,1,600
"Fasilitas BAB",SUKASARI,ISOLA,224,155,0,379
"Fasilitas BAB",CIDADAP,HEGARMANAH,331,229,9,569
"Fasilitas BAB",CIDADAP,CIUMBULEUIT,588,176,1,765
"Fasilitas BAB",CIDADAP,LEDENG,137,131,0,268
