KODE REKENING,URAIAN,JUMLAH,DASAR HUKUM
1.20 . 1.20.35 . 02 . 22 . 5 . 2 . 1,Belanja Pegawai,1685000,
1.20 . 1.20.35 . 02 . 22 . 5 . 2 . 2,Belanja Barang dan Jasa,68315000,
1.20 . 1.20.35 . 02 . 22 . 5 . 2 . 3,Belanja Modal,132785000,
1.20 . 1.20.35 . 02 . 24,Pemeliharaan rutin/berkala kendaraan dinas/operasional,446926258,
1.20 . 1.20.35 . 02 . 24 . 5 . 2 . 1,Belanja Pegawai,2800000,
1.20 . 1.20.35 . 02 . 24 . 5 . 2 . 2,Belanja Barang dan Jasa,444126258,
1.20 . 1.20.35 . 02 . 26,Pemeliharaan rutin/berkala perlengkapan gedung kantor,512060000,
1.20 . 1.20.35 . 02 . 26 . 5 . 2 . 1,Belanja Pegawai,2800000,
1.20 . 1.20.35 . 02 . 26 . 5 . 2 . 2,Belanja Barang dan Jasa,309260000,
1.20 . 1.20.35 . 02 . 26 . 5 . 2 . 3,Belanja Modal,200000000,
1.20 . 1.20.35 . 03,Program peningkatan disiplin aparatur,75950000,
1.20 . 1.20.35 . 03 . 02,Pengadaan pakaian dinas beserta perlengkapannya,38000000,
1.20 . 1.20.35 . 03 . 02 . 5 . 2 . 1,Belanja Pegawai,1000000,
1.20 . 1.20.35 . 03 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,37000000,
1.20 . 1.20.35 . 03 . 05,Pengadaan pakaian khusus hari-hari tertentu,37950000,
1.20 . 1.20.35 . 03 . 05 . 5 . 2 . 1,Belanja Pegawai,1000000,
1.20 . 1.20.35 . 03 . 05 . 5 . 2 . 2,Belanja Barang dan Jasa,36950000,
1.20 . 1.20.35 . 05,Program Peningkatan Kapasitas Sumber Daya Aparatur,88600000,
1.20 . 1.20.35 . 05 . 04,Pembinaan Kinerja Aparatur,88600000,
1.20 . 1.20.35 . 05 . 04 . 5 . 2 . 1,Belanja Pegawai,1000000,
1.20 . 1.20.35 . 05 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,87600000,
1.20 . 1.20.35 . 06,Program peningkatan pengembangan sistem pelaporan capaian kinerja dan keuangan,38500000,
1.20 . 1.20.35 . 06 . 01,Penyusunan laporan capaian kinerja dan ikhtisar realisasi kinerja SKPD,38500000,
1.20 . 1.20.35 . 06 . 01 . 5 . 2 . 1,Belanja Pegawai,32000000,
1.20 . 1.20.35 . 06 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,6500000,
1.22 . 1.20.35 . 22,Program Inovasi Pembangunan dan Pemberdayaan Kewilayahan,3644095000,
1.22 . 1.20.35 . 22 . 01,Fasilitasi Pemberdayaan Lingkup RW,2656505000,
1.22 . 1.20.35 . 22 . 01 . 5 . 2 . 1,Belanja Pegawai,53800000,
1.22 . 1.20.35 . 22 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,2602705000,
1.22 . 1.20.35 . 22 . 02,Fasilitasi Pemberdayaan Lingkup PKK,346700000,
1.22 . 1.20.35 . 22 . 02 . 5 . 2 . 1,Belanja Pegawai,79500000,
1.22 . 1.20.35 . 22 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,267200000,
1.22 . 1.20.35 . 22 . 03,Fasilitasi Pemberdayaan Lingkup Karang Taruna,300125000,
1.22 . 1.20.35 . 22 . 03 . 5 . 2 . 1,Belanja Pegawai,33600000,
1.22 . 1.20.35 . 22 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,266525000,
1.22 . 1.20.35 . 22 . 04,Fasilitasi Pemberdayaan Lingkup LPM,340765000,
1.22 . 1.20.35 . 22 . 04 . 5 . 2 . 1,Belanja Pegawai,35600000,
1.22 . 1.20.35 . 22 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,305165000,
1.20 . 1.20.35 . 30,Program Peningkatan Peran Kecamatan dan Kelurahan,5160200000,
1.20 . 1.20.35 . 30 . 01,Fasilitasi Peningkatan Perekonomian Masyarakat Kecamatan dan Kelurahan,54750000,
1.20 . 1.20.35 . 30 . 01 . 5 . 2 . 1,Belanja Pegawai,19650000,
1.20 . 1.20.35 . 30 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,35100000,
1.20 . 1.20.35 . 30 . 02,Fasilitasi Peningkatan Kualitas Kehidupan Kemasyarakatan Kecamatan dan Kelurahan,605925000,
1.20 . 1.20.35 . 30 . 02 . 5 . 2 . 1,Belanja Pegawai,197600000,
1.20 . 1.20.35 . 30 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,408325000,
1.20 . 1.20.35 . 30 . 03,Peningkatan Infrastruktur dan Lingkungan Hidup Tingkat Kecamatan dan Kelurahan,2251800000,
1.20 . 1.20.35 . 30 . 03 . 5 . 2 . 1,Belanja Pegawai,112500000,
1.20 . 1.20.35 . 30 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,2139300000,
1.20 . 1.20.35 . 30 . 04,Peningkatan Kualitas Penanganan Ketentraman dan Ketertiban Tingkat Kecamatan dan Kelurahan,310550000,
1.20 . 1.20.35 . 30 . 04 . 5 . 2 . 1,Belanja Pegawai,33000000,
1.20 . 1.20.35 . 30 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,277550000,
1.20 . 1.20.35 . 30 . 05,Fasilitasi Peningkatan Pemerintahan Umum Kecamatan dan Kelurahan,1870675000,
1.20 . 1.20.35 . 30 . 05 . 5 . 2 . 1,Belanja Pegawai,117600000,
1.20 . 1.20.35 . 30 . 05 . 5 . 2 . 2,Belanja Barang dan Jasa,1753075000,
1.20 . 1.20.35 . 30 . 07,Fasilitasi Peningkatan Pelayanan Kepada Masyarakat,66500000,
1.20 . 1.20.35 . 30 . 07 . 5 . 2 . 1,Belanja Pegawai,19000000,
1.20 . 1.20.35 . 30 . 07 . 5 . 2 . 2,Belanja Barang dan Jasa,47500000,
,SURPLUS / (DEFISIT),17089011784,
