indikator,kecamatan,kelurahan_desa,tidak_pernah_sekolah,setingkat_sd,setingkat_smp,setingkat_sma,perguruan_tinggi,total_krt
"Partisipasi Sekolah",ARCAMANIK,"CISARANTEN BINA HARAPAN",3,492,233,191,5,926
"Partisipasi Sekolah",ARCAMANIK,SUKAMISKIN,7,375,143,169,1,697
"Partisipasi Sekolah",ARCAMANIK,"CISARANTEN ENDAH",54,524,153,94,6,831
"Partisipasi Sekolah",ANTAPANI,"ANTAPANI KIDUL",4,144,98,58,2,307
"Partisipasi Sekolah",ANTAPANI,"ANTAPANI TENGAH",14,433,158,132,11,749
"Partisipasi Sekolah",ANTAPANI,"ANTAPANI WETAN",0,377,181,197,6,761
"Partisipasi Sekolah",ANTAPANI,"ANTAPANI KULON",14,235,122,112,0,483
"Partisipasi Sekolah",MANDALAJATI,JATIHANDAP,9,810,255,197,3,1276
"Partisipasi Sekolah",MANDALAJATI,"KARANG PAMULANG",15,635,230,214,9,1105
"Partisipasi Sekolah",MANDALAJATI,"SINDANG JAYA",0,304,119,132,4,561
"Partisipasi Sekolah",MANDALAJATI,"PASIR IMPUN",7,267,88,32,1,396
"Partisipasi Sekolah",KIARACONDONG,"KEBON KANGKUNG",4,351,170,236,7,768
"Partisipasi Sekolah",KIARACONDONG,SUKAPURA,12,876,490,403,9,1792
"Partisipasi Sekolah",KIARACONDONG,"KEBUN JAYANTI",10,355,219,310,10,904
"Partisipasi Sekolah",KIARACONDONG,"BABAKAN SARI",10,801,394,417,8,1634
"Partisipasi Sekolah",KIARACONDONG,"BABAKAN SURABAYA",5,546,247,232,7,1039
"Partisipasi Sekolah",KIARACONDONG,CICAHEUM,10,400,212,266,15,905
"Partisipasi Sekolah",BATUNUNGGAL,GUMURUH,9,484,155,162,11,823
"Partisipasi Sekolah",BATUNUNGGAL,BINONG,6,534,236,232,9,1020
"Partisipasi Sekolah",BATUNUNGGAL,"KEBON GEDANG",1,229,159,194,2,586
"Partisipasi Sekolah",BATUNUNGGAL,MALEER,23,623,355,416,5,1423
"Partisipasi Sekolah",BATUNUNGGAL,CIBANGKONG,18,468,229,295,6,1020
"Partisipasi Sekolah",BATUNUNGGAL,SAMOJA,25,369,273,342,7,1019
"Partisipasi Sekolah",BATUNUNGGAL,KACAPIRING,0,188,99,167,2,456
"Partisipasi Sekolah",BATUNUNGGAL,"KEBON WARU",0,400,227,210,4,841
"Partisipasi Sekolah","SUMUR BANDUNG",BRAGA,0,90,54,42,2,189
"Partisipasi Sekolah","SUMUR BANDUNG","KEBON PISANG",5,153,66,71,1,296
"Partisipasi Sekolah","SUMUR BANDUNG",MERDEKA,0,28,8,17,0,53
"Partisipasi Sekolah","SUMUR BANDUNG","BABAKAN CIAMIS",2,102,37,40,0,181
"Partisipasi Sekolah",ANDIR,CAMPAKA,3,484,216,160,3,866
"Partisipasi Sekolah",ANDIR,MALEBER,2,388,175,163,4,732
"Partisipasi Sekolah",ANDIR,GARUDA,4,226,116,157,3,506
"Partisipasi Sekolah",ANDIR,"DUNGUS CARIANG",2,408,183,184,7,784
"Partisipasi Sekolah",ANDIR,CIROYOM,6,569,259,265,10,1109
"Partisipasi Sekolah",ANDIR,"KEBON JERUK",3,285,98,125,5,518
"Partisipasi Sekolah",CICENDO,ARJUNA,0,114,49,40,1,204
"Partisipasi Sekolah",CICENDO,PASIRKALIKI,4,145,61,88,2,300
"Partisipasi Sekolah",CICENDO,PAMOYANAN,2,94,56,30,0,182
"Partisipasi Sekolah",CICENDO,PAJAJARAN,6,729,214,219,3,1175
"Partisipasi Sekolah",CICENDO,"HUSEN SASTRANEGARA",4,466,194,188,6,859
"Partisipasi Sekolah",CICENDO,SUKARAJA,6,498,176,128,4,815
"Partisipasi Sekolah","BANDUNG WETAN","TAMAN SARI",11,370,170,227,7,786
"Partisipasi Sekolah","BANDUNG WETAN",CITARUM,0,15,4,6,0,25
"Partisipasi Sekolah","BANDUNG WETAN",CIHAPIT,1,20,6,7,0,34
"Partisipasi Sekolah","CIBEUNYING KIDUL",SUKAMAJU,1,184,96,136,4,421
"Partisipasi Sekolah","CIBEUNYING KIDUL",CICADAS,3,288,148,142,6,587
"Partisipasi Sekolah","CIBEUNYING KIDUL",CIKUTRA,9,512,233,260,9,1025
"Partisipasi Sekolah","CIBEUNYING KIDUL",PADASUKA,4,392,238,278,5,918
"Partisipasi Sekolah","CIBEUNYING KIDUL",PASIRLAYUNG,13,567,231,247,5,1066
"Partisipasi Sekolah","CIBEUNYING KIDUL",SUKAPADA,17,716,259,239,10,1244
"Partisipasi Sekolah","CIBEUNYING KALER",CIHAURGEULIS,6,185,90,194,5,482
"Partisipasi Sekolah","CIBEUNYING KALER",SUKALUYU,5,236,94,153,9,497
"Partisipasi Sekolah","CIBEUNYING KALER",NEGLASARI,4,214,84,81,2,386
"Partisipasi Sekolah","CIBEUNYING KALER",CIGADUNG,16,622,210,207,2,1057
"Partisipasi Sekolah",COBLONG,CIPAGANTI,4,384,125,180,1,694
"Partisipasi Sekolah",COBLONG,"LEBAK SILIWANGI",2,134,62,69,1,269
"Partisipasi Sekolah",COBLONG,"LEBAK GEDE",6,193,66,110,6,381
"Partisipasi Sekolah",COBLONG,"SADANG SERANG",17,495,286,325,11,1139
"Partisipasi Sekolah",COBLONG,SEKELOA,21,535,212,229,6,1006
"Partisipasi Sekolah",COBLONG,DAGO,11,831,235,227,9,1317
"Partisipasi Sekolah",SUKAJADI,SUKAWARNA,2,280,57,49,2,392
"Partisipasi Sekolah",SUKAJADI,SUKAGALIH,28,642,169,166,2,1012
"Partisipasi Sekolah",SUKAJADI,SUKABUNGAH,4,717,257,332,10,1322
"Partisipasi Sekolah",SUKAJADI,CIPEDES,20,745,292,270,7,1337
"Partisipasi Sekolah",SUKAJADI,PASTEUR,4,344,167,237,7,759
"Partisipasi Sekolah",SUKASARI,SARIJADI,6,305,70,147,6,534
"Partisipasi Sekolah",SUKASARI,SUKARASA,7,278,64,73,4,426
"Partisipasi Sekolah",SUKASARI,GEGERKALONG,2,381,106,110,1,600
"Partisipasi Sekolah",SUKASARI,ISOLA,0,249,62,67,1,379
"Partisipasi Sekolah",CIDADAP,HEGARMANAH,4,350,110,102,2,569
"Partisipasi Sekolah",CIDADAP,CIUMBULEUIT,41,547,90,80,3,765
"Partisipasi Sekolah",CIDADAP,LEDENG,4,182,31,49,2,268
