Lokasi
Sekitar Rumah Dinas Komandan Lanud Husen Sastranegara 
Sekitar Rumah Dinas Komandan  Detasemen  Angkatan Laut (DENAL) Bandung 
Sekitar Rumah Dinas Walikota Bandung 
Sekitar Rumah Dinas Ketua Dewan Perwakilan Rakyat Daerah Kota Bandung
Sekitar Rumah Dinas Wakil Walikota Bandung 
Sekitar Rumah Dinas Komandan Distrik Militer (Dandim) 0618/BS 
Sekitar Rumah Dinas Kepala Kepolisian Resor Kota Besar Bandung 
Sekitar Rumah Dinas Kepala Kejaksaan Negeri Kelas I Bandung 
Sekitar Rumah Dinas Ketua Pengadilan Negeri Kelas I Bandung 
Sekitar Rumah Dinas Ketua Pengadilan Tata Usaha Negara
Sekitar Rumah Dinas Sekretaris Daerah Kota Bandung
Sekitar Lokasi Taman Penitipan Anak (TPA) 
Sekitar Lokasi Kelompok Bermain (KB) 
Sekitar Lokasi Taman Kanak-Kanak (TK) 
Sekitar Lokasi Raudhatul Athfal (RA) 
Sekitar Lokasi Sekolah Dasar (SD) 
"Sekitar Lokasi Madrasah   Ibtidaiyah   (MI),  atau  bentuka   lain  yang sederajat "
Sekitar Lokasi Sekolah Menengah Pertama (SMP) 
"Sekitar Lokasi Madrasah    Tsanawiyah,    atau    bentuk    lain    yang sederajat "
Sekitar Lokasi Sekolah Menengan Atas (SMA) 
Sekitar Lokasi Madrasah Aliyah (MA) 
Sekitar Lokasi Sekolah Menengah Kejuruan (SMK) 
"Sekitar Lokasi Madrasah  Aliyah  Kejuruan  (MAK),  atau  bentuk  lain yang sederajat "
Sekitar Lokasi Perguruan Tinggi
Jalan Rajawali Timur (Persimpangan Jalan LMU Nurtanio sampai dengan Jalan Andir) Kecamatan Andir 
Jalan Taman Cilentah Kelurahan Burangrang Kecamatan Lengkong 
Jalan Kiayi Haji Achmad Dachlan Kecamatan Lengkong 
Jalan Achmad Yani (Rel Kereta Api sampai dengan persimpangan lima Kelurahan Malabar) Kecamatan Lengkong 
"Jalan Perempatan Asia Afrika, Jalan Lengkong Besar sampai dengan perempatan, Jalan Lengkong Kecil sampai dengan Jalan Dalem Kaum Kecamatan Lengkong "
"Jalan Gatot Subroto mulai dari pertigaan Jalan Turangga, depan Trans Super Mall (TSM) sampai dengan perempatan Jalan Pelajar Pejuang Kecamatan Lengkong "
Jalan Turangga Kecamatan Lengkong 
Jalan Martanegara Kelurahan Lingkar selatan dan Kelurahan Turangga Kecamatan Lengkong 
Jalan Talaga Bodas mulai perempatan Burangrang Sadakeling sampai dengan perempatan Telaga Bodas Palasari Kelurahan Malabar Kecamatan Lengkong 
Jalan Karapitan (sekitar kampus Universitas Langlang Buana) Kecamatan Lengkong 
Jalan Ganesha (Depan Masjid Salman Institut Teknologi Bandung) Kecamatan Coblong 
Jalan Dayang Sumbi (Samping kampus Institut Teknologi Bandung) Kecamatan Coblong 
Jalan Taman Sari samping Kantor Badan Perencanaan Pembangunan Daerah Kelurahan Lebak Siliwangi Kecamatan Coblong 
Jalan Cihampelas Kecamatan Coblong 
Jalan Sultan Hasanudin (Samping Rumah Sakit Borromeus) Kecamatan Coblong 
Jalan Surya Kencana (Belakang Rumah Sakit Borromeus) Kecamatan Coblong 
Jalan Babakan Siliwangi Kecamatan Coblong 
Jalan Badak Singa Kecamatan Coblong 
Jalan Ciung Wanara kecamatan Coblong 
Jalan Gegerkalong Girang (Depan Kantor Lurah Isola sampai dengan Rumah Dinas Rektor Universitas Pendidikan Indonesia) Kecamatan Sukasari 
Jalan Gegerkalong Girang (Sekitar Mesjid Daarul Tauhid) Kecamatan Sukasari 
Jalan Sirna Galih (Sekitar Pintu Gerbang Karang Setra) Kecamatan Sukasari 
Jalan Pahlawan (Depan Taman Makam Pahlawan) Kelurahan Sukaluyu Kecamatan Cibeunying Kaler 
Jalan Pahlawan depan Taman Makam Pahlawan Kelurahan Neglasari Kecamatan Cibeunying Kaler 
"Jalan Achmad Yani Kelurahan Sukamaju, Kelurahan Cicadas, Kelurahan Cikutra, Kelurahan Padasuka Kecamatan Cibeunying Kidul "
"Jalan Katamso, Jalan Pahlawan, Jalan Sukasenang Kelurahan Cikutra Kecamatan Cibeunying Kidul "
Jalan Cikutra pertigaan Kelurahan Cikutra dan Kelurahan Padasuka (sepanjang 100 meter) Kecamatan Cibeunying Kidul 
Jalan Cikutra sampai dengan Simpang PPH. Mustofa dan Jalan Padasuka (sepanjang 50 meter) Kelurahan Cikutra Kecamatan Cibeunying Kidul 
Jalan Cikutra Kelurahan Sukapada Kecamatan Cibeunying Kidul 
Depan Sekolah Dasar (SD) Bojongloa (sepanjang 50 meter) Kecamatan Bojongloa Kidul 
Pertigaan Jalan Cibaduyut dan Jalan Indrayasa Kecamatan Bojongloa Kidul 
Jalan Indrayasa sampai dengan Koramil/depan pertigaan (depan Jalan Cibaduyut) (sepanjang 120 meter) Kecamatan Bojongloa Kidul 
Depan Masjid Al-Firdaus Kelurahan Cibaduyut Kecamatan Bojongloa Kidul 
Sepanjang Jalan Bojong Raya Kelurahan Caringin dan Kelurahan Cibuntu Kecamatan Bandung Kulon 
Jalan Gempol (Depan Kahatex) Kecamatan Bandung Kulon 
Jalan Cijerah sampai dengan Sekolah Dasar Negeri (SDN) Cijerah II Kelurahan Cijerah dan Kelurahan Cibuntu Kecamatan Bandung Kulon 
Jalan Suryani Kelurahan Warung Muncang Kecamatan Bandung Kulon 
"Jalan Caringin (depan Kantor Puskesmas, Kantor Arsip Daerah dan Sekolah Dasar (SD) Babakan Ciparay) Kecamatan Babakan Ciparay "
"Jalan Astanaanyar, depan Polisi Sektor (Polsek) dan Kantor Lurah Kecamatan Astanaanyar "
Jalan Pajagalan (Komplek Pendidikan) Kecamatan Astanaanyar 
Jalan Cibadak (depan Rumah Sakit Paru-paru dan Sekolah Dasar (SD) Cibadak/Gudang Komisi Pemilihan Umum Kecamatan Astanaanyar 
"Jalan Inhoftank dan depan Sekolah Dasar (SD) Dwikora, Sekolah DasarNegeri (SDN) Tegallega Sekolah Menengah Kejuruan (SMK) Prakarya Internasional (PI) Kecamatan Astanaanyar "
Jalan Pagarsih depan Sekolah Dasar Pagarsih dan Unit Pelaksana Teknis (UPT) Puskesmas Kecamatan Astanaanyar 
"Jalan Ibrahim Ajie, perempatan Jalan Soekarno- Hatta sampai dengan Perusahaan Dagang (PD) Nitta Kelurahan Binong Kecamatan Batununggal "
"Jalan Ibrahim Ajie, mulai ex Borma/SPBU Kelurahan Binong sampai dengan ex Taman hiburan Kelurahan Kebon Waru termasuk Jalan Ibrahim Ajie dan Fly Over Kiaracondong Kelurahan Kebon Gedang Kecamatan Batununggal "
"Jalan Gatot Subroto, mulai Perempatan Jalan Ibrahim Ajie sampai dengan jembatan sebelum Pasar Saeuran Kelurahan Binong Kecamatan Batununggal "
"Jalan Gatot Subroto, depan mesjid Komplek Dolog Jabar Kelurahan Maleer Kecamatan Batununggal "
"Jalan Gatot Subroto, mulai Trans Super Mall (TSM) sampai dengan Jalan Malabar Kelurahan Cibangkong dan Samoja Kecamatan Batununggal "
"Jalan Malabar, mulai perempatan Jalan Gatot Subroto sampai dengan Jembatan anak kali Cikapundung Kecamatan Batununggal "
Jalan Kembang sepatu Kecamatan Batununggal 
"Jalan Ahmad Yani, mulai dari rel Kereta Api (KA) Cikudapateuh, Kelurahan Kacapiring sampai dengan pertigaan Jalan Ibrahim Ajie Kelurahan Kebon Waru "
"Jalan Jakarta, mulai perempatan Jalan Ibrahim Ajie sampai dengan Rutan Kebon Waru/Jembatan kali Cibeunying Kecamatan Batununggal "
"Jalan Jakarta, mulai depan Komplek PALDAM sampai dengan perempatan Jalan Ahmad Yani/Jalan Supratman Kelurahan Kacapiring Kecamatan Batununggal "
Perempatan Jalan Soekarno-Hatta sampai dengan Perusahaan Dagang (PD) Nita Kecamatan Batununggal 
Jalan Ibrahim Ajie dan Fly Over Kecamatan Batununggal 
Jalan Ibrahim Ajie sampai dengan Jembatan Pasar Saeuran Kelurahan Binong Kecamatan Batununggal 
Jalan Gatot Subroto sampai dengan Jembatan anak kali Cikapundung Kecamatan Batununggal 
Rel Kereta Api (KA) Cikuda Pateuh sampai dengan Pertigaan Jalan Ibrahim Ajie Kecamatan Batununggal 
Perempatan Jalan Ibrahim Ajie sampai dengan Rumah Tahanan (Rutan) Kebon Waru Kecamatan Batununggal 
Depan Komplek PALDAM sampai dengan Perempatan Jalan Ahmad Yani Kecamatan Batununggal 
Pertigaan Jalan Tasikmalaya sampai dengan Jalan Laswi Kecamatan Batununggal 
Jalan Braga Kecamatan Sumur Bandung 
Jalan Suniaraja Kecamatan Sumur Bandung 
Jalan Tamblong Kecamatan Sumur Bandung 
Jalan Lembong Kecamatan Sumur Bandung 
Jalan Sumatra Kecamatan Sumur Bandung 
Jalan Perintis Kemerdekaan Kecamatan Sumur Bandung 
Jalan Aceh Kecamatan Sumur Bandung 
Jalan Wastukancana Kecamatan Sumur Bandung 
Jalan Kebon Sirih sampai dengan Jalan Cicendo (Rumah Sakit Cicendo) Kecamatan Sumur Bandung 
Jalan Tamblong Rukun Warga (RW) 02 Kecamatan Sumur Bandung 
Jalan Aceh Kelurahan Merdeka Kecamatan Sumur Bandung 
Jalan Achmad Yani (Simpang Lima sampai dengan Jalan Veteran Kecamatan Sumur Bandung) 
"Jalan Sunda, Simpang lima sampai dengan Jalan Baranang Siang Kecamatan Sumur Bandung "
"Jalan Saad, Jalan Naripan sampai dengan Jalan Veteran Kecamatan Sumur Bandung "
Jalan Achmad Yani Kecamatan Sumur Bandung 
Jalan RE. Martadinata Kecamatan Sumur Bandung 
Jalan Banda Kecamatan Sumur Bandung 
Jalan Anggrek Kecamatan Sumur Bandung 
Jalan Achmad Yani dari taman Cicaheum bunderan sampai dengan belokan Kiaracondong Kecamatan Kiaracondong 
Belokan Jalan Ibrahim Ajie (Kiaracondong) sampai dengan stopan terusan Jalan Jakarta Kecamatan Kiaracondong 
"Jalan Ibrahim Ajie, Depan Stasion Kiaracondong, Pasar Kiaracondong dan depan Polsek Kiaracondong Kecamatan Kiaracondong "
Jalan Pacuan Kuda Kecamatan Arcamanik 
Jalan Arcamanik Endah Kecamatan Arcamanik 
Jalan Mochamad Toha dan seputar Tegalega Kecamatan Regol 
Jalan Inspeksi Kali Cidurian (sepanjang 1440 meter) Kecamatan Rancasari 
Jalan Komplek Aria Graha (sepanjang 330 meter) Kecamatan Rancasari 
Jalan Venus Raya (sepanjang 360 meter) Kecamatan Rancasari 
Jalan Inspeksi Kali Cidurian (sepanjang 640 meter) Kelurahan Manjahlega Kecamatan Rancasari 
Seputar Alun-alun Kecamatan Ujungberung 
Jalan Cigending/depan Sekolah Dasar Negeri (SDN) Ujung Berung Kecamatan Ujungberung 
Jalan Otten Kecamatan Cicendo 
Jalan Dr. Junjunan Kecamatan Cicendo 
Jalan Abdurrahman Saleh Kecamatan Cicendo 
Jalan Sukajadi Kelurahan Pasteur Kecamatan Sukajadi 
Jalan Eyckman Kecamatan Sukajadi 
Jalan Ir. Haji Juanda (Dago) Kelurahan Tamansari Kecamatan Bandung Wetan 
Jalan Wastukancana Kecamatan Bandung Wetan 
Jalan Cipaganti Kecamatan Bandung Wetan 
Jalan Cihampelas Bawah Kecamatan Bandung Wetan 
Jalan Cikapayang Kecamatan Bandung Wetan 
Jalan Merdeka Kecamatan Bandung Wetan 
Jalan Aceh Kelurahan Citarum Kecamatan Bandung Wetan 
Jalan Saparua Kecamatan Bandung Wetan 
Jalan Wiraangun-angun Kecamatan Bandung Wetan 
Jalan Ir. Haji Juanda (Dago) Kelurahan Citarum Kecamatan Bandung Wetan 
Jalan Geusan Ulun Kecamatan Bandung Wetan 
Jalan Prabu Dimuntur Kecamatan Bandung Wetan 
Jalan Aria Jipang Kecamatan Bandung Wetan 
Jalan Adipati Kertabumi Kecamatan Bandung Wetan 
Jalan Surapati Kecamatan Bandung Wetan 
Jalan Diponegoro Kecamatan Bandung Wetan 
Jalan Cimandiri Kecamatan Bandung Wetan 
Jalan Sentot Ali Basyah Kecamatan Bandung Wetan 
Jalan Supratman Kecamatan Bandung Wetan 
Jalan Cipunegara Kecamatan Bandung Wetan 
Jalan Taman Pramuka Kecamatan Bandung Wetan 
Jalan Aceh Kelurahan Cihapit Kecamatan Bandung Wetan 
Jalan Pulo Laut Kecamatan Bandung Wetan 
Jalan Jeruk Kecamatan Bandung Wetan 
Jalan Tanjung Kecamatan Bandung Wetan 
Jalan Sawo Kecamatan Bandung Wetan 
Jalan Dukuh Kecamatan Bandung Wetan 
Jalan Belimbing Kecamatan Bandung Wetan 
Jalan Salam Kecamatan Bandung Wetan 
Jalan Jamuju Kecamatan Bandung Wetan 
Jalan Suren Kecamatan Bandung Wetan 
Jalan Baros Kecamatan Bandung Wetan 
Jalan Manglit Kecamatan Bandung Wetan 
Jalan Saninten Kecamatan Bandung Wetan 
Jalan Kihiur Kecamatan Bandung Wetan 
Jalan Rasamala Kecamatan Bandung Wetan 
Jalan Cibuni Kecamatan Bandung Wetan 
Jalan Ciwulan Kecamatan Bandung Wetan 
Jalan Brantas Kecamatan Bandung Wetan 
Jalan Mataram Kecamatan Bandung Wetan 
Jalan Cakranegara Kecamatan Bandung Wetan
Persimpangan   jalan dengan jarak 100 meter dari titik persimpangan
Lokasi  jalan Car Free Day (CFD)
"Kawasan lindung setempat yang mencakup sempadan danau/waduk,  sempadan sungai dan sempadan mata air"
RTH Taman Kota
RTH Taman Unit Lingkungan
"RTH  Taman  sepanjang  sempadan  jaringan  jalan, jalan  tol, rel kereta  api, sungai  dan  irigasi  serta SUTET"
RTH Hutan Kota
RTH Permakaman
Kawasan   Pelestarian   Alam   dan   Bangunan   Cagar Budaya.
Lapangan GASIBU
