KODE REKENING,URAIAN,JUMLAH,DASAR HUKUM
1.22 . 1.20.28 . 22 . 03,Fasilitasi Pemberdayaan Lingkup Karang Taruna,422000000,
1.22 . 1.20.28 . 22 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,500000000,
1.22 . 1.20.28 . 22 . 04,Fasilitasi Pemberdayaan Lingkup LPM,500000000,
1.22 . 1.20.28 . 22 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,500000000,
1.20 . 1.20.28 . 30,Program Peningkatan Peran Kecamatan dan Kelurahan,500000000,
1.20 . 1.20.28 . 30 . 01,Fasilitasi Peningkatan Perekonomian Masyarakat Kecamatan dan Kelurahan,3830184900,
1.20 . 1.20.28 . 30 . 01 . 5 . 2 . 1,Belanja Pegawai,50593200,
1.20 . 1.20.28 . 30 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,20800000,
1.20 . 1.20.28 . 30 . 02,Fasilitasi Peningkatan Kualitas Kehidupan Kemasyarakatan Kecamatan dan Kelurahan,29793200,
1.20 . 1.20.28 . 30 . 02 . 5 . 2 . 1,Belanja Pegawai,524220000,
1.20 . 1.20.28 . 30 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,251800000,
1.20 . 1.20.28 . 30 . 03,Peningkatan Infrastruktur dan Lingkungan Hidup Tingkat Kecamatan dan Kelurahan,272420000,
1.20 . 1.20.28 . 30 . 03 . 5 . 2 . 1,Belanja Pegawai,2354910700,
1.20 . 1.20.28 . 30 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,28650000,
1.20 . 1.20.28 . 30 . 04,Peningkatan Kualitas Penanganan Ketentraman dan Ketertiban Tingkat Kecamatan dan Kelurahan,2326260700,
1.20 . 1.20.28 . 30 . 04 . 5 . 2 . 1,Belanja Pegawai,243705000,
1.20 . 1.20.28 . 30 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,32475000,
1.20 . 1.20.28 . 30 . 05,Fasilitasi Peningkatan Pemerintahan Umum Kecamatan dan Kelurahan,211230000,
1.20 . 1.20.28 . 30 . 05 . 5 . 2 . 1,Belanja Pegawai,583193000,
1.20 . 1.20.28 . 30 . 05 . 5 . 2 . 2,Belanja Barang dan Jasa,72283000,
1.20 . 1.20.28 . 30 . 07,Fasilitasi Peningkatan Pelayanan Kepada Masyarakat,510910000,
1.20 . 1.20.28 . 30 . 07 . 5 . 2 . 1,Belanja Pegawai,73563000,
1.20 . 1.20.28 . 30 . 07 . 5 . 2 . 2,Belanja Barang dan Jasa,26275000,
,SURPLUS / (DEFISIT),47288000,
,,-21639446509,
