Tanggal,Waktu,Kegiatan_PAM,Tempat_Lokasi,Nama_Pemohon,KET
2015-05-30,08:00+0700-selesai,Car Free Day CFN ,Jalan Asia Afrika dan Depan Pendopo,Panitia Pelaksana Car Free Day dan CFN,1 Unit
2015-05-30,10:00+0700-selesai,Yamaha Motor Show,Lapangan Gasmin Jl  Antapani,Air Production,1 Unit
2015-05-31,24:00-08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SATPOL PP,1 Unit
2015-06-03,06:00+0700-selesai,Kunjungan Kerja Wakil Presiden,Gedung Merdeka Jl Cikapundung Barat Jl Cikapundung Barat,KODAM III SILIWANGI,1 Unit
2015-06-06,10:00+0700-selesai,Yamaha Motor Show,Lapangan Tegallega,Air Production,1 Unit
2015-06-06,16:00+0700-selesai,Musik Go A Head,Gedung Sabuga ITB,Panitia Pelaksana Musik Go A Head,1 Unit
2015-06-07,04:00-08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-06-10,21:00+0700-selesai,Penyemprotan dan penyiraman Taman Alun-alun Ujungberung,Alun alun Ujungberung,Kecamatan Ujungberung,2 Unit
2015-06-11,08:30+0700-selesai,Penertiban pembongkaran bangunan milik PT. KAI,Jl Stasion Bandung,PT KAI,1 Unit
2015-06-13,22:00+0700-selesai,Penyemprotan dan penyiraman Taman Alun-alun Ujungberung,Alun alun Ujungberung,Kecamatan Ujungberung,2 Unit
2015-06-14,04:00-08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
 2015-06-14,07:00+0700-selesai,Tarhib Ramadhan 1436 H mewujudkan Bandung Religius,Jl Dalem Kaum dan Mesjid Raya,Panitia Pelaksana,1 Unit
2015-06-14,22:30+0700-selesai,Penyiraman dan pembersihan jalan karena oli tumpah,dibawah jalan layang pasopati,Instruksi Walikota,1 Unit
2015-06-21,04:00-08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-06-26,09:00+0700-selesai,Penyiraman dan pembersihan pasar simpang dago,Pasar simpang Dago,Kecamatan Coblong,1 Unit
 2015-06-28,04:00-08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-07-03,07:00+0700-selesai,Pembersihan dan Penyemprotan Taman Cikapundung Timur dan Pasar Simpang Dago,Taman Cikapundung dan Pasar Simpang Dago,Panitia Pelaksana dan Kecamatan Coblong,2 Unit
2015-07-03,15:00+0700-selesai,Pisah Sambut Dandim 0618/BS,Gedung Graha Manggala Siliwangi,KODIM 0618/BS,1 Unit
2015-07-05,04:00-08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-07-09,08:00-08:00+0700,Apel Gelar Pasukan Operasi Ketupat Lodaya 2015,Lapangan Gasibu,POLRESTABES ,1 Unit
2015-07-12,04:00-08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-07-16,14:00+0700-selesai,Pembersihan dan Penyemprotan Halaman Polrestabes Bandung,Halaman Polrestabes Bandung Jl Merdeka,Polrestabes Bandung,1 Unit
2015-07-17,01:00+0700-selesai,Penyiraman Taman Alun Alun Ujungberung,Taman Alun Alun Ujungberung,Kecamatan Ujungberung,2 Unit
2015-07-19,04:00-08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-07-23,17:00+0700-selesai,Penyiraman Lapang dan Taman Pussenkav,Lapangan Pussenkav,Pussenkav TNI AD,1 Unit
2015-07-24,13:00+0700-selesai,Pembersihan dan Penyemprotan Taman Cikapundung Timur,Taman Cikapundung Timur,Panpel Pembersihan Taman Cikapundung,1 Unit
2015-07-26,04:00-08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-07-29,17:00+0700-selesai,Penyiraman Taman Balaikota,Balaikota Bandung,Instruksi Walikota,1 Unit
2015-07-31,08:00+0700-selesai,Pembersihan dan Penyiraman Taman,Taman Vanda Taman Sister City,Instruksi Walikota,1 Unit
2015-08-02,07:00+0700-selesai,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-08-05,11:00+0700-selesai,Pendistribusian air MCK untuk warga Jl.Cikadut Jatihandap Kecamatan Mandalajati,Jl Cikadut Jatihandap Kecamatan Mandalajati,Camat,1 Unit
2015-08-07,07:00+0700-selesai,Penyiraman dan penyemprotan TPA Sarimukti Cipatat Rajamandala,TPA Sarimukti Cipatat Rajamandala,DanDim 0618 BS,2 Unit
2015-08-08,06:00+0700-selesai,Penyiraman Lapangan Lodaya,Lapangan Lodaya Jl Lodaya,Panitia Lapangan Lodaya,1 Unit
2015-08-09,07:00+0700-selesai,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-08-10,14:00+0700-selesai,Pembersihan dan Penyemprotan Taman Cikapundung Timur,Taman Cikapundung Alun alun Bandung,Panitia Pelaksana,2 Unit
2015-08-11,15:00+0700-selesai,Penyiraman Lapangan parkir Eks Palaguna,Lapangan parkir eks palaguna,Panitia Pelaksana,1 Unit
2015-08-14,,Pembersihan dan penyemprotan banjir lumpur di SMPN 41,SMPN 41 Jl Arjuna,SMPN 41,1 Unit
2015-08-15,10:00+0700-selesai,Penyemprotan gorong gorong yang tersumbat,Jl Sukabumi dalam Bandung,Warga Rt 06/06 Kel Kacapiring Kec Batununggal,1 Unit
2015-08-15,15:00+0700-selesai,Acara Musik,Lapangan Secapa TNI AD Jl Hegarmanah,Secapa TNI AD,1 Unit
2015-08-16,06:00+0700-selesai,Gerak Jalan 70 Th Indonesia Merdeka BUMN,Monumen Perjuangan,Panitia Pelaksana,1 Unit
2015-08-16,07:00+0700-selesai,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-08-16,20:00+0700-selesai,Penyiraman Lapangan Bola KPAD,Lapangan Bola KPAD Jl Gatot Subroto,KPAD TNI AD,1 Unit
2015-08-17,06:30+0700-selesai,Upacara Peringatan HUR RI ke 70 Tingkat Kecamatan,Lapangan Tegallega,Sekretaris Daerah,1 Unit
2015-08-18,13:00+0700-selesai,Penyiraman Lapangan parkir Eks Palaguna,Lapangan parkir eks palaguna,Panitia Pelaksana,1 Unit
2015-08-18,16:00+0700-selesai,Pembersihan dan penyemprotan halaman kantor Arcamanik,Kantor Kecamatan Arcamanik,Camat Arcamanik,1 Unit
2015-08-20,10:00+0700-selesai,Bantuan Distribusi air bersih dan air untuk MCK Warga,Rt 03/06 Kel Cipadung Wetan Kec Panyileukan,Camat Panyileukan,1 Unit
2015-08-21,06:30+0700-selesai,Kunjungan Wakil Presiden RI,Gedung Merdeka Jl Cikapundung Barat,DanDim 0618 BS,1 Unit
2015-08-21,06:30+0700-selesai,Pelantikan Siswa Daarut Tauhid,Pesantren Darut Tauhid Jl Gegerkalong,Pesantren Darut Tauhid,1 Unit
2015-08-22,14:00+0700-selesai,Acara Musik,Lapangan Tegallega,Panitia Pelaksana,1 Unit
2015-08-23,07:00+0700-selesai,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-08-28,20:00+0700-selesai,Penyiraman lapangan SMAN 5,SMAN 5,SMAN 5,1 Unit
2015-08-30,07:00+0700-selesai,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-08-31,16:00+0700-selesai,Penyiraman Taman dan pengisian kolam hias,Plaza Balaikota,Instruksi Walikota,1 Unit
2015-09-01,18:30+0700-selesai,Penyiraman Lapangan Apel SESKOAD,Lapangan Apel SESKOAD,SESKOAD,1 Unit
2015-09-03,14:30+0700-selesai,Penyiraman & pembersihan kendaraan tempur Yonkav,YONKAV J Jend Gatot Subroto,YONKAV,1 Unit
2015-09-05,08:00+0700-selesai,Sepeda Santai,Halaman Gedung Sate,Panita Pelaksana,2 Unit
2015-09-06,07:00+0700-selesai,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-09-11,07:00+0700-selesai,Bandung Air Show,Bandara Husein Sastranegara,Panita Pelaksana,1 Unit
2015-09-12,07:00+0700-selesai,Bandung Air Show,Bandara Husein Sastranegara,Panita Pelaksana,1 Unit
2015-09-13,07:00+0700-selesai,Bandung Air Show,Bandara Husein Sastranegara,Panita Pelaksana,1 Unit
2015-09-13,07:00+0700-selesai,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-09-17,07:00+0700-selesai,Penyiraman lapangan dan taman Makodim,MAKODIM Jl Jend Gatot Subroto,KODIM ,1 Unit
2015-09-18,16:00+0700-selesai,Penyiraman lapangan dan taman Makodim,MAKODIM Jl Jend Gatot Subroto,KODIM ,1 Unit
2015-09-20,08:00+0700-selesai,Penyiraman lapangan dan taman Makodim,MAKODIM Jl Jend Gatot Subroto,KODIM ,1 Unit
2015-09-20,13:00+0700-selesai,Penyiraman lapangan Tegallega,Lapangan Tegallega,Panita Pelaksana,1 Unit
2015-09-20,07:00+0700-selesai,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-09-21,05:30+0700-selesai,Penyiraman lapangan dan taman Makodim,MAKODIM Jl Jend Gatot Subroto,KODIM ,1 Unit
2015-09-22,22:00+0700-selesai,Penyiraman Taman Alun alun,Taman Alun alun,Panita Pelaksana,1 Unit
2015-09-23,22:00+0700-selesai,Penyiraman Halaman Apel Polrestabes Bandung,Halaman Apel Polrestabes Bandung,Polrestabes Bandung,1 Unit
2015-09-24,22:00+0700-selesai,Penyiraman Halaman Apel Polrestabes Bandung,Halaman Apel Polrestabes Bandung,Polrestabes Bandung,1 Unit
2015-09-25,07:00+0700-selesai,Upacara Peringatan Hari Jadi Kota Bandung ke 205,Lapangan Tegallega,Sekretaris Daerah,2 Unit
2015-09-25,13:00+0700-selesai,Penyiraman Lapangan STMK DNBS,Lapangan STMK DNBS Jl Babakan Sari,Panita Pelaksana,1 Unit
2015-09-26,13:00+0700-selesai,Penyiraman Lapangan Umuh Muchtar,Lapangan Umuh Muchtar Jl Babakan Sari,Panita Pelaksana,1 Unit
2015-09-26,06:30+0700-selesai,Apel Keselamatan berlalu lintas,Monumen Perjuangan Jl Dipati Ukur,Panita Pelaksana,1 Unit
2015-09-26,16:00+0700-selesai,Penyiraman lapangan dan taman,PT KAI Jl Laswi,PT KAI,1 Unit
2015-09-27,07:00+0700-selesai,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-09-29,,Pengisian air kolam taman Balaikota,Balaikota,Balaikota,1 Unit
2015-10-01,09:00+0700-selesai,Penyiraman Lapangan dan taman Makodim 0618,KODIM 0618,KODIM 0618,1 Unit
2015-10-04,07:00+0700-selesai,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-10-09,11:00+0700-selesai,Penyiraman dan pembersihan Taman Alun Alun,Taman Alun alun,Instruksi Walikota,2 Unit
2015-10-11,07:00+0700-selesai,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-10-15,14:00+0700-selesai,Kick Fest 2015,Lapangan PPI,Panitia Pelaksana,1 Unit
2015-10-16,14:00+0700-selesai,Kick Fest 2015,Lapangan PPI,Panitia Pelaksana,1 Unit
2015-10-17,08:00+0700-selesai,Penyiraman SD YKWA,SD YKWA Jl Rajawali,SD YKWA,1 Unit
2015-10-18,07:00+0700-selesai,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-10-20,12:00+0700-selesai,Penyiraman Lapangan PODAM,PODAM Jl Jawa,PODAM,1 Unit
2015-10-21,17:00+0700-selesai,Penyiraman Kantor Kecamatan Lengkong,Kantor Kecamatan Lengkong,Camat Lengkong,1 Unit
2015-10-21,08:00+0700-selesai,Simulasi Evakuasi dan Penanggulangan Kebakaran,Gedung Grand Yogya Jl Kepatihan,Grup Yogya,3 Unit
2015-10-24,18:00+0700-selesai,Penyiraman Lapangan Kavaleri,Kavaleri,Kavaleri,1 Unit
2015-10-25,07:00+0700-selesai,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-10-28,06:30+0700-selesai,Penyiraman Lapangan Kavaleri,Kavaleri,Kavaleri,1 Unit
2015-11-01,07:00+0700-selesai,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-11-01,16:00+0700-selesai,Penyiraman Lapangan dan taman,KODIM 0618 Lapangan Monju,KODIM 0618,1 Unit
2015-11-07,12:30+0700-selesai,Net Goes To You,Monumen perjuangan,TV Net One,1 Unit
2015-11-07,16:00+0700-selesai,Konser D Academy Indosiar,Lapangan Tegallega,TV Indosiar,1 Unit
2015-11-08,07:00+0700-selesai,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-11-08,10:00+0700-selesai,Net Goes To You,Monumen perjuangan,TV Net One,1 Unit
2015-11-15,07:00+0700-selesai,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-11-22,07:00+0700-selesai,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-11-13,13:00+0700-selesai,Musik Pro Jam,Lapangan Tegallega,Panitia Pelaksana,1 Unit
2015-11-23,06:00+0700-selesai,Kunjungan Wakil Presiden RI,Trans Studio,KODIM 0618,1 Unit
2015-11-23,18:30+0700-selesai,Pengisian Kolam Taman Balaikota,Balaikota,Instruksi Walikota,1 Unit
2015-11-27,15:30+0700-selesai,Penyiraman SMPN 13,SMPN 13 Jl Mutiara,SMPN 13,1 Unit
2015-11-28,15:30+0700-selesai,Pameran Festival Film Jawa Barat,Gedung Merdeka Jl Ir Soekarno,DISBUDPAR Prov Jabar,1 Unit
2015-11-29,07:00+0700-selesai,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-12-05,06:30+0700-selesai,Peringatan Hari Disabilitas Internasional Tingkat Kota Bandung Tahun 2015,Jl Dr Ir Sukarno,Dinas Sosial,1 Unit
2015-12-06,07:00+0700-selesai,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-12-10,09:00+0700-selesai,Festival Anti Korupsi,Gedung Sabuga ITB,KPK,1 Unit
2015-12-11,09:00+0700-selesai,Festival Anti Korupsi,Gedung Sabuga ITB,KPK,1 Unit
2015-12-12,10:00+0700-selesai,Temu Pendekar Internasional,Plaza Balaikota,Disporda,1 Unit
2015-12-13,07:00+0700-selesai,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-12-15,06:30+0700-selesai,Upacara Hari HKSN,Lapangan Tegallega,Dinas Sosial,1 Unit
2015-12-17,06:30+0700-selesai,Kunjungan Kasad,Secapa Hegarmanah,Secapa TNI AD,1 Unit
2015-12-20,07:00+0700-selesai,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-12-21,06:30+0700-selesai,Upacara Peringatan Hari Belanegara ke 67 Tingkat Kota Bandung,Plaza Balaikota,Sekretariat Daerah,1 Unit
2015-12-22,21:00+0700-selesai,Penyiraman  dan Pembersihan Trotoar Jl Merdeka,Jl Merdeka Plaza Balaikota,Sekretariat Daerah,1 Unit
2015-12-23,06:30+0700-selesai,Apel Kesiapsiagaan Operasi Lilin Lodaya Tahun 2015,Lapangan Tegallega,Polrestabes,1 Unit
2015-12-24,21:00+0700-selesai,Giat Mobilling Operasi Lilin Lodaya Tahun 2015,Jl Cikapayang,Polrestabes,1 Unit
2015-12-27,07:00+0700-selesai,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-12-31,17:00+0700-selesai,Giat Mobilling Operasi Lilin Lodaya Tahun 2015,Alun Alun Kota Bandung,Polrestabes,1 Unit
2015-12-31,18:30+0700-selesai,Pergantian Tahun 2015 ke Tahun 2016,Trans Studio Bandung,Trans Studio Bandung,1 Unit
