RUAS JALAN,KELURAHAN,KECAMATAN,WILAYAH,JUMLAH
Jl. Sawah Kurung,Ciateul,Regol,Karees,10
Jl. Sawah Kurung IX,Ciateul,Regol,Karees,12
Jl. Sindanglapay,Ciateul,Regol,Karees,2
Jl. Sriwijaya,Cigereleng,Regol,Karees,16
Jl. denki,Cigereleng,Regol,Karees,6
Jl. kembartengah,Cigereleng,Regol,Karees,1
Jl. maos1,Cigereleng,Regol,Karees,1
Jl. babakanprianganraya,Ciseureuh,Regol,Karees,6
Jl. jln pln,Ciseureuh,Regol,Karees,10
Jl. Kembar Mas,Pasir Luyu,Regol,Karees,6
Jl. Kembar Mas V,Pasir Luyu,Regol,Karees,8
Jl. Mengger Girang I,Pasir Luyu,Regol,Karees,5
Jl. Pasir Jaya XII,Pasir Luyu,Regol,Karees,2
Jl. Pasir Salam Asri,Pasir Luyu,Regol,Karees,1
Jl. Pasir Wangi I,Pasir Luyu,Regol,Karees,3
Jl. Pasir Wangi Utama,Pasir Luyu,Regol,Karees,6
Jl. Suka Ati V,Pasir Luyu,Regol,Karees,1
Jl. pajaran,Pasir Luyu,Regol,Karees,2
Jl. pjjfn,Pasir Luyu,Regol,Karees,1
Jl. Ciateul Kidul,Pungkur,Regol,Karees,3
Jl. Bungur,Cipedes,Sukajadi,Bojonagara,7
Jl. Cipedes Tengah,Cipedes,Sukajadi,Bojonagara,5
Jl. Karang Layung,Cipedes,Sukajadi,Bojonagara,5
Jl. Karang Tineung,Cipedes,Sukajadi,Bojonagara,8
Jl. Sukagalih,Cipedes,Sukajadi,Bojonagara,5
Jl. Sukajadi,Cipedes,Sukajadi,Bojonagara,46
Jl. ka5angtinengindah,Cipedes,Sukajadi,Bojonagara,9
Jl. karanglayung,Cipedes,Sukajadi,Bojonagara,7
Jl. karangtinggal,Cipedes,Sukajadi,Bojonagara,4
Jl. Cemara,Pasteur,Sukajadi,Cibeunying,5
Jl. Eykman,Pasteur,Sukajadi,Cibeunying,1
Jl. Jurang,Pasteur,Sukajadi,Cibeunying,13
Jl. Rumah Sakit,Pasteur,Sukajadi,Cibeunying,5
Jl. Sampurna,Pasteur,Sukajadi,Cibeunying,6
Jl. Sederhana,Pasteur,Sukajadi,Cibeunying,15
Jl. Sejahtera,Pasteur,Sukajadi,Cibeunying,10
Jl. Sukamaju,Pasteur,Sukajadi,Cibeunying,11
Jl. bhakri,Pasteur,Sukajadi,Cibeunying,2
Jl. karangsari,Pasteur,Sukajadi,Cibeunying,7
Jl. kurnia,Pasteur,Sukajadi,Cibeunying,3
Jl. makmur,Pasteur,Sukajadi,Cibeunying,9
Jl. sabar,Pasteur,Sukajadi,Cibeunying,3
Jl. sarimanah,Pasteur,Sukajadi,Cibeunying,5
Jl. senand,Pasteur,Sukajadi,Cibeunying,2
Jl. sentausa,Pasteur,Sukajadi,Cibeunying,2
Jl. setia,Pasteur,Sukajadi,Cibeunying,3
Jl. sirnasari,Pasteur,Sukajadi,Cibeunying,4
Jl. tawe;al,Pasteur,Sukajadi,Cibeunying,1
Jl. tentram,Pasteur,Sukajadi,Cibeunying,2
Jl. waspada,Pasteur,Sukajadi,Cibeunying,1
Jl. Pasir Kaliki,Sukagalih,Sukajadi,Bojonagara,5
Jl. Putrako Indah,Sukagalih,Sukajadi,Bojonagara,1
Jl. Sukamulya,Sukagalih,Sukajadi,Bojonagara,2
Jl. Sukamulya Indah,Sukagalih,Sukajadi,Bojonagara,30
Jl. Surya Sumantri,Sukagalih,Sukajadi,Bojonagara,28
Jl. babakanjeruk1,Sukagalih,Sukajadi,Bojonagara,1
Jl. babakanjeruk2,Sukagalih,Sukajadi,Bojonagara,4
Jl. babakanjeruk3a,Sukagalih,Sukajadi,Bojonagara,2
Jl. babakanjeruk3b,Sukagalih,Sukajadi,Bojonagara,2
Jl. babakanjeruk3c,Sukagalih,Sukajadi,Bojonagara,3
Jl. babakanjeruk3e,Sukagalih,Sukajadi,Bojonagara,2
Jl. babakanjeruk3f,Sukagalih,Sukajadi,Bojonagara,1
Jl. babakanjeruk5,Sukagalih,Sukajadi,Bojonagara,5
Jl. babakanjeruk6,Sukagalih,Sukajadi,Bojonagara,4
Jl. babakanueruk3,Sukagalih,Sukajadi,Bojonagara,1
Jl. babakqnjerukindah,Sukagalih,Sukajadi,Bojonagara,3
Jl. babanjeruk4,Sukagalih,Sukajadi,Bojonagara,6
Jl. dangdeurindah,Sukagalih,Sukajadi,Bojonagara,4
Jl. j sukakarya1,Sukagalih,Sukajadi,Bojonagara,1
Jl. kompleksukamulya,Sukagalih,Sukajadi,Bojonagara,2
Jl. mulyasari,Sukagalih,Sukajadi,Bojonagara,1
Jl. s8kakarya,Sukagalih,Sukajadi,Bojonagara,3
Jl. seetraindah4,Sukagalih,Sukajadi,Bojonagara,1
Jl. setraindah3,Sukagalih,Sukajadi,Bojonagara,2
Jl. setrawangiselatan,Sukagalih,Sukajadi,Bojonagara,2
Jl. setrsarimall,Sukagalih,Sukajadi,Bojonagara,10
Jl. sukajaya,Sukagalih,Sukajadi,Bojonagara,1
Jl. sukaka5ya5,Sukagalih,Sukajadi,Bojonagara,1
Jl. sukakarya2,Sukagalih,Sukajadi,Bojonagara,3
Jl. sukakarya6,Sukagalih,Sukajadi,Bojonagara,2
Jl. ter sutami,Sukagalih,Sukajadi,Bojonagara,1
Jl. ter sutami4,Sukagalih,Sukajadi,Bojonagara,2
Jl. ter sutami5,Sukagalih,Sukajadi,Bojonagara,2
Jl. terusan sutami1,Sukagalih,Sukajadi,Bojonagara,1
Jl. terusanbabakanjrk1,Sukagalih,Sukajadi,Bojonagara,1
Jl. Cesna,Sukawarna,Sukajadi,Bojonagara,7
Jl. Cibogo,Sukawarna,Sukajadi,Bojonagara,26
Jl. Griya Raya,Sukawarna,Sukajadi,Bojonagara,4
Jl. Griya Raya-1,Sukawarna,Sukajadi,Bojonagara,6
Jl. Herkules,Sukawarna,Sukajadi,Bojonagara,1
Jl. Mustang,Sukawarna,Sukajadi,Bojonagara,13
Jl. Mustang-1,Sukawarna,Sukajadi,Bojonagara,14
Jl. Mustang-2,Sukawarna,Sukajadi,Bojonagara,14
Jl. Mustang-3,Sukawarna,Sukajadi,Bojonagara,16
Jl. Mustang-4,Sukawarna,Sukajadi,Bojonagara,14
Jl. Mustang-5,Sukawarna,Sukajadi,Bojonagara,15
Jl. Mustang-6,Sukawarna,Sukajadi,Bojonagara,14
Jl. Mustang-7,Sukawarna,Sukajadi,Bojonagara,17
Jl. Sarimadu Barat,Sukawarna,Sukajadi,Bojonagara,1
Jl. air bus,Sukawarna,Sukajadi,Bojonagara,1
Jl. cibogo1,Sukawarna,Sukajadi,Bojonagara,27
Jl. driyamas,Sukawarna,Sukajadi,Bojonagara,14
Jl. k8malagardent,Sukawarna,Sukajadi,Bojonagara,6
Jl. kumalagardent,Sukawarna,Sukajadi,Bojonagara,19
Jl. pemekar,Sukawarna,Sukajadi,Bojonagara,10
Jl. sukasari,Sukawarna,Sukajadi,Bojonagara,1
Jl. unpar3,Sukawarna,Sukajadi,Bojonagara,1
Jl. Sari Asih,,Sukasari,Bojonagara,27
Jl. tirtasariselatan,,Sukasari,Bojonagara,5
Jl. Cipedes,Gegerkalong,Sukasari,Bojonagara,19
Jl. Gatot Raya,Gegerkalong,Sukasari,Bojonagara,13
Jl. Gerlong Girang,Gegerkalong,Sukasari,Bojonagara,23
Jl. Gerlong Hilir,Gegerkalong,Sukasari,Bojonagara,41
Jl. Sarijadi Raya,Gegerkalong,Sukasari,Bojonagara,23
Jl. Setiabudhi,Gegerkalong,Sukasari,Bojonagara,1
Jl. Sindangsirna,Gegerkalong,Sukasari,Bojonagara,10
Jl. abadi1,Gegerkalong,Sukasari,Bojonagara,2
Jl. budiasih,Gegerkalong,Sukasari,Bojonagara,3
Jl. budiasih1,Gegerkalong,Sukasari,Bojonagara,7
Jl. budiasih2,Gegerkalong,Sukasari,Bojonagara,6
Jl. budiasih3,Gegerkalong,Sukasari,Bojonagara,10
Jl. budiasih5,Gegerkalong,Sukasari,Bojonagara,8
Jl. budiluhur,Gegerkalong,Sukasari,Bojonagara,1
Jl. cipedesbaru,Gegerkalong,Sukasari,Bojonagara,23
Jl. gatot1,Gegerkalong,Sukasari,Bojonagara,6
Jl. gatot3,Gegerkalong,Sukasari,Bojonagara,6
Jl. gatot5,Gegerkalong,Sukasari,Bojonagara,10
Jl. gatot6,Gegerkalong,Sukasari,Bojonagara,11
Jl. kartika2,Gegerkalong,Sukasari,Bojonagara,2
Jl. komplek midc,Gegerkalong,Sukasari,Bojonagara,2
Jl. pajagalan stbd,Gegerkalong,Sukasari,Bojonagara,2
Jl. Sersan Bajuri,Isola,Sukasari,Bojonagara,38
Jl. buntiriw,Isola,Sukasari,Bojonagara,4
Jl. cilimus,Isola,Sukasari,Bojonagara,6
Jl. cipaku permai,Isola,Sukasari,Bojonagara,1
Jl. jayengrana,Isola,Sukasari,Bojonagara,18
Jl. kyai tapa,Isola,Sukasari,Bojonagara,3
Jl. pondokhijau,Isola,Sukasari,Bojonagara,56
Jl. ranumanggala,Isola,Sukasari,Bojonagara,16
Jl. sribaduga,Isola,Sukasari,Bojonagara,3
Jl. Perintis,Sarijadi,Sukasari,Bojonagara,12
Jl. Sari Rasa,Sarijadi,Sukasari,Bojonagara,3
Jl. Sarirasa I,Sarijadi,Sukasari,Bojonagara,6
Jl. Sariwangi,Sarijadi,Sukasari,Bojonagara,14
Jl. Surya Setra,Sarijadi,Sukasari,Bojonagara,11
Jl. Surya Setra-1,Sarijadi,Sukasari,Bojonagara,13
Jl. sa4imanah1,Sarijadi,Sukasari,Bojonagara,4
Jl. sarimanah2,Sarijadi,Sukasari,Bojonagara,9
Jl. sarimanie,Sarijadi,Sukasari,Bojonagara,10
Jl. sarirasa,Sarijadi,Sukasari,Bojonagara,4
Jl. Sariendah,Sukarasa,Sukasari,Bojonagara,1
Jl. Setramurni,Sukarasa,Sukasari,Bojonagara,5
Jl. Setramurni I,Sukarasa,Sukasari,Bojonagara,9
Jl. Setramurni Tengah I,Sukarasa,Sukasari,Bojonagara,8
Jl. Setramurni Tengah II,Sukarasa,Sukasari,Bojonagara,12
Jl. Setramurni Tengah III,Sukarasa,Sukasari,Bojonagara,13
Jl. Setrasari II,Sukarasa,Sukasari,Bojonagara,1
Jl. Setrasari III,Sukarasa,Sukasari,Bojonagara,4
Jl. Sukahaji,Sukarasa,Sukasari,Bojonagara,22
Jl. setramurni1,Sukarasa,Sukasari,Bojonagara,8
Jl. setramurni1a,Sukarasa,Sukasari,Bojonagara,9
Jl. setramurniatas,Sukarasa,Sukasari,Bojonagara,8
Jl. setramurnitengaah,Sukarasa,Sukasari,Bojonagara,9
Jl. setramurnitengah1,Sukarasa,Sukasari,Bojonagara,6
Jl. setramurnitengah2,Sukarasa,Sukasari,Bojonagara,6
Jl. setramurnitengah3,Sukarasa,Sukasari,Bojonagara,8
Jl. setramurnitengah4,Sukarasa,Sukasari,Bojonagara,8
Jl. setrasirnakulun1,Sukarasa,Sukasari,Bojonagara,6
Jl. Banten,Babakan Ciamis,Sumur Bandung,Cibeunying,29
Jl. Braga,Babakan Ciamis,Sumur Bandung,Cibeunying,19
Jl. Jawa,Babakan Ciamis,Sumur Bandung,Cibeunying,21
Jl. Kebon Jukut,Babakan Ciamis,Sumur Bandung,Cibeunying,2
Jl. Kebon Sirih,Babakan Ciamis,Sumur Bandung,Cibeunying,7
Jl. Otista,Babakan Ciamis,Sumur Bandung,Cibeunying,7
Jl. Viaduck,Babakan Ciamis,Sumur Bandung,Cibeunying,5
Jl. Viaduct,Babakan Ciamis,Sumur Bandung,Cibeunying,12
Jl. balaikota bandung-cb,Babakan Ciamis,Sumur Bandung,Cibeunying,16
Jl. dprd kt bandung-cb,Babakan Ciamis,Sumur Bandung,Cibeunying,3
Jl. kbn sirih,Babakan Ciamis,Sumur Bandung,Cibeunying,1
Jl. kenari,Babakan Ciamis,Sumur Bandung,Cibeunying,1
Jl. ABC,Braga,Sumur Bandung,Cibeunying,9
Jl. Alkateri,Braga,Sumur Bandung,Cibeunying,8
Jl. Banceuy,Braga,Sumur Bandung,Cibeunying,17
Jl. Cikapundung BT,Braga,Sumur Bandung,Cibeunying,9
Jl. Lembong,Braga,Sumur Bandung,Cibeunying,10
Jl. Naripan,Braga,Sumur Bandung,Cibeunying,22
Jl. Pacinan Lama,Braga,Sumur Bandung,Cibeunying,4
Jl. Suniaraja Gg,Braga,Sumur Bandung,Cibeunying,7
Jl. Tamblong,Braga,Sumur Bandung,Cibeunying,9
Jl. Tera,Braga,Sumur Bandung,Cibeunying,11
Jl. kejaksaan,Braga,Sumur Bandung,Cibeunying,3
Jl. markoni,Braga,Sumur Bandung,Cibeunying,1
Jl. morse,Braga,Sumur Bandung,Cibeunying,1
Jl. telepon,Braga,Sumur Bandung,Cibeunying,1
Jl. Asia Afrika,Kebon Pisang,Sumur Bandung,Cibeunying,3
Jl. Baranangsiang,Kebon Pisang,Sumur Bandung,Cibeunying,9
Jl. Natuna,Kebon Pisang,Sumur Bandung,Cibeunying,14
Jl. Sumatera,Kebon Pisang,Sumur Bandung,Cibeunying,4
Jl. Sunda,Kebon Pisang,Sumur Bandung,Cibeunying,13
Jl. Tmn Cibunut Selatan,Kebon Pisang,Sumur Bandung,Cibeunying,1
Jl. Vandeventer,Kebon Pisang,Sumur Bandung,Cibeunying,3
Jl. Veteran,Kebon Pisang,Sumur Bandung,Cibeunying,12
Jl. alani,Kebon Pisang,Sumur Bandung,Cibeunying,2
Jl. embong-cb,Kebon Pisang,Sumur Bandung,Cibeunying,3
Jl. kartini,Kebon Pisang,Sumur Bandung,Cibeunying,1
Jl. lemburpanjang-cb,Kebon Pisang,Sumur Bandung,Cibeunying,1
Jl. naripan dlm,Kebon Pisang,Sumur Bandung,Cibeunying,23
Jl. ramli-cb,Kebon Pisang,Sumur Bandung,Cibeunying,2
Jl. saad,Kebon Pisang,Sumur Bandung,Cibeunying,1
Jl. tamblong dlm,Kebon Pisang,Sumur Bandung,Cibeunying,10
Jl. Bangka,Merdeka,Sumur Bandung,Cibeunying,12
Jl. Belitung,Merdeka,Sumur Bandung,Cibeunying,10
Jl. Gandapura,Merdeka,Sumur Bandung,Cibeunying,12
Jl. Gudang Selatan,Merdeka,Sumur Bandung,Cibeunying,10
Jl. Gudang Utara,Merdeka,Sumur Bandung,Cibeunying,23
Jl. Kalimantan,Merdeka,Sumur Bandung,Cibeunying,9
Jl. Kemuning,Merdeka,Sumur Bandung,Cibeunying,7
Jl. Manado,Merdeka,Sumur Bandung,Cibeunying,2
Jl. Menado,Merdeka,Sumur Bandung,Cibeunying,14
Jl. Patrakomala,Merdeka,Sumur Bandung,Cibeunying,21
Jl. Pudak,Merdeka,Sumur Bandung,Cibeunying,4
Jl. Rakata,Merdeka,Sumur Bandung,Cibeunying,9
Jl. Sumbawa,Merdeka,Sumur Bandung,Cibeunying,10
Jl. Tongkeng,Merdeka,Sumur Bandung,Cibeunying,18
Jl. altileri,Merdeka,Sumur Bandung,Cibeunying,1
Jl. bali,Merdeka,Sumur Bandung,Cibeunying,10
Jl. bawean,Merdeka,Sumur Bandung,Cibeunying,4
Jl. culan,Merdeka,Sumur Bandung,Cibeunying,2
Jl. dahlia,Merdeka,Sumur Bandung,Cibeunying,3
Jl. ermawar,Merdeka,Sumur Bandung,Cibeunying,3
Jl. gandapurasimpang,Merdeka,Sumur Bandung,Cibeunying,13
Jl. gor siliwangi-cb,Merdeka,Sumur Bandung,Cibeunying,29
Jl. kalimantan_cb,Merdeka,Sumur Bandung,Cibeunying,15
Jl. soka,Merdeka,Sumur Bandung,Cibeunying,4
Jl. Bukit uber indah,Cigending,Ujung Berung,Ujung Berung,2
Jl. Cipaganti dream land,Cigending,Ujung Berung,Ujung Berung,11
Jl. Cipaganti graha II,Cigending,Ujung Berung,Ujung Berung,6
Jl. Kampung baru,Cigending,Ujung Berung,Ujung Berung,6
Jl. Nagrog,Cigending,Ujung Berung,Ujung Berung,31
Jl. Palem ujungberung indah,Cigending,Ujung Berung,Ujung Berung,2
Jl. Segar I,Cigending,Ujung Berung,Ujung Berung,5
Jl. Segar II,Cigending,Ujung Berung,Ujung Berung,8
Jl. Segar III,Cigending,Ujung Berung,Ujung Berung,9
Jl. Segar IV,Cigending,Ujung Berung,Ujung Berung,9
Jl. Segar V,Cigending,Ujung Berung,Ujung Berung,2
Jl. Segar VI,Cigending,Ujung Berung,Ujung Berung,3
Jl. Segar ujungberung indah,Cigending,Ujung Berung,Ujung Berung,5
Jl. Sukup baru,Cigending,Ujung Berung,Ujung Berung,10
Jl. Ujungberung indah,Cigending,Ujung Berung,Ujung Berung,2
Jl. Ujungberung indah asri,Cigending,Ujung Berung,Ujung Berung,4
Jl. Ujungberung indah asri I,Cigending,Ujung Berung,Ujung Berung,6
Jl. Ujungberung indah asri II,Cigending,Ujung Berung,Ujung Berung,12
Jl. Ujungberung indah berseri,Cigending,Ujung Berung,Ujung Berung,7
Jl. Ujungberung indah ceria,Cigending,Ujung Berung,Ujung Berung,6
Jl. Ujungberung indah makmur,Cigending,Ujung Berung,Ujung Berung,7
Jl. Ujungberung indah permai,Cigending,Ujung Berung,Ujung Berung,33
Jl. Ujungberung indah raya,Cigending,Ujung Berung,Ujung Berung,13
Jl. Ujungberung lndah permai,Cigending,Ujung Berung,Ujung Berung,3
Jl. Wisma resko nugraha,Cigending,Ujung Berung,Ujung Berung,4
Jl. cigending,Cigending,Ujung Berung,Ujung Berung,14
Jl. Ciporeat,Pasanggrahan,Ujung Berung,Ujung Berung,4
Jl. perumahanujungberung,Pasanggrahan,Ujung Berung,Ujung Berung,11
Jl. Cijambe,Pasir Endah,Ujung Berung,Ujung Berung,16
Jl. Giri endah,Pasir Endah,Ujung Berung,Ujung Berung,2
Jl. Giri hiang,Pasir Endah,Ujung Berung,Ujung Berung,5
Jl. Giri jati,Pasir Endah,Ujung Berung,Ujung Berung,11
Jl. Giri mayang,Pasir Endah,Ujung Berung,Ujung Berung,1
Jl. Giri mayang I,Pasir Endah,Ujung Berung,Ujung Berung,2
Jl. Giri mayang II,Pasir Endah,Ujung Berung,Ujung Berung,3
Jl. Giri raharja,Pasir Endah,Ujung Berung,Ujung Berung,2
Jl. Giri rahayu I,Pasir Endah,Ujung Berung,Ujung Berung,2
Jl. Giri rahayu II,Pasir Endah,Ujung Berung,Ujung Berung,6
Jl. Giri rahayu III,Pasir Endah,Ujung Berung,Ujung Berung,9
Jl. Giri sari,Pasir Endah,Ujung Berung,Ujung Berung,3
Jl. Giri yuda,Pasir Endah,Ujung Berung,Ujung Berung,4
Jl. Mayang Arum,Pasir Endah,Ujung Berung,Ujung Berung,6
Jl. Mayang asih,Pasir Endah,Ujung Berung,Ujung Berung,5
Jl. Mayang hegar,Pasir Endah,Ujung Berung,Ujung Berung,3
Jl. Mayang ligar,Pasir Endah,Ujung Berung,Ujung Berung,7
Jl. Mayang sari,Pasir Endah,Ujung Berung,Ujung Berung,7
Jl. Simpang Asih,Pasir Endah,Ujung Berung,Ujung Berung,3
Jl. Simpay Asih,Pasir Endah,Ujung Berung,Ujung Berung,4
Jl. Taruna I,Pasir Endah,Ujung Berung,Ujung Berung,3
Jl. Taruna II,Pasir Endah,Ujung Berung,Ujung Berung,9
Jl. Taruna III,Pasir Endah,Ujung Berung,Ujung Berung,15
Jl. Taruna VI,Pasir Endah,Ujung Berung,Ujung Berung,17
Jl. Taruna baru,Pasir Endah,Ujung Berung,Ujung Berung,15
Jl. Taruna parahyangan,Pasir Endah,Ujung Berung,Ujung Berung,12
Jl. Taruna v,Pasir Endah,Ujung Berung,Ujung Berung,5
